student_id,cohort,application_date,efc_dollars,need_index,eligible_flag
S201300055,2013,2013-03-20,8568,1.26,1
S201300056,2013,2013-04-21,4456,0.655,1
S201300057,2013,2013-03-19,2243,0.33,1
S201300058,2013,2013-02-22,18159,2.67,1
S201300059,2013,2013-04-25,3289,0.484,1
S201300060,2013,2013-03-11,0,0.1,1
S201300061,2013,2013-02-19,8971,1.319,1
S201300062,2013,2013-03-12,14169,2.084,1
S201300063,2013,2013-02-12,9197,1.352,1
S201300064,2013,2013-03-07,0,0.1,1
S201300065,2013,2013-04-27,14997,2.205,1
S201300066,2013,2013-03-08,2067,0.304,1
S201300067,2013,2013-02-12,10088,1.484,1
S201300068,2013,2013-03-19,0,0.1,1
S201300069,2013,2013-03-26,0,0.1,1
S201300070,2013,2013-03-15,11221,1.65,1
S201300071,2013,2013-02-24,9998,1.47,1
S201300072,2013,2013-02-01,5874,0.864,1
S201300073,2013,2013-02-22,1509,0.222,1
S201300074,2013,2013-04-22,4120,0.606,1
S201300075,2013,2013-03-22,13892,2.043,1
S201300076,2013,2013-02-08,9188,1.351,1
S201300077,2013,2013-02-24,13353,1.964,1
S201300078,2013,2013-03-07,5877,0.864,1
S201300079,2013,2013-03-14,9811,1.443,1
S201300080,2013,2013-04-17,14807,2.178,1
S201300081,2013,2013-04-06,9781,1.438,1
S201300082,2013,2013-02-11,24467,3.598,0
S201300083,2013,2013-02-09,9593,1.411,1
S201300084,2013,2013-04-26,6772,0.996,1
S201300085,2013,2013-03-04,8424,1.239,1
S201300086,2013,2013-04-02,27344,4.021,0
S201300087,2013,2013-02-03,10869,1.598,1
S201300088,2013,2013-03-12,11064,1.627,1
S201300089,2013,2013-02-06,10596,1.558,1
S201300090,2013,2013-03-09,0,0.1,1
S201300091,2013,2013-02-10,10036,1.476,1
S201300092,2013,2013-04-17,17689,2.601,1
S201300093,2013,2013-04-12,18111,2.663,1
S201300094,2013,2013-03-18,9941,1.462,1
S201300095,2013,2013-04-11,2271,0.334,1
S201300096,2013,2013-02-14,6175,0.908,1
S201300097,2013,2013-04-01,12526,1.842,1
S201300098,2013,2013-03-03,17981,2.644,1
S201300099,2013,2013-02-06,12458,1.832,1
S201300100,2013,2013-03-22,19176,2.82,1
S201300101,2013,2013-02-26,10653,1.567,1
S201300102,2013,2013-03-02,15105,2.221,1
S201300103,2013,2013-04-19,12624,1.856,1
S201300104,2013,2013-03-07,12519,1.841,1
S201300105,2013,2013-04-27,25945,3.815,0
S201300106,2013,2013-02-07,15389,2.263,1
S201300107,2013,2013-04-11,3779,0.556,1
S201300108,2013,2013-04-06,5853,0.861,1
S201300109,2013,2013-04-23,16079,2.365,1
S201300110,2013,2013-04-17,5013,0.737,1
S201300111,2013,2013-02-14,1142,0.168,1
S201300112,2013,2013-02-23,3401,0.5,1
S201300113,2013,2013-04-06,7583,1.115,1
S201300114,2013,2013-03-22,5045,0.742,1
S201300115,2013,2013-04-19,15266,2.245,1
S201300116,2013,2013-04-22,22562,3.318,0
S201300117,2013,2013-02-16,8610,1.266,1
S201300118,2013,2013-03-15,0,0.1,1
S201300119,2013,2013-02-24,9628,1.416,1
S201300120,2013,2013-02-19,7801,1.147,1
S201300121,2013,2013-03-08,21859,3.215,0
S201300122,2013,2013-02-16,14827,2.18,1
S201300123,2013,2013-02-22,4208,0.619,1
S201300124,2013,2013-02-04,13032,1.916,1
S201300125,2013,2013-04-16,9096,1.338,1
S201300126,2013,2013-04-19,3735,0.549,1
S201300127,2013,2013-02-19,15819,2.326,1
S201300128,2013,2013-04-24,12103,1.78,1
S201300129,2013,2013-04-20,8369,1.231,1
S201300130,2013,2013-03-03,21072,3.099,0
S201300131,2013,2013-02-16,14061,2.068,1
S201300132,2013,2013-03-07,16630,2.446,1
S201300133,2013,2013-04-09,14448,2.125,1
S201300134,2013,2013-02-21,2945,0.433,1
S201300135,2013,2013-03-14,12109,1.781,1
S201300136,2013,2013-04-25,0,0.1,1
S201300137,2013,2013-03-06,6631,0.975,1
S201300138,2013,2013-03-02,14069,2.069,1
S201300139,2013,2013-04-18,13471,1.981,1
S201300140,2013,2013-02-23,4293,0.631,1
S201300141,2013,2013-04-12,18850,2.772,1
S201300142,2013,2013-03-24,11797,1.735,1
S201300143,2013,2013-02-25,13505,1.986,1
S201300144,2013,2013-04-14,16280,2.394,1
S201300145,2013,2013-04-01,0,0.1,1
S201300146,2013,2013-03-20,21180,3.115,0
S201300147,2013,2013-02-27,0,0.1,1
S201300148,2013,2013-02-11,4318,0.635,1
S201300149,2013,2013-04-13,792,0.116,1
S201300150,2013,2013-04-12,27916,4.105,0
S201300151,2013,2013-02-20,11593,1.705,1
S201300152,2013,2013-03-15,6347,0.933,1
S201300153,2013,2013-02-19,9069,1.334,1
S201300154,2013,2013-04-21,5135,0.755,1
S201300155,2013,2013-04-01,15961,2.347,1
S201300156,2013,2013-02-27,22220,3.268,0
S201300157,2013,2013-03-12,27278,4.011,0
S201300158,2013,2013-04-25,10252,1.508,1
S201300159,2013,2013-03-09,0,0.1,1
S201300160,2013,2013-02-09,8677,1.276,1
S201300161,2013,2013-04-08,7128,1.048,1
S201300162,2013,2013-03-11,4223,0.621,1
S201300163,2013,2013-03-06,20876,3.07,0
S201300164,2013,2013-02-03,31915,4.693,0
S201300165,2013,2013-02-27,19073,2.805,1
S201300166,2013,2013-02-06,0,0.1,1
S201300167,2013,2013-02-18,0,0.1,1
S201300168,2013,2013-02-21,23710,3.487,0
S201300169,2013,2013-04-26,1449,0.213,1
S201300170,2013,2013-03-06,16381,2.409,1
S201300171,2013,2013-02-27,7104,1.045,1
S201300172,2013,2013-03-21,11778,1.732,1
S201300173,2013,2013-03-15,7152,1.052,1
S201300174,2013,2013-02-01,0,0.1,1
S201300175,2013,2013-04-10,7193,1.058,1
S201300176,2013,2013-02-07,777,0.114,1
S201300177,2013,2013-03-17,14459,2.126,1
S201300178,2013,2013-02-21,10601,1.559,1
S201300179,2013,2013-02-27,4885,0.718,1
S201300180,2013,2013-03-01,8421,1.238,1
S201300181,2013,2013-03-17,6561,0.965,1
S201300182,2013,2013-04-19,1119,0.165,1
S201300183,2013,2013-02-25,23252,3.419,0
S201300184,2013,2013-03-05,6563,0.965,1
S201300185,2013,2013-04-25,4277,0.629,1
S201300186,2013,2013-03-05,10812,1.59,1
S201300187,2013,2013-03-27,18994,2.793,1
S201300188,2013,2013-03-27,28681,4.218,0
S201300189,2013,2013-04-13,4186,0.616,1
S201300190,2013,2013-04-03,20430,3.004,0
S201300191,2013,2013-04-13,17434,2.564,1
S201300192,2013,2013-02-27,18974,2.79,1
S201300193,2013,2013-02-21,15932,2.343,1
S201300194,2013,2013-02-12,0,0.1,1
S201300195,2013,2013-04-27,3614,0.531,1
S201300196,2013,2013-04-01,2238,0.329,1
S201300197,2013,2013-02-14,0,0.1,1
S201300198,2013,2013-02-27,11341,1.668,1
S201300199,2013,2013-02-07,17770,2.613,1
S201300200,2013,2013-04-08,5673,0.834,1
S201300201,2013,2013-03-17,7026,1.033,1
S201300202,2013,2013-02-24,6048,0.889,1
S201300203,2013,2013-04-25,14779,2.173,1
S201300204,2013,2013-04-12,10408,1.531,1
S201300205,2013,2013-03-11,12318,1.811,1
S201300206,2013,2013-03-10,21929,3.225,0
S201300207,2013,2013-02-08,10377,1.526,1
S201300208,2013,2013-03-05,6401,0.941,1
S201300209,2013,2013-03-14,12747,1.875,1
S201300210,2013,2013-02-21,7643,1.124,1
S201300211,2013,2013-04-01,0,0.1,1
S201300212,2013,2013-03-27,17216,2.532,1
S201300213,2013,2013-03-26,11411,1.678,1
S201300214,2013,2013-03-22,17113,2.517,1
S201300215,2013,2013-02-20,2188,0.322,1
S201300216,2013,2013-03-18,17035,2.505,1
S201300217,2013,2013-04-22,15458,2.273,1
S201300218,2013,2013-03-07,0,0.1,1
S201300219,2013,2013-04-11,17697,2.602,1
S201300220,2013,2013-03-02,4152,0.611,1
S201300221,2013,2013-02-19,8187,1.204,1
S201300222,2013,2013-02-26,0,0.1,1
S201300223,2013,2013-03-04,26028,3.828,0
S201300224,2013,2013-03-18,14398,2.117,1
S201300225,2013,2013-03-15,10688,1.572,1
S201300226,2013,2013-04-01,17476,2.57,1
S201300227,2013,2013-02-25,4908,0.722,1
S201300228,2013,2013-03-15,5389,0.792,1
S201300229,2013,2013-04-08,18171,2.672,1
S201300230,2013,2013-04-17,4076,0.599,1
S201300231,2013,2013-02-22,10412,1.531,1
S201300232,2013,2013-04-24,21350,3.14,0
S201300233,2013,2013-02-26,14117,2.076,1
S201300234,2013,2013-04-22,9511,1.399,1
S201300235,2013,2013-02-23,12839,1.888,1
S201300236,2013,2013-03-08,13409,1.972,1
S201300237,2013,2013-04-12,11728,1.725,1
S201300238,2013,2013-02-20,6078,0.894,1
S201300239,2013,2013-04-08,9751,1.434,1
S201300240,2013,2013-04-23,17929,2.637,1
S201300241,2013,2013-02-18,14370,2.113,1
S201300242,2013,2013-04-07,18384,2.704,1
S201300243,2013,2013-02-24,18317,2.694,1
S201300244,2013,2013-02-18,17708,2.604,1
S201300245,2013,2013-04-09,5494,0.808,1
S201300246,2013,2013-02-13,10762,1.583,1
S201300247,2013,2013-03-13,12152,1.787,1
S201300248,2013,2013-04-06,8276,1.217,1
S201300249,2013,2013-04-23,19616,2.885,1
S201300250,2013,2013-04-01,5931,0.872,1
S201300251,2013,2013-02-19,18094,2.661,1
S201300252,2013,2013-02-05,12647,1.86,1
S201300253,2013,2013-03-17,22551,3.316,0
S201300254,2013,2013-04-16,1382,0.203,1
S201300255,2013,2013-02-19,4872,0.716,1
S201300256,2013,2013-04-22,10976,1.614,1
S201300257,2013,2013-04-06,14167,2.083,1
S201300258,2013,2013-03-15,7761,1.141,1
S201300259,2013,2013-03-22,13893,2.043,1
S201300260,2013,2013-02-16,10072,1.481,1
S201300261,2013,2013-03-06,0,0.1,1
S201300262,2013,2013-02-15,9665,1.421,1
S201300263,2013,2013-04-10,15718,2.311,1
S201300264,2013,2013-04-13,20376,2.996,1
S201300265,2013,2013-02-12,6401,0.941,1
S201300266,2013,2013-04-13,11403,1.677,1
S201300267,2013,2013-02-07,17670,2.599,1
S201300268,2013,2013-02-20,11652,1.714,1
S201300269,2013,2013-03-20,2392,0.352,1
S201300270,2013,2013-04-04,21715,3.193,0
S201300271,2013,2013-03-07,15489,2.278,1
S201300272,2013,2013-03-03,0,0.1,1
S201300273,2013,2013-03-21,8284,1.218,1
S201300274,2013,2013-04-06,14355,2.111,1
S201300275,2013,2013-02-02,14239,2.094,1
S201300276,2013,2013-02-22,6785,0.998,1
S201300277,2013,2013-02-20,8195,1.205,1
S201300278,2013,2013-02-15,0,0.1,1
S201300279,2013,2013-02-04,16268,2.392,1
S201300280,2013,2013-03-12,13736,2.02,1
S201300281,2013,2013-03-18,11090,1.631,1
S201300282,2013,2013-04-16,14501,2.132,1
S201300283,2013,2013-02-01,5575,0.82,1
S201300284,2013,2013-02-07,7605,1.118,1
S201300285,2013,2013-04-01,10550,1.551,1
S201300286,2013,2013-03-26,0,0.1,1
S201300287,2013,2013-02-19,19397,2.852,1
S201300288,2013,2013-04-14,6087,0.895,1
S201300289,2013,2013-02-23,6188,0.91,1
S201300290,2013,2013-04-09,14301,2.103,1
S201300291,2013,2013-03-21,767,0.113,1
S201300292,2013,2013-04-16,27050,3.978,0
S201300293,2013,2013-04-23,9072,1.334,1
S201300294,2013,2013-02-09,15669,2.304,1
S201300295,2013,2013-02-08,7465,1.098,1
S201300296,2013,2013-02-07,8740,1.285,1
S201300297,2013,2013-02-07,5096,0.749,1
S201300298,2013,2013-02-03,5902,0.868,1
S201300299,2013,2013-03-21,9065,1.333,1
S201300300,2013,2013-03-04,0,0.1,1
S201300301,2013,2013-04-04,2991,0.44,1
S201300302,2013,2013-03-14,10835,1.593,1
S201300303,2013,2013-02-10,11388,1.675,1
S201300304,2013,2013-02-07,12870,1.893,1
S201300305,2013,2013-04-26,9540,1.403,1
S201300306,2013,2013-02-21,10130,1.49,1
S201300307,2013,2013-04-01,16786,2.469,1
S201300308,2013,2013-02-08,15339,2.256,1
S201300309,2013,2013-04-27,9479,1.394,1
S201300310,2013,2013-04-14,6871,1.01,1
S201300311,2013,2013-03-09,2181,0.321,1
S201300312,2013,2013-04-09,15112,2.222,1
S201300313,2013,2013-03-22,16486,2.424,1
S201300314,2013,2013-02-11,14335,2.108,1
S201300315,2013,2013-04-09,0,0.1,1
S201300316,2013,2013-03-25,9467,1.392,1
S201300317,2013,2013-04-15,7823,1.15,1
S201300318,2013,2013-04-14,0,0.1,1
S201300319,2013,2013-03-23,13275,1.952,1
S201300320,2013,2013-03-25,14250,2.096,1
S201300321,2013,2013-04-19,14662,2.156,1
S201300322,2013,2013-02-18,8402,1.236,1
S201300323,2013,2013-02-03,16670,2.451,1
S201300324,2013,2013-03-06,11751,1.728,1
S201300325,2013,2013-03-22,15771,2.319,1
S201300326,2013,2013-04-15,5309,0.781,1
S201300327,2013,2013-03-18,13292,1.955,1
S201300328,2013,2013-02-15,15322,2.253,1
S201300329,2013,2013-02-10,12212,1.796,1
S201300330,2013,2013-04-11,22328,3.284,0
S201300331,2013,2013-04-04,4651,0.684,1
S201300332,2013,2013-02-19,18333,2.696,1
S201300333,2013,2013-03-08,5004,0.736,1
S201300334,2013,2013-03-22,0,0.1,1
S201300335,2013,2013-03-05,4788,0.704,1
S201300336,2013,2013-02-05,16319,2.4,1
S201300337,2013,2013-02-03,7809,1.148,1
S201300338,2013,2013-03-20,9767,1.436,1
S201300339,2013,2013-04-17,0,0.1,1
S201300340,2013,2013-02-19,20892,3.072,0
S201300341,2013,2013-04-15,8518,1.253,1
S201300342,2013,2013-02-08,18111,2.663,1
S201300343,2013,2013-02-19,8573,1.261,1
S201300344,2013,2013-04-18,5251,0.772,1
S201300345,2013,2013-03-13,12435,1.829,1
S201300346,2013,2013-04-22,13228,1.945,1
S201300347,2013,2013-04-06,18514,2.723,1
S201300348,2013,2013-03-08,9098,1.338,1
S201300349,2013,2013-02-12,13056,1.92,1
S201300350,2013,2013-03-02,11534,1.696,1
S201300351,2013,2013-02-12,12739,1.873,1
S201300352,2013,2013-02-27,15,0.1,1
S201300353,2013,2013-03-18,706,0.104,1
S201300354,2013,2013-04-25,4442,0.653,1
S201300355,2013,2013-02-04,15170,2.231,1
S201300356,2013,2013-03-24,13457,1.979,1
S201300357,2013,2013-04-09,6166,0.907,1
S201300358,2013,2013-02-16,8605,1.265,1
S201300359,2013,2013-04-15,4521,0.665,1
S201300360,2013,2013-02-01,0,0.1,1
S201300361,2013,2013-04-26,16582,2.439,1
S201300362,2013,2013-02-02,5476,0.805,1
S201300363,2013,2013-03-21,13584,1.998,1
S201300364,2013,2013-02-18,16195,2.382,1
S201300365,2013,2013-04-15,17361,2.553,1
S201300366,2013,2013-02-13,7721,1.135,1
S201300367,2013,2013-02-07,16948,2.492,1
S201300368,2013,2013-03-02,1080,0.159,1
S201300369,2013,2013-04-10,15680,2.306,1
S201300370,2013,2013-04-01,10409,1.531,1
S201300371,2013,2013-02-22,2905,0.427,1
S201300372,2013,2013-03-07,10224,1.504,1
S201300373,2013,2013-02-20,19173,2.82,1
S201300374,2013,2013-04-13,12342,1.815,1
S201300375,2013,2013-02-01,9824,1.445,1
S201300376,2013,2013-02-03,1177,0.173,1
S201300377,2013,2013-04-12,16698,2.456,1
S201300378,2013,2013-04-15,6404,0.942,1
S201300379,2013,2013-02-26,13147,1.933,1
S201300380,2013,2013-04-02,30,0.1,1
S201300381,2013,2013-04-02,5459,0.803,1
S201300382,2013,2013-04-27,4976,0.732,1
S201300383,2013,2013-04-14,0,0.1,1
S201300384,2013,2013-02-11,7839,1.153,1
S201300385,2013,2013-03-24,24794,3.646,0
S201300386,2013,2013-02-20,20539,3.02,0
S201300387,2013,2013-02-14,818,0.12,1
S201300388,2013,2013-02-02,8393,1.234,1
S201300389,2013,2013-02-04,3975,0.585,1
S201300390,2013,2013-03-12,10716,1.576,1
S201300391,2013,2013-03-11,11437,1.682,1
S201300392,2013,2013-03-20,14036,2.064,1
S201300393,2013,2013-04-10,15742,2.315,1
S201300394,2013,2013-03-17,5007,0.736,1
S201300395,2013,2013-03-06,5970,0.878,1
S201300396,2013,2013-03-18,12717,1.87,1
S201300397,2013,2013-03-11,12832,1.887,1
S201300398,2013,2013-02-03,15356,2.258,1
S201300399,2013,2013-02-17,29910,4.399,0
S201300400,2013,2013-04-12,6148,0.904,1
S201300401,2013,2013-04-26,11344,1.668,1
S201300402,2013,2013-04-03,11359,1.67,1
S201300403,2013,2013-02-10,12486,1.836,1
S201300404,2013,2013-04-22,20576,3.026,0
S201300405,2013,2013-03-11,0,0.1,1
S201300406,2013,2013-04-19,12843,1.889,1
S201300407,2013,2013-04-15,15921,2.341,1
S201300408,2013,2013-03-19,21699,3.191,0
S201300409,2013,2013-03-07,22,0.1,1
S201300410,2013,2013-02-14,21231,3.122,0
S201300411,2013,2013-03-04,8045,1.183,1
S201300412,2013,2013-02-08,29495,4.338,0
S201300413,2013,2013-04-16,13467,1.98,1
S201300414,2013,2013-02-26,18295,2.69,1
S201300415,2013,2013-04-19,11798,1.735,1
S201300416,2013,2013-04-22,0,0.1,1
S201300417,2013,2013-02-08,12489,1.837,1
S201300418,2013,2013-04-04,11506,1.692,1
S201300419,2013,2013-02-16,0,0.1,1
S201300420,2013,2013-02-20,14717,2.164,1
S201300421,2013,2013-02-05,9633,1.417,1
S201300422,2013,2013-04-03,11317,1.664,1
S201300423,2013,2013-04-20,16113,2.37,1
S201300424,2013,2013-02-17,23812,3.502,0
S201300425,2013,2013-02-07,6628,0.975,1
S201300426,2013,2013-02-12,130,0.1,1
S201300427,2013,2013-04-26,12428,1.828,1
S201300428,2013,2013-04-15,2061,0.303,1
S201300429,2013,2013-02-27,7883,1.159,1
S201300430,2013,2013-02-14,8045,1.183,1
S201300431,2013,2013-02-20,4766,0.701,1
S201300432,2013,2013-03-16,25541,3.756,0
S201300433,2013,2013-03-11,5393,0.793,1
S201300434,2013,2013-03-05,26459,3.891,0
S201300435,2013,2013-03-07,1917,0.282,1
S201300436,2013,2013-03-26,14235,2.093,1
S201300437,2013,2013-03-14,0,0.1,1
S201300438,2013,2013-04-02,20313,2.987,1
S201300439,2013,2013-02-16,7147,1.051,1
S201300440,2013,2013-04-19,9793,1.44,1
S201300441,2013,2013-03-16,11921,1.753,1
S201300442,2013,2013-04-22,14133,2.078,1
S201300443,2013,2013-02-12,18526,2.724,1
S201300444,2013,2013-02-07,8597,1.264,1
S201300445,2013,2013-03-04,10292,1.514,1
S201300446,2013,2013-03-16,13386,1.969,1
S201300447,2013,2013-02-07,0,0.1,1
S201300448,2013,2013-03-07,14566,2.142,1
S201300449,2013,2013-04-07,10903,1.603,1
S201300450,2013,2013-03-11,17745,2.61,1
S201300451,2013,2013-02-17,20472,3.011,0
S201300452,2013,2013-03-24,4100,0.603,1
S201300453,2013,2013-03-19,4213,0.62,1
S201300454,2013,2013-02-14,16863,2.48,1
S201300455,2013,2013-04-09,0,0.1,1
S201300456,2013,2013-04-07,6252,0.919,1
S201300457,2013,2013-04-15,11732,1.725,1
S201300458,2013,2013-03-09,21990,3.234,0
S201300459,2013,2013-03-02,8660,1.274,1
S201300460,2013,2013-03-12,1915,0.282,1
S201300461,2013,2013-03-04,18567,2.73,1
S201300462,2013,2013-04-08,1042,0.153,1
S201300463,2013,2013-04-02,11780,1.732,1
S201300464,2013,2013-02-22,11983,1.762,1
S201300465,2013,2013-04-07,7936,1.167,1
S201300466,2013,2013-03-14,0,0.1,1
S201300467,2013,2013-02-24,10498,1.544,1
S201300468,2013,2013-04-20,11196,1.646,1
S201300469,2013,2013-03-11,15751,2.316,1
S201300470,2013,2013-04-23,0,0.1,1
S201300471,2013,2013-02-08,5338,0.785,1
S201300472,2013,2013-02-22,10288,1.513,1
S201300473,2013,2013-03-04,10726,1.577,1
S201300474,2013,2013-04-10,6464,0.951,1
S201300475,2013,2013-04-18,1556,0.229,1
S201300476,2013,2013-04-27,9382,1.38,1
S201300477,2013,2013-04-14,13240,1.947,1
S201300478,2013,2013-04-15,12690,1.866,1
S201300479,2013,2013-03-01,0,0.1,1
S201300480,2013,2013-04-20,4643,0.683,1
S201300481,2013,2013-03-05,9973,1.467,1
S201300482,2013,2013-02-27,16988,2.498,1
S201300483,2013,2013-03-10,23468,3.451,0
S201300484,2013,2013-02-25,8794,1.293,1
S201300485,2013,2013-04-25,822,0.121,1
S201300486,2013,2013-03-17,13523,1.989,1
S201300487,2013,2013-02-25,2706,0.398,1
S201300488,2013,2013-03-13,14280,2.1,1
S201300489,2013,2013-02-25,9020,1.326,1
S201300490,2013,2013-02-04,12650,1.86,1
S201300491,2013,2013-02-20,11940,1.756,1
S201300492,2013,2013-02-25,15618,2.297,1
S201300493,2013,2013-04-11,21789,3.204,0
S201300494,2013,2013-02-24,2804,0.412,1
S201300495,2013,2013-02-18,7480,1.1,1
S201300496,2013,2013-03-05,11066,1.627,1
S201300497,2013,2013-03-27,11601,1.706,1
S201300498,2013,2013-03-21,9371,1.378,1
S201300499,2013,2013-02-05,14195,2.088,1
S201300500,2013,2013-02-13,23199,3.412,0
S201300501,2013,2013-04-14,672,0.1,1
S201300502,2013,2013-03-12,9852,1.449,1
S201300503,2013,2013-04-12,7907,1.163,1
S201300504,2013,2013-03-05,11656,1.714,1
S201300505,2013,2013-04-18,0,0.1,1
S201300506,2013,2013-04-22,2912,0.428,1
S201300507,2013,2013-03-23,2348,0.345,1
S201300508,2013,2013-04-11,5233,0.77,1
S201300509,2013,2013-04-21,5591,0.822,1
S201300510,2013,2013-03-19,13034,1.917,1
S201300511,2013,2013-03-13,15027,2.21,1
S201300512,2013,2013-04-19,11531,1.696,1
S201300513,2013,2013-02-21,7426,1.092,1
S201300514,2013,2013-04-18,13835,2.035,1
S201300515,2013,2013-02-08,21021,3.091,0
S201300516,2013,2013-04-07,5557,0.817,1
S201300517,2013,2013-03-10,9962,1.465,1
S201300518,2013,2013-02-07,23684,3.483,0
S201300519,2013,2013-02-26,27985,4.115,0
S201300520,2013,2013-03-17,10859,1.597,1
S201300521,2013,2013-02-08,2058,0.303,1
S201300522,2013,2013-04-27,11881,1.747,1
S201300523,2013,2013-04-14,11827,1.739,1
S201300524,2013,2013-04-24,17120,2.518,1
S201300525,2013,2013-02-02,1747,0.257,1
S201300526,2013,2013-03-20,9498,1.397,1
S201300527,2013,2013-04-08,20647,3.036,0
S201300528,2013,2013-04-04,11620,1.709,1
S201300529,2013,2013-02-21,13803,2.03,1
S201300530,2013,2013-04-18,10874,1.599,1
S201300531,2013,2013-03-25,9932,1.461,1
S201300532,2013,2013-02-03,16199,2.382,1
S201300533,2013,2013-02-14,12955,1.905,1
S201300534,2013,2013-02-14,10831,1.593,1
S201300535,2013,2013-02-13,16015,2.355,1
S201300536,2013,2013-02-26,11959,1.759,1
S201300537,2013,2013-02-19,15033,2.211,1
S201300538,2013,2013-04-13,10287,1.513,1
S201300539,2013,2013-03-02,8856,1.302,1
S201300540,2013,2013-02-12,12430,1.828,1
S201300541,2013,2013-03-13,8692,1.278,1
S201300542,2013,2013-03-12,18911,2.781,1
S201300543,2013,2013-03-15,11576,1.702,1
S201300544,2013,2013-04-19,18378,2.703,1
S201300545,2013,2013-02-22,0,0.1,1
S201300546,2013,2013-02-02,6293,0.925,1
S201300547,2013,2013-03-02,11281,1.659,1
S201300548,2013,2013-02-14,13148,1.934,1
S201300549,2013,2013-03-13,7971,1.172,1
S201300550,2013,2013-04-12,19241,2.83,1
S201300551,2013,2013-04-20,1092,0.161,1
S201300552,2013,2013-02-18,9530,1.401,1
S201300553,2013,2013-03-25,10720,1.576,1
S201300554,2013,2013-02-14,11850,1.743,1
S201300555,2013,2013-04-27,10288,1.513,1
S201300556,2013,2013-03-15,618,0.1,1
S201300557,2013,2013-02-17,7164,1.054,1
S201300558,2013,2013-03-03,12968,1.907,1
S201300559,2013,2013-03-19,6043,0.889,1
S201300560,2013,2013-04-17,10285,1.512,1
S201300561,2013,2013-04-02,7735,1.138,1
S201300562,2013,2013-03-21,10115,1.488,1
S201300563,2013,2013-03-14,5725,0.842,1
S201300564,2013,2013-04-06,8319,1.223,1
S201300565,2013,2013-03-27,773,0.114,1
S201300566,2013,2013-02-25,16922,2.489,1
S201300567,2013,2013-02-15,17795,2.617,1
S201300568,2013,2013-03-13,14706,2.163,1
S201300569,2013,2013-03-12,3865,0.568,1
S201300570,2013,2013-02-18,0,0.1,1
S201300571,2013,2013-03-11,16969,2.495,1
S201300572,2013,2013-04-22,2211,0.325,1
S201300573,2013,2013-03-27,19016,2.796,1
S201300574,2013,2013-03-16,10757,1.582,1
S201300575,2013,2013-04-19,15522,2.283,1
S201300576,2013,2013-04-14,16692,2.455,1
S201300577,2013,2013-04-21,13169,1.937,1
S201300578,2013,2013-02-06,14977,2.202,1
S201300579,2013,2013-03-19,8850,1.301,1
S201300580,2013,2013-04-20,3251,0.478,1
S201300581,2013,2013-03-27,14236,2.094,1
S201300582,2013,2013-03-17,21822,3.209,0
S201300583,2013,2013-03-27,5928,0.872,1
