rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
31,8170062,5000,0.1276,0.03221,7.0336,0.5249,0.17315,0.04232,11.519,17.293,0.4723,triangular,p20,1
32,6615053,5000,0.13369,0.03378,7.0595,0.5333,0.19072,0.04437,12.713,18.615,0.4458,triangular,p20,1
33,8795480,5001,0.18833,0.03043,6.7393,0.6406,0.1895,0.04149,11.625,17.066,0.4619,triangular,p20,1
34,5920879,5001,0.15949,0.03356,7.1852,0.5161,0.20173,0.04542,12.93,17.411,0.4255,triangular,p20,1
35,4796731,5000,0.18231,0.04078,7.7912,0.5042,0.23354,0.0381,12.089,17.264,0.4676,triangular,p20,1
36,4441806,4998,0.08688,0.04067,7.2059,0.5728,0.13779,0.04214,13.401,18.378,0.4561,triangular,p20,1
37,115007,4999,0.18349,0.03146,6.7912,0.555,0.17852,0.04537,12.753,19.035,0.462,triangular,p20,1
38,882525,5001,0.20199,0.03796,6.7283,0.5387,0.19134,0.04106,13.929,18.82,0.4371,triangular,p20,1
39,5809312,4999,0.16277,0.04055,7.3857,0.5745,0.11992,0.04493,12.14,16.471,0.4702,triangular,p20,1
40,7999496,5000,0.18212,0.03831,6.683,0.522,0.16199,0.04453,12.098,19.444,0.4611,triangular,p20,1
41,7539313,5000,0.23894,0.04075,7.9601,0.5238,0.1988,0.04156,11.637,19.164,0.4551,triangular,p20,1
42,436566,4999,0.11676,0.03197,6.5146,0.5619,0.15641,0.04196,12.245,17.273,0.4714,triangular,p20,1
43,7340148,4998,0.1353,0.03505,7.0408,0.5829,0.15538,0.03844,13.653,16.287,0.4201,triangular,p20,1
44,544664,4998,0.15682,0.03219,7.0503,0.5278,0.22132,0.04339,12.12,18.38,0.4216,triangular,p20,1
45,2934504,4999,0.16667,0.0341,6.4469,0.5376,0.14363,0.038,13.457,19.369,0.4243,triangular,p20,1
46,5381932,5001,0.20512,0.03453,7.5899,0.5419,0.13899,0.03846,14.376,17.452,0.4496,triangular,p20,1
47,1913659,5000,0.1775,0.03881,6.8573,0.6073,0.1162,0.03996,13.241,18.187,0.4186,triangular,p20,1
48,4803166,5000,0.14384,0.03272,7.6984,0.5472,0.14135,0.0417,14.267,17.429,0.4495,triangular,p20,1
49,1493538,5000,0.14254,0.0317,6.5768,0.5683,0.20495,0.04227,14.07,16.149,0.4658,triangular,p20,1
50,1795111,5000,0.25021,0.03138,6.4738,0.5839,0.16413,0.03961,12.174,18.943,0.3998,triangular,p20,0
51,446564,4998,0.10003,0.03133,6.2065,0.5528,0.12725,0.0399,12.239,16.572,0.4425,triangular,p20,1
52,929777,5000,0.16147,0.03478,7.6674,0.6077,0.18247,0.04588,13.434,19.252,0.458,triangular,p20,1
53,8104223,5000,0.14848,0.0312,7.1955,0.5563,0.14167,0.04291,14.017,16.762,0.474,triangular,p20,1
54,7331415,5000,0.17225,0.03612,7.4175,0.6487,0.18181,0.04259,13.406,16.429,0.4649,triangular,p20,1
55,8809979,5000,0.14113,0.03125,7.0096,0.615,0.13,0.03992,11.645,18.094,0.3999,triangular,p20,1
56,8559180,5000,0.18639,0.03432,8.1136,0.5157,0.12959,0.03962,13.663,19.233,0.453,triangular,p20,1
57,8177912,5000,0.09548,0.0358,6.6214,0.5997,0.17639,0.03924,12.556,16.939,0.4842,triangular,p20,1
58,7340386,4998,0.13996,0.03858,7.008,0.5203,0.15341,0.03844,13.943,17.732,0.4564,triangular,p20,1
59,8977178,5000,0.18488,0.03901,7.8637,0.5405,0.08599,0.04468,11.546,17.354,0.4638,triangular,p20,1
60,3321346,4999,0.18086,0.03821,7.3817,0.534,0.09824,0.04355,12.18,16.444,0.4363,triangular,p20,1
61,8165287,5000,0.16905,0.03698,7.1662,0.5766,0.20478,0.04525,12.397,18.546,0.4675,triangular,p20,1
62,1292130,5000,0.14485,0.03777,7.3055,0.6373,0.17223,0.04368,11.542,18.167,0.4708,triangular,p20,1
63,1736883,4998,0.19061,0.04077,7.6172,0.6297,0.19326,0.0426,14.384,18.389,0.4352,triangular,p20,1
64,8331924,5000,0.08924,0.03505,7.6222,0.5547,0.10836,0.04285,13.049,18.645,0.4369,triangular,p20,0
65,712129,5000,0.16822,0.0334,6.6427,0.5668,0.15074,0.04574,12.295,17.23,0.4355,triangular,p20,1
66,2490241,5001,0.18423,0.03697,7.4074,0.5961,0.16753,0.03839,13.206,17.867,0.4533,triangular,p20,1
67,5033597,5001,0.19643,0.03634,7.7019,0.5945,0.14319,0.03933,11.869,18.171,0.442,triangular,p20,1
68,7698414,5000,0.1949,0.03471,7.1109,0.6089,0.19088,0.04483,11.993,18.76,0.4362,triangular,p20,1
69,2583795,5000,0.2466,0.03812,7.2661,0.5235,0.19808,0.04054,11.817,19.43,0.4726,triangular,p20,0
70,4849975,5000,0.09533,0.03361,6.8147,0.5463,0.19588,0.04044,13.119,18.796,0.4135,triangular,p20,1
71,6637289,4999,0.17579,0.03021,7.9486,0.6052,0.12036,0.0447,11.854,16.632,0.441,triangular,p20,1
72,6568503,5000,0.21899,0.03274,7.7267,0.5994,0.16575,0.03888,13.589,16.488,0.4592,triangular,p20,1
73,4939882,5000,0.21273,0.03378,6.9207,0.5388,0.21667,0.04048,14.389,16.319,0.4093,triangular,p20,1
74,6201122,5000,0.1362,0.03901,5.7199,0.6277,0.19445,0.04587,13.946,16.885,0.4507,triangular,p20,1
75,7612843,5000,0.1333,0.03216,6.9942,0.6455,0.17378,0.0397,12.141,17.805,0.4097,triangular,p20,1
76,1460427,5000,0.17572,0.03349,5.9145,0.6035,0.14809,0.04221,14.091,16.082,0.4213,triangular,p20,1
77,8882873,4999,0.15664,0.03271,7.1905,0.5492,0.21918,0.03843,11.714,17.3,0.4438,triangular,p20,1
78,409577,5000,0.15979,0.03371,6.9657,0.5398,0.1455,0.04042,13.146,19.197,0.4445,triangular,p20,1
79,5655185,5000,0.08686,0.03597,7.6515,0.6247,0.15315,0.04321,12.606,19.32,0.4784,triangular,p20,0
80,1136243,4999,0.12771,0.03367,6.4987,0.5695,0.22243,0.04047,13.073,18.148,0.4256,triangular,p20,1
81,8345290,4999,0.16437,0.04006,6.853,0.501,0.16661,0.04028,14.277,18.34,0.4984,triangular,p20,1
82,8711305,5000,0.14794,0.03047,7.2706,0.528,0.14536,0.04271,14.373,17.734,0.4512,triangular,p20,1
83,1890525,5000,0.1492,0.03589,7.008,0.558,0.17551,0.03875,12.328,16.178,0.402,triangular,p20,1
84,2196885,5001,0.17147,0.0309,6.4354,0.5492,0.13793,0.04261,12.846,16.954,0.5126,triangular,p20,1
85,3842499,5000,0.18231,0.03647,6.8478,0.5227,0.14941,0.0387,12.756,19.004,0.4125,triangular,p20,1
86,6949740,5000,0.13061,0.03528,6.6341,0.6084,0.15726,0.04196,14.131,16.495,0.4664,triangular,p20,1
87,4829202,4998,0.1802,0.0364,7.2965,0.5985,0.19756,0.04157,11.896,19.016,0.4695,triangular,p20,1
88,2385445,5000,0.16813,0.03251,6.2195,0.5619,0.1612,0.04482,11.71,19.113,0.4392,triangular,p20,1
89,635454,5001,0.1244,0.03935,6.4755,0.6487,0.18437,0.04219,12.024,18.55,0.4651,triangular,p20,1
90,2555305,5000,0.21708,0.03926,6.5789,0.5851,0.12574,0.03963,14.216,17.673,0.4372,triangular,p20,1
91,7061273,4998,0.11776,0.03869,7.0524,0.6118,0.1621,0.03952,11.806,16.899,0.4601,triangular,p20,1
92,7890860,5000,0.13137,0.03155,7.629,0.5783,0.14581,0.03957,13.306,18.335,0.4209,triangular,p20,1
93,2635063,4998,0.17983,0.03563,7.3931,0.5879,0.20188,0.04586,13.231,17.392,0.4359,triangular,p20,1
94,4722640,5000,0.23772,0.03484,6.8514,0.6284,0.18518,0.0448,13.664,16.241,0.4252,triangular,p20,0
95,8881308,4999,0.15713,0.03952,6.1707,0.56,0.21153,0.04108,12.912,17.379,0.472,triangular,p20,1
96,2816682,5000,0.11906,0.03578,5.994,0.6076,0.15939,0.03875,13.738,18.705,0.4634,triangular,p20,1
97,2181735,4998,0.15722,0.03886,6.7,0.5557,0.18101,0.04208,13.542,17.989,0.4496,triangular,p20,1
98,8160679,4998,0.14017,0.03931,6.373,0.5077,0.12274,0.04545,12.221,17.121,0.4409,triangular,p20,1
99,6548829,5000,0.21503,0.03712,6.8406,0.604,0.2044,0.03885,12.51,18.575,0.4144,triangular,p20,1
100,2295382,5000,0.1579,0.03104,6.0548,0.5956,0.13307,0.04455,11.792,16.489,0.4204,triangular,p20,1
101,1775167,4999,0.17809,0.03741,7.3844,0.5693,0.12777,0.0433,13.43,16.038,0.4517,triangular,p20,1
102,1778903,4998,0.11189,0.04053,7.444,0.5238,0.16476,0.04189,12.234,18.587,0.4452,triangular,p20,1
103,8047211,5000,0.15856,0.04006,7.5898,0.5714,0.15829,0.04524,14.024,16.506,0.4311,triangular,p20,1
104,483329,5000,0.18848,0.03923,6.8299,0.6241,0.17299,0.04314,12.389,18.416,0.4433,triangular,p20,1
105,333636,5001,0.2125,0.03979,7.6577,0.5429,0.21404,0.04006,13.189,18.252,0.4607,triangular,p20,1
106,4384483,5000,0.1216,0.04077,7.5998,0.5014,0.15039,0.04057,12.532,16.175,0.4478,triangular,p20,1
107,3590307,5000,0.20108,0.04058,7.9837,0.5965,0.14498,0.04273,13.528,16.259,0.4431,triangular,p20,1
108,2333123,5000,0.17626,0.03413,6.5224,0.5715,0.15475,0.04059,13.234,18.765,0.4842,triangular,p20,1
109,670771,5000,0.16239,0.03434,6.7194,0.6382,0.1501,0.0438,11.663,18.491,0.445,triangular,p20,1
110,2099127,4999,0.16534,0.03306,6.3439,0.6193,0.19219,0.04489,12.083,16.208,0.473,triangular,p20,1
111,6431850,5000,0.11294,0.03707,7.2579,0.5109,0.14079,0.04094,13.813,17.673,0.4513,triangular,p20,1
112,7313116,4999,0.15295,0.03362,6.8087,0.5474,0.13476,0.04468,14.038,17.643,0.4994,triangular,p20,1
113,7889123,4999,0.13008,0.04085,7.1738,0.5141,0.14472,0.03925,13.711,16.892,0.4066,triangular,p20,1
114,2643631,5000,0.15045,0.04087,7.7198,0.6265,0.16136,0.04029,12.007,19.348,0.4784,triangular,p20,1
115,4597449,4999,0.12635,0.03215,7.1083,0.5627,0.22553,0.04333,11.555,16.049,0.4564,triangular,p20,1
116,8458574,5000,0.17101,0.03644,7.2285,0.577,0.14624,0.04012,11.843,17.097,0.4669,triangular,p20,1
117,8928588,4999,0.19772,0.03939,7.3446,0.6219,0.12074,0.04097,12.546,19.225,0.4453,triangular,p20,1
118,7603196,5000,0.17139,0.03204,6.7658,0.5387,0.18456,0.04138,13.482,16.362,0.4935,triangular,p20,1
119,7592414,5000,0.08896,0.03013,7.7674,0.5726,0.22003,0.04448,11.683,19.016,0.4406,triangular,p20,0
120,6882238,5000,0.08994,0.03183,6.5241,0.6338,0.16802,0.03985,13.328,17.972,0.4595,triangular,p20,0
121,5742591,4999,0.10152,0.03203,6.9825,0.646,0.17695,0.04529,12.565,16.525,0.431,triangular,p20,1
122,5086712,5000,0.16952,0.03327,7.1342,0.5187,0.11154,0.0439,12.905,19.212,0.4839,triangular,p20,1
123,7345559,4998,0.13416,0.0395,6.6873,0.6334,0.14198,0.04294,13.737,18.021,0.4667,triangular,p20,1
124,7914273,4998,0.24086,0.04016,7.313,0.5807,0.15686,0.03846,14.001,17.142,0.4601,triangular,p20,0
125,8390307,5000,0.11647,0.03381,6.9981,0.5126,0.16622,0.04133,13.49,18.083,0.459,triangular,p20,1
126,6807275,5000,0.20422,0.04048,6.2676,0.6128,0.20376,0.04297,12.626,17.521,0.4682,triangular,p20,1
127,8518671,5000,0.24427,0.03278,6.5572,0.5931,0.13245,0.04508,12.514,17.939,0.4803,triangular,p20,0
128,4943318,5000,0.22752,0.04041,6.9763,0.6484,0.1965,0.03909,12.817,18.086,0.4126,triangular,p20,1
129,2779431,5000,0.16105,0.0318,6.7763,0.5571,0.23708,0.04352,12.853,16.343,0.4534,triangular,p20,1
130,2586308,4998,0.14717,0.03867,7.0948,0.5721,0.14417,0.04202,14.038,18.21,0.4279,triangular,p20,1
131,6266812,5000,0.09259,0.03342,6.5294,0.6476,0.15962,0.04259,12.751,18.019,0.4748,triangular,p20,0
132,7662701,5000,0.17324,0.03752,6.9838,0.6259,0.15094,0.0428,12.282,16.026,0.4304,triangular,p20,1
133,8832334,5000,0.20544,0.03834,7.2478,0.6212,0.18745,0.04243,11.98,19.386,0.3996,triangular,p20,1
134,2619003,5001,0.23732,0.03427,6.6589,0.5976,0.16996,0.0456,13.907,19.104,0.4662,triangular,p20,0
135,1645782,5000,0.18778,0.03982,7.0662,0.5183,0.11036,0.03812,14.024,16.612,0.4385,triangular,p20,1
136,24762,4998,0.10633,0.03398,6.9497,0.5934,0.11791,0.04556,11.674,16.611,0.4721,triangular,p20,1
137,6421117,5000,0.13818,0.03557,7.6653,0.5829,0.10094,0.03877,11.848,16.232,0.4444,triangular,p20,1
138,7736361,4998,0.15619,0.03576,7.4533,0.6031,0.1591,0.0412,13.839,16.287,0.4762,triangular,p20,1
139,3254338,5001,0.17517,0.03341,7.5241,0.5172,0.16518,0.04143,13.458,18.061,0.4209,triangular,p20,1
140,4686972,4999,0.12304,0.03533,7.7234,0.6038,0.17682,0.03974,12.448,17.258,0.4582,triangular,p20,1
141,866608,5001,0.20105,0.03958,6.8417,0.6369,0.15099,0.04058,12.787,19.344,0.4585,triangular,p20,1
142,7415401,5000,0.25251,0.03648,6.4925,0.5673,0.11687,0.04314,12.301,16.935,0.445,triangular,p20,0
143,8331621,5001,0.22543,0.0399,7.7352,0.5038,0.19011,0.04172,13.294,16.255,0.457,triangular,p20,1
144,5860118,5000,0.1984,0.03055,7.3849,0.5679,0.14767,0.04451,12.818,18.446,0.4407,triangular,p20,1
145,1717125,5000,0.20546,0.03286,7.4983,0.573,0.15211,0.04479,14.104,17.472,0.462,triangular,p20,1
146,2074544,5001,0.19431,0.03286,7.7548,0.6312,0.21743,0.04231,11.689,17.532,0.4956,triangular,p20,1
147,8255303,5000,0.13971,0.03633,7.0077,0.5314,0.19042,0.04021,13.651,17.339,0.4365,triangular,p20,1
148,5113054,5001,0.29477,0.04005,7.3952,0.5077,0.20341,0.04247,13.7,18.19,0.4605,triangular,p20,0
149,400893,5000,0.16828,0.03052,7.715,0.5472,0.24401,0.04214,13.343,17.452,0.4458,triangular,p20,1
150,1538469,5001,0.15847,0.0406,6.8363,0.5562,0.14081,0.04506,11.863,18.156,0.4241,triangular,p20,1
151,6665761,5000,0.19962,0.04,7.0832,0.5349,0.15708,0.03888,12.845,17.211,0.4531,triangular,p20,1
152,6490592,4998,0.21434,0.03458,6.0117,0.5393,0.1333,0.04101,12.151,18.089,0.4555,triangular,p20,1
153,4889044,5000,0.22955,0.03303,7.2828,0.5326,0.17382,0.03878,12.602,16.221,0.4273,triangular,p20,0
154,8842700,5000,0.1209,0.03764,6.4091,0.6291,0.18282,0.03931,13.091,17.931,0.4644,triangular,p20,1
155,302331,5001,0.13656,0.03856,7.0502,0.5086,0.20556,0.03969,12.733,18.044,0.4688,triangular,p20,1
156,7913020,5001,0.15048,0.03528,6.7846,0.6139,0.08749,0.0447,14.248,16.357,0.4349,triangular,p20,1
157,7094350,4998,0.18614,0.03908,7.1176,0.6022,0.18073,0.04052,11.916,18.712,0.4769,triangular,p20,1
158,2019129,5000,0.17963,0.0312,7.3696,0.6219,0.18905,0.04308,14.429,17.97,0.41,triangular,p20,1
159,5048894,5000,0.27381,0.03427,7.2529,0.5504,0.17937,0.04071,12.068,19.183,0.4723,triangular,p20,0
160,1130535,5001,0.1866,0.03377,7.349,0.5028,0.1404,0.04286,13.199,16.868,0.4105,triangular,p20,1
161,4917507,5001,0.1679,0.04054,8.4535,0.5886,0.12812,0.03948,12.903,18.021,0.4424,triangular,p20,1
162,1793487,5000,0.20408,0.0379,6.738,0.527,0.17964,0.04116,11.781,18.137,0.4419,triangular,p20,1
163,3123730,5000,0.21282,0.03906,7.5987,0.508,0.17197,0.03819,13.475,18.681,0.4128,triangular,p20,1
164,3336952,5000,0.21763,0.03845,6.9364,0.6084,0.19209,0.04365,12.894,19.437,0.4505,triangular,p20,1
165,2557045,4999,0.1502,0.03064,7.0524,0.5282,0.11023,0.04117,12.822,17.142,0.4446,triangular,p20,1
166,7877550,5000,0.12801,0.03,7.5144,0.5183,0.19543,0.04265,11.543,16.084,0.4625,triangular,p20,1
167,8735582,5000,0.17092,0.04095,6.9444,0.5906,0.1491,0.03938,13.951,18.74,0.4363,triangular,p20,1
168,6694905,4999,0.16058,0.03242,7.2934,0.6336,0.09652,0.04442,13.805,17.743,0.4334,triangular,p20,1
169,2602227,5001,0.2034,0.03642,6.4964,0.5271,0.17206,0.04429,12.475,16.65,0.4614,triangular,p20,1
170,8808608,5000,0.12198,0.03397,7.5921,0.5432,0.14125,0.04216,13.733,18.902,0.458,triangular,p20,1
171,6027654,5000,0.13521,0.03866,6.421,0.6327,0.18073,0.04589,11.773,16.872,0.4267,triangular,p20,1
172,3565929,5000,0.19556,0.03856,7.018,0.5971,0.16651,0.04379,13.685,19.365,0.5127,triangular,p20,1
173,5941370,5000,0.15291,0.03679,7.0191,0.6227,0.2365,0.04057,11.752,16.38,0.4869,triangular,p20,1
174,1873864,5000,0.15065,0.03469,6.8733,0.5521,0.14864,0.03823,14.203,19.102,0.4405,triangular,p20,1
175,4973296,4998,0.17811,0.0304,8.2456,0.5708,0.11244,0.04011,14.035,16.726,0.4429,triangular,p20,1
176,1754008,5000,0.20627,0.03506,6.9103,0.5371,0.18569,0.03991,11.93,17.901,0.4535,triangular,p20,1
177,6867981,4999,0.16941,0.03833,6.5565,0.595,0.06975,0.04199,12.258,16.73,0.4519,triangular,p20,1
178,7687588,4999,0.14373,0.03529,7.22,0.6118,0.21298,0.04048,13.952,16.773,0.4205,triangular,p20,1
179,1920103,5001,0.1725,0.03787,7.3581,0.6042,0.2471,0.04284,14.043,19.021,0.443,triangular,p20,1
180,5751165,5001,0.12278,0.03883,6.8468,0.6226,0.20413,0.04366,13.301,16.814,0.4809,triangular,p20,1
181,3425140,4998,0.07296,0.03957,7.134,0.5408,0.18374,0.03925,13.728,17.806,0.4501,triangular,p20,0
182,8029676,4999,0.12499,0.03704,6.6796,0.6045,0.22562,0.04173,14.192,18.121,0.4748,triangular,p20,1
183,6898848,4999,0.15635,0.04033,8.518,0.6353,0.2005,0.04083,12.047,19.399,0.4525,triangular,p20,1
184,5663311,5000,0.19972,0.03004,7.2139,0.6019,0.21975,0.04157,14.446,18.22,0.4761,triangular,p20,1
185,5661218,5001,0.22827,0.03284,6.58,0.593,0.09681,0.04323,12.073,16.782,0.4517,triangular,p20,0
186,8866404,5001,0.21762,0.03556,6.8661,0.5661,0.11691,0.03916,11.682,17.883,0.4949,triangular,p20,1
187,4518264,4998,0.1635,0.03787,7.1185,0.5801,0.12265,0.04213,13.944,18.059,0.4351,triangular,p20,1
188,4957790,5000,0.1533,0.03159,7.269,0.6088,0.12347,0.04055,12.831,19.082,0.4521,triangular,p20,1
189,8336213,5000,0.13909,0.03644,6.8905,0.5026,0.15169,0.04527,13.207,17.06,0.4523,triangular,p20,1
190,885400,4998,0.12688,0.03953,6.1041,0.6038,0.1443,0.04401,11.985,19.067,0.4315,triangular,p20,1
191,723188,5001,0.2085,0.03421,6.8922,0.511,0.18543,0.04359,14.247,18.93,0.4901,triangular,p20,1
192,3032247,5000,0.1267,0.03474,7.233,0.5283,0.1721,0.04163,11.683,18.289,0.4536,triangular,p20,1
193,953802,5000,0.14352,0.03711,7.9149,0.5216,0.22605,0.0455,12.749,16.732,0.4818,triangular,p20,1
194,3769550,5000,0.17001,0.03125,6.8621,0.5653,0.20491,0.04477,12.857,16.573,0.4734,triangular,p20,1
195,7384554,5000,0.21272,0.03525,7.7355,0.519,0.16937,0.04166,11.651,16.232,0.4354,triangular,p20,1
196,2067561,5000,0.14612,0.0379,6.4672,0.6084,0.14688,0.04005,11.59,19.258,0.4982,triangular,p20,1
197,708374,5000,0.18408,0.03866,7.1995,0.5079,0.14472,0.04177,11.527,18.326,0.4661,triangular,p20,1
198,736303,5000,0.12371,0.03395,7.5199,0.6413,0.21084,0.03814,14.352,16.791,0.4192,triangular,p20,1
199,3885362,5000,0.0695,0.03497,7.2033,0.5772,0.17234,0.04524,12.76,17.769,0.4761,triangular,p20,0
200,6023246,5000,0.16318,0.03162,7.2849,0.6248,0.2222,0.04432,12.198,16.651,0.4502,triangular,p20,1
