run_id,model_version,scored_at,n_features_used,feature_drift_psi,auroc_holdout,calibration_brier,decision_threshold,flagged_count,override_count
RSC-2022-00025,v2.3.0,2022-02-07 14:44:31,49,0.0173,0.7934,0.1509,0.4969,1434,138
RSC-2022-00026,v2.2.1,2022-11-19 15:05:23,38,0.0144,0.8061,0.1258,0.4857,1385,84
RSC-2022-00027,v2.2.1,2022-10-16 01:35:49,38,0.0239,0.8224,0.1518,0.4931,1059,57
RSC-2022-00028,v2.1.4,2022-03-24 20:22:14,34,0.0588,0.8318,0.1336,0.5168,1332,25
RSC-2022-00029,v2.2.1,2022-08-06 23:40:03,40,0.0709,0.8017,0.1374,0.5201,1552,28
RSC-2022-00030,v2.3.0,2022-07-19 15:09:21,48,0.0241,0.8219,0.1458,0.534,821,139
RSC-2022-00031,v2.3.0,2022-01-14 06:18:12,53,0.022,0.7902,0.1592,0.5283,892,43
RSC-2022-00032,v2.1.3,2022-03-17 11:05:02,53,0.0392,0.8008,0.1341,0.5241,1155,32
RSC-2022-00033,v2.2.0,2022-09-14 01:49:35,42,0.051,0.8071,0.157,0.5077,1226,63
RSC-2022-00034,v2.1.3,2022-06-18 20:25:05,54,0.0672,0.7729,0.1324,0.5172,1368,90
RSC-2022-00035,v2.2.1,2022-07-25 22:42:29,40,0.0334,0.8122,0.1584,0.5327,1176,136
RSC-2022-00036,v2.2.1,2022-08-23 13:09:43,34,0.0406,0.8436,0.1454,0.5168,1467,34
RSC-2022-00037,v2.1.3,2022-06-09 04:13:20,37,0.0653,0.8254,0.1261,0.4933,1526,134
RSC-2022-00038,v2.3.0,2022-09-28 18:40:57,42,0.0552,0.8074,0.1474,0.5217,1370,29
RSC-2022-00039,v2.2.0,2022-10-07 22:12:24,53,0.0203,0.8061,0.1463,0.5515,1051,130
RSC-2022-00040,v2.1.3,2022-03-02 08:03:27,57,0.0989,0.8166,0.1162,0.5375,1084,104
RSC-2022-00041,v2.1.3,2022-03-14 05:27:22,34,0.0084,0.8286,0.1504,0.5258,1013,63
RSC-2022-00042,v2.2.0,2022-10-06 16:26:36,50,0.0381,0.802,0.1634,0.5357,1086,79
RSC-2022-00043,v2.1.4,2022-05-17 06:13:24,35,0.0305,0.7914,0.1304,0.5012,1446,79
RSC-2022-00044,v2.3.0,2022-01-17 19:12:33,37,0.0191,0.8131,0.1302,0.4615,1149,59
RSC-2022-00045,v2.3.0,2022-05-30 03:19:23,49,0.0272,0.797,0.1401,0.5222,839,37
RSC-2022-00046,v2.3.0,2022-01-06 05:51:41,39,0.0166,0.8223,0.1525,0.5014,1552,77
RSC-2022-00047,v2.2.1,2022-07-12 06:02:23,34,0.0399,0.8108,0.128,0.5365,1573,91
RSC-2022-00048,v2.3.0,2022-01-01 07:10:15,52,0.0314,0.7839,0.1305,0.5174,1540,113
RSC-2022-00049,v2.2.1,2022-05-11 19:51:06,43,0.0433,0.8129,0.1565,0.5022,1244,138
RSC-2022-00050,v2.2.1,2022-09-18 15:35:21,42,0.0144,0.8265,0.1421,0.5287,1002,121
RSC-2022-00051,v2.1.3,2022-09-10 22:56:45,55,0.0654,0.807,0.1471,0.5107,1142,63
RSC-2022-00052,v2.3.0,2022-06-10 22:51:37,42,0.0523,0.8226,0.143,0.5075,1538,62
RSC-2022-00053,v2.2.1,2022-04-26 01:57:52,40,0.0313,0.8078,0.1409,0.5032,1373,60
RSC-2022-00054,v2.3.0,2022-05-26 17:30:20,54,0.0368,0.8279,0.1537,0.5337,877,99
RSC-2022-00055,v2.2.0,2022-07-04 00:19:31,37,0.0869,0.8189,0.1541,0.518,1358,111
RSC-2022-00056,v2.2.0,2022-04-22 11:31:33,50,0.0455,0.8265,0.1519,0.5034,1031,104
RSC-2022-00057,v2.3.0,2022-09-28 14:48:37,37,0.0093,0.8018,0.1256,0.5229,1236,20
RSC-2022-00058,v2.2.1,2022-12-30 18:21:53,49,0.0144,0.8259,0.1355,0.5414,1306,124
RSC-2022-00059,v2.2.0,2022-11-11 07:32:54,49,0.0232,0.8494,0.1425,0.4902,1097,74
RSC-2022-00060,v2.1.3,2022-03-04 12:29:56,45,0.0302,0.8169,0.1238,0.4921,1046,63
RSC-2022-00061,v2.1.4,2022-04-26 11:37:29,48,0.0285,0.8095,0.1263,0.4911,836,109
RSC-2022-00062,v2.2.0,2022-02-11 09:51:47,42,0.0249,0.7966,0.1319,0.5092,940,40
RSC-2022-00063,v2.1.3,2022-05-25 13:25:42,36,0.039,0.7966,0.1415,0.5053,1538,35
RSC-2022-00064,v2.2.1,2022-02-25 10:07:21,47,0.0634,0.8132,0.1429,0.5245,1314,95
RSC-2022-00065,v2.2.0,2022-02-03 10:48:32,47,0.0344,0.8076,0.137,0.5214,1053,133
RSC-2022-00066,v2.3.0,2022-10-21 05:07:42,44,0.0149,0.8269,0.1512,0.4675,931,90
RSC-2022-00067,v2.1.4,2022-03-22 10:27:40,40,0.0502,0.816,0.1398,0.5045,1165,115
RSC-2022-00068,v2.2.1,2022-03-29 21:37:07,36,0.0299,0.827,0.1321,0.5292,1246,73
RSC-2022-00069,v2.1.3,2022-01-05 20:32:48,52,0.0005,0.8231,0.144,0.5154,1187,51
RSC-2022-00070,v2.1.4,2022-11-28 21:23:07,48,0.0614,0.8007,0.1506,0.5284,1187,62
RSC-2022-00071,v2.3.0,2022-08-10 08:03:43,37,0.0231,0.8449,0.152,0.4957,835,116
RSC-2022-00072,v2.1.4,2022-09-30 20:58:49,38,0.0171,0.8218,0.1326,0.5164,1106,107
RSC-2022-00073,v2.1.3,2022-11-27 23:26:40,35,0.0516,0.7984,0.1447,0.5285,1288,53
RSC-2022-00074,v2.2.1,2022-05-30 07:42:45,35,0.11,0.7938,0.1341,0.5121,1257,30
RSC-2022-00075,v2.1.4,2022-05-08 19:27:20,45,0.0463,0.8089,0.1448,0.4828,806,32
RSC-2022-00076,v2.2.1,2022-11-09 03:15:04,48,0.0199,0.8067,0.1417,0.506,1295,60
RSC-2022-00077,v2.2.1,2022-03-09 17:35:33,49,0.0679,0.8091,0.1261,0.5102,1565,107
RSC-2022-00078,v2.2.1,2022-07-27 00:25:27,53,0.0423,0.8112,0.1412,0.4955,1009,80
RSC-2022-00079,v2.1.3,2022-05-02 01:34:55,36,0.0753,0.8204,0.1515,0.465,1115,106
RSC-2022-00080,v2.2.1,2022-02-07 18:53:46,42,0.0475,0.8126,0.1462,0.5418,1519,36
RSC-2022-00081,v2.1.3,2022-03-20 03:51:31,39,0.0305,0.7855,0.1479,0.4997,942,35
RSC-2022-00082,v2.1.3,2022-10-24 08:15:06,39,0.0197,0.821,0.1382,0.5395,1478,35
RSC-2022-00083,v2.3.0,2022-11-10 12:18:19,57,0.0118,0.8099,0.1499,0.5152,917,113
RSC-2022-00084,v2.3.0,2022-05-24 17:33:25,50,0.0361,0.7974,0.1201,0.5186,956,26
RSC-2022-00085,v2.3.0,2022-03-30 18:24:53,41,0.0316,0.8428,0.1845,0.5216,1014,40
RSC-2022-00086,v2.3.0,2022-07-12 14:39:14,46,0.0145,0.8025,0.1456,0.528,989,113
RSC-2022-00087,v2.1.3,2022-05-29 01:50:28,42,0.022,0.8124,0.1422,0.517,1589,71
RSC-2022-00088,v2.2.1,2022-12-31 09:38:07,57,0.052,0.8011,0.1541,0.5219,1513,134
RSC-2022-00089,v2.1.4,2022-05-10 10:13:56,54,0.0123,0.8263,0.1544,0.4993,1355,45
RSC-2022-00090,v2.3.0,2022-11-02 15:39:33,54,0.0171,0.8196,0.1472,0.5196,1042,47
RSC-2022-00091,v2.1.4,2022-04-24 05:44:22,38,0.0429,0.8125,0.1685,0.5331,879,137
RSC-2022-00092,v2.3.0,2022-12-22 15:19:42,49,0.0381,0.8017,0.1479,0.5025,930,132
RSC-2022-00093,v2.2.1,2022-10-16 17:05:23,42,0.0389,0.787,0.1456,0.5336,1486,105
RSC-2022-00094,v2.1.4,2022-12-18 14:50:10,44,0.0045,0.827,0.138,0.5407,1499,122
RSC-2022-00095,v2.1.3,2022-02-03 01:45:53,35,0.0138,0.8728,0.1534,0.5198,877,52
RSC-2022-00096,v2.2.0,2022-06-15 20:04:40,38,0.0064,0.8199,0.1347,0.4936,1002,22
RSC-2022-00097,v2.2.1,2022-11-02 05:53:54,35,0.0298,0.8551,0.1522,0.5221,1053,32
RSC-2022-00098,v2.1.4,2022-09-15 04:31:28,55,0.0126,0.8145,0.1362,0.5058,1224,133
RSC-2022-00099,v2.2.1,2022-05-12 02:49:36,54,0.0778,0.8427,0.1621,0.5437,817,129
RSC-2022-00100,v2.1.3,2022-01-01 18:00:22,39,0.0213,0.8159,0.1381,0.5379,871,78
RSC-2022-00101,v2.1.4,2022-07-02 17:22:21,48,0.0508,0.8,0.1505,0.5074,1289,127
RSC-2022-00102,v2.1.4,2022-09-04 08:50:30,35,0.0155,0.8247,0.1692,0.5383,841,107
RSC-2022-00103,v2.1.4,2022-05-17 00:48:59,39,0.0225,0.8064,0.14,0.4731,1032,108
RSC-2022-00104,v2.3.0,2022-02-09 02:21:13,46,0.0133,0.8115,0.1355,0.5212,1395,30
RSC-2022-00105,v2.1.4,2022-11-09 21:52:51,40,0.0281,0.7907,0.1336,0.5131,1549,121
RSC-2022-00106,v2.1.4,2022-06-24 07:11:39,56,0.0871,0.8154,0.137,0.484,1341,120
RSC-2022-00107,v2.2.0,2022-11-16 21:37:04,50,0.0344,0.8112,0.1389,0.5165,1043,92
RSC-2022-00108,v2.3.0,2022-10-26 10:11:42,52,0.0231,0.8099,0.1441,0.4768,831,32
RSC-2022-00109,v2.2.0,2022-01-21 18:02:55,46,0.0416,0.8034,0.1232,0.5004,947,21
RSC-2022-00110,v2.2.1,2022-01-31 22:08:10,51,0.0226,0.7996,0.142,0.5121,1396,118
RSC-2022-00111,v2.3.0,2022-12-28 15:49:09,52,0.0573,0.7857,0.1448,0.5079,804,61
RSC-2022-00112,v2.2.1,2022-01-20 08:23:46,55,0.0338,0.8124,0.1394,0.5035,916,137
RSC-2022-00113,v2.2.1,2022-12-20 12:56:39,45,0.0309,0.8159,0.1,0.5342,1547,96
RSC-2022-00114,v2.1.3,2022-01-03 09:40:32,55,0.022,0.8452,0.1155,0.5163,1309,129
RSC-2022-00115,v2.2.1,2022-10-04 17:07:38,45,0.039,0.8029,0.1626,0.5061,1375,24
RSC-2022-00116,v2.3.0,2022-01-20 05:15:01,53,0.0733,0.8007,0.1231,0.4973,1018,139
RSC-2022-00117,v2.2.0,2022-12-10 13:31:45,48,0.0089,0.7964,0.1458,0.4886,1248,66
RSC-2022-00118,v2.1.3,2022-07-31 16:21:42,50,0.0366,0.8183,0.1445,0.4943,1514,38
RSC-2022-00119,v2.2.0,2022-10-14 11:59:34,48,0.0799,0.8466,0.1207,0.5206,1163,39
RSC-2022-00120,v2.1.4,2022-07-29 17:30:13,42,0.0074,0.8125,0.1339,0.5106,1465,103
RSC-2022-00121,v2.3.0,2022-09-26 05:36:54,52,0.034,0.8194,0.134,0.4872,1396,125
RSC-2022-00122,v2.2.0,2022-03-29 12:51:10,41,0.0452,0.8294,0.1564,0.5245,1583,39
RSC-2022-00123,v2.3.0,2022-09-16 04:33:04,37,0.0113,0.8152,0.1312,0.5078,1355,45
RSC-2022-00124,v2.1.4,2022-10-30 09:50:09,37,0.0147,0.817,0.1467,0.5138,1151,139
RSC-2022-00125,v2.3.0,2022-09-04 18:22:32,56,0.0428,0.793,0.1457,0.494,1054,86
RSC-2022-00126,v2.3.0,2022-10-20 10:48:27,41,0.0256,0.7981,0.1603,0.4925,1398,122
RSC-2022-00127,v2.3.0,2022-09-29 09:14:37,45,0.0286,0.8107,0.1375,0.5148,1224,134
RSC-2022-00128,v2.3.0,2022-06-08 21:32:23,46,0.0827,0.8033,0.1358,0.49,870,133
RSC-2022-00129,v2.3.0,2022-10-11 01:51:46,47,0.027,0.8024,0.1346,0.5586,1282,129
RSC-2022-00130,v2.3.0,2022-11-10 00:20:25,54,0.056,0.7936,0.1723,0.5297,962,137
RSC-2022-00131,v2.2.0,2022-11-28 22:32:23,39,0.0509,0.8093,0.1542,0.5331,809,32
RSC-2022-00132,v2.1.4,2022-07-07 11:06:55,56,0.0071,0.8328,0.1497,0.5349,1310,96
RSC-2022-00133,v2.3.0,2022-01-30 22:21:24,50,0.0278,0.8226,0.1591,0.5023,942,33
RSC-2022-00134,v2.1.4,2022-02-11 09:22:27,57,0.0167,0.7827,0.1613,0.4853,1554,76
RSC-2022-00135,v2.1.3,2022-02-21 13:49:12,53,0.0342,0.8355,0.1283,0.4757,1463,72
RSC-2022-00136,v2.1.3,2022-08-27 18:18:26,45,0.0223,0.811,0.1289,0.4957,1333,80
RSC-2022-00137,v2.1.4,2022-11-22 18:35:08,56,0.0515,0.8096,0.142,0.5182,1496,121
RSC-2022-00138,v2.1.3,2022-09-12 13:47:54,51,0.0879,0.8403,0.1295,0.5202,1361,115
RSC-2022-00139,v2.2.0,2022-06-03 00:41:25,54,0.0397,0.8085,0.1407,0.5117,1329,121
RSC-2022-00140,v2.3.0,2022-05-22 16:20:01,35,0.0932,0.8244,0.1513,0.4982,1457,49
RSC-2022-00141,v2.2.0,2022-10-17 23:19:07,56,0.0303,0.803,0.1784,0.5437,1396,129
RSC-2022-00142,v2.2.0,2022-10-16 20:38:07,44,0.0697,0.8,0.1475,0.5212,923,62
RSC-2022-00143,v2.1.4,2022-10-09 15:02:33,55,0.0324,0.8187,0.1211,0.4832,1300,77
RSC-2022-00144,v2.2.0,2022-04-28 23:43:09,37,0.0395,0.8144,0.1481,0.5211,1456,128
RSC-2022-00145,v2.1.3,2022-10-19 06:33:41,45,0.0522,0.8276,0.1548,0.5307,813,30
RSC-2022-00146,v2.1.4,2022-02-22 20:12:40,49,0.0268,0.7905,0.1333,0.5155,1078,129
RSC-2022-00147,v2.2.0,2022-03-11 19:06:40,39,0.0503,0.7931,0.1442,0.5326,946,53
RSC-2022-00148,v2.3.0,2022-01-26 13:43:39,41,0.0175,0.8025,0.1263,0.538,1444,95
RSC-2022-00149,v2.2.0,2022-10-16 09:29:12,39,0.029,0.8057,0.1411,0.5338,884,23
RSC-2022-00150,v2.1.4,2022-08-31 16:01:20,40,0.0134,0.7987,0.1395,0.5303,1356,62
RSC-2022-00151,v2.3.0,2022-07-26 02:24:28,43,0.0295,0.8176,0.1331,0.5421,918,48
RSC-2022-00152,v2.2.0,2022-11-20 18:57:02,39,0.0068,0.7791,0.1437,0.5125,1227,36
RSC-2022-00153,v2.2.1,2022-08-31 13:02:34,34,0.0553,0.7862,0.1223,0.4932,1337,46
RSC-2022-00154,v2.1.3,2022-12-09 06:46:34,43,0.0615,0.8145,0.1638,0.5201,850,85
RSC-2022-00155,v2.1.4,2022-02-22 20:46:37,44,0.0725,0.8,0.1483,0.5238,937,105
RSC-2022-00156,v2.1.4,2022-05-06 03:03:28,38,0.0159,0.7799,0.1314,0.5229,1248,129
RSC-2022-00157,v2.3.0,2022-01-16 12:08:45,47,0.1421,0.797,0.1396,0.503,1504,29
RSC-2022-00158,v2.2.1,2022-04-29 12:53:24,38,0.0411,0.8127,0.1301,0.5169,853,136
RSC-2022-00159,v2.1.4,2022-07-18 12:55:28,37,0.0588,0.8058,0.1426,0.4729,1569,25
RSC-2022-00160,v2.2.1,2022-04-16 19:04:11,50,0.0716,0.8252,0.1387,0.51,904,58
RSC-2022-00161,v2.2.0,2022-12-07 20:24:03,45,0.0657,0.811,0.1422,0.522,1529,123
RSC-2022-00162,v2.1.3,2022-10-08 19:05:10,42,0.016,0.8394,0.154,0.5293,907,64
RSC-2022-00163,v2.1.3,2022-03-19 01:26:01,34,0.0461,0.8052,0.1488,0.5242,1286,86
RSC-2022-00164,v2.2.0,2022-04-02 18:51:47,51,0.0095,0.8054,0.1346,0.4885,1278,135
RSC-2022-00165,v2.1.3,2022-05-03 03:10:33,43,0.0403,0.8196,0.1308,0.503,877,107
RSC-2022-00166,v2.2.0,2022-09-12 12:16:42,47,0.0252,0.8064,0.1417,0.515,958,112
RSC-2022-00167,v2.1.4,2022-03-15 17:03:27,51,0.0257,0.8147,0.1342,0.4868,1555,59
RSC-2022-00168,v2.3.0,2022-12-29 09:27:11,40,0.0461,0.7935,0.148,0.4923,809,102
RSC-2022-00169,v2.2.1,2022-06-19 02:47:25,47,0.0674,0.8242,0.1389,0.5063,862,57
RSC-2022-00170,v2.2.1,2022-04-23 06:52:05,36,0.0337,0.8281,0.1489,0.4857,1437,100
RSC-2022-00171,v2.1.4,2022-03-25 03:24:42,41,0.0261,0.8432,0.1742,0.5399,800,80
RSC-2022-00172,v2.1.3,2022-08-29 12:00:02,46,0.0361,0.8141,0.1383,0.4807,1172,29
RSC-2022-00173,v2.2.0,2022-09-20 14:25:20,53,0.0297,0.8013,0.152,0.4755,873,113
RSC-2022-00174,v2.1.3,2022-10-28 16:23:11,44,0.0191,0.8146,0.1639,0.5055,1098,89
RSC-2022-00175,v2.1.3,2022-04-24 19:18:51,54,0.0099,0.8262,0.1231,0.5341,1192,94
RSC-2022-00176,v2.2.0,2022-10-13 12:46:30,35,0.0577,0.8192,0.1216,0.4975,805,93
RSC-2022-00177,v2.2.0,2022-01-01 06:10:28,41,0.0567,0.8043,0.1191,0.4611,1158,103
RSC-2022-00178,v2.2.1,2022-07-09 16:49:53,54,0.0107,0.8041,0.1417,0.4845,878,87
RSC-2022-00179,v2.2.0,2022-08-27 21:12:57,47,0.0264,0.8194,0.1657,0.5237,1309,49
RSC-2022-00180,v2.1.3,2022-03-25 23:09:35,52,0.0113,0.8206,0.1515,0.4838,1553,78
RSC-2022-00181,v2.2.0,2022-06-06 04:10:21,53,0.0206,0.8266,0.1491,0.5324,1159,121
RSC-2022-00182,v2.1.3,2022-07-27 07:49:48,39,0.0821,0.7778,0.1642,0.5236,1219,89
RSC-2022-00183,v2.3.0,2022-06-29 06:50:25,52,0.0048,0.8072,0.1075,0.5227,1251,20
RSC-2022-00184,v2.2.0,2022-08-30 18:38:48,46,0.0963,0.8327,0.1397,0.5061,1004,74
RSC-2022-00185,v2.3.0,2022-02-07 10:05:36,41,0.0545,0.8105,0.1315,0.4861,1581,31
RSC-2022-00186,v2.2.0,2022-01-08 23:29:35,38,0.0266,0.8268,0.1447,0.5145,939,138
RSC-2022-00187,v2.1.3,2022-08-05 02:51:51,42,0.0524,0.8119,0.1521,0.5089,1048,60
RSC-2022-00188,v2.2.1,2022-12-24 20:03:12,34,0.0244,0.7826,0.1461,0.5279,1062,98
RSC-2022-00189,v2.1.4,2022-04-03 19:06:41,53,0.0414,0.7893,0.1493,0.5406,845,55
RSC-2022-00190,v2.1.3,2022-11-03 03:57:20,42,0.0459,0.8028,0.1522,0.4835,1536,139
RSC-2022-00191,v2.3.0,2022-07-15 02:04:48,57,0.0432,0.7908,0.1483,0.5359,1035,28
RSC-2022-00192,v2.1.3,2022-04-22 00:36:59,43,0.0611,0.8267,0.158,0.4813,932,27
RSC-2022-00193,v2.2.1,2022-09-18 15:30:55,54,0.0371,0.8166,0.1436,0.4948,1071,129
RSC-2022-00194,v2.1.3,2022-08-13 15:33:50,43,0.0085,0.8153,0.1579,0.5105,1235,26
RSC-2022-00195,v2.1.3,2022-04-01 03:48:01,41,0.0299,0.8033,0.1489,0.5049,1399,70
RSC-2022-00196,v2.1.3,2022-09-22 15:54:35,55,0.0255,0.845,0.1241,0.5249,884,25
RSC-2022-00197,v2.2.0,2022-08-25 05:20:33,47,0.0375,0.8025,0.1428,0.4562,1186,87
RSC-2022-00198,v2.1.4,2022-07-21 09:26:41,56,0.024,0.7885,0.1308,0.5404,1056,99
RSC-2022-00199,v2.1.3,2022-04-26 17:23:50,44,0.0631,0.794,0.1424,0.4995,1127,53
RSC-2022-00200,v2.3.0,2022-02-22 18:14:13,40,0.0402,0.8218,0.1423,0.5123,1571,79
RSC-2022-00201,v2.1.4,2022-09-07 11:59:33,37,0.0103,0.7937,0.11,0.547,1410,106
RSC-2022-00202,v2.1.3,2022-04-06 02:41:36,56,0.0253,0.8209,0.1288,0.5447,1232,101
RSC-2022-00203,v2.2.1,2022-11-28 08:49:59,45,0.0614,0.8195,0.1481,0.505,1207,101
RSC-2022-00204,v2.2.0,2022-05-06 19:18:59,49,0.032,0.8304,0.1292,0.4846,1327,102
RSC-2022-00205,v2.3.0,2022-10-07 23:50:48,53,0.0445,0.8254,0.1432,0.4992,949,39
RSC-2022-00206,v2.1.4,2022-12-17 23:50:35,51,0.0853,0.8348,0.1256,0.5239,1212,65
RSC-2022-00207,v2.1.4,2022-09-19 08:20:23,47,0.047,0.8173,0.1208,0.4904,1272,122
RSC-2022-00208,v2.1.4,2022-11-14 09:47:28,46,0.002,0.8027,0.1393,0.4932,929,24
RSC-2022-00209,v2.2.1,2022-01-02 01:43:47,35,0.0247,0.8606,0.1562,0.487,1410,84
RSC-2022-00210,v2.3.0,2022-03-22 19:36:50,34,0.0699,0.7901,0.1525,0.5327,1142,59
RSC-2022-00211,v2.2.1,2022-01-29 01:14:11,51,0.0939,0.8287,0.1412,0.5035,1261,122
RSC-2022-00212,v2.3.0,2022-01-20 22:30:25,37,0.0724,0.832,0.1379,0.503,1582,30
RSC-2022-00213,v2.3.0,2022-12-13 03:42:25,57,0.0594,0.7642,0.1568,0.5276,914,87
RSC-2022-00214,v2.3.0,2022-06-29 08:34:33,44,0.0408,0.8174,0.16,0.5485,1591,139
RSC-2022-00215,v2.2.0,2022-03-28 20:09:16,41,0.1005,0.7793,0.154,0.5096,1254,80
RSC-2022-00216,v2.2.1,2022-07-07 01:58:16,41,0.009,0.7987,0.1263,0.5199,1217,97
RSC-2022-00217,v2.2.1,2022-10-28 23:54:11,48,0.0189,0.8137,0.1626,0.4695,1459,73
RSC-2022-00218,v2.2.0,2022-11-21 08:35:56,37,0.0279,0.7931,0.1592,0.542,1410,69
RSC-2022-00219,v2.1.4,2022-06-04 21:43:39,50,0.0094,0.8035,0.1396,0.5234,852,44
RSC-2022-00220,v2.1.3,2022-11-28 23:24:14,45,0.0377,0.8174,0.1341,0.4829,1156,43
RSC-2022-00221,v2.2.0,2022-06-08 07:56:15,39,0.0728,0.8034,0.1273,0.5022,1262,130
RSC-2022-00222,v2.2.0,2022-04-14 14:32:18,56,0.0146,0.8201,0.1638,0.4982,1588,78
RSC-2022-00223,v2.2.1,2022-04-01 10:24:17,47,0.0547,0.8314,0.1274,0.546,1509,27
RSC-2022-00224,v2.3.0,2022-06-21 12:41:06,47,0.0883,0.8198,0.1511,0.5221,1160,81
RSC-2022-00225,v2.1.4,2022-02-18 07:40:33,36,0.0599,0.8129,0.1448,0.5149,1470,72
RSC-2022-00226,v2.1.3,2022-07-22 04:19:49,44,0.0469,0.8346,0.1358,0.5015,1138,53
RSC-2022-00227,v2.3.0,2022-07-20 13:34:53,55,0.0341,0.8119,0.1191,0.527,967,103
RSC-2022-00228,v2.2.1,2022-07-12 16:12:23,34,0.0337,0.8053,0.1302,0.5053,1281,66
RSC-2022-00229,v2.3.0,2022-08-07 06:54:12,57,0.0292,0.8201,0.1352,0.4817,1218,115
RSC-2022-00230,v2.3.0,2022-04-27 21:50:42,34,0.0051,0.7781,0.1482,0.4758,1197,95
RSC-2022-00231,v2.3.0,2022-08-05 14:37:07,40,0.0177,0.8339,0.1289,0.5118,1281,138
RSC-2022-00232,v2.3.0,2022-07-13 09:17:55,54,0.0172,0.7931,0.1486,0.5303,1356,107
RSC-2022-00233,v2.3.0,2022-02-09 15:00:54,48,0.0272,0.7959,0.1519,0.5327,931,137
RSC-2022-00234,v2.1.3,2022-02-24 17:51:48,37,0.0376,0.8126,0.153,0.5392,1081,135
RSC-2022-00235,v2.2.0,2022-08-19 21:23:48,57,0.022,0.8425,0.116,0.5065,1405,26
RSC-2022-00236,v2.2.1,2022-03-29 01:34:28,53,0.0081,0.8073,0.1705,0.4842,968,70
RSC-2022-00237,v2.2.1,2022-06-08 13:01:28,46,0.0385,0.7985,0.1402,0.523,1124,119
RSC-2022-00238,v2.1.4,2022-04-05 14:35:56,35,0.0515,0.8075,0.1489,0.4916,1567,48
RSC-2022-00239,v2.2.0,2022-01-13 19:41:00,44,0.0736,0.7825,0.1402,0.5345,1163,122
RSC-2022-00240,v2.1.3,2022-05-26 20:56:29,42,0.0364,0.8107,0.1457,0.5199,834,37
RSC-2022-00241,v2.2.0,2022-07-12 23:29:19,34,0.0894,0.8048,0.1213,0.5078,1309,30
RSC-2022-00242,v2.2.0,2022-08-09 03:12:05,54,0.0437,0.7812,0.1298,0.5231,1190,110
RSC-2022-00243,v2.2.1,2022-09-06 12:01:01,37,0.1106,0.8008,0.136,0.5303,1340,112
RSC-2022-00244,v2.2.1,2022-06-11 18:06:29,45,0.023,0.7903,0.1394,0.5144,1486,34
RSC-2022-00245,v2.1.3,2022-03-26 01:01:12,44,0.024,0.8159,0.1361,0.5284,1249,61
