isco08_4digit,isco08_label_en,skill_level_1_4
1642,Occupational group 1642,3
1649,Occupational group 1649,3
1656,Occupational group 1656,3
1663,Occupational group 1663,1
1670,Occupational group 1670,4
1677,Occupational group 1677,4
1684,Occupational group 1684,2
1691,Occupational group 1691,4
1698,Occupational group 1698,2
1705,Occupational group 1705,2
1712,Occupational group 1712,1
1719,Occupational group 1719,2
1726,Occupational group 1726,2
1733,Occupational group 1733,3
1740,Occupational group 1740,2
1747,Occupational group 1747,2
1754,Occupational group 1754,1
1761,Occupational group 1761,2
1768,Occupational group 1768,3
1775,Occupational group 1775,1
1782,Occupational group 1782,2
1789,Occupational group 1789,2
1796,Occupational group 1796,2
1803,Occupational group 1803,2
1810,Occupational group 1810,2
1817,Occupational group 1817,3
1824,Occupational group 1824,2
1831,Occupational group 1831,3
1838,Occupational group 1838,4
1845,Occupational group 1845,2
1852,Occupational group 1852,4
1859,Occupational group 1859,2
1866,Occupational group 1866,4
1873,Occupational group 1873,1
1880,Occupational group 1880,4
1887,Occupational group 1887,2
1894,Occupational group 1894,3
1901,Occupational group 1901,4
1908,Occupational group 1908,1
1915,Occupational group 1915,2
1922,Occupational group 1922,4
1929,Occupational group 1929,4
1936,Occupational group 1936,4
1943,Occupational group 1943,4
1950,Occupational group 1950,4
1957,Occupational group 1957,1
1964,Occupational group 1964,3
1971,Occupational group 1971,4
1978,Occupational group 1978,2
1985,Occupational group 1985,4
1992,Occupational group 1992,3
1999,Occupational group 1999,3
2006,Occupational group 2006,3
2013,Occupational group 2013,3
2020,Occupational group 2020,2
2027,Occupational group 2027,1
2034,Occupational group 2034,1
2041,Occupational group 2041,2
2048,Occupational group 2048,3
2055,Occupational group 2055,4
2062,Occupational group 2062,2
2069,Occupational group 2069,3
2076,Occupational group 2076,3
2083,Occupational group 2083,1
2090,Occupational group 2090,2
2097,Occupational group 2097,2
2104,Occupational group 2104,3
2111,Occupational group 2111,2
2118,Occupational group 2118,3
2125,Occupational group 2125,2
2132,Occupational group 2132,4
2139,Occupational group 2139,4
2146,Occupational group 2146,4
2153,Occupational group 2153,4
2160,Occupational group 2160,3
2167,Occupational group 2167,2
2174,Occupational group 2174,4
2181,Occupational group 2181,2
2188,Occupational group 2188,2
2195,Occupational group 2195,3
2202,Occupational group 2202,2
2209,Occupational group 2209,4
2216,Occupational group 2216,3
2223,Occupational group 2223,4
2230,Occupational group 2230,2
2237,Occupational group 2237,1
2244,Occupational group 2244,4
2251,Occupational group 2251,2
2258,Occupational group 2258,4
2265,Occupational group 2265,1
2272,Occupational group 2272,1
2279,Occupational group 2279,1
2286,Occupational group 2286,2
2293,Occupational group 2293,2
2300,Occupational group 2300,3
2307,Occupational group 2307,4
2314,Occupational group 2314,4
2321,Occupational group 2321,1
2328,Occupational group 2328,2
2335,Occupational group 2335,2
2342,Occupational group 2342,4
2349,Occupational group 2349,4
2356,Occupational group 2356,3
2363,Occupational group 2363,4
2370,Occupational group 2370,3
2377,Occupational group 2377,1
2384,Occupational group 2384,2
2391,Occupational group 2391,2
2398,Occupational group 2398,1
2405,Occupational group 2405,4
2412,Occupational group 2412,2
2419,Occupational group 2419,2
2426,Occupational group 2426,1
2433,Occupational group 2433,2
2440,Occupational group 2440,3
2447,Occupational group 2447,2
2454,Occupational group 2454,2
2461,Occupational group 2461,3
2468,Occupational group 2468,3
2475,Occupational group 2475,1
2482,Occupational group 2482,3
2489,Occupational group 2489,1
2496,Occupational group 2496,4
2503,Occupational group 2503,2
2510,Occupational group 2510,4
2517,Occupational group 2517,2
2524,Occupational group 2524,1
2531,Occupational group 2531,3
2538,Occupational group 2538,2
2545,Occupational group 2545,3
2552,Occupational group 2552,4
2559,Occupational group 2559,3
2566,Occupational group 2566,2
2573,Occupational group 2573,3
2580,Occupational group 2580,4
2587,Occupational group 2587,1
2594,Occupational group 2594,3
2601,Occupational group 2601,2
2608,Occupational group 2608,4
2615,Occupational group 2615,1
2622,Occupational group 2622,3
2629,Occupational group 2629,2
2636,Occupational group 2636,3
2643,Occupational group 2643,2
2650,Occupational group 2650,2
2657,Occupational group 2657,3
2664,Occupational group 2664,2
2671,Occupational group 2671,1
2678,Occupational group 2678,1
2685,Occupational group 2685,4
2692,Occupational group 2692,1
2699,Occupational group 2699,2
2706,Occupational group 2706,4
2713,Occupational group 2713,3
2720,Occupational group 2720,4
2727,Occupational group 2727,3
2734,Occupational group 2734,2
2741,Occupational group 2741,4
2748,Occupational group 2748,4
2755,Occupational group 2755,3
2762,Occupational group 2762,4
2769,Occupational group 2769,3
2776,Occupational group 2776,4
2783,Occupational group 2783,2
2790,Occupational group 2790,2
2797,Occupational group 2797,3
2804,Occupational group 2804,1
2811,Occupational group 2811,4
2818,Occupational group 2818,3
2825,Occupational group 2825,1
2832,Occupational group 2832,4
2839,Occupational group 2839,3
2846,Occupational group 2846,2
2853,Occupational group 2853,3
2860,Occupational group 2860,1
2867,Occupational group 2867,4
2874,Occupational group 2874,2
2881,Occupational group 2881,3
2888,Occupational group 2888,1
2895,Occupational group 2895,2
2902,Occupational group 2902,3
2909,Occupational group 2909,3
2916,Occupational group 2916,2
2923,Occupational group 2923,3
2930,Occupational group 2930,3
2937,Occupational group 2937,4
2944,Occupational group 2944,4
2951,Occupational group 2951,1
2958,Occupational group 2958,4
2965,Occupational group 2965,2
2972,Occupational group 2972,2
2979,Occupational group 2979,4
2986,Occupational group 2986,2
2993,Occupational group 2993,3
3000,Occupational group 3000,1
3007,Occupational group 3007,3
3014,Occupational group 3014,3
3021,Occupational group 3021,2
3028,Occupational group 3028,4
3035,Occupational group 3035,4
3042,Occupational group 3042,4
3049,Occupational group 3049,2
3056,Occupational group 3056,4
3063,Occupational group 3063,1
3070,Occupational group 3070,4
3077,Occupational group 3077,2
3084,Occupational group 3084,1
3091,Occupational group 3091,4
3098,Occupational group 3098,4
3105,Occupational group 3105,3
3112,Occupational group 3112,2
3119,Occupational group 3119,2
3126,Occupational group 3126,2
3133,Occupational group 3133,4
3140,Occupational group 3140,4
3147,Occupational group 3147,3
3154,Occupational group 3154,3
3161,Occupational group 3161,3
3168,Occupational group 3168,2
3175,Occupational group 3175,4
3182,Occupational group 3182,2
3189,Occupational group 3189,4
3196,Occupational group 3196,3
3203,Occupational group 3203,1
3210,Occupational group 3210,2
3217,Occupational group 3217,3
3224,Occupational group 3224,1
3231,Occupational group 3231,2
3238,Occupational group 3238,3
3245,Occupational group 3245,3
3252,Occupational group 3252,2
3259,Occupational group 3259,2
3266,Occupational group 3266,4
3273,Occupational group 3273,2
3280,Occupational group 3280,2
3287,Occupational group 3287,1
3294,Occupational group 3294,3
3301,Occupational group 3301,2
3308,Occupational group 3308,4
3315,Occupational group 3315,3
3322,Occupational group 3322,3
3329,Occupational group 3329,1
3336,Occupational group 3336,1
3343,Occupational group 3343,3
3350,Occupational group 3350,3
3357,Occupational group 3357,4
3364,Occupational group 3364,2
3371,Occupational group 3371,1
3378,Occupational group 3378,2
3385,Occupational group 3385,1
3392,Occupational group 3392,3
3399,Occupational group 3399,3
3406,Occupational group 3406,3
3413,Occupational group 3413,4
3420,Occupational group 3420,1
3427,Occupational group 3427,2
3434,Occupational group 3434,3
3441,Occupational group 3441,1
3448,Occupational group 3448,4
3455,Occupational group 3455,4
3462,Occupational group 3462,1
3469,Occupational group 3469,3
3476,Occupational group 3476,4
3483,Occupational group 3483,2
3490,Occupational group 3490,2
3497,Occupational group 3497,4
3504,Occupational group 3504,4
3511,Occupational group 3511,2
3518,Occupational group 3518,4
3525,Occupational group 3525,4
3532,Occupational group 3532,3
3539,Occupational group 3539,3
3546,Occupational group 3546,3
3553,Occupational group 3553,3
3560,Occupational group 3560,1
3567,Occupational group 3567,2
3574,Occupational group 3574,4
3581,Occupational group 3581,3
3588,Occupational group 3588,1
3595,Occupational group 3595,4
3602,Occupational group 3602,1
3609,Occupational group 3609,4
3616,Occupational group 3616,2
3623,Occupational group 3623,2
3630,Occupational group 3630,4
3637,Occupational group 3637,3
3644,Occupational group 3644,3
3651,Occupational group 3651,2
3658,Occupational group 3658,3
3665,Occupational group 3665,2
3672,Occupational group 3672,3
3679,Occupational group 3679,3
3686,Occupational group 3686,4
3693,Occupational group 3693,1
3700,Occupational group 3700,3
3707,Occupational group 3707,2
3714,Occupational group 3714,2
3721,Occupational group 3721,1
3728,Occupational group 3728,3
3735,Occupational group 3735,3
3742,Occupational group 3742,2
3749,Occupational group 3749,3
3756,Occupational group 3756,2
3763,Occupational group 3763,2
3770,Occupational group 3770,4
3777,Occupational group 3777,4
3784,Occupational group 3784,2
3791,Occupational group 3791,2
3798,Occupational group 3798,3
3805,Occupational group 3805,3
3812,Occupational group 3812,2
3819,Occupational group 3819,3
3826,Occupational group 3826,2
3833,Occupational group 3833,2
3840,Occupational group 3840,4
3847,Occupational group 3847,3
3854,Occupational group 3854,2
3861,Occupational group 3861,3
3868,Occupational group 3868,2
3875,Occupational group 3875,2
3882,Occupational group 3882,1
3889,Occupational group 3889,2
3896,Occupational group 3896,2
3903,Occupational group 3903,1
3910,Occupational group 3910,3
3917,Occupational group 3917,4
3924,Occupational group 3924,3
3931,Occupational group 3931,3
3938,Occupational group 3938,1
3945,Occupational group 3945,2
3952,Occupational group 3952,3
3959,Occupational group 3959,3
3966,Occupational group 3966,3
3973,Occupational group 3973,3
3980,Occupational group 3980,3
3987,Occupational group 3987,2
3994,Occupational group 3994,2
4001,Occupational group 4001,2
4008,Occupational group 4008,4
4015,Occupational group 4015,2
4022,Occupational group 4022,4
4029,Occupational group 4029,2
4036,Occupational group 4036,2
4043,Occupational group 4043,3
4050,Occupational group 4050,3
4057,Occupational group 4057,2
4064,Occupational group 4064,2
4071,Occupational group 4071,2
4078,Occupational group 4078,2
4085,Occupational group 4085,1
4092,Occupational group 4092,2
4099,Occupational group 4099,1
4106,Occupational group 4106,3
4113,Occupational group 4113,1
4120,Occupational group 4120,1
4127,Occupational group 4127,2
4134,Occupational group 4134,3
4141,Occupational group 4141,2
4148,Occupational group 4148,2
4155,Occupational group 4155,2
4162,Occupational group 4162,4
4169,Occupational group 4169,1
4176,Occupational group 4176,2
4183,Occupational group 4183,2
4190,Occupational group 4190,3
4197,Occupational group 4197,3
4204,Occupational group 4204,3
4211,Occupational group 4211,1
4218,Occupational group 4218,2
4225,Occupational group 4225,2
4232,Occupational group 4232,1
4239,Occupational group 4239,2
4246,Occupational group 4246,2
4253,Occupational group 4253,2
4260,Occupational group 4260,3
4267,Occupational group 4267,3
4274,Occupational group 4274,1
4281,Occupational group 4281,4
4288,Occupational group 4288,1
4295,Occupational group 4295,2
4302,Occupational group 4302,4
4309,Occupational group 4309,4
4316,Occupational group 4316,4
4323,Occupational group 4323,2
4330,Occupational group 4330,3
4337,Occupational group 4337,2
4344,Occupational group 4344,2
4351,Occupational group 4351,2
4358,Occupational group 4358,2
4365,Occupational group 4365,2
4372,Occupational group 4372,4
4379,Occupational group 4379,3
4386,Occupational group 4386,2
4393,Occupational group 4393,2
4400,Occupational group 4400,3
4407,Occupational group 4407,3
4414,Occupational group 4414,3
4421,Occupational group 4421,3
4428,Occupational group 4428,1
4435,Occupational group 4435,1
4442,Occupational group 4442,1
4449,Occupational group 4449,3
4456,Occupational group 4456,2
4463,Occupational group 4463,3
4470,Occupational group 4470,2
4477,Occupational group 4477,1
4484,Occupational group 4484,2
4491,Occupational group 4491,4
4498,Occupational group 4498,3
4505,Occupational group 4505,3
4512,Occupational group 4512,4
4519,Occupational group 4519,2
4526,Occupational group 4526,4
4533,Occupational group 4533,2
4540,Occupational group 4540,1
4547,Occupational group 4547,2
4554,Occupational group 4554,2
4561,Occupational group 4561,3
4568,Occupational group 4568,3
4575,Occupational group 4575,2
4582,Occupational group 4582,4
4589,Occupational group 4589,4
4596,Occupational group 4596,2
4603,Occupational group 4603,4
4610,Occupational group 4610,2
4617,Occupational group 4617,1
4624,Occupational group 4624,4
4631,Occupational group 4631,2
4638,Occupational group 4638,4
4645,Occupational group 4645,3
4652,Occupational group 4652,2
4659,Occupational group 4659,3
4666,Occupational group 4666,4
4673,Occupational group 4673,3
4680,Occupational group 4680,4
4687,Occupational group 4687,1
4694,Occupational group 4694,4
4701,Occupational group 4701,4
4708,Occupational group 4708,4
4715,Occupational group 4715,1
4722,Occupational group 4722,4
4729,Occupational group 4729,4
4736,Occupational group 4736,1
4743,Occupational group 4743,2
4750,Occupational group 4750,3
4757,Occupational group 4757,4
4764,Occupational group 4764,3
4771,Occupational group 4771,3
4778,Occupational group 4778,2
4785,Occupational group 4785,2
4792,Occupational group 4792,2
4799,Occupational group 4799,3
4806,Occupational group 4806,2
4813,Occupational group 4813,2
4820,Occupational group 4820,2
4827,Occupational group 4827,2
4834,Occupational group 4834,4
4841,Occupational group 4841,2
4848,Occupational group 4848,4
4855,Occupational group 4855,4
4862,Occupational group 4862,4
4869,Occupational group 4869,3
4876,Occupational group 4876,3
4883,Occupational group 4883,1
4890,Occupational group 4890,4
4897,Occupational group 4897,1
4904,Occupational group 4904,3
4911,Occupational group 4911,2
4918,Occupational group 4918,3
4925,Occupational group 4925,4
4932,Occupational group 4932,1
4939,Occupational group 4939,4
4946,Occupational group 4946,3
4953,Occupational group 4953,2
4960,Occupational group 4960,3
4967,Occupational group 4967,2
4974,Occupational group 4974,4
4981,Occupational group 4981,1
4988,Occupational group 4988,2
4995,Occupational group 4995,3
5002,Occupational group 5002,2
5009,Occupational group 5009,2
5016,Occupational group 5016,2
5023,Occupational group 5023,2
5030,Occupational group 5030,4
5037,Occupational group 5037,4
5044,Occupational group 5044,2
5051,Occupational group 5051,4
5058,Occupational group 5058,1
5065,Occupational group 5065,2
5072,Occupational group 5072,1
5079,Occupational group 5079,4
5086,Occupational group 5086,1
5093,Occupational group 5093,2
5100,Occupational group 5100,1
5107,Occupational group 5107,2
5114,Occupational group 5114,2
5121,Occupational group 5121,3
5128,Occupational group 5128,3
5135,Occupational group 5135,2
5142,Occupational group 5142,4
5149,Occupational group 5149,4
5156,Occupational group 5156,2
5163,Occupational group 5163,4
5170,Occupational group 5170,2
5177,Occupational group 5177,2
5184,Occupational group 5184,3
5191,Occupational group 5191,3
5198,Occupational group 5198,4
5205,Occupational group 5205,4
5212,Occupational group 5212,1
5219,Occupational group 5219,3
5226,Occupational group 5226,3
5233,Occupational group 5233,3
5240,Occupational group 5240,2
5247,Occupational group 5247,4
5254,Occupational group 5254,1
5261,Occupational group 5261,3
5268,Occupational group 5268,4
5275,Occupational group 5275,3
5282,Occupational group 5282,1
5289,Occupational group 5289,2
5296,Occupational group 5296,2
5303,Occupational group 5303,2
5310,Occupational group 5310,2
5317,Occupational group 5317,1
5324,Occupational group 5324,4
5331,Occupational group 5331,4
5338,Occupational group 5338,2
5345,Occupational group 5345,1
5352,Occupational group 5352,2
5359,Occupational group 5359,2
5366,Occupational group 5366,2
5373,Occupational group 5373,2
5380,Occupational group 5380,2
5387,Occupational group 5387,3
5394,Occupational group 5394,3
5401,Occupational group 5401,1
5408,Occupational group 5408,3
5415,Occupational group 5415,4
5422,Occupational group 5422,2
5429,Occupational group 5429,2
5436,Occupational group 5436,1
5443,Occupational group 5443,3
5450,Occupational group 5450,2
5457,Occupational group 5457,3
5464,Occupational group 5464,3
5471,Occupational group 5471,3
5478,Occupational group 5478,4
5485,Occupational group 5485,2
5492,Occupational group 5492,3
5499,Occupational group 5499,2
5506,Occupational group 5506,2
5513,Occupational group 5513,2
5520,Occupational group 5520,3
5527,Occupational group 5527,2
5534,Occupational group 5534,3
5541,Occupational group 5541,2
5548,Occupational group 5548,2
5555,Occupational group 5555,2
5562,Occupational group 5562,4
5569,Occupational group 5569,4
5576,Occupational group 5576,4
5583,Occupational group 5583,1
5590,Occupational group 5590,2
5597,Occupational group 5597,1
5604,Occupational group 5604,3
5611,Occupational group 5611,3
5618,Occupational group 5618,4
5625,Occupational group 5625,3
5632,Occupational group 5632,2
5639,Occupational group 5639,4
5646,Occupational group 5646,3
5653,Occupational group 5653,3
5660,Occupational group 5660,4
5667,Occupational group 5667,2
5674,Occupational group 5674,4
5681,Occupational group 5681,2
5688,Occupational group 5688,2
5695,Occupational group 5695,4
5702,Occupational group 5702,3
5709,Occupational group 5709,3
5716,Occupational group 5716,2
5723,Occupational group 5723,2
5730,Occupational group 5730,2
5737,Occupational group 5737,4
5744,Occupational group 5744,3
5751,Occupational group 5751,1
5758,Occupational group 5758,2
5765,Occupational group 5765,1
5772,Occupational group 5772,3
5779,Occupational group 5779,2
5786,Occupational group 5786,2
5793,Occupational group 5793,2
5800,Occupational group 5800,1
5807,Occupational group 5807,4
5814,Occupational group 5814,1
5821,Occupational group 5821,4
5828,Occupational group 5828,4
5835,Occupational group 5835,1
5842,Occupational group 5842,4
5849,Occupational group 5849,4
5856,Occupational group 5856,3
5863,Occupational group 5863,3
5870,Occupational group 5870,1
5877,Occupational group 5877,1
5884,Occupational group 5884,4
5891,Occupational group 5891,3
5898,Occupational group 5898,3
5905,Occupational group 5905,1
5912,Occupational group 5912,4
5919,Occupational group 5919,4
5926,Occupational group 5926,2
5933,Occupational group 5933,3
5940,Occupational group 5940,3
5947,Occupational group 5947,1
5954,Occupational group 5954,3
5961,Occupational group 5961,1
5968,Occupational group 5968,4
5975,Occupational group 5975,1
5982,Occupational group 5982,2
5989,Occupational group 5989,3
5996,Occupational group 5996,1
6003,Occupational group 6003,2
6010,Occupational group 6010,2
6017,Occupational group 6017,4
6024,Occupational group 6024,2
6031,Occupational group 6031,4
6038,Occupational group 6038,3
6045,Occupational group 6045,4
6052,Occupational group 6052,4
6059,Occupational group 6059,2
6066,Occupational group 6066,3
6073,Occupational group 6073,1
6080,Occupational group 6080,3
6087,Occupational group 6087,4
6094,Occupational group 6094,3
6101,Occupational group 6101,2
6108,Occupational group 6108,3
6115,Occupational group 6115,1
6122,Occupational group 6122,4
6129,Occupational group 6129,4
6136,Occupational group 6136,4
6143,Occupational group 6143,3
6150,Occupational group 6150,3
6157,Occupational group 6157,2
6164,Occupational group 6164,4
6171,Occupational group 6171,1
6178,Occupational group 6178,2
6185,Occupational group 6185,4
6192,Occupational group 6192,1
6199,Occupational group 6199,2
6206,Occupational group 6206,3
6213,Occupational group 6213,4
6220,Occupational group 6220,4
6227,Occupational group 6227,4
6234,Occupational group 6234,4
6241,Occupational group 6241,1
6248,Occupational group 6248,4
6255,Occupational group 6255,4
6262,Occupational group 6262,1
6269,Occupational group 6269,3
6276,Occupational group 6276,4
6283,Occupational group 6283,2
6290,Occupational group 6290,2
6297,Occupational group 6297,1
6304,Occupational group 6304,3
6311,Occupational group 6311,3
6318,Occupational group 6318,3
6325,Occupational group 6325,2
6332,Occupational group 6332,4
6339,Occupational group 6339,1
6346,Occupational group 6346,4
6353,Occupational group 6353,1
6360,Occupational group 6360,4
6367,Occupational group 6367,4
6374,Occupational group 6374,3
6381,Occupational group 6381,2
6388,Occupational group 6388,3
6395,Occupational group 6395,3
6402,Occupational group 6402,3
6409,Occupational group 6409,3
6416,Occupational group 6416,3
6423,Occupational group 6423,1
6430,Occupational group 6430,3
6437,Occupational group 6437,4
6444,Occupational group 6444,2
6451,Occupational group 6451,1
6458,Occupational group 6458,3
6465,Occupational group 6465,3
6472,Occupational group 6472,3
6479,Occupational group 6479,3
6486,Occupational group 6486,3
6493,Occupational group 6493,2
6500,Occupational group 6500,3
6507,Occupational group 6507,4
6514,Occupational group 6514,1
6521,Occupational group 6521,2
6528,Occupational group 6528,1
6535,Occupational group 6535,4
6542,Occupational group 6542,2
6549,Occupational group 6549,2
6556,Occupational group 6556,4
6563,Occupational group 6563,4
6570,Occupational group 6570,4
6577,Occupational group 6577,2
6584,Occupational group 6584,3
6591,Occupational group 6591,4
6598,Occupational group 6598,4
6605,Occupational group 6605,4
6612,Occupational group 6612,1
6619,Occupational group 6619,2
6626,Occupational group 6626,3
6633,Occupational group 6633,2
6640,Occupational group 6640,4
6647,Occupational group 6647,4
6654,Occupational group 6654,3
6661,Occupational group 6661,3
6668,Occupational group 6668,4
6675,Occupational group 6675,4
6682,Occupational group 6682,3
6689,Occupational group 6689,4
6696,Occupational group 6696,3
6703,Occupational group 6703,4
6710,Occupational group 6710,2
6717,Occupational group 6717,2
6724,Occupational group 6724,3
6731,Occupational group 6731,2
6738,Occupational group 6738,3
6745,Occupational group 6745,2
6752,Occupational group 6752,2
6759,Occupational group 6759,3
6766,Occupational group 6766,3
6773,Occupational group 6773,3
6780,Occupational group 6780,4
6787,Occupational group 6787,3
6794,Occupational group 6794,3
6801,Occupational group 6801,2
6808,Occupational group 6808,3
6815,Occupational group 6815,2
6822,Occupational group 6822,2
6829,Occupational group 6829,2
6836,Occupational group 6836,2
6843,Occupational group 6843,4
6850,Occupational group 6850,4
6857,Occupational group 6857,3
6864,Occupational group 6864,2
6871,Occupational group 6871,2
6878,Occupational group 6878,1
6885,Occupational group 6885,4
6892,Occupational group 6892,3
6899,Occupational group 6899,3
6906,Occupational group 6906,2
6913,Occupational group 6913,1
6920,Occupational group 6920,3
6927,Occupational group 6927,2
6934,Occupational group 6934,1
6941,Occupational group 6941,2
6948,Occupational group 6948,3
6955,Occupational group 6955,3
6962,Occupational group 6962,3
6969,Occupational group 6969,1
6976,Occupational group 6976,3
6983,Occupational group 6983,3
6990,Occupational group 6990,4
6997,Occupational group 6997,1
7004,Occupational group 7004,3
7011,Occupational group 7011,2
7018,Occupational group 7018,4
7025,Occupational group 7025,4
7032,Occupational group 7032,2
7039,Occupational group 7039,4
7046,Occupational group 7046,2
7053,Occupational group 7053,2
7060,Occupational group 7060,2
7067,Occupational group 7067,1
7074,Occupational group 7074,4
7081,Occupational group 7081,3
7088,Occupational group 7088,3
7095,Occupational group 7095,3
7102,Occupational group 7102,4
7109,Occupational group 7109,1
7116,Occupational group 7116,1
7123,Occupational group 7123,1
7130,Occupational group 7130,4
7137,Occupational group 7137,3
7144,Occupational group 7144,1
7151,Occupational group 7151,4
7158,Occupational group 7158,4
7165,Occupational group 7165,2
7172,Occupational group 7172,4
7179,Occupational group 7179,2
7186,Occupational group 7186,1
7193,Occupational group 7193,2
7200,Occupational group 7200,4
7207,Occupational group 7207,2
7214,Occupational group 7214,3
7221,Occupational group 7221,4
7228,Occupational group 7228,2
7235,Occupational group 7235,2
7242,Occupational group 7242,1
7249,Occupational group 7249,1
7256,Occupational group 7256,4
7263,Occupational group 7263,2
7270,Occupational group 7270,3
7277,Occupational group 7277,2
7284,Occupational group 7284,4
7291,Occupational group 7291,2
7298,Occupational group 7298,2
7305,Occupational group 7305,3
7312,Occupational group 7312,1
7319,Occupational group 7319,2
7326,Occupational group 7326,2
7333,Occupational group 7333,3
7340,Occupational group 7340,2
7347,Occupational group 7347,2
7354,Occupational group 7354,4
7361,Occupational group 7361,4
7368,Occupational group 7368,3
7375,Occupational group 7375,4
7382,Occupational group 7382,3
7389,Occupational group 7389,1
7396,Occupational group 7396,1
7403,Occupational group 7403,3
7410,Occupational group 7410,4
7417,Occupational group 7417,4
7424,Occupational group 7424,3
7431,Occupational group 7431,2
7438,Occupational group 7438,4
7445,Occupational group 7445,3
7452,Occupational group 7452,3
7459,Occupational group 7459,3
7466,Occupational group 7466,4
7473,Occupational group 7473,2
7480,Occupational group 7480,1
7487,Occupational group 7487,4
7494,Occupational group 7494,3
7501,Occupational group 7501,2
7508,Occupational group 7508,3
7515,Occupational group 7515,3
7522,Occupational group 7522,3
7529,Occupational group 7529,3
7536,Occupational group 7536,3
7543,Occupational group 7543,3
7550,Occupational group 7550,2
7557,Occupational group 7557,4
7564,Occupational group 7564,3
7571,Occupational group 7571,3
7578,Occupational group 7578,4
7585,Occupational group 7585,1
7592,Occupational group 7592,4
7599,Occupational group 7599,1
7606,Occupational group 7606,4
7613,Occupational group 7613,1
7620,Occupational group 7620,2
7627,Occupational group 7627,1
7634,Occupational group 7634,3
7641,Occupational group 7641,4
7648,Occupational group 7648,2
7655,Occupational group 7655,2
7662,Occupational group 7662,2
7669,Occupational group 7669,2
7676,Occupational group 7676,4
7683,Occupational group 7683,2
7690,Occupational group 7690,1
7697,Occupational group 7697,1
7704,Occupational group 7704,3
7711,Occupational group 7711,4
7718,Occupational group 7718,4
7725,Occupational group 7725,2
7732,Occupational group 7732,2
7739,Occupational group 7739,4
7746,Occupational group 7746,3
7753,Occupational group 7753,2
7760,Occupational group 7760,4
7767,Occupational group 7767,3
7774,Occupational group 7774,1
7781,Occupational group 7781,1
7788,Occupational group 7788,3
7795,Occupational group 7795,4
7802,Occupational group 7802,3
7809,Occupational group 7809,2
7816,Occupational group 7816,3
7823,Occupational group 7823,3
7830,Occupational group 7830,2
7837,Occupational group 7837,2
7844,Occupational group 7844,3
7851,Occupational group 7851,4
7858,Occupational group 7858,4
7865,Occupational group 7865,2
7872,Occupational group 7872,3
7879,Occupational group 7879,4
7886,Occupational group 7886,1
7893,Occupational group 7893,2
7900,Occupational group 7900,4
7907,Occupational group 7907,1
7914,Occupational group 7914,3
7921,Occupational group 7921,4
7928,Occupational group 7928,1
7935,Occupational group 7935,4
7942,Occupational group 7942,4
7949,Occupational group 7949,4
7956,Occupational group 7956,2
7963,Occupational group 7963,3
7970,Occupational group 7970,4
7977,Occupational group 7977,1
7984,Occupational group 7984,2
7991,Occupational group 7991,3
7998,Occupational group 7998,3
8005,Occupational group 8005,4
8012,Occupational group 8012,4
8019,Occupational group 8019,2
8026,Occupational group 8026,2
8033,Occupational group 8033,2
8040,Occupational group 8040,2
8047,Occupational group 8047,2
8054,Occupational group 8054,1
8061,Occupational group 8061,4
8068,Occupational group 8068,4
8075,Occupational group 8075,1
