graduate_id,cate_match_hat,cate_quality_hat,cate_stab_hat,se_stab
G2018000243,9.6695,0.09378,0.13247,0.03057
G2018000244,12.1074,0.14528,0.18302,0.02694
G2018000245,5.9157,0.06716,0.09114,0.02238
G2018000246,11.5888,0.1187,0.17437,0.03056
G2018000247,4.9979,0.05491,0.06805,0.01811
G2018000248,6.0592,0.06097,0.10698,0.02465
G2018000249,9.5316,0.10818,0.14359,0.03396
G2018000250,5.7111,0.04743,0.08242,0.02707
G2018000251,9.8907,0.11502,0.14874,0.02706
G2018000252,5.3348,0.07096,0.10288,0.03308
G2018000253,6.0426,0.05233,0.07252,0.03478
G2018000254,4.733,0.05211,0.08491,0.02691
G2018000255,5.5569,0.04994,0.09052,0.02888
G2018000256,5.6221,0.0732,0.08246,0.02634
G2018000257,8.1956,0.0812,0.13304,0.0228
G2018000258,5.4415,0.06286,0.07622,0.01846
G2018000259,7.8902,0.08793,0.12968,0.02266
G2018000260,5.4612,0.0501,0.0804,0.03107
G2018000261,7.9279,0.06095,0.13601,0.01955
G2018000262,5.5523,0.06239,0.10011,0.02443
G2018000263,9.7923,0.10963,0.15892,0.02701
G2018000264,8.1369,0.09218,0.11665,0.01872
G2018000265,9.0151,0.10876,0.13676,0.03379
G2018000266,5.552,0.06885,0.0793,0.0311
G2018000267,7.7659,0.07938,0.13312,0.02239
G2018000268,5.9528,0.05867,0.07565,0.01881
G2018000269,6.5289,0.04173,0.08422,0.03203
G2018000270,9.8045,0.10148,0.15856,0.02095
G2018000271,7.7618,0.07699,0.12927,0.02676
G2018000272,11.7953,0.14436,0.18871,0.01854
G2018000273,6.0392,0.05616,0.07859,0.02954
G2018000274,5.4228,0.06815,0.09577,0.02138
G2018000275,6.3069,0.04955,0.07902,0.02477
G2018000276,4.4935,0.06296,0.07775,0.02319
G2018000277,8.695,0.07276,0.09941,0.02129
G2018000278,5.9444,0.04352,0.10228,0.02633
G2018000279,12.8973,0.14717,0.17777,0.03534
G2018000280,5.4043,0.05916,0.08994,0.03276
G2018000281,5.8115,0.06124,0.0871,0.01876
G2018000282,5.464,0.07091,0.08072,0.0241
G2018000283,5.1355,0.04505,0.10726,0.02595
G2018000284,5.4128,0.06809,0.0732,0.03043
G2018000285,7.8876,0.08587,0.10117,0.02833
G2018000286,8.9467,0.09445,0.1439,0.02063
G2018000287,7.5328,0.05916,0.11545,0.03168
G2018000288,9.2934,0.09693,0.13993,0.03354
G2018000289,4.8074,0.07481,0.06471,0.03383
G2018000290,10.0751,0.09206,0.1337,0.03283
G2018000291,4.3642,0.05517,0.06843,0.02001
G2018000292,5.7471,0.07315,0.06765,0.0323
G2018000293,4.5105,0.072,0.08616,0.03214
G2018000294,10.0698,0.10953,0.13441,0.02371
G2018000295,6.0783,0.05723,0.08921,0.02728
G2018000296,5.7814,0.07301,0.09244,0.03118
G2018000297,5.9149,0.04297,0.09166,0.02495
G2018000298,4.8794,0.05712,0.08487,0.03104
G2018000299,9.9118,0.1018,0.1477,0.02354
G2018000300,6.3354,0.05092,0.08535,0.0239
G2018000301,4.6887,0.05103,0.09335,0.02815
G2018000302,6.4804,0.04215,0.08723,0.02683
G2018000303,5.5396,0.05169,0.0938,0.03555
G2018000304,9.216,0.10874,0.16456,0.01865
G2018000305,5.6743,0.05152,0.08211,0.0226
G2018000306,9.2469,0.09771,0.15606,0.02885
G2018000307,10.3088,0.11085,0.12461,0.01899
G2018000308,5.9426,0.07501,0.1013,0.02762
G2018000309,7.8243,0.07221,0.11465,0.03505
G2018000310,11.7303,0.12917,0.16493,0.02782
G2018000311,7.3939,0.06761,0.1204,0.02908
G2018000312,5.4454,0.06458,0.07903,0.02488
G2018000313,9.734,0.10901,0.14901,0.01976
G2018000314,9.66,0.1111,0.14194,0.01835
G2018000315,5.3154,0.06795,0.08003,0.02353
G2018000316,5.1118,0.07365,0.06937,0.02264
G2018000317,5.1943,0.06369,0.08735,0.0314
G2018000318,5.9195,0.05882,0.10496,0.01825
G2018000319,4.9788,0.07026,0.08522,0.02076
G2018000320,9.6085,0.1074,0.14113,0.03444
G2018000321,9.6918,0.10545,0.15887,0.02405
G2018000322,9.0917,0.10593,0.13872,0.02507
G2018000323,5.5643,0.07808,0.08103,0.0252
G2018000324,5.4353,0.07429,0.08256,0.03301
G2018000325,6.2959,0.063,0.07752,0.02024
G2018000326,6.3426,0.05315,0.08419,0.02087
G2018000327,5.7072,0.05967,0.07667,0.01925
G2018000328,10.1133,0.09709,0.12211,0.02119
G2018000329,9.6514,0.09576,0.16142,0.03272
G2018000330,10.0296,0.11074,0.13958,0.0192
G2018000331,9.666,0.11732,0.14509,0.022
G2018000332,7.165,0.06109,0.09256,0.03005
G2018000333,6.5508,0.05347,0.09227,0.03019
G2018000334,5.6183,0.06916,0.09656,0.02343
G2018000335,5.2343,0.0493,0.09239,0.02067
G2018000336,8.59,0.09255,0.1286,0.02085
G2018000337,5.3323,0.04724,0.08075,0.02231
G2018000338,9.7448,0.10596,0.14137,0.02236
G2018000339,5.6252,0.0706,0.07613,0.03225
G2018000340,5.2832,0.06947,0.10973,0.02033
G2018000341,4.8101,0.0526,0.08304,0.02978
G2018000342,9.8018,0.11037,0.17101,0.03082
G2018000343,7.2922,0.07091,0.11604,0.03582
G2018000344,5.9476,0.07059,0.08266,0.02508
G2018000345,12.3803,0.14785,0.18947,0.02798
G2018000346,9.4441,0.09577,0.16973,0.0206
G2018000347,8.0464,0.09218,0.13103,0.02912
G2018000348,9.9392,0.09889,0.15113,0.03554
G2018000349,5.5072,0.06771,0.07236,0.01889
G2018000350,9.7886,0.10768,0.14195,0.02322
G2018000351,4.5926,0.0426,0.08384,0.02589
G2018000352,9.5794,0.09203,0.13847,0.02885
G2018000353,5.2863,0.0648,0.11369,0.01917
G2018000354,5.1517,0.07007,0.06943,0.03127
G2018000355,9.6514,0.08963,0.17499,0.02574
G2018000356,6.0538,0.06555,0.07247,0.02308
G2018000357,7.899,0.07255,0.12285,0.03077
G2018000358,11.784,0.116,0.19284,0.02659
G2018000359,8.0047,0.08438,0.13751,0.02659
G2018000360,9.7926,0.11556,0.16876,0.02024
G2018000361,5.9538,0.06235,0.07867,0.02899
G2018000362,6.1429,0.04841,0.07779,0.02843
G2018000363,11.7601,0.14164,0.18901,0.02471
G2018000364,5.8855,0.06486,0.07639,0.02023
G2018000365,12.6618,0.13494,0.1796,0.03236
G2018000366,12.0265,0.13137,0.18761,0.02063
G2018000367,5.1943,0.05328,0.07412,0.02137
G2018000368,11.4367,0.12352,0.19755,0.02128
G2018000369,11.8752,0.11438,0.18978,0.0355
G2018000370,5.7606,0.06897,0.10518,0.02175
G2018000371,5.5665,0.04596,0.08048,0.03128
G2018000372,5.3821,0.07797,0.08549,0.02027
G2018000373,6.0851,0.0624,0.11032,0.03091
G2018000374,4.4499,0.05941,0.09679,0.0284
G2018000375,8.0481,0.08467,0.11791,0.01918
G2018000376,12.4537,0.12134,0.20346,0.03505
G2018000377,11.5111,0.14325,0.19147,0.03409
G2018000378,9.5552,0.10189,0.12464,0.03257
G2018000379,5.5753,0.05928,0.10552,0.02834
G2018000380,5.5101,0.05352,0.07247,0.01902
G2018000381,6.1024,0.06734,0.10847,0.03281
G2018000382,9.9504,0.10842,0.1358,0.03592
G2018000383,6.2493,0.05964,0.07477,0.031
G2018000384,8.9168,0.09442,0.15123,0.02872
G2018000385,7.9974,0.06853,0.11655,0.01834
G2018000386,9.5578,0.09582,0.11584,0.0352
G2018000387,5.1893,0.06361,0.10468,0.03351
G2018000388,6.0298,0.06999,0.10409,0.03086
G2018000389,5.8495,0.0688,0.09089,0.03573
G2018000390,5.8653,0.06062,0.09255,0.03011
G2018000391,5.968,0.05877,0.10597,0.0215
G2018000392,6.0562,0.05157,0.07536,0.02662
G2018000393,6.0553,0.04958,0.07757,0.02542
G2018000394,12.3761,0.12202,0.19559,0.0287
G2018000395,9.5907,0.10742,0.14461,0.02911
G2018000396,9.0907,0.11798,0.1407,0.02987
G2018000397,5.6825,0.06147,0.08835,0.02297
G2018000398,5.721,0.05848,0.07236,0.03036
G2018000399,6.149,0.06012,0.09515,0.02719
G2018000400,5.6806,0.04788,0.09435,0.02475
G2018000401,4.8162,0.04118,0.0834,0.03217
G2018000402,7.5794,0.08782,0.12828,0.02239
G2018000403,10.3086,0.10915,0.15836,0.03114
G2018000404,8.5387,0.08748,0.12076,0.02358
G2018000405,11.3888,0.12792,0.1898,0.02718
G2018000406,10.486,0.11371,0.15527,0.02106
G2018000407,5.9892,0.07373,0.05992,0.03086
G2018000408,7.3083,0.06191,0.06744,0.02098
G2018000409,8.4396,0.09136,0.13901,0.01842
G2018000410,12.0453,0.1281,0.17209,0.03453
G2018000411,5.6295,0.07804,0.08066,0.02807
G2018000412,7.8279,0.08536,0.11929,0.03296
G2018000413,9.8194,0.10491,0.13201,0.01918
G2018000414,5.071,0.06022,0.08271,0.02447
G2018000415,5.2174,0.06415,0.09348,0.02208
G2018000416,5.2126,0.06677,0.09032,0.03461
G2018000417,4.5919,0.05827,0.08753,0.01904
G2018000418,4.9848,0.0491,0.08864,0.03156
G2018000419,6.4479,0.04758,0.08705,0.0298
G2018000420,5.6845,0.07951,0.09776,0.02114
G2018000421,11.4521,0.12914,0.17578,0.01965
G2018000422,8.1229,0.08245,0.11988,0.03148
G2018000423,10.1925,0.10826,0.16369,0.02103
G2018000424,6.0235,0.06499,0.09905,0.03568
G2018000425,6.2574,0.05977,0.07689,0.03267
G2018000426,4.8175,0.06203,0.09129,0.02806
G2018000427,5.7379,0.0462,0.10017,0.02159
G2018000428,10.4184,0.11017,0.13832,0.02727
G2018000429,4.9591,0.08093,0.09409,0.02343
G2018000430,9.5164,0.11719,0.15286,0.03079
G2018000431,12.335,0.14456,0.1701,0.02166
G2018000432,5.0216,0.07206,0.10512,0.02408
G2018000433,5.9748,0.0782,0.07679,0.02574
G2018000434,7.7693,0.085,0.11947,0.03167
G2018000435,5.4919,0.07528,0.08184,0.03134
G2018000436,5.7129,0.05584,0.08134,0.02652
G2018000437,8.5991,0.09051,0.1216,0.02225
G2018000438,6.1106,0.0516,0.06239,0.02342
G2018000439,10.5624,0.10651,0.14832,0.032
G2018000440,5.3431,0.04821,0.09488,0.02017
G2018000441,12.3136,0.11426,0.18192,0.03457
G2018000442,12.4984,0.12972,0.19407,0.03371
G2018000443,5.4376,0.07698,0.07545,0.03388
G2018000444,5.228,0.07301,0.09013,0.02185
G2018000445,5.5353,0.05109,0.06887,0.03131
G2018000446,7.3418,0.09068,0.13326,0.02899
G2018000447,10.6227,0.11314,0.14155,0.02236
G2018000448,9.0414,0.10924,0.15589,0.0292
G2018000449,10.5745,0.11728,0.14361,0.0318
G2018000450,5.4844,0.05126,0.0696,0.03535
G2018000451,6.1722,0.05378,0.07505,0.03293
G2018000452,9.5879,0.11206,0.12989,0.03001
G2018000453,5.1335,0.05774,0.09523,0.02028
G2018000454,10.4014,0.11281,0.15566,0.02124
G2018000455,5.4884,0.05084,0.0957,0.03059
G2018000456,10.1832,0.10688,0.15038,0.02126
G2018000457,5.0676,0.06854,0.0995,0.02427
G2018000458,5.3291,0.06612,0.09593,0.03553
G2018000459,5.1467,0.05721,0.07836,0.0314
G2018000460,7.2474,0.0863,0.1152,0.0265
G2018000461,9.2117,0.091,0.12856,0.02511
G2018000462,5.7044,0.0634,0.05995,0.02148
G2018000463,8.4642,0.08389,0.12939,0.02572
G2018000464,5.3124,0.05053,0.08555,0.03457
G2018000465,6.0637,0.08133,0.09686,0.02035
G2018000466,5.5501,0.061,0.08914,0.02559
G2018000467,4.7706,0.06324,0.08619,0.03453
G2018000468,10.024,0.11346,0.14349,0.02577
G2018000469,10.517,0.11242,0.145,0.02229
G2018000470,9.6507,0.10041,0.14586,0.01834
G2018000471,9.1051,0.09055,0.13383,0.02467
G2018000472,5.4747,0.06146,0.09241,0.03055
G2018000473,6.6594,0.06251,0.09035,0.02908
G2018000474,6.5152,0.0493,0.07994,0.03214
G2018000475,5.6158,0.05345,0.08578,0.02215
G2018000476,5.689,0.06832,0.06843,0.02281
G2018000477,7.6887,0.07393,0.10938,0.02341
G2018000478,5.0957,0.056,0.09248,0.02208
G2018000479,5.9089,0.0448,0.09732,0.02131
G2018000480,6.1529,0.05551,0.09958,0.02955
G2018000481,6.4364,0.06386,0.10134,0.03298
G2018000482,5.7946,0.05962,0.08585,0.01805
G2018000483,8.4005,0.08244,0.11024,0.02449
G2018000484,9.255,0.09762,0.15582,0.02999
G2018000485,5.2622,0.07678,0.08197,0.0302
G2018000486,5.3859,0.04065,0.10028,0.02008
G2018000487,10.6594,0.08734,0.14732,0.02074
G2018000488,9.2168,0.08671,0.12596,0.02547
G2018000489,6.0927,0.05516,0.07497,0.02292
G2018000490,4.7566,0.05856,0.08373,0.03155
G2018000491,8.2405,0.08715,0.10163,0.02893
G2018000492,12.3167,0.12344,0.17314,0.02799
G2018000493,9.241,0.11821,0.12813,0.03197
G2018000494,5.415,0.06922,0.06854,0.02596
G2018000495,7.9006,0.08434,0.14025,0.02862
G2018000496,6.5959,0.04651,0.08913,0.0221
G2018000497,5.4269,0.06354,0.09607,0.03551
G2018000498,5.8267,0.06007,0.08261,0.02177
G2018000499,5.3215,0.07097,0.08894,0.02807
G2018000500,6.3213,0.06665,0.10703,0.02822
G2018000501,8.5851,0.10086,0.15446,0.01934
G2018000502,5.4056,0.05004,0.06374,0.02205
G2018000503,5.0589,0.05627,0.08768,0.01825
G2018000504,5.0794,0.05067,0.09818,0.02086
G2018000505,6.1128,0.04331,0.08723,0.02986
G2018000506,7.4116,0.0853,0.13167,0.01884
G2018000507,5.7398,0.06641,0.09025,0.03103
G2018000508,8.9212,0.11606,0.15209,0.01946
G2018000509,8.2468,0.08542,0.11309,0.03168
G2018000510,6.0212,0.06864,0.07774,0.0318
G2018000511,9.8468,0.1036,0.14124,0.02925
G2018000512,10.0577,0.09556,0.14816,0.02771
G2018000513,6.1362,0.0524,0.08124,0.03259
G2018000514,8.3666,0.08731,0.1374,0.02073
G2018000515,12.0312,0.13065,0.18455,0.02136
G2018000516,5.5809,0.05006,0.07688,0.01877
G2018000517,6.2129,0.06543,0.08485,0.02348
G2018000518,8.3698,0.08265,0.10887,0.02836
G2018000519,5.8195,0.05834,0.06997,0.02026
G2018000520,5.479,0.05634,0.09389,0.03221
G2018000521,5.6803,0.0771,0.06973,0.02602
G2018000522,5.2942,0.05515,0.07916,0.02733
G2018000523,7.1702,0.10305,0.13442,0.03264
G2018000524,11.781,0.12475,0.17819,0.03525
G2018000525,9.2153,0.10159,0.12008,0.03035
G2018000526,5.4419,0.05345,0.0791,0.03422
G2018000527,5.0106,0.0508,0.09354,0.02476
G2018000528,8.6717,0.07133,0.13624,0.02367
G2018000529,5.1989,0.06132,0.08106,0.0315
G2018000530,8.4771,0.08273,0.10604,0.02487
G2018000531,5.3428,0.06638,0.08499,0.02719
G2018000532,5.0413,0.05851,0.07493,0.02601
G2018000533,5.634,0.07026,0.09055,0.03481
G2018000534,5.6361,0.05735,0.08725,0.02108
G2018000535,7.0272,0.09219,0.13914,0.03235
G2018000536,10.4673,0.10685,0.141,0.02808
G2018000537,5.3119,0.06937,0.11451,0.0258
