case_id,graduate_id,decision_ts,counselor_id,decision_path,consent_recorded,first_session_lag_d,scheduled_sessions,completed_sessions
CS-000044,G2018017592,2024-01-13 03:00:00,CN032,STUDENT_REQUEST,1,4,4,3
CS-000045,G2018007306,2024-12-19 17:00:00,CN048,AUTO_FLAG,1,15,4,4
CS-000046,G2018006128,2024-10-27 11:00:00,CN029,ADV_REVIEW,1,0,6,4
CS-000047,G2018010633,2023-01-27 11:00:00,CN037,ADV_REVIEW,1,12,6,3
CS-000048,G2018000169,2023-06-09 06:00:00,CN044,AUTO_FLAG,1,25,10,7
CS-000049,G2018000004,2023-11-29 23:00:00,CN064,STUDENT_REQUEST,1,9,7,7
CS-000050,G2018004799,2024-07-17 03:00:00,CN070,AUTO_FLAG,1,21,4,1
CS-000051,G2018004539,2024-05-06 21:00:00,CN069,AUTO_FLAG,1,18,4,2
CS-000052,G2018001846,2023-04-30 13:00:00,CN013,AUTO_FLAG,1,18,9,8
CS-000053,G2018017898,2023-08-01 02:00:00,CN057,AUTO_FLAG,1,2,10,9
CS-000054,G2018015029,2024-05-20 15:00:00,CN050,STUDENT_REQUEST,1,3,9,6
CS-000055,G2018018029,2024-01-12 02:00:00,CN071,CAP_OVERFLOW,1,1,8,8
CS-000056,G2018021562,2024-03-06 11:00:00,CN032,ADV_REVIEW,1,1,5,2
CS-000057,G2018017008,2023-03-30 08:00:00,CN007,STUDENT_REQUEST,1,23,11,11
CS-000058,G2018006228,2024-01-08 01:00:00,CN003,ADV_REVIEW,1,6,12,6
CS-000059,G2018004653,2023-08-14 10:00:00,CN071,ADV_REVIEW,1,18,12,8
CS-000060,G2018018109,2023-04-20 03:00:00,CN070,ADV_REVIEW,1,3,5,2
CS-000061,G2018010068,2023-12-14 14:00:00,CN069,AUTO_FLAG,1,22,11,7
CS-000062,G2018001320,2023-01-17 12:00:00,CN006,AUTO_FLAG,1,26,8,8
CS-000063,G2018000216,2024-12-04 07:00:00,CN002,STUDENT_REQUEST,1,6,6,6
CS-000064,G2018015072,2023-11-02 17:00:00,CN065,STUDENT_REQUEST,1,4,9,4
CS-000065,G2018005209,2024-06-29 09:00:00,CN067,STUDENT_REQUEST,1,4,3,2
CS-000066,G2018002330,2024-01-18 21:00:00,CN047,ADV_REVIEW,1,19,5,5
CS-000067,G2018020984,2024-10-28 12:00:00,CN030,AUTO_FLAG,1,11,6,5
CS-000068,G2018020527,2024-03-30 03:00:00,CN003,ADV_REVIEW,0,21,11,11
CS-000069,G2018012391,2024-04-12 11:00:00,CN012,ADV_REVIEW,0,14,7,7
CS-000070,G2018007012,2024-04-07 00:00:00,CN042,ADV_REVIEW,1,27,13,9
CS-000071,G2018013395,2023-05-31 18:00:00,CN046,ADV_REVIEW,1,19,5,0
CS-000072,G2018004554,2024-09-28 17:00:00,CN012,AUTO_FLAG,1,26,3,3
CS-000073,G2018020475,2024-07-11 10:00:00,CN013,AUTO_FLAG,1,3,4,2
CS-000074,G2018006410,2023-12-13 23:00:00,CN048,AUTO_FLAG,1,7,6,4
CS-000075,G2018013124,2023-04-21 03:00:00,CN004,ADV_REVIEW,1,1,2,1
CS-000076,G2018014853,2023-04-12 13:00:00,CN018,STUDENT_REQUEST,1,9,12,8
CS-000077,G2018011042,2023-11-14 01:00:00,CN037,ADV_REVIEW,1,5,7,7
CS-000078,G2018000132,2023-02-16 13:00:00,CN002,AUTO_FLAG,1,19,6,6
CS-000079,G2018008299,2023-04-30 03:00:00,CN059,AUTO_FLAG,1,21,10,9
CS-000080,G2018019228,2024-02-06 14:00:00,CN008,AUTO_FLAG,0,10,7,7
CS-000081,G2018001096,2023-04-14 22:00:00,CN011,AUTO_FLAG,1,11,7,6
CS-000082,G2018018222,2024-10-14 07:00:00,CN038,STUDENT_REQUEST,1,8,4,4
CS-000083,G2018017038,2023-08-25 21:00:00,CN025,CAP_OVERFLOW,1,15,7,5
CS-000084,G2018021347,2023-01-01 11:00:00,CN011,AUTO_FLAG,1,27,9,5
CS-000085,G2018006593,2023-06-02 16:00:00,CN013,ADV_REVIEW,1,5,5,4
CS-000086,G2018014576,2023-01-31 20:00:00,CN008,AUTO_FLAG,1,6,7,5
CS-000087,G2018003120,2023-11-14 07:00:00,CN035,STUDENT_REQUEST,1,9,6,4
CS-000088,G2018020869,2023-09-21 21:00:00,CN041,AUTO_FLAG,1,20,7,3
CS-000089,G2018007986,2024-04-17 11:00:00,CN027,STUDENT_REQUEST,1,27,5,3
CS-000090,G2018019072,2024-07-02 07:00:00,CN067,MANUAL_PUSH,1,23,7,6
CS-000091,G2018010866,2023-05-28 05:00:00,CN028,AUTO_FLAG,1,5,9,5
CS-000092,G2018000281,2024-04-05 00:00:00,CN069,AUTO_FLAG,1,24,3,3
CS-000093,G2018016206,2023-12-17 23:00:00,CN017,STUDENT_REQUEST,1,17,9,5
CS-000094,G2018011108,2024-11-29 07:00:00,CN009,ADV_REVIEW,1,12,10,9
CS-000095,G2018016326,2024-10-01 04:00:00,CN038,MANUAL_PUSH,1,24,17,17
CS-000096,G2018012369,2023-12-24 09:00:00,CN058,MANUAL_PUSH,1,2,11,6
CS-000097,G2018015078,2023-02-18 14:00:00,CN031,STUDENT_REQUEST,1,8,7,5
CS-000098,G2018007470,2023-06-06 07:00:00,CN069,AUTO_FLAG,1,0,8,8
CS-000099,G2018011669,2023-06-21 22:00:00,CN000,AUTO_FLAG,1,12,9,9
CS-000100,G2018011964,2024-05-07 13:00:00,CN026,ADV_REVIEW,1,25,9,6
CS-000101,G2018003837,2024-08-31 15:00:00,CN035,ADV_REVIEW,1,12,6,5
CS-000102,G2018003343,2023-08-20 17:00:00,CN012,AUTO_FLAG,1,17,9,4
CS-000103,G2018017976,2024-02-24 21:00:00,CN002,ADV_REVIEW,1,12,8,5
CS-000104,G2018020238,2023-12-07 05:00:00,CN070,AUTO_FLAG,1,0,6,2
CS-000105,G2018002765,2024-08-16 12:00:00,CN002,STUDENT_REQUEST,1,6,6,5
CS-000106,G2018002248,2023-06-06 09:00:00,CN034,AUTO_FLAG,1,27,11,11
CS-000107,G2018007246,2023-09-22 19:00:00,CN017,AUTO_FLAG,1,21,6,3
CS-000108,G2018008622,2024-12-02 00:00:00,CN028,STUDENT_REQUEST,1,22,4,3
CS-000109,G2018011658,2024-09-24 19:00:00,CN001,STUDENT_REQUEST,1,9,3,2
CS-000110,G2018019662,2023-10-15 16:00:00,CN032,ADV_REVIEW,1,16,5,2
CS-000111,G2018020230,2023-07-22 09:00:00,CN068,CAP_OVERFLOW,1,8,5,5
CS-000112,G2018003432,2024-11-09 06:00:00,CN053,STUDENT_REQUEST,1,14,7,7
CS-000113,G2018005682,2023-12-19 20:00:00,CN061,AUTO_FLAG,1,12,5,2
CS-000114,G2018012521,2024-12-08 17:00:00,CN004,ADV_REVIEW,1,17,8,8
CS-000115,G2018021258,2024-07-11 16:00:00,CN010,STUDENT_REQUEST,1,17,5,5
CS-000116,G2018017800,2024-07-21 15:00:00,CN028,ADV_REVIEW,1,19,5,1
CS-000117,G2018002713,2024-10-17 10:00:00,CN040,STUDENT_REQUEST,1,22,11,5
CS-000118,G2018004183,2024-02-17 19:00:00,CN061,MANUAL_PUSH,1,18,10,6
CS-000119,G2018011674,2023-08-13 14:00:00,CN048,ADV_REVIEW,1,20,8,6
CS-000120,G2018000374,2023-02-26 22:00:00,CN057,ADV_REVIEW,1,12,5,5
CS-000121,G2018012445,2023-08-07 23:00:00,CN050,ADV_REVIEW,1,3,10,3
CS-000122,G2018005196,2023-06-01 03:00:00,CN070,AUTO_FLAG,1,21,9,6
CS-000123,G2018005929,2023-11-28 07:00:00,CN023,STUDENT_REQUEST,1,7,7,5
CS-000124,G2018011124,2024-12-04 14:00:00,CN005,ADV_REVIEW,1,24,5,5
CS-000125,G2018005065,2023-02-07 04:00:00,CN009,ADV_REVIEW,1,25,8,5
CS-000126,G2018002534,2023-02-21 10:00:00,CN057,ADV_REVIEW,1,12,6,6
CS-000127,G2018014141,2023-02-18 22:00:00,CN049,ADV_REVIEW,1,7,11,2
CS-000128,G2018010686,2023-10-03 21:00:00,CN006,STUDENT_REQUEST,1,20,6,5
CS-000129,G2018017568,2023-10-08 12:00:00,CN032,AUTO_FLAG,1,15,3,2
CS-000130,G2018009225,2024-01-26 08:00:00,CN054,AUTO_FLAG,1,11,9,8
CS-000131,G2018012338,2024-01-30 13:00:00,CN048,STUDENT_REQUEST,1,25,8,5
CS-000132,G2018012445,2023-11-02 12:00:00,CN037,AUTO_FLAG,1,17,6,6
CS-000133,G2018006803,2023-09-28 23:00:00,CN030,ADV_REVIEW,1,6,7,7
CS-000134,G2018020081,2024-05-13 17:00:00,CN016,AUTO_FLAG,1,14,3,2
CS-000135,G2018004456,2024-07-10 07:00:00,CN002,AUTO_FLAG,1,9,9,8
CS-000136,G2018011229,2023-09-05 15:00:00,CN057,AUTO_FLAG,1,18,11,9
CS-000137,G2018004775,2023-04-18 08:00:00,CN005,CAP_OVERFLOW,1,9,8,8
CS-000138,G2018015551,2024-01-24 21:00:00,CN052,CAP_OVERFLOW,0,11,8,6
CS-000139,G2018009528,2023-07-08 19:00:00,CN063,AUTO_FLAG,1,6,9,7
CS-000140,G2018003470,2023-02-16 01:00:00,CN023,ADV_REVIEW,1,16,7,5
CS-000141,G2018020912,2023-06-13 04:00:00,CN043,ADV_REVIEW,1,10,8,8
CS-000142,G2018019141,2023-06-06 19:00:00,CN035,MANUAL_PUSH,1,18,7,7
CS-000143,G2018009029,2024-06-24 23:00:00,CN008,ADV_REVIEW,1,7,7,5
CS-000144,G2018014156,2023-07-29 20:00:00,CN041,AUTO_FLAG,1,2,18,18
CS-000145,G2018006558,2024-10-20 07:00:00,CN026,AUTO_FLAG,1,6,1,0
CS-000146,G2018021234,2024-07-05 20:00:00,CN039,CAP_OVERFLOW,1,25,12,4
CS-000147,G2018011306,2023-05-02 12:00:00,CN001,STUDENT_REQUEST,1,13,7,5
CS-000148,G2018002378,2024-05-22 22:00:00,CN028,ADV_REVIEW,1,20,6,6
CS-000149,G2018020990,2023-05-02 06:00:00,CN070,AUTO_FLAG,1,26,7,7
CS-000150,G2018001254,2024-04-13 06:00:00,CN018,AUTO_FLAG,1,17,6,5
CS-000151,G2018013858,2024-05-07 02:00:00,CN020,ADV_REVIEW,1,11,3,3
CS-000152,G2018000790,2024-06-15 13:00:00,CN052,ADV_REVIEW,1,5,9,5
CS-000153,G2018011567,2023-08-03 02:00:00,CN030,CAP_OVERFLOW,1,13,7,6
CS-000154,G2018002180,2023-11-11 00:00:00,CN038,AUTO_FLAG,1,11,9,9
CS-000155,G2018007458,2023-02-19 23:00:00,CN035,ADV_REVIEW,1,8,7,1
CS-000156,G2018016694,2023-10-10 11:00:00,CN003,MANUAL_PUSH,1,22,7,7
CS-000157,G2018004242,2023-02-27 19:00:00,CN030,AUTO_FLAG,1,27,3,3
CS-000158,G2018005827,2024-08-23 18:00:00,CN008,ADV_REVIEW,1,8,6,4
CS-000159,G2018006769,2023-12-05 16:00:00,CN000,ADV_REVIEW,1,6,8,7
CS-000160,G2018003863,2023-09-17 15:00:00,CN007,STUDENT_REQUEST,1,11,6,5
CS-000161,G2018020036,2023-12-06 21:00:00,CN048,STUDENT_REQUEST,1,23,5,0
CS-000162,G2018015995,2024-09-15 04:00:00,CN019,MANUAL_PUSH,1,11,5,4
CS-000163,G2018007473,2024-07-25 08:00:00,CN002,ADV_REVIEW,1,14,5,2
CS-000164,G2018018233,2024-04-10 02:00:00,CN045,AUTO_FLAG,1,12,5,4
CS-000165,G2018008547,2023-02-11 12:00:00,CN040,AUTO_FLAG,1,10,6,6
CS-000166,G2018009439,2023-01-23 04:00:00,CN016,ADV_REVIEW,1,7,5,2
CS-000167,G2018010655,2023-07-23 18:00:00,CN047,STUDENT_REQUEST,1,26,7,3
CS-000168,G2018008863,2024-01-20 10:00:00,CN023,AUTO_FLAG,1,25,4,3
CS-000169,G2018012833,2024-11-13 07:00:00,CN006,ADV_REVIEW,0,17,7,7
CS-000170,G2018012738,2023-06-15 22:00:00,CN037,STUDENT_REQUEST,1,16,5,2
CS-000171,G2018003093,2023-11-12 11:00:00,CN002,AUTO_FLAG,1,6,7,3
CS-000172,G2018001240,2023-11-18 13:00:00,CN052,MANUAL_PUSH,1,4,7,7
CS-000173,G2018007006,2024-03-25 16:00:00,CN043,AUTO_FLAG,1,21,6,6
CS-000174,G2018014248,2023-07-12 13:00:00,CN068,STUDENT_REQUEST,1,13,5,5
CS-000175,G2018007611,2023-04-28 23:00:00,CN021,ADV_REVIEW,1,1,9,6
CS-000176,G2018017041,2023-02-26 09:00:00,CN044,STUDENT_REQUEST,1,3,6,2
CS-000177,G2018009343,2024-10-18 19:00:00,CN039,ADV_REVIEW,1,5,9,5
CS-000178,G2018012331,2023-04-16 16:00:00,CN016,AUTO_FLAG,1,15,11,11
CS-000179,G2018009244,2023-09-16 06:00:00,CN011,MANUAL_PUSH,1,3,9,4
CS-000180,G2018001121,2024-05-13 09:00:00,CN061,ADV_REVIEW,1,0,4,4
CS-000181,G2018008539,2024-08-24 20:00:00,CN002,ADV_REVIEW,1,2,4,4
CS-000182,G2018013826,2024-12-25 20:00:00,CN071,MANUAL_PUSH,1,11,4,4
CS-000183,G2018007916,2023-11-15 08:00:00,CN034,ADV_REVIEW,1,5,11,10
CS-000184,G2018019676,2024-01-29 06:00:00,CN027,AUTO_FLAG,1,26,7,6
CS-000185,G2018007200,2023-06-26 01:00:00,CN021,AUTO_FLAG,1,15,11,9
CS-000186,G2018015765,2024-09-29 23:00:00,CN006,STUDENT_REQUEST,1,15,7,7
CS-000187,G2018018356,2024-06-01 07:00:00,CN047,AUTO_FLAG,1,1,10,8
CS-000188,G2018000439,2023-08-31 18:00:00,CN069,AUTO_FLAG,1,21,6,6
CS-000189,G2018013751,2023-03-09 11:00:00,CN030,ADV_REVIEW,1,22,6,2
CS-000190,G2018002091,2023-03-17 09:00:00,CN048,CAP_OVERFLOW,1,15,12,8
CS-000191,G2018019240,2023-02-22 07:00:00,CN031,ADV_REVIEW,1,22,5,2
CS-000192,G2018009743,2023-01-25 10:00:00,CN012,ADV_REVIEW,1,10,9,9
CS-000193,G2018009171,2023-03-03 23:00:00,CN026,STUDENT_REQUEST,0,22,9,8
CS-000194,G2018005477,2024-02-02 07:00:00,CN020,AUTO_FLAG,1,22,7,6
CS-000195,G2018014400,2023-01-26 08:00:00,CN010,AUTO_FLAG,1,5,1,0
CS-000196,G2018006695,2024-10-06 04:00:00,CN028,CAP_OVERFLOW,1,15,3,3
CS-000197,G2018007512,2023-09-24 18:00:00,CN067,AUTO_FLAG,1,17,6,5
CS-000198,G2018004780,2023-11-11 13:00:00,CN049,STUDENT_REQUEST,1,27,8,8
CS-000199,G2018020757,2023-09-13 10:00:00,CN035,ADV_REVIEW,1,15,5,5
CS-000200,G2018003399,2023-07-05 04:00:00,CN055,MANUAL_PUSH,1,1,13,7
CS-000201,G2018010712,2024-01-12 07:00:00,CN001,AUTO_FLAG,1,15,5,5
CS-000202,G2018005547,2024-04-29 14:00:00,CN040,ADV_REVIEW,1,18,5,5
CS-000203,G2018009863,2023-09-14 02:00:00,CN007,AUTO_FLAG,1,27,7,7
CS-000204,G2018007640,2024-11-19 13:00:00,CN003,AUTO_FLAG,1,23,7,3
CS-000205,G2018003081,2024-02-03 22:00:00,CN070,ADV_REVIEW,1,0,13,11
CS-000206,G2018009275,2024-06-07 22:00:00,CN025,AUTO_FLAG,1,15,8,4
CS-000207,G2018001014,2023-04-12 04:00:00,CN039,AUTO_FLAG,1,22,9,3
CS-000208,G2018013770,2024-11-11 10:00:00,CN044,ADV_REVIEW,1,24,3,2
CS-000209,G2018011877,2024-10-15 14:00:00,CN061,ADV_REVIEW,1,9,6,6
CS-000210,G2018020331,2024-09-11 21:00:00,CN014,AUTO_FLAG,1,10,7,7
CS-000211,G2018012316,2023-01-23 20:00:00,CN024,ADV_REVIEW,1,6,9,8
CS-000212,G2018005523,2024-02-18 03:00:00,CN029,ADV_REVIEW,1,6,7,5
CS-000213,G2018000943,2024-08-22 09:00:00,CN046,ADV_REVIEW,1,10,7,4
CS-000214,G2018006175,2023-05-23 02:00:00,CN038,ADV_REVIEW,1,2,8,8
CS-000215,G2018006200,2023-02-27 19:00:00,CN000,ADV_REVIEW,1,21,3,0
CS-000216,G2018012687,2023-01-19 14:00:00,CN041,STUDENT_REQUEST,1,19,7,7
CS-000217,G2018018763,2024-09-08 19:00:00,CN047,ADV_REVIEW,1,14,8,4
CS-000218,G2018019680,2023-06-06 09:00:00,CN059,STUDENT_REQUEST,1,11,7,7
CS-000219,G2018010962,2023-02-07 01:00:00,CN038,AUTO_FLAG,1,2,8,5
CS-000220,G2018012496,2023-05-03 16:00:00,CN030,ADV_REVIEW,1,13,4,4
CS-000221,G2018013091,2023-08-27 22:00:00,CN062,STUDENT_REQUEST,1,6,6,4
CS-000222,G2018004799,2024-11-07 12:00:00,CN004,AUTO_FLAG,1,11,6,6
CS-000223,G2018013461,2024-01-24 11:00:00,CN037,STUDENT_REQUEST,1,20,11,8
CS-000224,G2018006435,2023-01-19 07:00:00,CN001,AUTO_FLAG,1,22,5,4
CS-000225,G2018012592,2023-11-14 16:00:00,CN051,ADV_REVIEW,1,1,6,5
CS-000226,G2018008799,2023-12-06 03:00:00,CN054,ADV_REVIEW,1,11,7,6
CS-000227,G2018012152,2023-06-11 02:00:00,CN003,STUDENT_REQUEST,1,3,5,0
CS-000228,G2018009450,2023-08-11 17:00:00,CN059,STUDENT_REQUEST,1,10,7,7
CS-000229,G2018013671,2023-11-30 09:00:00,CN020,AUTO_FLAG,1,4,10,9
CS-000230,G2018012439,2023-01-23 17:00:00,CN069,STUDENT_REQUEST,1,23,3,1
CS-000231,G2018008217,2023-06-08 13:00:00,CN047,STUDENT_REQUEST,1,14,6,2
CS-000232,G2018003810,2023-02-20 19:00:00,CN030,AUTO_FLAG,1,24,9,8
CS-000233,G2018019435,2023-10-27 13:00:00,CN026,AUTO_FLAG,1,14,4,2
CS-000234,G2018009638,2023-10-29 16:00:00,CN031,CAP_OVERFLOW,0,10,7,6
CS-000235,G2018010236,2023-12-18 23:00:00,CN011,STUDENT_REQUEST,1,6,3,1
CS-000236,G2018018109,2023-10-23 15:00:00,CN061,AUTO_FLAG,1,9,9,2
CS-000237,G2018017946,2023-03-14 17:00:00,CN000,AUTO_FLAG,1,17,6,6
CS-000238,G2018010164,2024-04-12 20:00:00,CN012,ADV_REVIEW,1,2,3,2
CS-000239,G2018003224,2024-06-15 19:00:00,CN036,AUTO_FLAG,1,7,3,2
CS-000240,G2018002312,2023-03-29 03:00:00,CN042,ADV_REVIEW,1,22,11,5
CS-000241,G2018007888,2023-07-11 11:00:00,CN037,AUTO_FLAG,1,19,5,4
CS-000242,G2018004322,2023-02-11 18:00:00,CN049,STUDENT_REQUEST,1,18,4,2
CS-000243,G2018002245,2024-08-13 03:00:00,CN067,ADV_REVIEW,1,21,3,3
CS-000244,G2018009395,2024-08-13 09:00:00,CN010,ADV_REVIEW,1,2,10,4
CS-000245,G2018019127,2023-07-23 20:00:00,CN004,STUDENT_REQUEST,1,1,10,10
CS-000246,G2018015288,2024-03-10 18:00:00,CN063,STUDENT_REQUEST,1,21,9,2
CS-000247,G2018014939,2024-03-05 04:00:00,CN058,AUTO_FLAG,1,10,11,11
CS-000248,G2018015728,2023-07-13 10:00:00,CN043,ADV_REVIEW,1,12,10,9
CS-000249,G2018013830,2023-06-09 12:00:00,CN062,AUTO_FLAG,1,24,7,7
CS-000250,G2018000723,2024-11-19 20:00:00,CN057,AUTO_FLAG,1,10,9,6
CS-000251,G2018008406,2023-08-06 19:00:00,CN054,CAP_OVERFLOW,1,0,9,9
CS-000252,G2018002055,2024-05-06 21:00:00,CN008,STUDENT_REQUEST,1,15,8,7
CS-000253,G2018020355,2023-06-16 12:00:00,CN023,AUTO_FLAG,1,4,9,6
CS-000254,G2018014093,2023-01-23 16:00:00,CN024,AUTO_FLAG,1,20,7,3
CS-000255,G2018008033,2024-11-12 01:00:00,CN049,ADV_REVIEW,1,1,12,10
CS-000256,G2018009481,2023-09-11 06:00:00,CN065,ADV_REVIEW,1,20,9,6
CS-000257,G2018011204,2023-02-04 02:00:00,CN024,CAP_OVERFLOW,1,17,6,3
CS-000258,G2018006353,2023-07-13 14:00:00,CN031,AUTO_FLAG,1,8,8,8
CS-000259,G2018020758,2024-04-23 09:00:00,CN060,AUTO_FLAG,1,26,4,2
CS-000260,G2018011946,2023-07-03 18:00:00,CN036,ADV_REVIEW,1,5,6,2
CS-000261,G2018003957,2024-04-26 18:00:00,CN064,ADV_REVIEW,1,18,6,2
CS-000262,G2018017211,2023-01-24 04:00:00,CN056,STUDENT_REQUEST,1,11,9,5
CS-000263,G2018010317,2023-12-14 15:00:00,CN030,ADV_REVIEW,1,21,5,2
CS-000264,G2018014590,2023-11-11 11:00:00,CN031,AUTO_FLAG,1,18,9,7
CS-000265,G2018017815,2023-06-21 14:00:00,CN003,MANUAL_PUSH,1,22,10,10
CS-000266,G2018015587,2024-03-22 19:00:00,CN020,AUTO_FLAG,1,1,10,6
CS-000267,G2018003551,2024-08-19 09:00:00,CN050,STUDENT_REQUEST,1,17,6,4
CS-000268,G2018020910,2023-07-05 04:00:00,CN039,AUTO_FLAG,1,25,9,9
CS-000269,G2018008135,2024-12-02 08:00:00,CN034,ADV_REVIEW,1,19,3,2
CS-000270,G2018004761,2024-09-03 15:00:00,CN000,ADV_REVIEW,1,11,9,6
CS-000271,G2018002186,2024-04-17 21:00:00,CN005,STUDENT_REQUEST,1,8,12,12
CS-000272,G2018002909,2024-08-10 09:00:00,CN052,MANUAL_PUSH,1,4,8,1
CS-000273,G2018001704,2024-11-23 16:00:00,CN043,STUDENT_REQUEST,1,24,7,5
CS-000274,G2018011694,2024-12-19 04:00:00,CN064,AUTO_FLAG,1,14,11,7
CS-000275,G2018006225,2024-10-05 16:00:00,CN009,AUTO_FLAG,1,15,3,1
CS-000276,G2018005427,2024-06-07 19:00:00,CN061,MANUAL_PUSH,1,6,7,5
CS-000277,G2018021076,2023-08-26 09:00:00,CN057,STUDENT_REQUEST,1,1,3,3
CS-000278,G2018021220,2023-05-15 10:00:00,CN053,AUTO_FLAG,0,4,5,5
CS-000279,G2018005644,2024-07-21 20:00:00,CN065,AUTO_FLAG,1,27,4,4
CS-000280,G2018001838,2024-04-26 09:00:00,CN053,ADV_REVIEW,1,6,17,9
CS-000281,G2018013456,2024-10-14 06:00:00,CN015,MANUAL_PUSH,1,12,11,11
CS-000282,G2018009039,2023-01-22 03:00:00,CN025,STUDENT_REQUEST,1,17,12,7
CS-000283,G2018010791,2024-04-19 15:00:00,CN030,STUDENT_REQUEST,1,2,7,5
CS-000284,G2018019603,2023-05-30 04:00:00,CN050,ADV_REVIEW,1,23,11,11
CS-000285,G2018012827,2024-02-18 08:00:00,CN010,AUTO_FLAG,1,13,8,8
CS-000286,G2018011721,2024-09-26 10:00:00,CN069,AUTO_FLAG,1,16,17,13
CS-000287,G2018011936,2023-10-21 20:00:00,CN015,ADV_REVIEW,1,21,8,3
CS-000288,G2018011808,2024-05-16 22:00:00,CN056,ADV_REVIEW,1,19,3,1
CS-000289,G2018003237,2024-03-10 22:00:00,CN006,AUTO_FLAG,1,19,10,8
CS-000290,G2018001232,2023-05-31 06:00:00,CN014,CAP_OVERFLOW,1,20,5,3
