graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018001269,U08,2021,STEM,2.807,1,0
G2018001274,U05,2021,SOC,4.0,0,0
G2018001275,U03,2021,HLT,3.64,1,0
G2018001276,U05,2021,HLT,2.16,0,0
G2018001284,U06,2021,BUS,2.739,0,0
G2018001292,U03,2021,STEM,3.04,0,0
G2018001295,U06,2021,BUS,3.053,0,0
G2018001308,U05,2021,STEM,3.437,0,0
G2018001309,U04,2021,EDU,3.424,0,0
G2018001311,U07,2021,SOC,2.938,0,1
G2018001317,U04,2021,STEM,3.237,1,1
G2018001319,U02,2021,STEM,3.348,0,0
G2018001330,U02,2021,STEM,3.508,0,0
G2018001337,U06,2021,SOC,3.043,1,1
G2018001338,U08,2021,BUS,2.976,0,0
G2018001348,U08,2021,STEM,3.646,0,0
G2018001357,U08,2021,SOC,3.35,0,1
G2018001367,U06,2021,HUM,3.305,0,0
G2018001369,U03,2021,BUS,2.783,0,0
G2018001377,U04,2021,SOC,2.522,0,0
G2018001381,U02,2021,BUS,2.786,1,0
G2018001382,U02,2021,BUS,2.472,0,1
G2018001393,U06,2021,BUS,2.959,0,0
G2018001394,U08,2021,SOC,3.376,0,0
G2018001410,U02,2021,HLT,3.307,1,0
G2018001413,U06,2021,SOC,3.002,0,0
G2018001421,U07,2021,BUS,3.191,1,0
G2018001423,U01,2021,BUS,2.38,1,1
G2018001427,U05,2021,BUS,3.225,1,0
G2018001431,U06,2021,EDU,3.33,0,1
G2018001446,U03,2021,STEM,2.766,1,0
G2018001449,U03,2021,HUM,3.242,0,0
G2018001450,U01,2021,EDU,1.9,1,0
G2018001456,U02,2021,STEM,2.617,0,0
G2018001459,U05,2021,SOC,3.768,0,0
G2018001465,U08,2021,SOC,2.746,1,0
G2018001472,U06,2021,HLT,3.673,1,0
G2018001484,U05,2021,SOC,2.709,1,0
G2018001485,U08,2021,SOC,1.764,1,1
G2018001507,U03,2021,BUS,2.768,0,0
G2018001513,U08,2021,BUS,3.484,0,0
G2018001518,U03,2021,SOC,2.447,0,0
G2018001524,U05,2021,HUM,3.733,0,0
G2018001527,U05,2021,HLT,2.88,1,0
G2018001529,U06,2021,BUS,3.232,0,0
G2018001530,U08,2021,BUS,2.911,0,0
G2018001536,U04,2021,STEM,3.241,0,0
G2018001543,U07,2021,BUS,3.799,0,0
G2018001546,U08,2021,BUS,2.851,0,0
G2018001552,U06,2021,STEM,3.327,0,0
G2018001566,U03,2021,BUS,3.18,0,0
G2018001571,U04,2021,STEM,2.843,0,0
G2018001572,U03,2021,BUS,2.933,1,0
G2018001574,U04,2021,STEM,2.724,1,0
G2018001590,U08,2021,SOC,3.262,0,0
G2018001593,U08,2021,BUS,3.637,1,0
G2018001597,U01,2021,BUS,2.941,0,0
G2018001598,U07,2021,BUS,2.521,1,0
G2018001601,U05,2021,BUS,3.148,0,1
G2018001605,U01,2021,SOC,3.504,0,0
G2018001607,U04,2021,HUM,3.395,0,1
G2018001611,U02,2021,STEM,2.967,0,0
G2018001623,U04,2021,BUS,3.325,0,0
G2018001625,U07,2021,SOC,2.688,0,0
G2018001642,U02,2021,STEM,2.824,0,0
G2018001643,U06,2021,STEM,2.486,0,0
G2018001651,U07,2021,EDU,3.317,0,0
G2018001653,U06,2021,BUS,2.702,0,0
G2018001655,U04,2021,STEM,3.15,0,0
G2018001657,U05,2021,SOC,2.878,0,0
G2018001661,U07,2021,BUS,3.117,0,0
G2018001668,U02,2021,HLT,3.72,0,0
G2018001672,U08,2021,STEM,2.809,0,0
G2018001674,U01,2021,EDU,2.976,0,0
G2018001685,U05,2021,BUS,3.714,0,0
G2018001691,U05,2021,BUS,3.479,0,0
G2018001694,U05,2021,HLT,3.485,0,1
G2018001697,U07,2021,STEM,3.074,0,1
G2018001710,U01,2021,STEM,3.229,0,0
G2018001714,U07,2021,HUM,3.163,0,1
G2018001717,U03,2021,HLT,3.674,0,0
G2018001722,U02,2021,STEM,3.345,0,1
G2018001724,U04,2021,SOC,3.329,0,0
G2018001725,U05,2021,STEM,2.667,0,0
G2018001728,U07,2021,SOC,3.688,1,0
G2018001731,U02,2021,EDU,2.472,0,1
G2018001737,U06,2021,HLT,3.539,0,0
G2018001745,U02,2021,BUS,3.539,0,0
G2018001753,U04,2021,EDU,2.722,1,1
G2018001754,U07,2021,SOC,3.11,0,1
G2018001761,U02,2021,BUS,3.136,0,0
G2018001762,U01,2021,STEM,2.622,1,0
G2018001764,U04,2021,BUS,3.178,0,1
G2018001766,U01,2021,BUS,2.601,1,0
G2018001776,U01,2021,STEM,2.572,0,1
G2018001778,U07,2021,EDU,2.92,0,0
G2018001781,U01,2021,SOC,3.212,0,0
G2018001786,U03,2021,HLT,2.889,1,0
G2018001794,U08,2021,BUS,2.843,0,1
G2018001798,U07,2021,HLT,2.687,0,1
G2018001801,U08,2021,SOC,2.96,0,0
G2018001809,U03,2021,BUS,3.289,0,0
G2018001817,U06,2021,STEM,2.546,0,1
G2018001819,U02,2021,BUS,2.983,0,0
G2018001822,U01,2021,SOC,3.127,0,0
G2018001827,U01,2021,STEM,2.684,1,0
G2018001828,U07,2021,BUS,2.947,0,0
G2018001833,U06,2021,HLT,2.359,0,0
G2018001834,U01,2021,SOC,3.318,0,0
G2018001855,U02,2021,SOC,3.354,0,1
G2018001856,U07,2021,SOC,3.262,1,0
G2018001860,U08,2021,HUM,2.934,0,0
G2018001866,U06,2021,SOC,3.051,0,0
G2018001867,U02,2021,BUS,3.346,0,0
G2018001868,U03,2021,HUM,2.4,0,0
G2018001870,U02,2021,EDU,3.049,1,0
G2018001874,U06,2021,STEM,3.108,0,0
G2018001882,U02,2021,BUS,3.099,0,0
G2018001884,U04,2021,BUS,2.63,0,0
G2018001895,U02,2021,EDU,2.771,0,0
G2018001898,U08,2021,HLT,2.818,1,0
G2018001904,U07,2021,BUS,3.65,0,1
G2018001907,U08,2021,STEM,2.694,0,0
G2018001917,U04,2021,BUS,3.109,0,0
G2018001918,U05,2021,BUS,2.572,0,0
G2018001921,U06,2021,STEM,3.112,0,0
G2018001922,U03,2021,BUS,2.963,0,1
G2018001923,U03,2021,HUM,2.54,0,0
G2018001925,U05,2021,HLT,3.448,0,0
G2018001932,U04,2021,SOC,2.74,1,0
G2018001942,U05,2021,BUS,3.426,1,0
G2018001946,U03,2021,BUS,3.047,0,0
G2018001951,U04,2021,STEM,2.619,0,0
G2018001958,U02,2021,STEM,2.85,0,0
G2018001964,U01,2021,BUS,3.423,1,0
G2018001972,U03,2021,SOC,2.802,1,1
G2018001986,U03,2021,SOC,2.851,0,1
G2018001987,U08,2021,SOC,2.594,0,0
G2018001989,U06,2021,HUM,3.124,1,0
G2018001990,U04,2021,EDU,2.927,0,1
G2018001991,U03,2021,SOC,2.453,0,1
G2018001994,U07,2021,SOC,3.404,0,0
G2018001998,U04,2021,SOC,3.563,0,1
G2018002001,U08,2021,STEM,3.284,1,0
G2018002015,U01,2021,STEM,3.404,1,0
G2018002039,U02,2021,HLT,2.88,0,0
G2018002040,U01,2021,STEM,2.868,0,0
G2018002045,U04,2021,STEM,2.525,1,0
G2018002051,U06,2021,SOC,2.925,0,0
G2018002054,U04,2021,BUS,3.837,0,0
G2018002056,U04,2021,STEM,3.435,1,0
G2018002057,U08,2021,SOC,2.955,0,0
G2018002058,U07,2021,SOC,3.22,0,0
G2018002064,U02,2021,STEM,3.144,1,1
G2018002067,U07,2021,SOC,2.846,0,0
G2018002081,U06,2021,HLT,2.881,1,0
G2018002082,U06,2021,BUS,3.7,0,0
G2018002084,U03,2021,STEM,2.721,1,0
G2018002099,U03,2021,BUS,2.535,1,0
G2018002100,U08,2021,STEM,2.555,0,0
G2018002106,U01,2021,STEM,3.948,1,1
G2018002108,U01,2021,HLT,2.689,0,1
G2018002111,U05,2021,BUS,3.613,0,0
G2018002114,U07,2021,STEM,2.714,0,0
G2018002115,U04,2021,STEM,2.269,0,0
G2018002130,U05,2021,SOC,3.347,1,0
G2018002133,U08,2021,EDU,2.798,1,0
G2018002134,U04,2021,HUM,3.509,0,0
G2018002139,U06,2021,STEM,2.98,0,1
G2018002142,U06,2021,STEM,2.881,0,1
G2018002145,U06,2021,SOC,2.75,0,0
G2018002147,U08,2021,BUS,3.596,1,0
G2018002153,U06,2021,SOC,3.434,0,0
G2018002154,U06,2021,BUS,3.02,0,0
G2018002156,U06,2021,SOC,3.418,0,0
G2018002165,U04,2021,BUS,3.242,0,0
G2018002169,U02,2021,STEM,2.282,0,0
G2018002171,U03,2021,HUM,2.808,0,1
G2018002181,U05,2021,HUM,3.543,1,0
G2018002182,U07,2021,BUS,2.872,0,1
G2018002187,U06,2021,SOC,2.176,0,0
G2018002193,U08,2021,SOC,3.842,0,0
G2018002195,U06,2021,HLT,2.928,0,0
G2018002197,U08,2021,HUM,3.413,0,0
G2018002199,U03,2021,STEM,2.958,0,0
G2018002200,U02,2021,BUS,3.701,0,0
G2018002202,U06,2021,HLT,3.441,0,0
G2018002205,U05,2021,BUS,3.222,0,0
G2018002213,U07,2021,BUS,2.922,1,1
G2018002222,U05,2021,STEM,2.894,0,0
G2018002228,U04,2021,SOC,3.146,0,1
G2018002230,U04,2021,STEM,3.584,0,0
G2018002244,U03,2021,HLT,2.654,0,0
G2018002247,U05,2021,HLT,2.459,0,0
G2018002252,U03,2021,HUM,2.741,1,0
G2018002257,U07,2021,BUS,3.474,1,0
G2018002267,U01,2021,HUM,3.296,0,0
G2018002274,U02,2021,SOC,3.038,0,0
G2018002275,U06,2021,BUS,2.633,0,0
G2018002278,U06,2021,HLT,2.831,0,0
G2018002279,U01,2021,EDU,3.928,0,0
G2018002299,U07,2021,BUS,2.896,1,0
G2018002304,U04,2021,HLT,3.499,0,0
G2018002307,U02,2021,BUS,2.64,0,0
G2018002323,U03,2021,BUS,3.329,1,0
G2018002326,U07,2021,HLT,3.188,1,1
G2018002328,U02,2021,EDU,2.775,0,1
G2018002329,U06,2021,HLT,3.462,0,0
G2018002350,U06,2021,HUM,2.592,1,1
G2018002355,U05,2021,BUS,2.595,0,1
G2018002361,U03,2021,STEM,2.729,0,0
G2018002364,U06,2021,HLT,3.838,0,0
G2018002366,U07,2021,SOC,3.454,0,0
G2018002373,U04,2021,STEM,3.71,0,0
G2018002381,U02,2021,STEM,4.0,0,0
G2018002387,U05,2021,STEM,2.513,1,0
G2018002389,U01,2021,BUS,3.257,0,0
G2018002396,U04,2021,SOC,2.258,0,0
G2018002398,U02,2021,HUM,1.821,1,0
G2018002400,U05,2021,STEM,3.066,0,0
G2018002401,U05,2021,HUM,2.973,0,0
G2018002402,U01,2021,HLT,2.836,1,0
G2018002405,U02,2021,BUS,3.472,0,0
G2018002409,U02,2021,HUM,3.466,1,0
G2018002413,U07,2021,STEM,3.399,0,0
G2018002415,U07,2021,STEM,2.903,0,0
G2018002420,U08,2021,HLT,3.499,1,0
G2018002428,U03,2021,STEM,3.152,0,0
G2018002433,U08,2021,STEM,3.304,0,0
G2018002437,U04,2021,STEM,3.018,1,0
G2018002447,U06,2021,STEM,3.753,0,0
G2018002457,U03,2021,STEM,2.855,1,0
G2018002463,U03,2021,BUS,2.82,0,1
G2018002465,U06,2021,BUS,2.884,0,1
G2018002467,U07,2021,HUM,3.023,0,0
G2018002468,U07,2021,STEM,1.846,0,0
G2018002469,U01,2021,HUM,3.41,1,1
G2018002471,U08,2021,STEM,3.477,0,0
G2018002473,U05,2021,BUS,3.077,1,0
G2018002481,U01,2021,SOC,2.797,0,0
G2018002482,U03,2021,BUS,2.676,0,0
G2018002488,U07,2021,EDU,2.185,0,0
G2018002501,U03,2021,STEM,2.857,0,0
G2018002525,U03,2021,BUS,3.439,1,0
G2018002528,U06,2021,STEM,2.839,0,1
G2018002529,U06,2021,STEM,3.12,1,1
G2018002534,U07,2021,BUS,3.113,0,1
G2018002535,U07,2021,BUS,3.285,0,0
G2018002540,U06,2021,HUM,3.224,0,1
G2018002545,U05,2021,STEM,2.961,0,0
G2018002556,U01,2021,EDU,3.081,0,0
G2018002557,U07,2021,EDU,2.96,0,0
G2018002559,U06,2021,SOC,2.15,0,0
G2018002567,U02,2021,BUS,2.889,0,0
G2018002568,U07,2021,STEM,2.657,0,1
G2018002571,U03,2021,SOC,3.285,0,0
G2018002586,U03,2021,EDU,3.299,0,0
G2018002589,U02,2021,STEM,3.052,0,1
G2018002591,U03,2021,STEM,2.965,0,0
G2018002595,U08,2021,BUS,2.306,1,0
G2018002601,U05,2021,BUS,3.487,0,0
G2018002608,U06,2021,STEM,3.046,0,0
G2018002611,U04,2021,HLT,2.984,0,1
G2018002613,U04,2021,BUS,3.296,1,0
G2018002614,U01,2021,STEM,3.037,0,1
G2018002618,U08,2021,STEM,2.46,0,1
G2018002627,U07,2021,HLT,2.9,0,1
G2018002630,U07,2021,BUS,3.18,0,0
G2018002632,U02,2021,STEM,3.259,0,0
G2018002635,U01,2021,STEM,2.74,0,0
G2018002638,U08,2021,EDU,2.889,0,0
G2018002639,U08,2021,STEM,2.527,0,0
G2018002642,U04,2021,SOC,2.763,0,0
G2018002643,U01,2021,HLT,2.633,1,1
G2018002651,U08,2021,HLT,3.347,0,0
G2018002652,U05,2021,STEM,3.001,0,0
G2018002654,U08,2021,HUM,3.629,0,1
G2018002661,U01,2021,STEM,3.556,1,0
G2018002671,U05,2021,BUS,2.361,0,0
G2018002677,U02,2021,STEM,2.554,0,0
G2018002678,U04,2021,BUS,3.765,0,0
G2018002683,U04,2021,EDU,2.821,1,0
G2018002686,U04,2021,BUS,2.607,1,0
G2018002695,U08,2021,EDU,3.353,0,1
G2018002698,U03,2021,HLT,2.969,0,1
G2018002703,U02,2021,SOC,2.829,0,0
G2018002705,U07,2021,HUM,3.307,0,0
G2018002706,U01,2021,STEM,3.87,1,1
G2018002711,U03,2021,BUS,3.234,0,0
G2018002721,U07,2021,HLT,3.542,0,0
G2018002729,U06,2021,STEM,2.898,0,1
G2018002734,U07,2021,HUM,2.666,0,0
G2018002744,U08,2021,STEM,2.725,0,0
G2018002746,U03,2021,HLT,2.92,0,0
G2018002747,U03,2021,STEM,2.934,0,0
G2018002749,U03,2021,BUS,2.499,0,0
G2018002750,U08,2021,SOC,2.746,0,0
G2018002753,U06,2021,BUS,3.271,0,0
G2018002763,U05,2021,STEM,3.621,0,0
G2018002764,U06,2021,HUM,2.545,1,0
G2018002772,U06,2021,STEM,2.897,1,0
G2018002774,U06,2021,BUS,2.69,0,0
G2018002779,U02,2021,BUS,3.3,0,0
G2018002781,U01,2021,BUS,3.502,1,1
