first_gen,rural_origin,low_income_q,high_demand_field,cum_gpa,age_at_grad,cate_match,cate_quality,cate_stability,se_stability,ci_lo,ci_hi
0,1,1,0,3.6,30,7.3427,0.087,0.11,0.0235,0.064,0.1561
0,1,1,1,2.4,23,8.2867,0.0756,0.1063,0.0207,0.0657,0.1468
0,1,1,1,2.4,25,8.1958,0.0842,0.1333,0.0311,0.0724,0.1943
0,1,1,1,2.4,27,8.2931,0.0968,0.1295,0.024,0.0824,0.1765
0,1,1,1,2.4,30,8.4421,0.0988,0.1329,0.0253,0.0833,0.1825
0,1,1,1,2.8,23,7.8403,0.0961,0.1201,0.026,0.0692,0.1711
0,1,1,1,2.8,25,7.9871,0.0753,0.1338,0.021,0.0927,0.175
0,1,1,1,2.8,27,8.318,0.0919,0.1068,0.0306,0.0468,0.1668
0,1,1,1,2.8,30,7.5143,0.075,0.1045,0.0321,0.0416,0.1674
0,1,1,1,3.2,23,9.2331,0.1011,0.1026,0.0305,0.0429,0.1624
0,1,1,1,3.2,25,8.652,0.1023,0.1326,0.0282,0.0773,0.1879
0,1,1,1,3.2,27,8.4164,0.0755,0.1241,0.0215,0.082,0.1663
0,1,1,1,3.2,30,8.6815,0.0881,0.1269,0.0239,0.08,0.1737
0,1,1,1,3.6,23,8.3742,0.0749,0.1186,0.0242,0.0711,0.166
0,1,1,1,3.6,25,8.2787,0.0875,0.1146,0.0305,0.0548,0.1743
0,1,1,1,3.6,27,8.4737,0.0804,0.1267,0.0267,0.0744,0.179
0,1,1,1,3.6,30,8.3462,0.0771,0.1138,0.0228,0.0692,0.1585
1,0,0,0,2.4,23,9.6368,0.1119,0.1271,0.0306,0.0671,0.187
1,0,0,0,2.4,25,9.2014,0.1052,0.1286,0.0275,0.0747,0.1825
1,0,0,0,2.4,27,9.6675,0.112,0.1421,0.0288,0.0857,0.1986
1,0,0,0,2.4,30,9.9026,0.108,0.1381,0.0192,0.1004,0.1757
1,0,0,0,2.8,23,9.472,0.0949,0.1316,0.0201,0.0922,0.171
1,0,0,0,2.8,25,9.2555,0.0982,0.1312,0.0334,0.0658,0.1967
1,0,0,0,2.8,27,8.7083,0.1126,0.1136,0.0194,0.0755,0.1516
1,0,0,0,2.8,30,8.9685,0.1131,0.1358,0.0259,0.0851,0.1866
1,0,0,0,3.2,23,8.7616,0.1004,0.1325,0.0252,0.0831,0.1819
1,0,0,0,3.2,25,9.1543,0.1216,0.1338,0.0324,0.0703,0.1973
1,0,0,0,3.2,27,9.5913,0.109,0.1276,0.0305,0.0678,0.1874
1,0,0,0,3.2,30,8.5279,0.118,0.1276,0.0229,0.0827,0.1725
1,0,0,0,3.6,23,9.3499,0.1088,0.1348,0.0218,0.092,0.1775
1,0,0,0,3.6,25,8.4972,0.1154,0.127,0.0311,0.0661,0.188
1,0,0,0,3.6,27,9.0141,0.0996,0.1228,0.0326,0.0589,0.1867
1,0,0,0,3.6,30,9.4813,0.1036,0.1298,0.0268,0.0773,0.1824
1,0,0,1,2.4,23,9.5739,0.0906,0.1291,0.0242,0.0816,0.1765
1,0,0,1,2.4,25,10.3255,0.1058,0.1238,0.0186,0.0874,0.1603
1,0,0,1,2.4,27,9.8697,0.0935,0.1164,0.0237,0.0699,0.1628
1,0,0,1,2.4,30,9.7066,0.1066,0.138,0.019,0.1008,0.1753
1,0,0,1,2.8,23,9.7956,0.0999,0.1141,0.0276,0.06,0.1682
1,0,0,1,2.8,25,9.7508,0.0955,0.1402,0.0312,0.0791,0.2014
1,0,0,1,2.8,27,9.9275,0.1006,0.1295,0.0322,0.0663,0.1926
1,0,0,1,2.8,30,9.2769,0.0993,0.1287,0.0198,0.0899,0.1675
1,0,0,1,3.2,23,9.7447,0.0943,0.1267,0.0252,0.0773,0.1761
1,0,0,1,3.2,25,9.497,0.117,0.126,0.0321,0.0631,0.189
1,0,0,1,3.2,27,9.8415,0.0957,0.1217,0.0248,0.0731,0.1703
1,0,0,1,3.2,30,9.486,0.1136,0.1264,0.0296,0.0684,0.1844
1,0,0,1,3.6,23,9.8316,0.1152,0.1231,0.0203,0.0833,0.1629
1,0,0,1,3.6,25,10.5564,0.1114,0.1351,0.0219,0.0922,0.178
1,0,0,1,3.6,27,10.6107,0.1,0.1146,0.0275,0.0607,0.1685
1,0,0,1,3.6,30,9.6602,0.0973,0.1226,0.0195,0.0844,0.1608
1,0,1,0,2.4,23,9.2393,0.0929,0.1373,0.0223,0.0936,0.181
1,0,1,0,2.4,25,9.4965,0.0933,0.1571,0.0219,0.1141,0.2
1,0,1,0,2.4,27,9.0034,0.0931,0.1474,0.0265,0.0955,0.1994
1,0,1,0,2.4,30,9.2231,0.099,0.1454,0.018,0.1101,0.1807
1,0,1,0,2.8,23,8.9569,0.1051,0.1536,0.0284,0.0979,0.2092
1,0,1,0,2.8,25,9.5023,0.1111,0.1377,0.0224,0.0938,0.1816
1,0,1,0,2.8,27,8.8241,0.0932,0.1348,0.0312,0.0737,0.196
1,0,1,0,2.8,30,10.0489,0.1111,0.1491,0.0184,0.113,0.1852
1,0,1,0,3.2,23,8.8048,0.0958,0.1407,0.0278,0.0862,0.1951
1,0,1,0,3.2,25,9.2022,0.1243,0.151,0.0285,0.0952,0.2069
1,0,1,0,3.2,27,9.8028,0.1146,0.1616,0.0314,0.1001,0.2231
1,0,1,0,3.2,30,9.3819,0.1206,0.1454,0.0192,0.1078,0.1831
1,0,1,0,3.6,23,8.2664,0.1069,0.1516,0.0236,0.1053,0.1979
1,0,1,0,3.6,25,9.5118,0.0965,0.1424,0.0217,0.0999,0.1849
1,0,1,0,3.6,27,9.2304,0.0911,0.1416,0.0181,0.1061,0.1771
1,0,1,0,3.6,30,9.4263,0.1051,0.1455,0.0208,0.1048,0.1863
1,0,1,1,2.4,23,9.1029,0.0909,0.1565,0.0337,0.0905,0.2226
1,0,1,1,2.4,25,10.7577,0.1093,0.1455,0.0234,0.0996,0.1914
1,0,1,1,2.4,27,9.15,0.1094,0.1553,0.0214,0.1134,0.1973
1,0,1,1,2.4,30,10.3374,0.0967,0.1423,0.0293,0.0849,0.1997
1,0,1,1,2.8,23,9.3232,0.1131,0.1382,0.0228,0.0935,0.1828
1,0,1,1,2.8,25,9.3163,0.1048,0.139,0.0312,0.0779,0.2002
1,0,1,1,2.8,27,10.1566,0.1065,0.1461,0.0269,0.0934,0.1988
1,0,1,1,2.8,30,9.5368,0.1091,0.1414,0.0201,0.102,0.1808
1,0,1,1,3.2,23,10.6536,0.0969,0.1374,0.0315,0.0756,0.1991
1,0,1,1,3.2,25,10.4061,0.1032,0.1453,0.0332,0.0802,0.2103
1,0,1,1,3.2,27,10.0012,0.0953,0.1417,0.028,0.0868,0.1966
1,0,1,1,3.2,30,9.6084,0.108,0.1529,0.0274,0.0992,0.2066
1,0,1,1,3.6,23,9.6368,0.0971,0.1376,0.0323,0.0743,0.2009
1,0,1,1,3.6,25,9.9889,0.1148,0.1563,0.0288,0.0998,0.2127
1,0,1,1,3.6,27,9.9567,0.1124,0.1518,0.0312,0.0907,0.213
1,0,1,1,3.6,30,9.6272,0.0982,0.1533,0.0242,0.1059,0.2008
1,1,0,0,2.4,23,11.7323,0.131,0.1738,0.0292,0.1166,0.2311
1,1,0,0,2.4,25,11.7978,0.1309,0.1817,0.0237,0.1352,0.2281
1,1,0,0,2.4,27,12.1258,0.1431,0.1693,0.018,0.1341,0.2046
1,1,0,0,2.4,30,11.4259,0.1359,0.163,0.0187,0.1264,0.1997
1,1,0,0,2.8,23,11.6899,0.1338,0.154,0.0305,0.0942,0.2138
1,1,0,0,2.8,25,12.0669,0.1507,0.1755,0.0283,0.12,0.2309
1,1,0,0,2.8,27,11.9375,0.133,0.176,0.0271,0.1229,0.2291
1,1,0,0,2.8,30,10.6102,0.1338,0.1713,0.0297,0.1131,0.2295
1,1,0,0,3.2,23,11.9895,0.1319,0.1672,0.0281,0.1121,0.2222
1,1,0,0,3.2,25,11.4993,0.1353,0.173,0.0308,0.1126,0.2333
1,1,0,0,3.2,27,12.1461,0.1227,0.171,0.0182,0.1353,0.2067
1,1,0,0,3.2,30,11.5473,0.1438,0.1597,0.0233,0.114,0.2053
1,1,0,0,3.6,23,11.2784,0.1235,0.1788,0.0238,0.1322,0.2255
1,1,0,0,3.6,25,12.929,0.1195,0.1673,0.0211,0.1259,0.2086
1,1,0,0,3.6,27,11.3075,0.1398,0.1662,0.0284,0.1105,0.2219
1,1,0,0,3.6,30,11.1289,0.1424,0.171,0.0318,0.1086,0.2333
1,1,0,1,2.4,23,12.3346,0.1327,0.182,0.0204,0.142,0.222
1,1,0,1,2.4,25,12.6512,0.126,0.1633,0.0329,0.0988,0.2278
1,1,0,1,2.4,27,12.5176,0.1137,0.1665,0.0182,0.1309,0.2022
1,1,0,1,2.4,30,12.3809,0.1389,0.1642,0.0233,0.1185,0.2098
1,1,0,1,2.8,23,11.8695,0.1243,0.1601,0.0208,0.1193,0.2009
1,1,0,1,2.8,25,13.1584,0.1349,0.1528,0.034,0.0862,0.2195
1,1,0,1,2.8,27,11.6133,0.1275,0.1733,0.0312,0.1122,0.2345
1,1,0,1,2.8,30,12.4221,0.1391,0.1625,0.0254,0.1127,0.2123
1,1,0,1,3.2,23,11.6839,0.1261,0.1713,0.0206,0.1309,0.2117
1,1,0,1,3.2,25,12.4074,0.1349,0.1815,0.0203,0.1417,0.2213
1,1,0,1,3.2,27,12.3076,0.1281,0.1692,0.0274,0.1154,0.2229
1,1,0,1,3.2,30,12.5012,0.1293,0.1681,0.0306,0.1081,0.2281
1,1,0,1,3.6,23,11.8815,0.1243,0.1619,0.0271,0.1088,0.215
1,1,0,1,3.6,25,11.9541,0.1417,0.1687,0.0263,0.1172,0.2203
1,1,0,1,3.6,27,11.4258,0.1162,0.1579,0.0298,0.0995,0.2163
1,1,0,1,3.6,30,11.9579,0.1378,0.1547,0.0315,0.093,0.2164
1,1,1,0,2.4,23,11.2442,0.1236,0.1745,0.0289,0.1179,0.2312
1,1,1,0,2.4,25,11.5394,0.1284,0.1818,0.0302,0.1227,0.241
1,1,1,0,2.4,27,11.271,0.1402,0.1781,0.034,0.1115,0.2447
1,1,1,0,2.4,30,11.8153,0.1205,0.1797,0.027,0.1268,0.2326
1,1,1,0,2.8,23,11.7127,0.1401,0.1754,0.0282,0.1201,0.2306
1,1,1,0,2.8,25,12.0263,0.1278,0.1742,0.0335,0.1085,0.2398
1,1,1,0,2.8,27,12.0862,0.1389,0.1863,0.0236,0.1401,0.2326
1,1,1,0,2.8,30,11.5181,0.1388,0.1889,0.0339,0.1225,0.2554
1,1,1,0,3.2,23,12.087,0.1405,0.1902,0.0204,0.1503,0.2302
1,1,1,0,3.2,25,11.9652,0.1288,0.1878,0.0276,0.1337,0.2419
1,1,1,0,3.2,27,11.0683,0.1345,0.1809,0.0219,0.1379,0.2238
1,1,1,0,3.2,30,12.2764,0.1264,0.1594,0.0285,0.1035,0.2152
1,1,1,0,3.6,23,11.3184,0.1329,0.18,0.0195,0.1418,0.2182
1,1,1,0,3.6,25,11.6692,0.1287,0.1891,0.0331,0.1242,0.2539
1,1,1,0,3.6,27,12.2721,0.1386,0.1687,0.0251,0.1195,0.2179
1,1,1,0,3.6,30,11.5084,0.1555,0.1662,0.0323,0.1029,0.2295
1,1,1,1,2.4,23,12.7158,0.1398,0.1824,0.0246,0.1342,0.2306
1,1,1,1,2.4,25,12.0525,0.1233,0.1766,0.0209,0.1357,0.2176
1,1,1,1,2.4,27,12.0799,0.1316,0.1762,0.0278,0.1217,0.2307
1,1,1,1,2.4,30,12.7796,0.1306,0.1893,0.0233,0.1436,0.235
1,1,1,1,2.8,23,12.189,0.1199,0.1827,0.0203,0.1429,0.2225
1,1,1,1,2.8,25,12.7456,0.1229,0.1779,0.0304,0.1183,0.2375
1,1,1,1,2.8,27,12.9235,0.136,0.1758,0.0218,0.133,0.2185
1,1,1,1,2.8,30,12.5849,0.1203,0.1758,0.028,0.1209,0.2307
1,1,1,1,3.2,23,12.5514,0.1499,0.1882,0.0296,0.1302,0.2462
1,1,1,1,3.2,25,12.0586,0.1175,0.1813,0.0276,0.1272,0.2354
1,1,1,1,3.2,27,12.0497,0.1305,0.1913,0.0215,0.1491,0.2334
1,1,1,1,3.2,30,12.3757,0.1458,0.1658,0.0228,0.1211,0.2105
1,1,1,1,3.6,23,12.5192,0.1356,0.1868,0.0241,0.1396,0.234
1,1,1,1,3.6,25,11.7355,0.1394,0.1813,0.0242,0.1339,0.2287
1,1,1,1,3.6,27,12.1234,0.1152,0.1813,0.0254,0.1315,0.2311
1,1,1,1,3.6,30,12.3233,0.1283,0.1875,0.0319,0.1249,0.25
