graduate_id,pi_lambda_0,pi_lambda_05,pi_lambda_1,pi_lambda_2,leaf_id
G2018000146,0,0,0,0,1
G2018000147,0,1,0,0,4
G2018000148,1,0,1,0,3
G2018000149,1,1,0,0,1
G2018000150,1,0,0,0,13
G2018000151,1,0,0,1,14
G2018000152,1,0,1,0,15
G2018000153,0,0,0,0,9
G2018000154,0,1,1,0,11
G2018000155,0,0,1,0,8
G2018000156,0,0,1,0,3
G2018000157,0,1,0,0,15
G2018000158,0,0,0,0,6
G2018000159,0,0,0,0,11
G2018000160,0,0,0,1,4
G2018000161,1,0,1,0,2
G2018000162,1,0,0,0,9
G2018000163,1,1,1,0,7
G2018000164,0,1,1,0,12
G2018000165,0,0,0,1,11
G2018000166,1,0,1,1,4
G2018000167,0,0,0,1,15
G2018000168,0,0,0,0,10
G2018000169,0,0,0,1,12
G2018000170,0,0,1,0,2
G2018000171,0,1,1,0,12
G2018000172,0,0,0,0,13
G2018000173,1,0,0,1,9
G2018000174,0,1,1,0,6
G2018000175,0,1,1,0,13
G2018000176,0,0,0,1,11
G2018000177,1,0,0,0,11
G2018000178,0,1,0,0,10
G2018000179,0,0,1,0,3
G2018000180,1,1,1,0,3
G2018000181,0,0,1,1,11
G2018000182,0,1,1,0,3
G2018000183,1,0,0,1,5
G2018000184,0,0,1,0,6
G2018000185,1,0,0,0,12
G2018000186,1,1,1,1,6
G2018000187,1,0,0,0,15
G2018000188,1,0,0,0,11
G2018000189,0,0,1,0,5
G2018000190,1,1,0,0,8
G2018000191,0,1,1,0,12
G2018000192,1,1,0,0,9
G2018000193,0,0,0,0,13
G2018000194,0,1,0,0,5
G2018000195,1,1,0,1,4
G2018000196,1,0,0,0,9
G2018000197,0,0,0,0,3
G2018000198,1,0,1,0,8
G2018000199,1,1,0,1,5
G2018000200,1,1,0,0,9
G2018000201,0,0,1,1,10
G2018000202,1,0,0,0,6
G2018000203,0,1,0,1,5
G2018000204,1,0,0,0,12
G2018000205,0,1,1,0,15
G2018000206,0,1,1,0,4
G2018000207,1,0,1,0,2
G2018000208,0,1,0,1,12
G2018000209,0,1,0,0,1
G2018000210,1,1,1,0,6
G2018000211,1,1,0,0,11
G2018000212,0,0,0,0,15
G2018000213,1,0,0,1,3
G2018000214,1,0,1,0,15
G2018000215,1,0,0,0,7
G2018000216,0,0,0,1,11
G2018000217,0,0,1,0,7
G2018000218,1,0,1,0,5
G2018000219,0,1,0,0,10
G2018000220,1,0,1,1,9
G2018000221,0,0,0,1,11
G2018000222,1,1,0,0,7
G2018000223,0,0,0,1,4
G2018000224,0,0,0,0,12
G2018000225,0,0,0,0,10
G2018000226,0,0,1,0,4
G2018000227,0,1,0,0,14
G2018000228,0,1,1,1,6
G2018000229,0,0,0,0,9
G2018000230,0,0,1,0,6
G2018000231,1,0,1,0,7
G2018000232,0,0,1,1,10
G2018000233,1,1,1,0,2
G2018000234,1,0,1,0,7
G2018000235,0,0,1,0,8
G2018000236,1,1,1,0,10
G2018000237,0,0,0,0,14
G2018000238,1,0,0,0,9
G2018000239,0,0,0,1,15
G2018000240,1,0,1,0,3
G2018000241,1,0,0,1,3
G2018000242,0,1,1,1,2
G2018000243,1,0,0,0,13
G2018000244,0,1,0,0,2
G2018000245,1,1,0,0,6
G2018000246,0,0,0,1,1
G2018000247,0,0,0,0,10
G2018000248,1,0,0,0,4
G2018000249,0,0,0,0,13
G2018000250,0,0,1,0,4
G2018000251,0,1,0,0,15
G2018000252,0,0,0,0,12
G2018000253,1,1,0,0,9
G2018000254,1,0,1,0,8
G2018000255,0,1,1,1,7
G2018000256,0,1,0,0,6
G2018000257,0,1,0,0,13
G2018000258,0,1,1,0,14
G2018000259,1,0,0,1,1
G2018000260,1,1,1,1,5
G2018000261,0,1,0,0,9
G2018000262,0,1,0,1,7
G2018000263,0,0,1,1,2
G2018000264,1,0,0,1,2
G2018000265,1,1,1,0,3
G2018000266,0,0,0,0,7
G2018000267,0,0,1,0,5
G2018000268,1,0,0,1,14
G2018000269,1,0,1,1,3
G2018000270,0,0,1,0,5
G2018000271,0,0,1,0,10
G2018000272,0,0,0,0,6
G2018000273,1,1,1,0,12
G2018000274,1,0,1,0,15
G2018000275,0,0,1,0,10
G2018000276,0,1,0,0,11
G2018000277,0,0,0,0,3
G2018000278,1,1,0,1,9
G2018000279,0,0,1,0,11
G2018000280,1,1,1,0,5
G2018000281,0,0,1,0,15
G2018000282,0,0,0,0,14
G2018000283,1,1,0,1,13
G2018000284,1,0,0,0,14
G2018000285,0,0,0,0,2
G2018000286,1,0,0,0,14
G2018000287,1,1,0,1,4
G2018000288,1,0,1,0,15
G2018000289,0,1,1,1,9
G2018000290,0,1,0,0,12
G2018000291,1,0,1,1,4
G2018000292,1,0,1,1,4
G2018000293,0,0,0,0,1
G2018000294,0,1,1,0,11
G2018000295,1,0,0,1,8
G2018000296,0,0,0,0,5
G2018000297,0,0,0,1,15
G2018000298,1,1,1,0,7
G2018000299,0,1,0,1,8
G2018000300,0,0,1,0,14
G2018000301,0,0,0,0,7
G2018000302,0,1,0,0,15
G2018000303,1,1,1,0,14
G2018000304,1,0,1,0,15
G2018000305,1,0,0,1,10
G2018000306,0,0,0,0,15
G2018000307,0,0,1,1,13
G2018000308,1,1,0,1,1
G2018000309,1,0,1,0,5
G2018000310,1,0,0,1,1
G2018000311,1,0,0,1,9
G2018000312,0,0,1,0,15
G2018000313,1,0,1,0,2
G2018000314,0,0,0,1,9
G2018000315,1,0,0,1,10
G2018000316,0,1,0,0,2
G2018000317,0,1,0,0,9
G2018000318,1,0,0,0,11
G2018000319,0,0,1,1,13
G2018000320,0,0,0,0,4
G2018000321,1,0,1,0,8
G2018000322,0,1,0,0,4
G2018000323,1,0,0,0,14
G2018000324,1,0,1,0,15
G2018000325,0,0,0,1,14
G2018000326,1,1,1,1,6
G2018000327,1,0,0,1,7
G2018000328,0,0,0,0,3
G2018000329,0,0,1,0,8
G2018000330,0,1,0,0,9
G2018000331,0,1,0,0,1
G2018000332,0,0,1,0,9
G2018000333,1,0,1,0,2
G2018000334,1,0,1,0,2
G2018000335,1,1,0,0,8
G2018000336,0,1,0,1,13
G2018000337,0,0,0,0,15
G2018000338,0,1,1,0,12
G2018000339,0,1,1,0,13
G2018000340,0,1,1,0,6
G2018000341,0,0,1,0,5
G2018000342,0,0,0,0,10
G2018000343,1,0,0,1,3
G2018000344,0,0,1,0,12
G2018000345,0,1,0,0,10
G2018000346,0,0,0,1,5
G2018000347,0,0,0,0,1
G2018000348,1,0,1,0,15
G2018000349,0,1,0,0,13
G2018000350,0,1,0,0,4
G2018000351,0,1,0,1,7
G2018000352,0,1,0,0,10
G2018000353,1,1,1,0,5
G2018000354,0,0,1,1,2
G2018000355,0,0,0,0,14
G2018000356,1,1,1,0,13
G2018000357,0,1,1,0,13
G2018000358,1,1,0,0,11
G2018000359,0,1,0,1,3
G2018000360,0,1,0,1,1
G2018000361,0,1,0,1,2
G2018000362,1,0,0,1,3
G2018000363,1,1,0,0,8
G2018000364,1,1,0,0,11
G2018000365,1,0,0,1,3
G2018000366,0,1,1,0,13
G2018000367,0,0,0,0,8
G2018000368,1,1,1,1,4
G2018000369,0,0,1,0,14
G2018000370,0,1,1,0,10
G2018000371,1,0,1,0,14
G2018000372,0,1,0,0,11
G2018000373,1,0,0,0,5
G2018000374,1,0,0,1,6
G2018000375,1,0,0,0,6
G2018000376,0,0,0,0,12
G2018000377,0,0,0,0,4
G2018000378,0,1,0,1,5
G2018000379,0,1,0,0,7
G2018000380,1,0,1,0,3
G2018000381,0,0,0,0,8
G2018000382,1,0,1,0,10
G2018000383,0,0,0,0,8
G2018000384,0,1,1,1,10
G2018000385,1,0,1,0,2
G2018000386,0,0,0,0,14
G2018000387,1,0,0,0,15
G2018000388,1,0,0,0,14
G2018000389,0,1,0,0,4
G2018000390,0,0,0,0,13
G2018000391,1,1,1,0,3
G2018000392,0,1,1,0,13
G2018000393,1,0,0,0,1
G2018000394,0,0,0,0,9
G2018000395,0,1,0,0,6
G2018000396,1,1,1,1,8
G2018000397,1,1,0,1,15
G2018000398,1,0,0,0,13
G2018000399,0,1,0,0,9
G2018000400,0,0,0,0,5
G2018000401,1,0,1,0,8
G2018000402,1,1,0,0,13
G2018000403,1,0,0,0,5
G2018000404,0,0,1,1,4
G2018000405,1,1,1,0,14
G2018000406,1,1,1,0,14
G2018000407,1,1,0,0,7
G2018000408,0,1,1,0,9
G2018000409,0,1,0,0,13
G2018000410,0,1,0,0,11
G2018000411,0,0,1,1,1
G2018000412,0,0,0,1,3
G2018000413,0,0,0,0,5
G2018000414,0,1,1,0,13
G2018000415,0,1,0,0,4
G2018000416,0,0,0,1,13
G2018000417,1,0,0,1,5
G2018000418,0,1,0,0,5
G2018000419,0,0,0,0,12
G2018000420,0,0,1,0,11
G2018000421,0,0,1,0,7
G2018000422,1,0,1,0,1
G2018000423,0,1,1,0,11
G2018000424,1,1,0,1,4
G2018000425,0,0,0,1,4
G2018000426,1,0,0,0,6
G2018000427,1,0,1,0,15
G2018000428,0,1,0,1,14
G2018000429,1,1,1,0,10
G2018000430,0,0,0,1,6
G2018000431,0,0,0,0,7
G2018000432,1,0,1,0,7
G2018000433,0,0,0,0,13
G2018000434,0,0,1,0,1
G2018000435,0,1,0,0,11
G2018000436,1,0,0,1,9
G2018000437,0,0,0,0,3
G2018000438,1,0,0,0,6
G2018000439,0,0,0,1,8
G2018000440,0,0,0,0,3
G2018000441,1,1,1,1,13
G2018000442,0,0,0,1,9
G2018000443,0,0,0,0,4
G2018000444,1,1,0,1,14
G2018000445,1,1,0,1,1
G2018000446,0,1,1,0,1
G2018000447,0,1,0,0,9
G2018000448,1,0,0,0,9
G2018000449,0,0,1,1,2
G2018000450,0,0,1,0,2
G2018000451,0,0,0,1,13
G2018000452,1,1,0,0,4
G2018000453,0,0,0,1,6
G2018000454,0,1,0,0,9
G2018000455,0,1,1,0,8
G2018000456,1,1,0,0,12
G2018000457,0,1,0,1,7
G2018000458,0,0,0,1,2
G2018000459,1,0,0,0,14
G2018000460,0,1,1,0,4
G2018000461,1,0,1,1,2
G2018000462,0,1,1,1,12
G2018000463,0,1,0,0,9
G2018000464,0,0,0,1,13
G2018000465,1,0,0,0,14
G2018000466,1,0,0,1,9
G2018000467,0,0,1,1,5
G2018000468,1,0,0,1,9
G2018000469,1,0,1,1,14
G2018000470,0,0,0,0,12
G2018000471,1,0,0,0,2
G2018000472,0,0,1,1,4
G2018000473,0,0,0,1,4
G2018000474,0,0,0,0,7
G2018000475,0,0,0,1,1
G2018000476,0,1,0,0,6
G2018000477,0,0,0,0,12
G2018000478,0,0,0,1,6
G2018000479,0,1,1,0,5
G2018000480,1,1,0,1,6
G2018000481,0,0,0,0,4
G2018000482,0,1,0,0,5
G2018000483,0,0,0,0,15
G2018000484,0,0,1,1,12
G2018000485,1,0,1,1,1
G2018000486,0,0,0,1,3
G2018000487,0,1,0,1,7
G2018000488,0,0,0,1,7
G2018000489,0,0,1,0,11
G2018000490,1,1,0,0,4
G2018000491,0,1,0,1,12
G2018000492,0,1,0,0,6
G2018000493,0,1,1,0,13
G2018000494,1,0,0,0,14
G2018000495,0,0,0,1,1
G2018000496,0,0,0,0,9
G2018000497,0,0,1,0,12
G2018000498,0,0,0,0,6
G2018000499,0,0,0,1,9
G2018000500,1,0,0,0,12
G2018000501,0,0,0,0,1
G2018000502,1,0,0,1,3
G2018000503,1,0,1,0,9
G2018000504,0,1,0,1,1
G2018000505,0,1,0,0,5
G2018000506,0,0,0,0,11
G2018000507,1,1,0,1,6
G2018000508,0,0,1,0,15
G2018000509,0,0,0,0,14
G2018000510,1,1,1,1,9
G2018000511,1,1,1,0,9
G2018000512,0,1,1,0,12
G2018000513,1,0,1,0,2
G2018000514,0,1,0,0,7
G2018000515,0,0,1,0,14
G2018000516,0,0,0,0,7
G2018000517,0,1,0,0,2
G2018000518,0,1,0,1,14
G2018000519,0,0,0,0,14
G2018000520,0,0,0,1,11
G2018000521,1,0,0,0,14
G2018000522,1,0,0,1,9
G2018000523,1,0,0,0,2
G2018000524,1,0,0,1,5
G2018000525,0,1,0,1,2
G2018000526,0,1,0,0,14
G2018000527,0,1,0,0,1
G2018000528,1,0,0,1,5
G2018000529,0,0,0,1,12
G2018000530,0,0,0,0,15
G2018000531,0,0,0,1,7
G2018000532,1,0,1,1,7
G2018000533,0,0,1,1,5
G2018000534,0,1,0,1,2
G2018000535,0,1,1,1,3
G2018000536,1,0,0,0,1
G2018000537,0,0,0,0,10
G2018000538,0,1,0,0,10
G2018000539,0,0,0,0,4
G2018000540,0,0,1,0,15
G2018000541,0,1,1,1,6
G2018000542,1,0,0,0,8
G2018000543,1,1,1,1,8
G2018000544,1,0,0,1,10
G2018000545,1,0,0,0,2
G2018000546,0,0,1,0,3
G2018000547,0,0,0,0,4
G2018000548,0,1,1,0,6
G2018000549,0,0,0,0,14
G2018000550,1,0,1,0,2
G2018000551,1,0,0,0,6
G2018000552,0,0,1,0,11
G2018000553,0,0,1,0,14
G2018000554,1,1,0,0,2
G2018000555,1,0,0,1,1
G2018000556,1,0,0,1,2
G2018000557,1,1,0,1,14
G2018000558,1,0,0,1,9
G2018000559,0,0,1,0,4
G2018000560,0,0,0,0,8
G2018000561,1,0,1,0,9
G2018000562,1,1,0,0,5
G2018000563,0,0,1,0,14
G2018000564,0,0,0,0,4
G2018000565,1,0,1,0,7
G2018000566,0,1,0,0,12
G2018000567,0,1,0,0,11
G2018000568,1,0,1,1,11
G2018000569,0,1,0,1,4
G2018000570,1,0,0,0,9
G2018000571,1,1,0,1,6
G2018000572,0,0,1,0,12
G2018000573,1,0,0,0,9
G2018000574,1,0,1,0,15
G2018000575,0,0,0,0,12
G2018000576,1,1,0,0,11
G2018000577,0,0,0,0,10
G2018000578,0,0,0,1,14
G2018000579,1,0,1,1,14
G2018000580,1,0,0,1,5
G2018000581,0,1,0,0,11
G2018000582,0,0,0,0,14
G2018000583,0,0,1,0,10
G2018000584,0,1,0,0,4
G2018000585,0,0,0,0,2
G2018000586,0,0,1,0,13
G2018000587,1,1,0,1,4
G2018000588,0,1,0,0,6
G2018000589,0,1,0,0,7
G2018000590,0,0,1,1,4
G2018000591,0,0,0,1,12
G2018000592,1,1,0,0,8
G2018000593,0,0,1,0,9
G2018000594,1,1,0,0,14
G2018000595,0,0,0,1,9
G2018000596,0,0,1,1,13
G2018000597,1,0,0,0,11
G2018000598,0,0,0,1,8
G2018000599,1,1,0,0,6
G2018000600,0,1,0,0,10
G2018000601,0,0,1,1,11
G2018000602,1,0,0,0,4
G2018000603,1,0,1,0,14
G2018000604,0,1,0,0,1
G2018000605,0,0,0,0,14
G2018000606,0,0,0,1,5
G2018000607,0,0,0,1,4
G2018000608,1,0,0,0,7
G2018000609,0,0,1,0,13
G2018000610,1,0,0,1,5
G2018000611,1,0,1,0,7
G2018000612,0,0,0,0,2
G2018000613,0,0,0,0,3
G2018000614,1,0,0,0,14
G2018000615,1,0,1,0,11
G2018000616,1,0,0,0,5
G2018000617,1,1,0,0,7
G2018000618,1,1,0,0,7
G2018000619,0,0,0,0,3
G2018000620,1,1,1,0,10
G2018000621,1,1,0,0,11
G2018000622,1,0,0,0,12
G2018000623,1,0,0,0,9
G2018000624,0,1,1,1,2
G2018000625,1,1,0,1,1
G2018000626,0,0,0,0,4
G2018000627,1,0,0,1,10
G2018000628,1,0,0,1,1
G2018000629,1,1,1,0,3
G2018000630,0,0,1,0,5
G2018000631,1,0,0,0,14
G2018000632,1,0,0,0,3
G2018000633,0,0,0,0,10
G2018000634,0,0,0,1,8
G2018000635,1,0,0,1,13
G2018000636,0,0,0,1,15
G2018000637,0,0,0,0,4
G2018000638,0,1,0,0,9
G2018000639,0,1,1,0,8
G2018000640,0,0,1,1,12
G2018000641,1,0,1,0,12
G2018000642,1,1,0,1,14
G2018000643,1,1,1,0,13
G2018000644,0,0,0,0,3
G2018000645,0,1,1,0,2
G2018000646,1,0,0,0,14
G2018000647,0,1,0,0,13
G2018000648,1,0,1,1,10
G2018000649,0,0,0,0,15
G2018000650,1,1,1,0,1
G2018000651,1,0,1,1,13
G2018000652,1,0,1,1,1
G2018000653,0,0,0,0,11
G2018000654,1,0,0,1,7
G2018000655,0,0,1,0,13
G2018000656,1,1,0,0,2
G2018000657,1,0,1,0,15
G2018000658,1,0,0,0,4
G2018000659,0,0,1,0,8
G2018000660,0,0,1,0,11
G2018000661,1,0,1,0,9
G2018000662,1,0,0,0,1
G2018000663,0,0,1,1,11
G2018000664,0,0,1,1,10
G2018000665,0,0,0,0,13
G2018000666,1,1,0,0,8
G2018000667,1,0,0,1,10
G2018000668,0,0,0,1,5
G2018000669,1,0,1,0,12
G2018000670,0,0,0,0,15
G2018000671,0,0,0,1,12
G2018000672,0,0,1,0,9
G2018000673,1,1,1,0,3
G2018000674,0,0,0,0,10
G2018000675,0,0,1,1,10
G2018000676,1,0,0,0,12
G2018000677,1,1,0,1,9
G2018000678,1,1,1,0,3
G2018000679,0,0,0,0,3
G2018000680,1,0,1,0,14
G2018000681,0,0,0,0,5
G2018000682,0,1,1,1,8
G2018000683,0,0,1,0,9
G2018000684,0,1,1,0,8
G2018000685,0,1,1,0,5
G2018000686,0,0,0,0,5
G2018000687,0,1,1,1,9
G2018000688,0,0,0,0,10
G2018000689,0,1,0,0,3
G2018000690,0,0,0,1,8
G2018000691,0,0,0,0,13
G2018000692,1,0,0,0,10
G2018000693,0,0,1,0,9
G2018000694,0,0,0,0,9
G2018000695,0,1,0,0,14
G2018000696,1,0,0,0,8
G2018000697,0,0,1,1,3
G2018000698,1,1,1,0,10
G2018000699,0,1,0,1,9
G2018000700,0,0,1,0,13
G2018000701,1,0,1,1,7
G2018000702,1,0,0,0,1
G2018000703,1,0,1,1,10
G2018000704,0,1,0,0,15
G2018000705,0,1,0,0,11
G2018000706,1,0,0,0,13
G2018000707,0,0,1,0,15
G2018000708,0,0,0,0,7
G2018000709,1,0,0,0,3
G2018000710,0,1,0,1,13
G2018000711,1,0,0,0,12
G2018000712,0,0,0,0,13
G2018000713,0,0,0,0,9
G2018000714,1,0,0,0,11
G2018000715,0,1,1,0,8
G2018000716,1,0,1,0,15
G2018000717,0,0,0,1,8
G2018000718,1,1,1,1,7
G2018000719,1,1,1,0,15
G2018000720,1,0,1,0,3
G2018000721,1,0,0,1,12
G2018000722,0,1,1,0,3
G2018000723,1,0,0,0,2
G2018000724,1,0,0,0,4
G2018000725,0,1,0,0,12
G2018000726,0,1,0,0,10
G2018000727,0,0,0,0,7
G2018000728,0,0,0,0,9
G2018000729,1,0,1,0,13
G2018000730,1,0,1,1,5
G2018000731,1,1,1,1,8
G2018000732,1,0,0,0,7
G2018000733,0,1,0,1,3
G2018000734,0,1,1,0,3
G2018000735,1,1,0,0,5
G2018000736,0,0,1,1,9
G2018000737,1,0,1,0,13
G2018000738,1,1,0,1,5
G2018000739,0,0,1,0,13
G2018000740,1,0,0,1,9
G2018000741,0,0,0,1,9
G2018000742,0,0,1,1,5
G2018000743,0,1,0,1,9
G2018000744,0,1,1,0,8
G2018000745,1,0,0,0,12
G2018000746,0,0,0,0,15
G2018000747,1,1,0,0,3
G2018000748,0,1,0,1,15
G2018000749,0,1,0,0,3
G2018000750,0,0,1,1,11
G2018000751,1,1,0,0,8
G2018000752,0,1,1,1,1
G2018000753,1,0,0,0,9
G2018000754,0,0,1,1,9
G2018000755,0,0,0,1,4
G2018000756,1,0,0,1,5
G2018000757,1,0,1,0,14
G2018000758,0,0,0,1,11
G2018000759,1,1,1,0,14
G2018000760,1,0,0,1,14
G2018000761,1,0,0,1,14
G2018000762,0,1,1,0,4
G2018000763,1,0,1,0,15
G2018000764,0,1,0,1,14
G2018000765,0,0,1,0,10
G2018000766,0,0,1,0,9
G2018000767,1,1,0,1,2
G2018000768,0,1,1,0,5
G2018000769,0,0,0,0,11
G2018000770,1,0,1,0,5
G2018000771,0,1,0,0,14
G2018000772,0,1,0,0,4
G2018000773,0,0,0,0,6
G2018000774,1,1,0,0,7
G2018000775,1,1,0,0,7
G2018000776,0,0,0,0,9
G2018000777,1,1,1,0,14
G2018000778,0,1,0,0,9
G2018000779,0,0,1,1,5
G2018000780,0,1,0,0,6
G2018000781,0,1,0,0,7
G2018000782,0,0,0,0,13
G2018000783,0,0,0,0,5
G2018000784,1,0,0,1,9
G2018000785,1,1,1,1,3
G2018000786,1,0,1,0,8
G2018000787,0,1,0,1,7
G2018000788,1,0,0,0,3
G2018000789,0,0,0,0,11
G2018000790,0,1,0,1,4
G2018000791,0,0,1,0,2
G2018000792,0,1,0,0,11
G2018000793,1,0,1,0,7
G2018000794,0,0,1,0,12
G2018000795,0,0,1,0,9
G2018000796,1,0,1,0,15
G2018000797,0,0,0,1,15
G2018000798,1,0,0,0,15
G2018000799,0,0,1,0,1
