student_id,hs_gpa_unweighted,hs_gpa_weighted,class_rank_percentile,ap_courses_count
S201300447,2.92,3.05,44,0
S201300448,3.42,3.47,28,4
S201300449,2.73,2.89,46,0
S201300450,3.41,3.65,25,2
S201300451,4.0,4.02,15,5
S201300452,3.69,3.88,45,4
S201300453,3.28,3.59,47,6
S201300454,2.89,2.9,50,4
S201300455,3.54,3.64,23,0
S201300456,2.58,2.69,35,1
S201300457,2.99,3.13,31,1
S201300458,2.96,3.14,49,3
S201300459,3.06,3.29,41,7
S201300460,3.34,3.54,45,0
S201300461,3.8,4.0,13,1
S201300462,3.49,3.54,42,7
S201300463,3.02,3.37,43,2
S201300464,3.78,3.82,22,1
S201300465,3.46,3.54,32,7
S201300466,2.93,3.19,51,1
S201300467,3.22,3.42,30,1
S201300468,2.67,2.94,53,2
S201300469,3.64,3.67,34,0
S201300470,2.49,2.65,52,7
S201300471,3.64,3.6,22,3
S201300472,3.48,3.74,26,0
S201300473,3.02,3.04,36,5
S201300474,3.43,3.49,34,7
S201300475,2.98,3.3,45,3
S201300476,3.14,3.32,39,0
S201300477,2.76,2.88,41,0
S201300478,3.77,3.98,18,5
S201300479,3.44,3.41,29,6
S201300480,3.44,3.56,41,5
S201300481,3.69,3.75,19,2
S201300482,4.0,4.07,30,1
S201300483,3.2,3.45,34,3
S201300484,2.49,2.75,51,3
S201300485,3.38,3.56,33,3
S201300486,3.73,3.92,13,3
S201300487,3.73,3.87,20,0
S201300488,3.03,3.03,38,2
S201300489,2.89,3.21,39,1
S201300490,2.81,2.99,47,0
S201300491,3.07,3.1,37,0
S201300492,3.44,3.66,38,3
S201300493,3.51,3.72,41,4
S201300494,3.18,3.19,43,0
S201300495,3.99,4.19,26,5
S201300496,2.88,2.97,47,1
S201300497,3.53,3.61,27,4
S201300498,2.44,2.75,30,5
S201300499,3.05,3.01,33,4
S201300500,3.41,3.63,19,4
S201300501,3.01,3.09,43,0
S201300502,2.73,2.93,46,3
S201300503,3.09,3.35,25,1
S201300504,3.11,3.24,25,6
S201300505,3.45,3.7,32,2
S201300506,2.75,2.91,44,4
S201300507,2.86,3.06,56,3
S201300508,2.68,2.83,51,2
S201300509,2.97,3.04,30,2
S201300510,2.92,3.07,38,4
S201300511,2.62,2.68,47,1
S201300512,3.26,3.4,25,0
S201300513,2.94,3.22,43,1
S201300514,3.66,3.64,23,7
S201300515,3.11,3.24,36,1
S201300516,3.07,3.25,44,4
S201300517,2.57,2.57,43,1
S201300518,3.3,3.41,31,5
S201300519,3.25,3.53,24,4
S201300520,3.14,3.43,27,4
S201300521,3.02,3.11,35,0
S201300522,3.14,3.39,43,4
S201300523,2.52,2.63,53,4
S201300524,3.15,3.08,32,0
S201300525,2.9,3.12,46,0
S201300526,3.54,3.7,32,4
S201300527,2.6,2.72,38,2
S201300528,3.34,3.46,40,1
S201300529,3.37,3.5,20,6
S201300530,3.99,4.14,17,2
S201300531,2.78,3.07,40,2
S201300532,3.9,3.79,38,3
S201300533,3.71,3.79,32,3
S201300534,3.36,3.47,36,5
S201300535,2.72,2.64,49,3
S201300536,2.69,2.88,50,1
S201300537,3.08,3.24,35,4
S201300538,3.8,3.89,25,2
S201300539,2.29,2.35,53,4
S201300540,2.26,2.37,56,6
S201300541,3.5,3.51,26,3
S201300542,3.75,4.0,22,5
S201300543,3.24,3.43,37,6
S201300544,3.18,3.32,36,0
S201300545,2.78,2.88,39,3
S201300546,3.39,3.37,29,5
S201300547,3.09,3.24,29,1
S201300548,3.45,3.67,38,4
S201300549,3.81,3.8,19,6
S201300550,3.46,3.65,24,0
S201300551,2.88,3.16,49,6
S201300552,3.28,3.46,18,1
S201300553,3.48,3.56,26,2
S201300554,3.2,3.4,26,8
S201300555,3.57,3.61,28,3
S201300556,3.03,3.16,46,1
S201300557,3.65,3.83,38,6
S201300558,3.82,3.94,16,2
S201300559,2.82,2.88,47,7
S201300560,3.2,3.42,42,3
S201300561,3.1,3.31,44,4
S201300562,3.11,3.27,46,0
S201300563,2.46,2.79,48,0
S201300564,2.71,3.0,45,0
S201300565,3.06,3.24,30,3
S201300566,3.2,3.27,42,6
S201300567,3.46,3.72,22,0
S201300568,3.65,3.85,35,3
S201300569,3.04,3.16,31,6
S201300570,3.5,3.62,30,4
S201300571,3.3,3.45,36,2
S201300572,2.89,3.0,50,6
S201300573,3.28,3.3,25,5
S201300574,2.69,2.82,57,0
S201300575,2.94,3.07,39,1
S201300576,4.0,4.13,19,1
S201300577,3.63,3.7,27,0
S201300578,3.65,3.71,24,4
S201300579,2.66,2.71,49,0
S201300580,3.54,3.48,31,1
S201300581,3.5,3.79,20,6
S201300582,3.56,3.76,27,6
S201300583,3.48,3.57,22,3
S201300584,3.64,3.97,24,1
S201300585,3.58,3.71,17,6
S201300586,3.44,3.6,29,4
S201300587,4.0,4.14,22,1
S201300588,3.06,3.21,58,7
S201300589,3.03,3.35,33,0
S201300590,3.06,3.11,42,4
S201300591,3.75,3.99,36,1
S201300592,2.91,2.91,26,0
S201300593,3.92,4.04,19,0
S201300594,3.46,3.52,26,1
S201300595,2.3,2.46,58,2
S201300596,3.03,3.05,58,4
S201300597,3.89,4.18,28,3
S201300598,3.84,4.17,14,2
S201300599,2.78,2.91,40,3
S201300600,2.95,2.97,40,6
S201300601,3.3,3.54,28,6
S201300602,2.57,2.77,41,0
S201300603,3.13,3.45,44,6
S201300604,2.7,2.95,40,4
S201300605,3.82,3.94,27,4
S201300606,3.29,3.49,34,7
S201300607,3.55,3.84,34,2
S201300608,3.5,3.6,26,0
S201300609,3.86,3.99,33,2
S201300610,3.68,3.84,11,6
S201300611,3.88,3.99,21,4
S201300612,3.83,3.96,37,4
S201300613,2.7,2.81,41,5
S201300614,2.75,2.97,61,2
S201300615,3.35,3.77,40,3
S201300616,3.51,3.7,32,4
S201300617,3.21,3.28,40,1
S201300618,3.21,3.21,38,0
S201300619,3.14,3.41,46,4
S201300620,2.59,2.7,42,5
S201300621,3.51,3.54,26,5
S201300622,2.41,2.53,48,7
S201300623,3.46,3.66,19,1
S201300624,2.51,2.59,43,5
S201300625,2.98,3.33,29,3
S201300626,3.4,3.69,36,4
S201300627,3.12,3.25,51,5
S201300628,3.49,3.59,13,2
S201300629,3.21,3.37,35,1
S201300630,3.16,3.37,45,6
S201300631,3.08,3.16,33,7
S201300632,2.75,2.97,38,1
S201300633,3.34,3.3,33,4
S201300634,2.57,2.7,46,2
S201300635,3.25,3.36,36,2
S201300636,3.88,4.02,18,4
S201300637,3.29,3.4,25,8
S201300638,2.97,2.95,50,3
S201300639,3.23,3.48,42,1
S201300640,3.76,3.91,22,1
S201300641,3.75,3.83,14,7
S201300642,2.42,2.7,46,4
S201300643,3.12,3.39,44,3
S201300644,3.55,3.57,27,0
S201300645,3.87,4.12,18,5
S201300646,4.0,4.35,12,5
S201300647,3.05,3.22,36,0
S201300648,3.56,3.83,23,2
S201300649,2.99,3.14,47,4
S201300650,3.68,3.73,25,6
S201300651,3.22,3.05,36,8
S201300652,3.04,3.08,24,2
S201300653,3.37,3.27,38,2
S201300654,3.68,3.98,26,2
S201300655,3.2,3.23,23,1
S201300656,2.69,2.82,45,0
S201300657,2.78,3.0,50,3
S201300658,3.0,3.18,29,2
S201300659,3.56,3.61,36,6
S201300660,3.35,3.32,26,3
S201300661,3.48,3.8,35,2
S201300662,3.09,3.11,34,6
S201300663,3.93,4.15,20,4
S201300664,3.32,3.71,34,0
S201300665,3.26,3.45,55,1
S201300666,4.0,4.21,16,3
S201300667,3.33,3.38,24,4
S201300668,3.44,3.59,11,4
S201300669,3.27,3.27,30,3
S201300670,3.1,3.32,37,1
S201300671,3.87,4.1,19,3
S201300672,3.39,3.59,34,6
S201300673,3.2,3.51,35,2
S201300674,3.6,3.74,44,0
S201300675,3.25,3.33,38,3
S201300676,3.04,3.16,37,5
S201300677,3.73,3.85,18,2
S201300678,2.95,3.04,40,2
S201300679,2.61,2.68,49,6
S201300680,2.66,2.8,39,0
S201300681,3.51,3.78,26,5
S201300682,3.25,3.44,36,2
S201300683,3.5,3.76,36,5
S201300684,3.07,3.28,41,1
S201300685,3.21,3.23,44,3
S201300686,2.64,2.62,44,3
S201300687,2.97,3.26,41,0
S201300688,3.37,3.54,47,7
S201300689,3.1,3.35,38,4
S201300690,3.33,3.52,30,1
S201300691,2.75,3.04,51,2
S201300692,2.92,3.05,46,3
S201300693,2.89,3.08,42,0
S201300694,3.78,3.7,26,4
S201300695,2.88,2.98,40,7
S201300696,3.21,3.2,39,2
S201300697,3.48,3.63,41,3
S201300698,2.93,3.06,20,4
S201300699,3.64,3.76,33,2
S201300700,3.36,3.53,10,1
S201300701,1.93,2.17,50,7
S201300702,2.04,2.12,59,3
S201300703,3.82,3.97,17,4
S201300704,3.59,3.7,25,2
S201300705,2.81,3.04,54,0
S201300706,3.24,3.4,32,7
S201300707,2.55,2.61,47,1
S201300708,3.11,3.27,27,5
S201300709,3.03,3.33,43,0
S201300710,3.57,3.65,17,6
S201300711,4.0,4.07,17,0
S201300712,3.96,4.23,17,5
S201300713,3.49,3.74,37,1
S201300714,2.31,2.45,47,2
S201300715,2.65,2.89,42,3
S201300716,3.59,3.78,24,0
S201300717,3.5,3.64,30,1
S201300718,4.0,4.16,29,4
S201300719,3.64,3.94,34,3
S201300720,2.82,2.96,41,1
S201300721,3.57,3.75,20,5
S201300722,3.35,3.38,36,4
S201300723,3.82,4.04,13,4
S201300724,3.22,3.61,21,1
S201300725,3.05,3.28,23,0
S201300726,3.26,3.57,17,3
S201300727,3.65,3.67,20,5
S201300728,2.65,2.9,45,4
S201300729,3.17,3.26,37,1
S201300730,2.98,3.11,34,7
S201300731,2.85,2.88,45,5
S201300732,2.85,2.94,41,6
S201300733,2.75,2.93,41,0
S201300734,2.62,2.84,44,0
S201300735,3.8,3.93,21,2
S201300736,2.81,2.88,27,4
S201300737,2.83,2.92,44,0
S201300738,3.48,3.69,20,6
S201300739,2.95,3.12,38,0
S201300740,3.24,3.53,36,6
S201300741,3.1,3.3,32,0
S201300742,3.07,3.22,48,3
S201300743,3.07,3.22,47,5
S201300744,3.08,3.03,45,6
S201300745,3.96,4.08,12,3
S201300746,2.57,2.75,47,1
S201300747,3.3,3.34,42,3
S201300748,2.7,2.91,39,8
S201300749,3.64,3.88,14,0
S201300750,3.93,4.14,11,6
S201300751,2.73,2.8,37,4
S201300752,3.56,3.64,28,2
S201300753,2.83,3.04,41,0
S201300754,2.99,3.21,31,2
S201300755,3.17,3.25,34,1
S201300756,3.01,3.1,51,0
S201300757,2.52,2.59,46,6
S201300758,3.08,3.08,38,2
S201300759,3.42,3.49,31,0
S201300760,3.04,3.19,35,2
S201300761,3.57,3.83,27,6
S201300762,2.67,2.75,43,1
S201300763,2.78,3.05,43,5
S201300764,3.2,3.31,39,4
S201300765,3.34,3.47,26,4
S201300766,3.77,3.92,22,1
S201300767,2.54,2.7,47,0
S201300768,3.99,4.36,41,4
S201300769,3.91,4.02,20,5
S201300770,3.04,3.08,46,6
S201300771,3.27,3.3,38,7
S201300772,2.98,3.02,29,7
S201300773,2.79,2.94,14,1
S201300774,3.64,3.93,27,0
S201300775,3.7,3.88,18,5
S201300776,3.47,3.57,28,0
S201300777,3.44,3.55,41,8
S201300778,2.82,3.04,44,4
S201300779,3.23,3.55,32,5
S201300780,4.0,4.27,11,0
S201300781,3.2,3.39,38,0
S201300782,3.13,3.17,48,1
S201300783,4.0,4.1,23,1
S201300784,3.29,3.43,39,6
S201300785,3.44,3.43,23,2
S201300786,4.0,4.18,19,5
S201300787,3.46,3.41,29,4
S201300788,3.42,3.55,33,3
S201300789,3.69,3.75,19,2
S201300790,3.67,3.75,18,4
S201300791,3.13,3.49,41,2
S201300792,3.04,3.31,29,3
S201300793,3.32,3.53,30,0
S201300794,3.01,3.16,46,5
S201300795,3.19,3.28,33,3
S201300796,3.57,3.77,25,3
S201300797,2.75,2.97,34,5
S201300798,3.31,3.58,34,0
S201300799,2.39,2.46,36,3
S201300800,3.25,3.61,38,5
S201300801,3.14,3.35,41,1
S201300802,3.1,3.19,32,3
S201300803,2.79,2.88,52,0
S201300804,3.76,3.7,41,1
S201300805,3.24,3.53,28,0
S201300806,2.78,3.07,35,7
S201300807,3.09,3.0,35,1
S201300808,3.77,4.01,15,4
S201300809,3.63,3.65,27,3
S201300810,3.24,3.28,50,3
S201300811,3.56,3.56,31,0
S201300812,3.07,3.12,13,1
S201300813,3.09,3.14,34,5
S201300814,2.77,3.14,59,5
S201300815,3.29,3.49,26,0
S201300816,3.95,4.15,24,4
S201300817,3.3,3.41,18,6
S201300818,2.86,2.86,54,2
