student_id,cate_hat,cate_se
S201300235,0.1413,0.0112
S201300238,0.0542,0.0113
S201300241,0.063,0.015
S201300244,0.0669,0.0129
S201300247,0.1017,0.014
S201300250,0.0267,0.0158
S201300253,0.0728,0.0138
S201300256,0.0957,0.0111
S201300259,0.0533,0.0125
S201300262,0.0633,0.0149
S201300265,0.0308,0.0107
S201300268,0.0719,0.0148
S201300271,0.0474,0.0131
S201300274,0.1117,0.0103
S201300277,0.097,0.0101
S201300280,0.0515,0.0115
S201300283,0.1083,0.0134
S201300286,0.1311,0.0135
S201300289,0.1625,0.0141
S201300292,0.0343,0.0119
S201300295,0.1078,0.0132
S201300298,0.1685,0.0139
S201300301,0.1261,0.0111
S201300304,0.1054,0.0102
S201300307,0.0755,0.0158
S201300310,0.1866,0.0103
S201300313,0.0134,0.0119
S201300316,0.0928,0.0138
S201300319,0.1164,0.0119
S201300322,0.0262,0.0148
S201300325,0.0582,0.0146
S201300328,0.1574,0.0112
S201300331,0.1191,0.0138
S201300334,0.1058,0.0106
S201300337,0.0351,0.0138
S201300340,0.0791,0.0148
S201300343,0.0264,0.0143
S201300346,0.1169,0.0154
S201300349,0.0482,0.0102
S201300352,0.1786,0.0113
S201300355,0.0323,0.0157
S201300358,0.0629,0.0115
S201300361,0.0248,0.0139
S201300364,0.0444,0.0123
S201300367,0.0606,0.014
S201300370,0.1298,0.0123
S201300373,0.0202,0.0132
S201300376,0.1313,0.0115
S201300379,0.0449,0.0127
S201300382,0.1278,0.0145
S201300385,0.0338,0.0118
S201300388,0.0553,0.0146
S201300391,0.036,0.0108
S201300394,0.1594,0.0105
S201300397,0.056,0.0116
S201300400,0.1491,0.015
S201300403,0.0522,0.0111
S201300406,0.0973,0.0153
S201300409,0.0849,0.0143
S201300412,0.0495,0.0144
S201300415,0.0276,0.015
S201300418,0.0508,0.0122
S201300421,0.1048,0.0131
S201300424,0.1083,0.0111
S201300427,0.0808,0.0132
S201300430,0.1349,0.0154
S201300433,0.0487,0.0111
S201300436,0.0569,0.0139
S201300439,0.0743,0.016
S201300442,0.0634,0.0151
S201300445,0.0707,0.0124
S201300448,0.0467,0.0111
S201300451,0.028,0.0145
S201300454,0.0729,0.0127
S201300457,0.0547,0.0125
S201300460,0.1102,0.0151
S201300463,0.0596,0.0123
S201300466,0.1683,0.0143
S201300469,0.1533,0.015
S201300472,0.0391,0.0123
S201300475,0.0983,0.0146
S201300478,0.0648,0.0109
S201300481,0.0742,0.015
S201300484,0.105,0.0107
S201300487,0.023,0.0159
S201300490,0.0566,0.0134
S201300493,0.0442,0.0145
S201300496,0.0481,0.0155
S201300499,0.0739,0.0146
S201300502,0.1047,0.0128
S201300505,0.0919,0.0119
S201300508,0.1219,0.0143
S201300511,0.1004,0.0103
S201300514,0.0537,0.0153
S201300517,0.0713,0.0115
S201300520,0.1195,0.0114
S201300523,0.0985,0.013
S201300526,0.0563,0.0111
S201300529,0.0813,0.0129
S201300532,0.0275,0.014
S201300535,0.0599,0.0132
S201300538,0.083,0.0131
S201300541,0.0421,0.0132
S201300544,0.0497,0.0147
S201300547,0.0715,0.0111
S201300550,0.0441,0.0107
S201300553,0.0919,0.0156
S201300556,0.1102,0.0158
S201300559,0.0666,0.013
S201300562,0.0351,0.0155
S201300565,0.0467,0.0119
S201300568,0.1313,0.0104
S201300571,0.0847,0.0128
S201300574,0.0622,0.0146
S201300577,0.0277,0.0146
S201300580,0.1,0.0151
S201300583,0.0536,0.0144
S201300586,0.0843,0.011
S201300589,0.1229,0.011
S201300592,0.0539,0.0136
S201300595,0.0581,0.0156
S201300598,0.0771,0.0131
S201300601,0.0575,0.0158
S201300604,0.1247,0.0148
S201300607,0.1602,0.0148
S201300610,0.1633,0.0139
S201300613,0.0504,0.0126
S201300616,0.0503,0.0142
S201300619,0.0775,0.012
S201300622,0.0757,0.0113
S201300625,0.0517,0.0146
S201300628,0.0315,0.0144
S201300631,0.0512,0.0158
S201300634,0.0593,0.0125
S201300637,0.031,0.0131
S201300640,0.0908,0.0105
S201300643,0.0627,0.0133
S201300646,0.1346,0.0102
S201300649,0.1207,0.0138
S201300652,0.1186,0.0104
S201300655,0.162,0.0113
S201300658,0.0421,0.0153
S201300661,0.0518,0.0127
S201300664,0.162,0.0142
S201300667,0.082,0.0148
S201300670,0.1623,0.0137
S201300673,0.1572,0.0141
S201300676,0.0517,0.0124
S201300679,0.1156,0.0124
S201300682,0.0998,0.0123
S201300685,0.0839,0.0145
S201300688,0.0463,0.012
S201300691,0.1222,0.0123
S201300694,0.0633,0.0147
S201300697,0.1022,0.0143
S201300700,0.1154,0.0152
S201300703,0.0643,0.0133
S201300706,0.0416,0.0141
S201300709,0.173,0.0125
S201300712,0.0238,0.0118
S201300715,0.1262,0.0126
S201300718,0.1353,0.0127
S201300721,0.0224,0.0135
S201300724,0.1613,0.0153
S201300727,0.0834,0.0116
S201300730,0.056,0.013
S201300733,0.1209,0.0104
S201300736,0.0496,0.0112
S201300739,0.1337,0.015
S201300742,0.1586,0.0128
S201300745,0.0275,0.0127
S201300748,0.0343,0.0133
S201300751,0.096,0.0119
S201300754,0.1145,0.0146
S201300757,0.1219,0.0144
S201300760,0.1129,0.0127
S201300763,0.0565,0.0141
S201300766,0.0868,0.0139
S201300769,0.0319,0.0138
S201300772,0.1696,0.0129
S201300775,0.0368,0.0138
S201300778,0.1424,0.0158
S201300781,0.0486,0.0118
S201300784,0.1171,0.0104
S201300787,0.0361,0.0146
S201300790,0.0728,0.0112
S201300793,0.116,0.0119
S201300796,0.0389,0.0129
S201300799,0.1308,0.0139
S201300802,0.092,0.0146
S201300805,0.049,0.0121
S201300808,0.0814,0.0126
S201300811,0.1048,0.0109
S201300814,0.04,0.0138
S201300817,0.164,0.0108
S201300820,0.1048,0.0117
S201300823,0.0975,0.0102
S201300826,0.153,0.011
S201300829,0.0687,0.0101
S201300832,0.0507,0.0116
S201300835,0.1679,0.0111
S201300838,0.0979,0.0124
S201300841,0.1392,0.0149
S201300844,0.1038,0.0155
S201300847,0.1729,0.014
S201300850,0.0343,0.014
S201300853,0.0556,0.0146
S201300856,0.0714,0.0157
S201300859,0.1128,0.0107
S201300862,0.0477,0.0102
S201300865,0.1059,0.0155
S201300868,0.1113,0.0137
S201300871,0.1227,0.0141
S201300874,0.1043,0.0157
S201300877,0.0625,0.012
S201300880,0.1045,0.0101
S201300883,0.0174,0.0142
S201300886,0.063,0.0151
S201300889,0.1761,0.012
S201300892,0.0433,0.0108
S201300895,0.1096,0.0118
S201300898,0.0657,0.0156
S201300901,0.0454,0.0154
S201300904,0.1305,0.0151
S201300907,0.1176,0.01
S201300910,0.0496,0.0115
S201300913,0.1136,0.0148
S201300916,0.0376,0.0113
S201300919,0.0294,0.0156
S201300922,0.1691,0.0142
S201300925,0.1311,0.0149
S201300928,0.0331,0.0131
S201300931,0.0537,0.0133
S201300934,0.1428,0.0105
S201300937,0.0449,0.0146
S201300940,0.0839,0.0119
S201300943,0.1208,0.0127
S201300946,0.1856,0.0118
S201300949,0.1135,0.0138
S201300952,0.0434,0.0123
S201300955,0.0754,0.0142
S201300958,0.0829,0.0102
S201300961,0.0594,0.0143
S201300964,0.0229,0.0144
S201300967,0.0561,0.0128
S201300970,0.0188,0.0127
S201300973,0.1802,0.0118
S201300976,0.0552,0.0113
S201300979,0.0814,0.011
S201300982,0.0319,0.0128
S201300985,0.0443,0.0144
S201300988,0.0855,0.0116
S201300991,0.0888,0.013
S201300994,0.0537,0.0107
S201300997,0.0334,0.0128
S201301000,0.0377,0.0104
S201301003,0.1516,0.0152
S201301006,0.143,0.01
S201301009,0.0424,0.0122
S201301012,0.0485,0.0104
S201301015,0.0832,0.0149
S201301018,0.1092,0.0127
S201301021,0.0484,0.0119
S201301024,0.0379,0.0124
S201301027,0.0846,0.0105
S201301030,0.1159,0.0157
S201301033,0.1183,0.0139
S201301036,0.0278,0.0134
S201301039,0.1022,0.0135
S201301042,0.028,0.0133
S201301045,0.1098,0.0135
S201301048,0.0981,0.011
S201301051,0.0661,0.0149
S201301054,0.1486,0.0133
S201301057,0.0566,0.0124
S201301060,0.0643,0.0122
S201301063,0.1199,0.0141
S201301066,0.0584,0.0106
S201301069,0.0821,0.0155
S201301072,0.0498,0.0115
S201301075,0.1758,0.0151
S201301078,0.0368,0.0103
S201301081,0.0518,0.0112
S201301084,0.0426,0.0155
S201301087,0.0371,0.011
S201301090,0.0782,0.0131
S201301093,0.0519,0.0126
S201301096,0.1018,0.0121
S201301099,0.111,0.0145
S201301102,0.014,0.0148
S201301105,0.1082,0.0147
S201301108,0.095,0.0152
S201301111,0.0629,0.0127
S201301114,0.0435,0.013
S201301117,0.0409,0.0108
S201301120,0.1176,0.0103
S201301123,0.0284,0.0108
S201301126,0.0902,0.0121
S201301129,0.1227,0.0117
S201301132,0.1265,0.012
S201301135,0.0339,0.0115
S201301138,0.0368,0.0145
S201301141,0.1114,0.0153
S201301144,0.0954,0.0119
S201301147,0.0686,0.0115
S201301150,0.0656,0.0126
S201301153,0.1183,0.0156
S201301156,0.0537,0.0143
S201301159,0.0934,0.0108
S201301162,0.1325,0.0142
S201301165,0.1193,0.0154
S201301168,0.1199,0.0106
S201301171,0.0293,0.0156
S201301174,0.1606,0.0155
S201301177,0.0477,0.0104
S201301180,0.1268,0.0128
S201301183,0.1631,0.0144
S201301186,0.0438,0.016
S201301189,0.045,0.0149
S201301192,0.036,0.0147
S201301195,0.1451,0.016
S201301198,0.041,0.0127
S201301201,0.0772,0.0157
S201301204,0.1273,0.0156
S201301207,0.053,0.0122
S201301210,0.0535,0.0128
S201301213,0.0985,0.0123
S201301216,0.0876,0.0108
S201301219,0.1918,0.0145
S201301222,0.0631,0.014
S201301225,0.1757,0.0114
S201301228,0.0277,0.0117
S201301231,0.1247,0.0146
S201301234,0.0362,0.0119
S201301237,0.178,0.0111
S201301240,0.0712,0.0142
S201301243,0.1171,0.0118
S201301246,0.0614,0.0102
S201301249,0.0393,0.0135
S201301252,0.0801,0.0121
S201301255,0.0725,0.0135
S201301258,0.0509,0.0142
S201301261,0.1338,0.0158
S201301264,0.0962,0.0115
S201301267,0.1075,0.0159
S201301270,0.051,0.0136
S201301273,0.064,0.0157
S201301276,0.1077,0.0131
S201301279,0.0498,0.0142
S201301282,0.062,0.012
S201301285,0.1027,0.0102
S201301288,0.1151,0.0105
S201301291,0.0373,0.012
S201301294,0.0617,0.0102
S201301297,0.0888,0.0126
S201301300,0.0584,0.0143
S201301303,0.0837,0.0115
S201301306,0.0712,0.0154
S201301309,0.1662,0.0106
S201301312,0.0614,0.0102
S201301315,0.0576,0.0102
S201301318,0.1297,0.0138
S201301321,0.0617,0.0109
S201301324,0.0651,0.012
S201301327,0.0587,0.0105
S201301330,0.1192,0.0141
S201301333,0.1788,0.0137
S201301336,0.0455,0.0116
S201301339,0.0529,0.0157
S201301342,0.0286,0.0138
S201301345,0.0545,0.0101
S201301348,0.1399,0.0104
S201301351,0.0683,0.0142
S201301354,0.0291,0.0147
S201301357,0.0401,0.0111
S201301360,0.1141,0.0151
S201301363,0.0466,0.0115
S201301366,0.1247,0.0124
S201301369,0.1229,0.013
S201301372,0.1233,0.0127
S201301375,0.0346,0.0143
S201301378,0.0448,0.0152
S201301381,0.0556,0.0119
S201301384,0.1775,0.0156
S201301387,0.1606,0.0106
S201301390,0.0433,0.0159
S201301393,0.0608,0.0103
S201301396,0.0955,0.013
S201301399,0.1409,0.0157
S201301402,0.1672,0.0107
S201301405,0.1078,0.0124
S201301408,0.0419,0.0137
S201301411,0.0557,0.0135
S201301414,0.039,0.0149
S201301417,0.1073,0.0142
S201301420,0.1102,0.0128
S201301423,0.0749,0.0132
S201301426,0.1768,0.0126
S201301429,0.0738,0.0103
S201301432,0.1049,0.0101
S201301435,0.0631,0.0123
S201301438,0.1118,0.0118
S201301441,0.1152,0.011
S201301444,0.0441,0.0158
S201301447,0.1845,0.0128
S201301450,0.0667,0.0117
S201301453,0.0601,0.0117
S201301456,0.1193,0.012
S201301459,0.0105,0.0156
S201301462,0.0631,0.0148
S201301465,0.1401,0.0123
S201301468,0.0606,0.0104
S201301471,0.0497,0.0137
S201301474,0.0244,0.014
S201301477,0.0942,0.0159
S201301480,0.049,0.0148
S201301483,0.1372,0.0158
S201301486,0.1064,0.0152
S201301489,0.13,0.0137
S201301492,0.0362,0.0112
S201301495,0.0343,0.0117
S201301498,0.1452,0.0108
S201301501,0.0605,0.0155
S201301504,0.1138,0.0101
S201301507,0.1681,0.0108
S201301510,0.05,0.0135
S201301513,0.0867,0.0126
S201301516,0.1572,0.014
S201301519,0.1809,0.0124
S201301522,0.0717,0.0154
S201301525,0.0698,0.0143
S201301528,0.0396,0.0154
S201301531,0.1206,0.013
S201301534,0.0542,0.014
S201301537,0.0842,0.0108
S201301540,0.1006,0.0102
S201301543,0.1242,0.0158
S201301546,0.0491,0.011
S201301549,0.1059,0.0105
S201301552,0.1093,0.0136
S201301555,0.0453,0.0107
S201301558,0.0352,0.0148
S201301561,0.0425,0.0108
S201301564,0.0968,0.0138
S201301567,0.1184,0.0152
S201301570,0.0432,0.0131
S201301573,0.0958,0.0134
S201301576,0.0405,0.0144
S201301579,0.0443,0.016
S201301582,0.0807,0.0125
S201301585,0.1126,0.0147
S201301588,0.0466,0.0138
S201301591,0.0632,0.0131
S201301594,0.0649,0.0128
S201301597,0.1092,0.0117
S201301600,0.1157,0.0119
S201301603,0.125,0.0125
S201301606,0.1016,0.0157
S201301609,0.127,0.016
S201301612,0.04,0.0104
S201301615,0.0802,0.0103
S201301618,0.0372,0.0111
S201301621,0.0624,0.0118
S201301624,0.058,0.0149
S201301627,0.0788,0.012
S201301630,0.0327,0.01
S201301633,0.074,0.0158
S201301636,0.0837,0.0152
S201301639,0.0403,0.0118
S201301642,0.1017,0.0117
S201301645,0.0279,0.0105
S201301648,0.0291,0.0145
S201301651,0.0359,0.0109
S201301654,0.1127,0.0118
S201301657,0.0438,0.0145
S201301660,0.109,0.0104
S201301663,0.1331,0.0159
S201301666,0.0161,0.0146
S201301669,0.1108,0.0152
S201301672,0.1041,0.0153
S201301675,0.0467,0.0152
S201301678,0.1061,0.0143
S201301681,0.1197,0.0116
S201301684,0.0826,0.0135
S201301687,0.1363,0.0156
S201301690,0.1154,0.0112
S201301693,0.0457,0.0149
S201301696,0.0623,0.0131
S201301699,0.0602,0.0139
S201301702,0.1268,0.0105
S201301705,0.0617,0.0153
S201301708,0.0675,0.0103
S201301711,0.0335,0.0123
S201301714,0.0261,0.0135
S201301717,0.0262,0.012
S201301720,0.1077,0.0137
S201301723,0.0344,0.0142
S201301726,0.087,0.0149
S201301729,0.0531,0.0158
S201301732,0.0664,0.0108
S201301735,0.1306,0.0118
S201301738,0.061,0.0137
S201301741,0.0584,0.0105
S201301744,0.1557,0.0104
S201301747,0.1222,0.0153
S201301750,0.0258,0.0108
S201301753,0.1307,0.0129
S201301756,0.0465,0.0124
S201301759,0.1156,0.0155
S201301762,0.0672,0.011
S201301765,0.1525,0.013
S201301768,0.0345,0.0105
S201301771,0.067,0.0155
S201301774,0.0483,0.0116
S201301777,0.0428,0.0119
S201301780,0.1275,0.0105
S201301783,0.0722,0.0105
S201301786,0.0761,0.0118
S201301789,0.1312,0.0154
S201301792,0.0302,0.0115
S201301795,0.0535,0.0123
S201301798,0.0812,0.0146
S201301801,0.0474,0.0142
S201301804,0.111,0.0158
S201301807,0.1637,0.0152
S201301810,0.0582,0.0122
S201301813,0.0814,0.0144
S201301816,0.085,0.0123
S201301819,0.1255,0.0134
S201301822,0.0838,0.0157
S201301825,0.0418,0.016
S201301828,0.173,0.0122
S201301831,0.0376,0.0108
S201301834,0.0486,0.0111
S201301837,0.0992,0.0153
S201301840,0.0504,0.014
S201301843,0.0443,0.0106
S201301846,0.068,0.013
S201301849,0.0683,0.0139
S201301852,0.1009,0.0103
S201301855,0.1026,0.0154
S201301858,0.0768,0.0132
S201301861,0.1826,0.0156
S201301864,0.0232,0.0125
S201301867,0.0473,0.0143
S201301870,0.0553,0.0144
S201301873,0.0614,0.0105
S201301876,0.1534,0.0158
S201301879,0.1049,0.0146
S201301882,0.1302,0.0128
S201301885,0.1556,0.0137
S201301888,0.1312,0.0141
S201301891,0.0327,0.0143
S201301894,0.0406,0.0125
S201301897,0.0837,0.013
S201301900,0.0987,0.0115
S201301903,0.1212,0.0126
S201301906,0.0879,0.015
S201301909,0.147,0.0121
S201301912,0.1557,0.0154
S201301915,0.1318,0.0133
S201301918,0.0522,0.0139
S201301921,0.1315,0.0108
S201301924,0.174,0.014
S201301927,0.0851,0.0138
S201301930,0.12,0.012
S201301933,0.0508,0.0116
S201301936,0.064,0.0141
S201301939,0.0657,0.0104
S201301942,0.05,0.0149
S201301945,0.1461,0.0119
S201301948,0.1316,0.0105
S201301951,0.0502,0.0135
S201301954,0.1754,0.0127
S201301957,0.1514,0.0144
S201301960,0.1116,0.0145
S201301963,0.1698,0.0105
S201301966,0.1346,0.0137
S201301969,0.102,0.0153
S201301972,0.0637,0.0146
S201301975,0.0518,0.0142
S201301978,0.0614,0.0119
S201301981,0.08,0.0132
S201301984,0.1149,0.0138
S201301987,0.0591,0.0123
S201301990,0.07,0.0121
S201301993,0.1013,0.0128
S201301996,0.1137,0.0101
S201301999,0.0894,0.0113
S201302002,0.1062,0.0104
S201302005,0.1479,0.0154
S201302008,0.0696,0.0106
S201302011,0.0848,0.0108
S201302014,0.0693,0.0107
S201302017,0.0583,0.013
S201302020,0.0559,0.0119
S201302023,0.0729,0.0143
S201302026,0.0716,0.0122
S201302029,0.0844,0.0108
S201302032,0.1291,0.0126
S201302035,0.0611,0.0149
S201302038,0.1274,0.0108
S201302041,0.0426,0.0149
S201302044,0.1166,0.0137
S201302047,0.1015,0.0159
S201302050,0.0811,0.0139
S201302053,0.1006,0.0122
S201302056,0.0758,0.0156
S201302059,0.1354,0.0124
S201302062,0.029,0.0142
S201302065,0.0446,0.0148
S201302068,0.0338,0.014
S201302071,0.0556,0.0128
S201302074,0.0489,0.0124
S201302077,0.1465,0.0111
S201302080,0.1715,0.0128
S201302083,0.0399,0.0148
S201302086,0.0597,0.0157
S201302089,0.0964,0.0139
S201302092,0.1768,0.0149
S201302095,0.0748,0.0145
S201302098,0.1195,0.015
S201302101,0.0593,0.014
S201302104,0.038,0.012
S201302107,0.129,0.0109
S201302110,0.0785,0.0122
S201302113,0.1236,0.0151
S201302116,0.1359,0.0141
S201302119,0.1996,0.0113
S201302122,0.1248,0.0106
S201302125,0.0545,0.0157
S201302128,0.0795,0.0145
S201302131,0.0388,0.0131
S201302134,0.1197,0.0126
S201302137,0.0597,0.013
S201302140,0.0518,0.0118
S201302143,0.0404,0.0159
S201302146,0.1691,0.0114
S201302149,0.0925,0.0108
S201302152,0.0753,0.0151
S201302155,0.1055,0.0126
S201302158,0.0335,0.0106
S201302161,0.0453,0.0121
S201302164,0.0941,0.0155
S201302167,0.1098,0.0109
S201302170,0.1935,0.011
S201302173,0.1258,0.0157
S201302176,0.0242,0.0111
S201302179,0.1538,0.0139
S201302182,0.0858,0.0101
S201302185,0.0472,0.0115
S201302188,0.0583,0.0129
S201302191,0.0696,0.0127
S201302194,0.1187,0.0159
S201302197,0.1085,0.0104
S201302200,0.0597,0.0114
S201302203,0.0672,0.0112
S201302206,0.0597,0.0158
S201302209,0.1373,0.0151
S201302212,0.0567,0.0119
S201302215,0.0548,0.0126
S201302218,0.0469,0.0125
S201302221,0.1142,0.0105
S201302224,0.0373,0.0129
S201302227,0.0531,0.0139
S201302230,0.0621,0.0106
S201302233,0.0445,0.0119
S201302236,0.0353,0.0145
S201302239,0.0498,0.0141
S201302242,0.1681,0.0118
S201302245,0.1248,0.0155
S201302248,0.0955,0.0121
S201302251,0.0953,0.0138
S201302254,0.1773,0.012
S201302257,0.1354,0.01
S201302260,0.0983,0.0151
S201302263,0.0264,0.0122
S201302266,0.0363,0.014
S201302269,0.1239,0.0124
S201302272,0.1695,0.0141
S201302275,0.1794,0.0111
S201302278,0.0634,0.0128
S201302281,0.0709,0.0132
S201302284,0.0822,0.0114
S201302287,0.0415,0.0111
S201302290,0.083,0.0125
S201302293,0.1054,0.0122
S201302296,0.1598,0.0101
S201302299,0.1734,0.0148
S201302302,0.0309,0.0126
S201302305,0.085,0.0133
S201302308,0.0377,0.0152
S201302311,0.0533,0.0119
S201302314,0.0551,0.0153
S201302317,0.1009,0.0139
S201302320,0.0388,0.0148
S201302323,0.0829,0.0129
S201302326,0.0897,0.0128
S201302329,0.0369,0.0129
S201302332,0.0471,0.0146
S201302335,0.1858,0.0108
S201302338,0.047,0.0123
S201302341,0.0254,0.0157
S201302344,0.0842,0.0158
S201302347,0.0441,0.0141
S201302350,0.0567,0.0122
S201302353,0.0462,0.015
S201302356,0.0779,0.0105
S201302359,0.1155,0.0119
S201302362,0.0731,0.01
S201302365,0.1791,0.0154
S201302368,0.0209,0.0138
S201302371,0.0546,0.0113
S201302374,0.095,0.0146
S201302377,0.0366,0.011
S201302380,0.1991,0.0123
S201302383,0.1478,0.0104
S201302386,0.0636,0.0127
S201302389,0.1138,0.0123
S201302392,0.1021,0.0123
S201302395,0.0193,0.013
S201302398,0.0672,0.0148
S201302401,0.1054,0.0128
S201302404,0.0584,0.0145
S201302407,0.0644,0.0149
S201302410,0.0354,0.0143
S201302413,0.1027,0.0142
S201302416,0.1548,0.0115
S201302419,0.1478,0.0124
S201302422,0.0821,0.0139
S201302425,0.0191,0.0147
S201302428,0.0493,0.0138
S201302431,0.1113,0.0102
S201302434,0.04,0.0116
S201302437,0.0644,0.011
S201302440,0.0752,0.0121
S201302443,0.1101,0.0132
S201302446,0.0345,0.0115
S201302449,0.0204,0.0144
S201302452,0.1194,0.0104
S201302455,0.038,0.0135
S201302458,0.0396,0.0126
S201302461,0.046,0.0131
S201302464,0.1088,0.0116
S201302467,0.0688,0.0147
S201302470,0.0247,0.0102
S201302473,0.1376,0.0112
S201302476,0.1063,0.0159
S201302479,0.0394,0.0132
S201302482,0.1114,0.0103
S201302485,0.1309,0.0156
S201302488,0.1061,0.0125
S201302491,0.0518,0.011
S201302494,0.0575,0.0147
S201302497,0.0371,0.0141
S201302500,0.0469,0.0114
S201302503,0.0521,0.0142
S201302506,0.1023,0.0127
S201302509,0.0428,0.0101
S201302512,0.1161,0.0117
S201302515,0.1462,0.0114
S201302518,0.1169,0.0125
S201302521,0.0564,0.0109
S201302524,0.1528,0.0112
S201302527,0.1182,0.011
S201302530,0.0407,0.0112
S201302533,0.1428,0.015
S201302536,0.0989,0.0106
S201302539,0.1192,0.013
S201302542,0.0429,0.0147
S201302545,0.0736,0.013
S201302548,0.0179,0.0127
S201302551,0.0432,0.011
S201302554,0.0948,0.0116
S201302557,0.1204,0.0147
S201302560,0.1548,0.0112
S201302563,0.1049,0.0119
S201302566,0.1128,0.0122
S201302569,0.0574,0.014
S201302572,0.1396,0.0151
S201302575,0.0481,0.0127
S201302578,0.1722,0.0114
S201302581,0.0436,0.0104
S201302584,0.0374,0.014
S201302587,0.1186,0.0117
S201302590,0.1673,0.0125
S201302593,0.1025,0.0105
S201302596,0.053,0.0106
S201302599,0.1056,0.0153
S201302602,0.1258,0.0154
S201302605,0.057,0.0114
S201302608,0.081,0.0127
S201302611,0.1265,0.0158
S201302614,0.0327,0.012
S201302617,0.0504,0.0101
S201302620,0.0167,0.0105
S201302623,0.0751,0.0141
S201302626,0.0276,0.015
S201302629,0.1129,0.012
S201302632,0.0427,0.0156
S201302635,0.1799,0.0121
S201302638,0.0929,0.0157
S201302641,0.1333,0.0105
S201302644,0.1103,0.014
S201302647,0.0822,0.0134
S201302650,0.1088,0.0155
S201302653,0.1056,0.0112
S201302656,0.1003,0.0121
S201302659,0.0316,0.0113
S201302662,0.0393,0.0158
S201302665,0.11,0.0118
S201302668,0.0392,0.0106
S201302671,0.0816,0.015
S201302674,0.1872,0.0136
S201302677,0.1078,0.0142
S201302680,0.0574,0.0123
S201302683,0.031,0.0118
S201302686,0.0877,0.0154
S201302689,0.1241,0.0122
S201302692,0.1303,0.0129
S201302695,0.0683,0.0121
S201302698,0.0503,0.012
S201302701,0.124,0.0157
S201302704,0.0598,0.0149
S201302707,0.1094,0.0144
S201302710,0.0375,0.015
S201302713,0.039,0.0143
S201302716,0.1419,0.0117
S201302719,0.0337,0.0113
S201302722,0.0625,0.0126
S201302725,0.0311,0.0147
S201302728,0.035,0.0157
S201302731,0.0879,0.0118
S201302734,0.034,0.0154
S201302737,0.1234,0.012
S201302740,0.0628,0.015
S201302743,0.0912,0.0148
S201302746,0.0399,0.0128
S201302749,0.0574,0.0123
S201302752,0.0602,0.0132
S201302755,0.0316,0.0132
S201302758,0.0889,0.0159
S201302761,0.0516,0.0102
S201302764,0.0547,0.0132
S201302767,0.1236,0.0149
S201302770,0.1419,0.0143
S201302773,0.1544,0.0132
S201302776,0.152,0.0149
S201302779,0.0365,0.0155
S201302782,0.0904,0.0147
S201302785,0.0536,0.0121
S201302788,0.1719,0.012
S201302791,0.0506,0.0114
S201302794,0.1091,0.0107
S201302797,0.0905,0.0126
S201302800,0.126,0.0117
S201302803,0.1772,0.0145
S201302806,0.1235,0.0136
S201302809,0.1157,0.0133
S201302812,0.0345,0.0116
S201302815,0.13,0.0141
S201302818,0.0249,0.0158
S201302821,0.0474,0.0149
S201302824,0.1026,0.0155
S201302827,0.1141,0.0132
