rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
35,7933148,4998,0.16475,0.04068,7.2078,0.5896,0.13986,0.04255,13.508,16.456,0.4428,triangular,baseline,1
36,4424786,5000,0.1572,0.03686,7.9646,0.632,0.19017,0.04067,11.67,19.177,0.4531,triangular,baseline,1
37,5619046,5000,0.14102,0.0303,6.7073,0.5735,0.19822,0.04401,12.403,19.427,0.4825,triangular,baseline,1
38,2595802,4998,0.17144,0.0346,6.5897,0.5696,0.17661,0.04476,13.147,18.906,0.4462,triangular,baseline,1
39,506142,5000,0.17052,0.03828,6.7981,0.5875,0.1696,0.04192,12.924,18.671,0.4952,triangular,baseline,1
40,1905335,5000,0.19727,0.0338,6.2725,0.5168,0.20452,0.04436,13.854,19.161,0.4391,triangular,baseline,1
41,1238398,5001,0.25011,0.03456,7.9231,0.5228,0.16067,0.04394,12.336,17.344,0.4781,triangular,baseline,0
42,1867683,5000,0.15397,0.03437,7.6074,0.5402,0.14949,0.04451,14.075,17.67,0.4567,triangular,baseline,1
43,1290086,5000,0.22096,0.03638,7.0472,0.6385,0.21268,0.04285,12.73,19.149,0.472,triangular,baseline,1
44,5211605,5000,0.22287,0.03856,6.7754,0.5291,0.09302,0.04135,12.796,18.573,0.4304,triangular,baseline,1
45,1024038,5001,0.17364,0.03702,7.8315,0.6037,0.1334,0.04518,11.553,17.714,0.4573,triangular,baseline,1
46,5318061,5000,0.12507,0.03904,7.7417,0.6442,0.15819,0.04425,13.34,17.3,0.46,triangular,baseline,1
47,5137535,5001,0.17109,0.03421,6.635,0.567,0.14143,0.04556,12.872,18.388,0.4241,triangular,baseline,1
48,7992692,4998,0.11261,0.03275,7.4546,0.5981,0.10216,0.04227,11.895,18.229,0.436,triangular,baseline,1
49,4337311,4998,0.15912,0.04081,7.1737,0.5493,0.14011,0.04022,13.836,17.361,0.4687,triangular,baseline,1
50,989386,4999,0.13621,0.036,6.5762,0.5678,0.19142,0.04247,14.16,17.12,0.4631,triangular,baseline,1
51,2898214,5000,0.19201,0.04045,7.0909,0.5004,0.0946,0.04318,12.15,18.56,0.4891,triangular,baseline,1
52,4467222,5000,0.1705,0.03787,7.1502,0.5787,0.01399,0.03952,13.598,18.732,0.4675,triangular,baseline,1
53,2746540,5000,0.09547,0.03401,7.642,0.5085,0.16175,0.04137,14.199,18.077,0.4435,triangular,baseline,1
54,2611900,5000,0.18117,0.03415,7.3493,0.5308,0.15266,0.0389,12.475,18.046,0.4135,triangular,baseline,1
55,2264015,4999,0.1972,0.03125,6.3033,0.5303,0.12015,0.04498,11.785,16.604,0.4402,triangular,baseline,1
56,4373177,5000,0.0925,0.0307,6.7129,0.5951,0.09026,0.04516,14.348,16.217,0.4447,triangular,baseline,0
57,8101064,5000,0.19433,0.03849,7.192,0.6237,0.13803,0.04202,12.545,19.123,0.4802,triangular,baseline,1
58,8536726,5000,0.08758,0.04011,6.3423,0.5319,0.13222,0.04425,13.891,18.088,0.4905,triangular,baseline,1
59,6398798,4999,0.14259,0.0318,7.6737,0.5294,0.20258,0.04506,13.047,17.487,0.4648,triangular,baseline,1
60,8338654,4998,0.1619,0.03255,6.6538,0.6007,0.13423,0.03865,12.27,16.635,0.4801,triangular,baseline,1
61,8966604,5000,0.17142,0.03205,6.6231,0.5673,0.14505,0.0399,11.506,16.713,0.4734,triangular,baseline,1
62,6841146,4998,0.16015,0.03294,6.9123,0.5258,0.15213,0.04142,11.776,18.366,0.4255,triangular,baseline,1
63,7757579,5000,0.21041,0.04006,6.5217,0.5993,0.16597,0.03993,14.244,18.722,0.4624,triangular,baseline,1
64,7038451,5000,0.19407,0.03636,6.5952,0.5233,0.16244,0.04274,12.74,19.056,0.4161,triangular,baseline,1
65,4169095,4999,0.16914,0.0339,8.133,0.5434,0.17194,0.0458,13.127,18.84,0.4805,triangular,baseline,1
66,2501893,5000,0.18519,0.03773,7.3084,0.5607,0.15955,0.03896,12.067,18.505,0.4358,triangular,baseline,1
67,8475056,5000,0.12688,0.03291,7.4827,0.6315,0.18602,0.03998,11.957,16.772,0.4248,triangular,baseline,1
68,4659076,5000,0.16337,0.03721,6.7324,0.5579,0.19246,0.0414,11.503,16.952,0.4154,triangular,baseline,1
69,1021332,5000,0.15317,0.03848,6.7078,0.5286,0.16915,0.0392,12.871,18.749,0.4427,triangular,baseline,1
70,7241428,5000,0.21443,0.03844,6.3856,0.5689,0.12568,0.04244,12.311,19.382,0.4637,triangular,baseline,1
71,580214,5000,0.15668,0.03593,6.88,0.5718,0.16265,0.04548,13.447,17.578,0.4753,triangular,baseline,1
72,6894328,5000,0.18916,0.03681,7.4832,0.5776,0.13462,0.04433,12.525,17.141,0.4263,triangular,baseline,1
73,2553777,5001,0.15083,0.03135,7.8219,0.5961,0.24122,0.04327,12.678,17.959,0.4548,triangular,baseline,1
74,5163382,5000,0.11785,0.04008,6.2417,0.5124,0.09679,0.04569,14.183,18.567,0.4667,triangular,baseline,1
75,5633328,5000,0.18294,0.03983,5.853,0.6032,0.21206,0.04038,12.128,18.807,0.4684,triangular,baseline,1
76,7662926,4999,0.18333,0.03915,7.5674,0.5857,0.19823,0.04291,12.727,18.541,0.4595,triangular,baseline,1
77,8585531,5000,0.15555,0.03782,6.7111,0.5341,0.15221,0.04042,14.207,17.88,0.4523,triangular,baseline,1
78,7668378,5000,0.07563,0.0408,7.3032,0.5541,0.21414,0.04137,12.671,17.215,0.4496,triangular,baseline,0
79,4164257,5000,0.13051,0.03827,7.451,0.6183,0.22609,0.04429,12.849,19.331,0.4272,triangular,baseline,1
80,3340694,4998,0.21039,0.03625,7.7155,0.6076,0.17023,0.04052,12.466,17.831,0.4529,triangular,baseline,1
81,4350527,4998,0.19244,0.03639,6.9577,0.5032,0.25467,0.04168,13.38,17.794,0.4636,triangular,baseline,1
82,4114467,5000,0.19098,0.03506,7.1635,0.5362,0.19708,0.04468,11.969,17.667,0.4213,triangular,baseline,1
83,3058249,5000,0.1861,0.03827,6.5584,0.5314,0.08623,0.04354,13.785,18.483,0.4831,triangular,baseline,1
84,2711340,5000,0.16841,0.04091,6.5853,0.5456,0.11249,0.04071,13.687,17.067,0.4535,triangular,baseline,1
85,3106149,4999,0.17153,0.04,6.944,0.6493,0.17854,0.03909,13.285,16.842,0.4708,triangular,baseline,1
86,7294947,4999,0.21014,0.03256,6.2202,0.5564,0.15282,0.04005,14.208,19.461,0.4472,triangular,baseline,1
87,2774709,5000,0.13142,0.03205,6.0526,0.6245,0.18304,0.04368,14.487,18.435,0.4776,triangular,baseline,1
88,4444544,5000,0.2103,0.03933,6.869,0.6288,0.15011,0.04413,11.692,17.546,0.4329,triangular,baseline,1
89,1507187,5000,0.18442,0.04014,7.6068,0.5249,0.13228,0.04094,14.345,17.16,0.4571,triangular,baseline,1
90,5067246,5000,0.12722,0.03869,7.349,0.585,0.18839,0.04089,14.09,16.827,0.388,triangular,baseline,1
91,8420102,5000,0.17259,0.03962,7.9716,0.5118,0.18725,0.04042,12.934,19.423,0.4792,triangular,baseline,1
92,4336963,5000,0.18296,0.03397,6.8303,0.6025,0.17775,0.04151,13.286,16.163,0.4713,triangular,baseline,1
93,3642404,4998,0.16271,0.0382,7.1813,0.5655,0.15559,0.04327,14.163,19.103,0.4704,triangular,baseline,1
94,2285137,5000,0.14256,0.03312,7.6085,0.5169,0.21343,0.04335,13.597,19.355,0.4355,triangular,baseline,1
95,2591733,5000,0.11876,0.03187,7.6471,0.5108,0.17415,0.0457,12.757,18.582,0.457,triangular,baseline,1
96,8851763,4999,0.12804,0.03849,6.6603,0.5782,0.17111,0.04058,12.632,16.5,0.4559,triangular,baseline,1
97,1261343,5000,0.15164,0.04089,7.1067,0.6407,0.29834,0.04526,13.481,16.831,0.4499,triangular,baseline,1
98,4957288,4999,0.13392,0.03646,7.1244,0.538,0.06168,0.03817,14.448,16.894,0.417,triangular,baseline,1
99,4182825,5000,0.20314,0.03883,6.6917,0.5505,0.10503,0.04079,12.602,17.355,0.4764,triangular,baseline,1
100,8727843,5000,0.17124,0.03521,6.9649,0.638,0.06127,0.04267,12.676,18.504,0.4206,triangular,baseline,1
101,3975150,5001,0.10744,0.03481,6.7858,0.5755,0.16589,0.03862,12.852,18.924,0.3842,triangular,baseline,1
102,2029861,4998,0.18271,0.03238,6.5804,0.6463,0.07787,0.04124,13.49,18.133,0.4423,triangular,baseline,1
103,4291233,5000,0.17718,0.03635,7.1164,0.6192,0.15403,0.04206,13.474,18.553,0.464,triangular,baseline,1
104,8101860,5001,0.16962,0.03887,6.8671,0.5013,0.22498,0.04067,12.592,17.266,0.4407,triangular,baseline,1
105,2227977,5000,0.17995,0.03144,7.5396,0.5367,0.2077,0.04323,14.13,16.686,0.489,triangular,baseline,1
106,2905902,5000,0.19197,0.03354,7.2807,0.5641,0.14011,0.04141,13.405,17.612,0.4747,triangular,baseline,1
107,5914697,5000,0.19036,0.03554,7.2196,0.6089,0.13586,0.04144,11.738,19.174,0.4554,triangular,baseline,1
108,2966773,4998,0.19809,0.03159,7.1964,0.6361,0.16114,0.04196,12.568,18.695,0.4939,triangular,baseline,1
109,32196,4998,0.19435,0.03633,6.6987,0.6324,0.20225,0.03956,12.295,17.977,0.4591,triangular,baseline,1
110,6418581,5000,0.1903,0.03553,7.3697,0.5496,0.17109,0.03871,14.136,17.114,0.4564,triangular,baseline,1
111,5897957,5000,0.18291,0.03067,8.2373,0.5241,0.19337,0.03997,13.279,16.914,0.4439,triangular,baseline,1
112,6781088,5000,0.15241,0.0357,6.5434,0.6249,0.21071,0.0407,14.193,18.421,0.423,triangular,baseline,1
113,7782330,5001,0.17751,0.03005,7.1335,0.6275,0.12826,0.04361,12.083,16.357,0.4823,triangular,baseline,1
114,8719049,4998,0.17625,0.03529,7.8782,0.6063,0.19168,0.04395,13.182,18.727,0.42,triangular,baseline,1
115,390065,5000,0.11239,0.03717,7.9342,0.6134,0.1982,0.0395,13.081,18.42,0.4634,triangular,baseline,1
116,8597729,5000,0.1297,0.03591,7.4614,0.5185,0.14996,0.03891,14.249,17.097,0.418,triangular,baseline,1
117,6814231,5000,0.11317,0.03155,8.2141,0.563,0.21867,0.04545,14.486,17.435,0.4672,triangular,baseline,1
118,8379738,4998,0.13852,0.03421,6.9642,0.6028,0.16488,0.04379,13.859,16.073,0.4421,triangular,baseline,1
119,3184801,4999,0.19175,0.03405,6.6882,0.5616,0.18157,0.04069,11.626,19.402,0.433,triangular,baseline,1
120,5737138,5000,0.17465,0.03126,7.6832,0.6176,0.16575,0.03851,12.606,18.308,0.4461,triangular,baseline,1
121,8717032,5000,0.13624,0.03196,7.3735,0.6034,0.18759,0.04088,12.855,19.082,0.4561,triangular,baseline,1
122,3600497,5000,0.16351,0.03956,7.1419,0.5507,0.1396,0.04127,13.884,18.466,0.4548,triangular,baseline,1
123,8538185,5000,0.16366,0.04076,6.3815,0.5284,0.11987,0.04437,13.947,17.443,0.4662,triangular,baseline,1
124,1263276,4998,0.14961,0.03571,7.3907,0.5334,0.15651,0.04571,11.512,16.351,0.4545,triangular,baseline,1
125,2494783,5000,0.13652,0.03001,7.6818,0.5235,0.13703,0.04092,14.396,17.655,0.4796,triangular,baseline,1
126,3481736,5000,0.15822,0.03212,6.1926,0.579,0.14151,0.04421,14.371,18.415,0.4652,triangular,baseline,1
127,8619336,5000,0.184,0.03463,7.4795,0.5873,0.17642,0.04204,12.475,18.254,0.4523,triangular,baseline,1
128,2837231,5000,0.16639,0.03066,7.0127,0.564,0.2012,0.04124,11.771,17.085,0.4478,triangular,baseline,1
129,5834059,5000,0.18512,0.03479,7.5526,0.5704,0.17855,0.03858,12.398,18.864,0.418,triangular,baseline,1
130,5500802,5000,0.22141,0.0301,7.5218,0.6456,0.11471,0.0443,12.724,16.782,0.495,triangular,baseline,0
131,1852084,4998,0.19489,0.04,6.5413,0.5663,0.1658,0.04516,13.017,17.021,0.479,triangular,baseline,1
132,5021682,4999,0.19899,0.03677,7.7213,0.5493,0.20646,0.04415,11.693,17.321,0.4294,triangular,baseline,1
133,4935482,5000,0.14265,0.03638,6.7408,0.5199,0.1771,0.0413,12.857,18.137,0.4962,triangular,baseline,1
134,988623,5000,0.22243,0.0323,7.373,0.6024,0.16412,0.03846,12.906,17.433,0.4413,triangular,baseline,1
135,2493208,4999,0.16598,0.03648,7.0325,0.6108,0.15266,0.04317,12.865,18.595,0.4298,triangular,baseline,1
136,4322580,4999,0.17575,0.03191,7.3995,0.6213,0.20426,0.04106,12.828,18.559,0.481,triangular,baseline,1
137,6155003,4999,0.08199,0.03928,6.9895,0.5252,0.14345,0.04444,14.278,17.482,0.4726,triangular,baseline,0
138,7541845,5000,0.14122,0.04072,6.4106,0.6152,0.14458,0.04307,12.567,16.365,0.443,triangular,baseline,1
139,5761676,5000,0.17112,0.034,6.6716,0.5715,0.18491,0.0457,13.959,18.874,0.4686,triangular,baseline,1
140,5920769,5000,0.13412,0.03996,7.6317,0.5086,0.21676,0.04371,12.28,19.385,0.4738,triangular,baseline,1
141,1436283,5000,0.15063,0.03977,6.4457,0.6196,0.1101,0.04419,13.359,18.829,0.4315,triangular,baseline,1
142,544261,5000,0.14515,0.03648,6.2095,0.5959,0.17899,0.04395,11.832,17.7,0.4207,triangular,baseline,1
143,8296232,4999,0.21779,0.03767,6.7275,0.5332,0.211,0.03838,13.266,17.652,0.4486,triangular,baseline,1
144,761840,5001,0.14821,0.03334,6.971,0.5348,0.12672,0.0398,11.62,19.293,0.4646,triangular,baseline,1
145,8890598,5000,0.1311,0.03704,8.2243,0.5709,0.13931,0.0417,13.055,18.855,0.4447,triangular,baseline,1
146,1507411,5000,0.17859,0.03392,6.377,0.5712,0.17878,0.04248,14.08,18.663,0.4814,triangular,baseline,1
147,4231969,5000,0.13395,0.03782,6.6297,0.6356,0.1517,0.04412,12.877,16.508,0.4422,triangular,baseline,1
148,7426939,5000,0.20236,0.03927,7.3498,0.5971,0.11301,0.04132,13.796,17.413,0.4728,triangular,baseline,1
149,3324252,5000,0.12954,0.03519,7.4655,0.6196,0.10925,0.03884,12.075,17.571,0.4487,triangular,baseline,1
150,8900806,4998,0.17359,0.03305,6.6358,0.5651,0.14194,0.03929,13.996,17.247,0.4322,triangular,baseline,1
151,671575,5000,0.13645,0.03868,7.2491,0.6124,0.15784,0.04463,12.508,17.0,0.4783,triangular,baseline,1
152,3704692,5000,0.17042,0.03151,7.3802,0.6019,0.16731,0.04135,11.62,17.649,0.4816,triangular,baseline,1
153,5638194,4999,0.19623,0.03335,6.7799,0.5932,0.13818,0.04488,14.238,17.247,0.4514,triangular,baseline,1
154,8899763,5000,0.14853,0.03641,6.6854,0.5108,0.10415,0.0393,13.903,19.048,0.4323,triangular,baseline,1
155,4983058,4999,0.21638,0.03603,7.3671,0.6434,0.12586,0.04287,11.589,19.307,0.5011,triangular,baseline,1
156,7691784,5000,0.21793,0.03418,6.6777,0.605,0.18984,0.03828,11.971,16.791,0.4527,triangular,baseline,1
157,1104322,5000,0.16204,0.0308,6.454,0.5179,0.15923,0.04139,14.024,18.276,0.46,triangular,baseline,1
158,1423617,5000,0.17508,0.04087,6.6386,0.5902,0.1079,0.03961,12.295,18.222,0.4653,triangular,baseline,1
159,2683695,4998,0.13794,0.03333,6.8803,0.5562,0.17593,0.04454,12.33,16.849,0.5183,triangular,baseline,1
160,6720935,5000,0.22945,0.03449,7.3111,0.5981,0.13107,0.04074,13.491,18.211,0.4374,triangular,baseline,0
161,1834250,5000,0.2321,0.03089,7.1215,0.6187,0.173,0.0454,14.392,16.187,0.4437,triangular,baseline,0
162,5439992,5001,0.18986,0.03831,7.2633,0.5325,0.15254,0.04175,13.141,19.278,0.4575,triangular,baseline,1
163,7278961,5000,0.21657,0.04072,8.2049,0.5521,0.13279,0.03832,12.736,16.662,0.4272,triangular,baseline,1
164,4979321,4998,0.1759,0.03262,8.0933,0.594,0.20145,0.03946,12.438,16.038,0.4202,triangular,baseline,1
165,8071720,5000,0.15444,0.03334,7.0325,0.5543,0.18003,0.04203,11.673,18.999,0.4485,triangular,baseline,1
166,5950178,5000,0.20527,0.03016,7.1519,0.559,0.22596,0.04005,14.241,18.556,0.4262,triangular,baseline,1
167,474882,5000,0.10382,0.03333,7.7046,0.6475,0.14746,0.04496,13.995,17.765,0.4109,triangular,baseline,1
168,8833081,5000,0.14132,0.0308,6.4445,0.6441,0.14177,0.04153,12.525,16.457,0.47,triangular,baseline,1
169,6523675,5000,0.16313,0.04066,7.3125,0.5844,0.1993,0.04151,13.857,16.396,0.4782,triangular,baseline,1
170,1716032,5001,0.09563,0.03977,8.1176,0.6488,0.17012,0.03903,13.603,18.869,0.4354,triangular,baseline,1
171,7158284,4998,0.19004,0.03018,7.1893,0.6007,0.15652,0.04406,13.076,18.628,0.4484,triangular,baseline,1
172,8500870,5000,0.19039,0.03567,6.3996,0.5838,0.18487,0.04072,12.358,18.666,0.4197,triangular,baseline,1
173,7175379,5000,0.15654,0.03066,6.1454,0.5495,0.12256,0.04569,14.413,17.125,0.4556,triangular,baseline,1
174,3059348,4998,0.16048,0.03268,6.4717,0.5414,0.20008,0.04514,13.323,18.086,0.4207,triangular,baseline,1
175,8154479,5000,0.1393,0.03723,7.0891,0.5939,0.24477,0.04064,12.448,17.2,0.4426,triangular,baseline,1
176,6966084,4999,0.16545,0.0309,6.6583,0.546,0.13984,0.04231,11.978,18.101,0.4481,triangular,baseline,1
177,5294744,4998,0.14843,0.03202,6.7385,0.5847,0.1069,0.04,13.847,17.776,0.4218,triangular,baseline,1
178,2518563,4998,0.19069,0.03226,6.6264,0.6224,0.11305,0.04136,12.527,18.202,0.4446,triangular,baseline,1
179,1632094,5001,0.15811,0.03786,6.7535,0.6487,0.18945,0.04367,13.098,19.354,0.4827,triangular,baseline,1
180,2227625,4999,0.19621,0.03569,7.3702,0.5772,0.12093,0.04105,12.366,18.732,0.4528,triangular,baseline,1
181,1295853,5001,0.07257,0.03083,6.3123,0.5047,0.21813,0.04413,13.184,17.753,0.4194,triangular,baseline,0
182,558806,5000,0.12145,0.03014,6.4362,0.5454,0.15634,0.04389,14.346,18.245,0.4941,triangular,baseline,1
183,5597397,5000,0.15936,0.03761,6.7608,0.51,0.21045,0.04382,13.032,18.821,0.4538,triangular,baseline,1
184,6099193,5000,0.2712,0.03488,7.1396,0.6099,0.13588,0.04195,13.587,17.956,0.3995,triangular,baseline,0
185,3431223,4999,0.11824,0.03266,7.4662,0.5162,0.16862,0.03923,13.976,16.361,0.4113,triangular,baseline,1
186,3286184,5000,0.24049,0.0336,6.6278,0.5076,0.20172,0.0392,13.677,17.105,0.4741,triangular,baseline,0
187,762504,5000,0.18078,0.03381,6.5395,0.5073,0.1751,0.04469,13.089,18.891,0.4686,triangular,baseline,1
188,3866577,4998,0.21176,0.03847,7.1606,0.633,0.19532,0.04339,11.681,17.899,0.4494,triangular,baseline,1
189,4437394,5000,0.1462,0.03236,7.1608,0.5436,0.14028,0.04145,12.298,16.805,0.4746,triangular,baseline,1
190,8911638,5000,0.1819,0.0341,6.9189,0.5659,0.2343,0.04174,14.066,19.286,0.4191,triangular,baseline,1
191,100717,4999,0.16842,0.03392,7.2314,0.5623,0.1006,0.04482,14.326,16.952,0.4512,triangular,baseline,1
192,2838269,5000,0.14614,0.03077,7.4266,0.5031,0.21929,0.04509,12.548,18.9,0.4429,triangular,baseline,1
193,8286693,5000,0.15022,0.03509,7.0033,0.5252,0.1413,0.03914,12.055,17.307,0.4591,triangular,baseline,1
194,7413449,5001,0.16543,0.03573,6.8297,0.6355,0.21482,0.04514,14.411,19.317,0.428,triangular,baseline,1
195,5082153,5000,0.18321,0.03087,6.7369,0.5719,0.24522,0.04013,11.573,19.455,0.4724,triangular,baseline,1
196,4973742,5000,0.18052,0.03205,7.2153,0.6448,0.13801,0.03803,13.487,18.276,0.4328,triangular,baseline,1
197,4428804,5000,0.13366,0.0385,6.8068,0.5536,0.14582,0.04296,12.015,18.706,0.4116,triangular,baseline,1
198,1126294,5000,0.17813,0.03834,7.5158,0.5279,0.16051,0.03909,13.374,18.927,0.4589,triangular,baseline,1
199,3722851,5000,0.16083,0.03814,7.0245,0.5212,0.10406,0.04468,12.662,17.78,0.4895,triangular,baseline,1
200,2223598,5000,0.10363,0.03634,6.8329,0.5109,0.1025,0.04522,12.859,18.577,0.4295,triangular,baseline,1
