appeal_id,student_id,cohort,appeal_date,reason_code,outcome
APL20170038,S201701267,2017,2017-11-17,medical_expense,withdrawn
APL20160039,S201601132,2016,2016-11-11,dep_change,approved
APL20150040,S201500965,2015,2015-10-26,job_loss,withdrawn
APL20170041,S201701024,2017,2017-09-24,dep_change,approved
APL20150042,S201501458,2015,2015-11-05,job_loss,approved
APL20150043,S201500651,2015,2015-10-03,job_loss,approved
APL20130044,S201301327,2013,2013-11-20,other,approved
APL20150045,S201501330,2015,2015-09-06,medical_expense,approved
APL20130046,S201300637,2013,2013-10-07,divorce,approved
APL20150047,S201502433,2015,2015-11-08,job_loss,approved
APL20180048,S201801197,2018,2018-09-25,other,approved
APL20160049,S201601223,2016,2016-11-12,medical_expense,denied
APL20170050,S201701485,2017,2017-09-02,dep_change,approved
APL20140051,S201400724,2014,2014-09-20,other,denied
APL20160052,S201601613,2016,2016-09-18,other,approved
APL20150053,S201501507,2015,2015-09-20,job_loss,approved
APL20150054,S201501686,2015,2015-11-20,asset_reval,denied
APL20170055,S201702902,2017,2017-09-07,dep_change,approved
APL20160056,S201602746,2016,2016-10-08,divorce,pending
APL20140057,S201401512,2014,2014-09-18,dep_change,denied
APL20150058,S201500605,2015,2015-09-16,job_loss,approved
APL20160059,S201602847,2016,2016-10-23,dep_change,approved
APL20180060,S201800794,2018,2018-10-11,divorce,pending
APL20140061,S201401686,2014,2014-11-14,medical_expense,pending
APL20150062,S201502534,2015,2015-10-14,divorce,denied
APL20170063,S201700379,2017,2017-09-09,job_loss,approved
APL20160064,S201601814,2016,2016-11-01,divorce,pending
APL20160065,S201601756,2016,2016-10-04,dep_change,approved
APL20170066,S201702924,2017,2017-09-13,dep_change,pending
APL20140067,S201402617,2014,2014-11-27,job_loss,denied
APL20140068,S201401378,2014,2014-09-04,divorce,denied
APL20160069,S201601635,2016,2016-09-19,divorce,approved
APL20150070,S201500731,2015,2015-09-22,other,withdrawn
APL20130071,S201302145,2013,2013-11-03,other,approved
APL20140072,S201400263,2014,2014-10-19,asset_reval,pending
APL20140073,S201402746,2014,2014-10-07,medical_expense,denied
APL20130074,S201300142,2013,2013-09-24,job_loss,approved
APL20140075,S201401989,2014,2014-09-04,divorce,approved
APL20170076,S201702045,2017,2017-09-09,asset_reval,approved
APL20150077,S201501673,2015,2015-11-27,dep_change,approved
APL20160078,S201602241,2016,2016-09-19,other,approved
APL20150079,S201501439,2015,2015-11-05,medical_expense,denied
APL20130080,S201302669,2013,2013-10-15,asset_reval,denied
APL20150081,S201500361,2015,2015-10-01,other,approved
APL20160082,S201600076,2016,2016-11-21,other,denied
APL20150083,S201501791,2015,2015-11-03,other,approved
APL20170084,S201702800,2017,2017-11-14,dep_change,withdrawn
APL20150085,S201502589,2015,2015-09-06,dep_change,approved
APL20180086,S201800424,2018,2018-11-26,divorce,approved
APL20180087,S201801789,2018,2018-11-19,divorce,denied
APL20170088,S201701976,2017,2017-11-26,other,denied
APL20170089,S201701284,2017,2017-11-13,other,approved
APL20150090,S201500535,2015,2015-11-22,job_loss,approved
APL20130091,S201302322,2013,2013-11-25,job_loss,approved
APL20160092,S201600638,2016,2016-11-20,asset_reval,approved
APL20160093,S201600675,2016,2016-11-17,job_loss,approved
APL20150094,S201503074,2015,2015-09-05,medical_expense,approved
APL20140095,S201401501,2014,2014-11-09,medical_expense,approved
APL20150096,S201502143,2015,2015-11-16,divorce,denied
APL20140097,S201400349,2014,2014-09-17,divorce,denied
APL20180098,S201800856,2018,2018-10-11,other,pending
APL20150099,S201501116,2015,2015-10-22,divorce,denied
APL20150100,S201500355,2015,2015-10-18,dep_change,denied
APL20170101,S201700422,2017,2017-09-13,asset_reval,approved
APL20140102,S201402824,2014,2014-09-23,dep_change,denied
APL20180103,S201801513,2018,2018-10-14,dep_change,withdrawn
APL20150104,S201501266,2015,2015-09-16,divorce,approved
APL20160105,S201601247,2016,2016-10-10,job_loss,denied
APL20160106,S201602382,2016,2016-11-02,asset_reval,denied
APL20130107,S201301495,2013,2013-10-21,medical_expense,denied
APL20180108,S201802460,2018,2018-10-19,dep_change,pending
APL20170109,S201700041,2017,2017-10-08,dep_change,approved
APL20130110,S201302405,2013,2013-11-22,other,withdrawn
APL20140111,S201400937,2014,2014-11-23,divorce,approved
APL20150112,S201501472,2015,2015-09-12,dep_change,approved
APL20130113,S201301828,2013,2013-10-21,dep_change,pending
APL20180114,S201801594,2018,2018-09-23,dep_change,approved
APL20140115,S201401164,2014,2014-10-22,asset_reval,denied
APL20150116,S201500840,2015,2015-10-24,dep_change,withdrawn
APL20130117,S201302880,2013,2013-11-17,job_loss,denied
APL20180118,S201801148,2018,2018-11-04,asset_reval,pending
APL20150119,S201501692,2015,2015-11-03,asset_reval,approved
APL20180120,S201800621,2018,2018-10-12,other,approved
APL20140121,S201402462,2014,2014-11-09,job_loss,approved
APL20140122,S201402362,2014,2014-09-12,medical_expense,approved
APL20130123,S201302844,2013,2013-11-02,other,denied
APL20140124,S201401159,2014,2014-11-14,divorce,denied
APL20140125,S201400470,2014,2014-10-18,divorce,approved
APL20180126,S201803034,2018,2018-10-10,medical_expense,pending
APL20130127,S201300989,2013,2013-10-08,dep_change,approved
APL20140128,S201400590,2014,2014-09-01,dep_change,approved
APL20180129,S201802980,2018,2018-10-07,job_loss,denied
APL20140130,S201402945,2014,2014-09-13,job_loss,approved
APL20180131,S201802464,2018,2018-09-10,asset_reval,denied
APL20160132,S201601076,2016,2016-09-18,dep_change,approved
APL20130133,S201300016,2013,2013-10-09,job_loss,withdrawn
APL20140134,S201401079,2014,2014-11-10,dep_change,denied
APL20150135,S201503157,2015,2015-09-18,job_loss,denied
APL20130136,S201300948,2013,2013-10-23,medical_expense,approved
APL20140137,S201403024,2014,2014-09-03,job_loss,approved
APL20130138,S201302015,2013,2013-09-09,divorce,approved
APL20140139,S201400454,2014,2014-09-25,other,approved
APL20150140,S201500837,2015,2015-10-23,other,approved
APL20150141,S201500762,2015,2015-09-21,dep_change,denied
APL20150142,S201500180,2015,2015-11-01,divorce,approved
APL20170143,S201702794,2017,2017-11-18,asset_reval,withdrawn
APL20150144,S201500051,2015,2015-10-12,job_loss,denied
APL20180145,S201800127,2018,2018-09-25,dep_change,approved
APL20160146,S201601041,2016,2016-10-23,asset_reval,denied
APL20150147,S201502887,2015,2015-09-26,divorce,denied
APL20170148,S201702561,2017,2017-09-20,job_loss,approved
APL20170149,S201702078,2017,2017-11-26,dep_change,denied
APL20150150,S201501070,2015,2015-10-04,divorce,denied
APL20170151,S201700802,2017,2017-11-06,medical_expense,approved
APL20170152,S201702393,2017,2017-11-18,other,approved
APL20170153,S201701399,2017,2017-09-07,job_loss,denied
APL20140154,S201401436,2014,2014-11-19,divorce,withdrawn
APL20150155,S201500815,2015,2015-11-26,dep_change,denied
APL20140156,S201402308,2014,2014-11-13,dep_change,withdrawn
APL20160157,S201600975,2016,2016-11-12,other,approved
APL20170158,S201700727,2017,2017-11-08,medical_expense,approved
APL20150159,S201500404,2015,2015-10-07,job_loss,denied
APL20140160,S201402932,2014,2014-09-16,divorce,withdrawn
APL20160161,S201602450,2016,2016-11-20,other,approved
APL20170162,S201702609,2017,2017-10-19,divorce,approved
APL20130163,S201300488,2013,2013-10-13,divorce,withdrawn
APL20140164,S201400960,2014,2014-10-15,dep_change,pending
APL20160165,S201601751,2016,2016-09-11,divorce,approved
APL20130166,S201300096,2013,2013-09-09,job_loss,approved
APL20150167,S201501256,2015,2015-11-26,other,approved
APL20180168,S201801238,2018,2018-11-26,job_loss,approved
APL20170169,S201701426,2017,2017-09-23,job_loss,approved
APL20130170,S201301232,2013,2013-09-19,asset_reval,approved
APL20150171,S201500969,2015,2015-10-11,job_loss,approved
APL20170172,S201702913,2017,2017-10-23,dep_change,approved
APL20180173,S201802800,2018,2018-10-17,other,pending
APL20180174,S201800895,2018,2018-10-19,other,approved
APL20180175,S201802560,2018,2018-11-17,medical_expense,denied
APL20130176,S201301637,2013,2013-09-18,other,withdrawn
APL20170177,S201701830,2017,2017-10-25,medical_expense,approved
APL20160178,S201601643,2016,2016-11-11,divorce,approved
APL20130179,S201300350,2013,2013-09-09,divorce,approved
APL20180180,S201801334,2018,2018-09-26,divorce,denied
APL20160181,S201601903,2016,2016-09-03,job_loss,pending
APL20180182,S201802751,2018,2018-10-08,divorce,approved
APL20150183,S201502329,2015,2015-10-08,medical_expense,denied
APL20140184,S201402218,2014,2014-10-26,asset_reval,approved
APL20150185,S201501327,2015,2015-11-13,other,withdrawn
APL20140186,S201400575,2014,2014-10-13,divorce,approved
APL20170187,S201701811,2017,2017-09-19,medical_expense,approved
APL20130188,S201302213,2013,2013-09-11,asset_reval,approved
APL20140189,S201401418,2014,2014-11-17,other,approved
APL20140190,S201402785,2014,2014-11-03,divorce,approved
APL20130191,S201300829,2013,2013-11-03,dep_change,approved
APL20160192,S201601842,2016,2016-10-13,asset_reval,approved
APL20160193,S201600837,2016,2016-11-17,medical_expense,withdrawn
APL20150194,S201502222,2015,2015-11-18,other,approved
APL20180195,S201800849,2018,2018-09-26,job_loss,approved
APL20140196,S201402341,2014,2014-09-06,other,denied
APL20160197,S201602654,2016,2016-09-23,divorce,denied
APL20170198,S201702967,2017,2017-10-22,asset_reval,denied
APL20170199,S201701905,2017,2017-09-03,medical_expense,approved
APL20180200,S201800748,2018,2018-11-18,other,denied
APL20160201,S201601456,2016,2016-10-05,asset_reval,approved
APL20140202,S201402296,2014,2014-11-13,medical_expense,denied
APL20130203,S201301222,2013,2013-10-15,dep_change,denied
APL20140204,S201401037,2014,2014-10-22,other,denied
APL20160205,S201602671,2016,2016-10-25,medical_expense,withdrawn
APL20170206,S201701638,2017,2017-09-15,asset_reval,approved
APL20140207,S201402972,2014,2014-11-01,job_loss,approved
APL20180208,S201801185,2018,2018-09-18,dep_change,approved
APL20140209,S201400174,2014,2014-10-10,divorce,approved
APL20130210,S201301782,2013,2013-10-16,asset_reval,approved
APL20170211,S201701963,2017,2017-10-13,medical_expense,approved
APL20130212,S201300860,2013,2013-10-03,asset_reval,denied
APL20150213,S201502910,2015,2015-10-04,job_loss,approved
APL20150214,S201501517,2015,2015-11-03,dep_change,withdrawn
APL20140215,S201400907,2014,2014-11-21,asset_reval,approved
APL20160216,S201601169,2016,2016-11-23,medical_expense,pending
APL20180217,S201802435,2018,2018-09-19,job_loss,denied
APL20140218,S201401557,2014,2014-10-12,dep_change,withdrawn
APL20150219,S201500909,2015,2015-09-12,job_loss,denied
APL20140220,S201400593,2014,2014-11-05,job_loss,withdrawn
APL20170221,S201701824,2017,2017-11-27,other,pending
APL20140222,S201400418,2014,2014-11-20,job_loss,approved
APL20150223,S201502665,2015,2015-11-05,asset_reval,approved
APL20170224,S201701911,2017,2017-10-15,dep_change,denied
APL20180225,S201802941,2018,2018-11-04,divorce,withdrawn
APL20140226,S201402275,2014,2014-11-07,divorce,withdrawn
APL20150227,S201501518,2015,2015-11-09,asset_reval,denied
APL20130228,S201300002,2013,2013-10-25,medical_expense,denied
APL20180229,S201801482,2018,2018-09-21,asset_reval,approved
APL20140230,S201401130,2014,2014-09-01,divorce,withdrawn
APL20150231,S201500465,2015,2015-09-03,dep_change,denied
APL20170232,S201700070,2017,2017-09-08,other,pending
APL20180233,S201802171,2018,2018-10-20,asset_reval,approved
APL20170234,S201701023,2017,2017-11-10,divorce,approved
APL20170235,S201702293,2017,2017-10-04,job_loss,approved
APL20140236,S201402715,2014,2014-09-17,asset_reval,denied
APL20150237,S201502054,2015,2015-09-26,medical_expense,approved
APL20180238,S201802717,2018,2018-09-05,dep_change,withdrawn
APL20160239,S201600325,2016,2016-10-18,asset_reval,denied
APL20150240,S201503008,2015,2015-09-03,asset_reval,approved
APL20160241,S201602456,2016,2016-11-26,dep_change,approved
APL20170242,S201702431,2017,2017-10-14,job_loss,denied
APL20140243,S201400702,2014,2014-09-02,other,approved
APL20170244,S201700941,2017,2017-11-07,medical_expense,pending
APL20170245,S201700735,2017,2017-10-21,medical_expense,approved
APL20150246,S201503180,2015,2015-09-13,divorce,approved
APL20160247,S201601190,2016,2016-11-01,other,approved
APL20180248,S201801057,2018,2018-10-07,job_loss,denied
APL20180249,S201801736,2018,2018-11-23,medical_expense,denied
APL20150250,S201501428,2015,2015-11-04,medical_expense,denied
APL20150251,S201501751,2015,2015-11-08,job_loss,denied
APL20160252,S201602495,2016,2016-09-14,divorce,denied
APL20150253,S201501386,2015,2015-09-22,dep_change,denied
APL20170254,S201701490,2017,2017-10-12,divorce,approved
APL20170255,S201703005,2017,2017-11-17,divorce,approved
APL20160256,S201600875,2016,2016-09-01,job_loss,approved
APL20160257,S201600144,2016,2016-11-11,dep_change,denied
APL20150258,S201500304,2015,2015-09-08,asset_reval,pending
APL20170259,S201703035,2017,2017-11-25,divorce,approved
APL20180260,S201802355,2018,2018-10-13,other,denied
APL20130261,S201301764,2013,2013-09-23,other,approved
APL20150262,S201502215,2015,2015-10-03,other,pending
APL20170263,S201700159,2017,2017-10-23,divorce,denied
APL20150264,S201502564,2015,2015-10-26,other,approved
APL20170265,S201701240,2017,2017-09-08,asset_reval,approved
APL20180266,S201801603,2018,2018-11-01,asset_reval,approved
APL20140267,S201401463,2014,2014-09-08,other,denied
APL20160268,S201601128,2016,2016-11-26,job_loss,approved
APL20160269,S201600097,2016,2016-11-19,dep_change,approved
APL20180270,S201802253,2018,2018-10-26,asset_reval,approved
APL20140271,S201401451,2014,2014-09-19,dep_change,denied
APL20140272,S201400104,2014,2014-09-03,asset_reval,pending
APL20180273,S201801184,2018,2018-11-16,asset_reval,approved
APL20150274,S201501168,2015,2015-09-20,medical_expense,withdrawn
APL20170275,S201702878,2017,2017-10-02,divorce,approved
APL20150276,S201503166,2015,2015-10-20,divorce,withdrawn
APL20160277,S201600484,2016,2016-10-05,divorce,approved
APL20150278,S201502057,2015,2015-11-22,other,approved
APL20180279,S201801619,2018,2018-09-05,job_loss,approved
APL20170280,S201700449,2017,2017-11-09,divorce,pending
APL20150281,S201503187,2015,2015-10-17,job_loss,denied
APL20140282,S201403076,2014,2014-11-12,dep_change,approved
APL20180283,S201800350,2018,2018-09-13,job_loss,approved
APL20160284,S201602716,2016,2016-10-02,asset_reval,denied
APL20130285,S201301019,2013,2013-11-23,dep_change,approved
APL20160286,S201603054,2016,2016-10-01,asset_reval,pending
APL20130287,S201302100,2013,2013-09-02,job_loss,approved
APL20140288,S201401435,2014,2014-10-08,other,denied
APL20140289,S201400374,2014,2014-09-25,dep_change,approved
APL20170290,S201701566,2017,2017-11-10,divorce,denied
APL20160291,S201601372,2016,2016-10-07,asset_reval,denied
APL20150292,S201500203,2015,2015-11-04,asset_reval,denied
APL20130293,S201302495,2013,2013-09-23,divorce,denied
APL20150294,S201502282,2015,2015-09-20,asset_reval,approved
APL20130295,S201301075,2013,2013-10-18,dep_change,approved
APL20150296,S201502518,2015,2015-11-24,other,denied
APL20180297,S201801686,2018,2018-10-11,asset_reval,pending
APL20150298,S201500156,2015,2015-09-03,divorce,denied
APL20170299,S201701914,2017,2017-11-06,other,pending
APL20140300,S201402550,2014,2014-11-01,asset_reval,approved
APL20150301,S201500260,2015,2015-11-15,other,approved
APL20180302,S201800104,2018,2018-10-15,job_loss,approved
APL20150303,S201502673,2015,2015-10-27,job_loss,approved
APL20130304,S201302272,2013,2013-10-22,medical_expense,denied
APL20170305,S201702826,2017,2017-11-19,asset_reval,approved
APL20140306,S201400337,2014,2014-11-22,medical_expense,pending
APL20150307,S201502730,2015,2015-09-18,job_loss,approved
APL20140308,S201401323,2014,2014-10-26,dep_change,approved
APL20170309,S201700315,2017,2017-10-24,medical_expense,approved
APL20140310,S201400260,2014,2014-09-03,other,approved
APL20150311,S201501247,2015,2015-10-10,job_loss,approved
APL20150312,S201501632,2015,2015-10-02,divorce,denied
APL20140313,S201402438,2014,2014-10-19,asset_reval,approved
APL20160314,S201600444,2016,2016-09-25,asset_reval,withdrawn
APL20140315,S201401565,2014,2014-10-27,divorce,approved
APL20140316,S201400583,2014,2014-11-06,divorce,approved
APL20140317,S201401339,2014,2014-11-18,dep_change,approved
APL20160318,S201601855,2016,2016-11-18,job_loss,denied
APL20170319,S201701201,2017,2017-10-20,asset_reval,approved
APL20160320,S201601530,2016,2016-09-21,dep_change,withdrawn
APL20160321,S201601693,2016,2016-10-16,divorce,approved
APL20180322,S201802553,2018,2018-11-08,medical_expense,pending
APL20150323,S201501678,2015,2015-11-20,other,pending
APL20130324,S201300659,2013,2013-09-16,dep_change,approved
APL20150325,S201503085,2015,2015-09-19,divorce,withdrawn
APL20170326,S201700205,2017,2017-10-17,divorce,approved
APL20140327,S201401620,2014,2014-09-04,dep_change,approved
APL20150328,S201502711,2015,2015-11-06,asset_reval,approved
APL20140329,S201402656,2014,2014-09-07,asset_reval,pending
APL20180330,S201801207,2018,2018-10-15,divorce,approved
APL20150331,S201502386,2015,2015-11-16,dep_change,pending
APL20150332,S201501094,2015,2015-10-08,job_loss,withdrawn
APL20180333,S201802610,2018,2018-11-19,medical_expense,denied
APL20140334,S201401377,2014,2014-09-25,job_loss,pending
APL20170335,S201701731,2017,2017-09-24,divorce,approved
APL20180336,S201802396,2018,2018-10-10,asset_reval,approved
APL20150337,S201500214,2015,2015-09-04,dep_change,withdrawn
APL20140338,S201401167,2014,2014-10-10,job_loss,denied
APL20140339,S201401330,2014,2014-11-14,medical_expense,approved
APL20150340,S201501562,2015,2015-11-20,dep_change,approved
APL20150341,S201502234,2015,2015-09-15,job_loss,approved
APL20130342,S201300817,2013,2013-11-06,divorce,denied
APL20140343,S201400642,2014,2014-11-03,other,denied
APL20170344,S201701573,2017,2017-09-26,job_loss,approved
APL20180345,S201802034,2018,2018-11-26,other,denied
APL20170346,S201701464,2017,2017-11-20,job_loss,denied
APL20130347,S201301104,2013,2013-09-14,divorce,approved
APL20180348,S201800203,2018,2018-10-14,divorce,pending
APL20140349,S201402158,2014,2014-11-01,asset_reval,approved
APL20150350,S201503025,2015,2015-10-20,asset_reval,denied
APL20160351,S201602543,2016,2016-11-26,medical_expense,withdrawn
APL20160352,S201602150,2016,2016-09-10,dep_change,approved
APL20160353,S201600303,2016,2016-11-03,job_loss,approved
APL20180354,S201800431,2018,2018-09-17,other,denied
APL20170355,S201702365,2017,2017-10-02,medical_expense,pending
APL20180356,S201802731,2018,2018-11-05,medical_expense,approved
APL20130357,S201301031,2013,2013-09-13,job_loss,denied
APL20160358,S201600057,2016,2016-09-16,job_loss,approved
APL20150359,S201500086,2015,2015-11-13,job_loss,withdrawn
APL20170360,S201700234,2017,2017-09-08,medical_expense,denied
APL20180361,S201800868,2018,2018-10-08,divorce,approved
APL20160362,S201602599,2016,2016-11-19,other,pending
APL20180363,S201801116,2018,2018-11-21,job_loss,withdrawn
APL20180364,S201800562,2018,2018-10-16,medical_expense,pending
APL20160365,S201602682,2016,2016-10-24,asset_reval,withdrawn
APL20140366,S201402234,2014,2014-11-05,dep_change,pending
APL20130367,S201302117,2013,2013-11-25,divorce,approved
APL20180368,S201801260,2018,2018-11-22,asset_reval,approved
APL20180369,S201802699,2018,2018-11-26,medical_expense,approved
APL20150370,S201502735,2015,2015-09-23,medical_expense,approved
APL20140371,S201403022,2014,2014-10-10,dep_change,withdrawn
APL20170372,S201702094,2017,2017-09-10,divorce,pending
APL20170373,S201702978,2017,2017-10-21,dep_change,approved
APL20160374,S201601457,2016,2016-09-03,medical_expense,denied
APL20130375,S201300220,2013,2013-11-22,medical_expense,withdrawn
APL20140376,S201401676,2014,2014-11-25,medical_expense,pending
APL20140377,S201400825,2014,2014-11-15,dep_change,approved
APL20170378,S201701552,2017,2017-10-03,medical_expense,approved
APL20130379,S201301617,2013,2013-09-11,medical_expense,pending
APL20150380,S201503182,2015,2015-10-07,medical_expense,approved
APL20130381,S201302673,2013,2013-11-07,asset_reval,denied
APL20130382,S201302691,2013,2013-11-17,dep_change,denied
APL20180383,S201800349,2018,2018-09-17,job_loss,denied
APL20170384,S201702845,2017,2017-10-09,dep_change,approved
APL20150385,S201500842,2015,2015-11-18,medical_expense,approved
APL20180386,S201801886,2018,2018-10-03,other,pending
APL20180387,S201801088,2018,2018-11-06,dep_change,denied
APL20150388,S201501570,2015,2015-11-20,divorce,denied
APL20160389,S201601031,2016,2016-11-13,divorce,approved
APL20180390,S201801433,2018,2018-11-25,dep_change,denied
APL20160391,S201600681,2016,2016-11-18,dep_change,approved
APL20180392,S201800627,2018,2018-09-06,divorce,withdrawn
APL20160393,S201600375,2016,2016-10-25,job_loss,withdrawn
APL20130394,S201301831,2013,2013-11-16,asset_reval,approved
APL20150395,S201500866,2015,2015-10-07,medical_expense,approved
APL20180396,S201802315,2018,2018-11-06,medical_expense,approved
APL20180397,S201800161,2018,2018-09-01,other,withdrawn
APL20150398,S201502014,2015,2015-09-05,other,withdrawn
APL20160399,S201600884,2016,2016-11-07,dep_change,approved
APL20160400,S201601045,2016,2016-10-02,job_loss,approved
APL20150401,S201502163,2015,2015-11-23,other,denied
APL20160402,S201601547,2016,2016-09-20,asset_reval,approved
APL20130403,S201301282,2013,2013-09-24,asset_reval,pending
APL20140404,S201401642,2014,2014-09-02,job_loss,approved
APL20180405,S201802182,2018,2018-11-19,divorce,approved
APL20180406,S201802302,2018,2018-10-27,job_loss,pending
APL20150407,S201502504,2015,2015-10-13,medical_expense,approved
APL20160408,S201602097,2016,2016-09-24,dep_change,withdrawn
APL20160409,S201602076,2016,2016-10-24,dep_change,denied
APL20140410,S201401998,2014,2014-09-05,job_loss,approved
APL20130411,S201301744,2013,2013-09-05,dep_change,pending
APL20160412,S201602218,2016,2016-10-21,dep_change,approved
