onet_soc_code,isco08_4digit,education_required_level,vertical_match_weight,horizontal_match_weight,automation_risk_frey
18-8316.79,4729,5,0.9015,0.6674,0.0571
14-6452.39,1642,6,0.6527,0.3474,0.498
53-4816.35,8131,7,0.5234,0.4523,0.154
12-4213.44,1481,7,0.5365,0.8581,0.3255
36-5233.68,7774,4,0.7305,0.2433,0.5848
43-1366.66,9167,7,0.6845,0.3726,0.351
48-6044.39,6654,7,0.7916,0.5306,0.4971
52-7404.87,7088,4,0.8787,0.3517,0.631
42-1834.79,8642,6,0.7739,0.7756,0.0452
47-7601.88,4169,6,0.7882,0.6762,0.2885
12-9210.65,1390,4,0.8955,0.5771,0.613
26-9998.64,8614,6,0.7383,0.8829,0.2086
26-9720.34,4442,6,0.8127,0.5108,0.5286
49-5091.70,7011,7,0.5891,0.5983,0.1106
51-9923.47,6269,6,0.8503,0.5553,0.2411
46-5763.89,2874,6,0.7767,0.2089,0.3521
39-2970.89,9447,5,0.2613,0.4022,0.2604
14-8554.15,6605,6,0.925,0.5471,0.4343
34-6726.20,7515,6,0.5823,0.6615,0.2393
38-5225.74,8747,5,0.5975,0.7614,0.4196
17-4677.74,5639,7,0.4283,0.2316,0.2039
52-8585.39,1320,5,0.7478,0.4388,0.5768
36-3108.67,3098,6,0.6183,0.6706,0.4711
33-3153.05,4225,6,0.4356,0.3468,0.6662
33-5530.11,9482,5,0.6448,0.4907,0.0438
40-9885.51,9545,7,0.5678,0.4768,0.2204
39-6587.10,5996,5,0.4244,0.7372,0.5212
47-5060.19,1271,5,0.8082,0.6271,0.7557
54-6798.06,7781,5,0.6573,0.5868,0.4658
53-7521.86,4498,7,0.9093,0.7257,0.3042
38-5957.12,1201,6,0.2922,0.1725,0.2611
40-2537.03,6234,6,0.7104,0.6951,0.2631
54-3680.70,4610,4,0.5369,0.4814,0.5472
50-4187.19,5919,6,0.575,0.8753,0.4653
44-6990.28,9160,7,0.6153,0.3771,0.1692
41-3546.97,7991,7,0.8908,0.7197,0.2048
36-8688.01,6360,7,0.6421,0.5522,0.5722
19-5948.07,7844,7,0.2452,0.4758,0.3346
47-9529.00,5660,5,0.325,0.4593,0.1691
16-2773.95,3168,5,0.7091,0.2746,0.4764
40-6252.87,5051,6,0.574,0.5365,0.2685
41-1771.44,9699,6,0.3787,0.47,0.3719
24-6902.88,5989,6,0.5303,0.3825,0.1341
39-4409.67,5226,8,0.4324,0.5195,0.7809
28-9865.22,9566,6,0.5431,0.4589,0.6889
33-2884.56,4071,5,0.6221,0.541,0.0835
31-4957.11,8110,5,0.6357,0.4902,0.6314
36-5839.31,6346,6,0.7416,0.5788,0.6242
20-4975.56,6584,8,0.7242,0.5058,0.6059
26-8072.98,1824,6,0.9005,0.5216,0.4686
53-6865.84,5646,8,0.6904,0.1532,0.0702
31-1790.85,2265,6,0.4747,0.6564,0.1775
34-4406.93,7144,6,0.8426,0.6974,0.746
17-1479.51,3210,8,0.6143,0.4033,0.4166
21-6304.59,2237,6,0.5519,0.3952,0.023
23-2587.14,5548,6,0.8004,0.3075,0.3726
35-7113.28,5191,4,0.7851,0.2104,0.3355
53-7805.06,1418,8,0.7808,0.6803,0.7125
12-8659.58,2713,7,0.6999,0.5739,0.4464
28-9615.03,9692,6,0.434,0.4852,0.543
29-2727.30,3679,6,0.3728,0.7009,0.9098
25-7001.05,8747,6,0.4214,0.5468,0.3751
44-7234.57,4883,8,0.7506,0.4986,0.6301
28-5258.96,9594,4,0.3574,0.6688,0.2863
12-6452.82,1180,7,0.7354,0.4477,0.1621
34-2239.76,7998,6,0.7088,0.4418,0.5753
44-3152.93,2797,8,0.5567,0.7463,0.2406
48-8812.14,8663,6,0.4258,0.3215,0.2852
24-3718.22,6696,6,0.7577,0.6128,0.4993
42-5865.82,2671,6,0.5582,0.7,0.1922
17-2130.09,8565,8,0.5302,0.3227,0.1699
37-7789.27,4176,5,0.9391,0.8284,0.1181
43-9180.07,9412,8,0.7037,0.3562,0.1901
15-9193.82,5415,7,0.3681,0.4669,0.693
16-9903.34,2958,4,0.6041,0.5025,0.3127
39-5482.21,3189,5,0.5195,0.4796,0.5913
50-2122.50,7312,7,0.6861,0.3966,0.5285
19-1332.91,2937,6,0.5728,0.6343,0.5146
35-9822.93,4253,8,0.876,0.6531,0.1996
21-5702.48,6717,6,0.8409,0.2025,0.2233
28-7464.33,4190,8,0.3802,0.6828,0.4147
30-2712.82,7249,4,0.7875,0.3507,0.3818
29-6828.10,6388,8,0.8245,0.5693,0.1742
35-1320.78,4386,6,0.5347,0.5312,0.3077
40-1875.76,8012,7,0.4755,0.5953,0.4942
27-9278.43,6052,6,0.6722,0.6246,0.2969
53-6149.22,8075,8,0.3676,0.5015,0.3956
17-6549.22,5793,6,0.4787,0.5698,0.3201
32-3652.73,6878,7,0.5207,0.5072,0.3639
54-6678.67,3847,6,0.8411,0.1726,0.5205
19-2523.87,4008,7,0.3767,0.3453,0.1198
35-8194.86,1194,7,0.7002,0.2303,0.3262
16-2466.02,9377,7,0.616,0.5723,0.2909
46-9755.75,5205,6,0.8149,0.3679,0.3386
36-5985.20,4463,4,0.8705,0.4807,0.723
51-7953.86,7494,4,0.8164,0.3034,0.1468
32-5555.07,4036,6,0.6478,0.5647,0.0703
33-7465.54,6101,6,0.5932,0.1064,0.4815
24-1647.32,9279,7,0.7664,0.4355,0.8659
50-9671.21,6346,6,0.6749,0.6182,0.1127
33-9432.94,1950,5,0.8004,0.2368,0.7529
39-3027.94,8341,6,0.5963,0.5024,0.3076
46-4267.10,6241,6,0.8218,0.5091,0.6299
30-3450.46,4869,6,0.3468,0.6413,0.4733
29-3489.06,3210,4,0.8437,0.2268,0.6751
46-9402.58,3098,6,0.6051,0.6941,0.193
24-4532.76,4631,5,0.8404,0.6081,0.265
40-8246.68,5086,8,0.3202,0.574,0.6665
21-6871.80,8061,6,0.4439,0.6221,0.1212
46-6658.41,9496,8,0.7772,0.4988,0.32
19-1828.73,8698,8,0.6299,0.5616,0.5365
47-5762.28,9223,6,0.8505,0.4688,0.4451
44-6583.94,8040,5,0.6468,0.4204,0.6142
33-1377.83,6213,7,0.5645,0.7872,0.6438
26-2199.64,4582,7,0.5434,0.5283,0.3187
26-4424.50,5968,6,0.7815,0.3607,0.5064
15-9264.13,5905,6,0.6891,0.387,0.4281
29-7675.95,8278,6,0.66,0.3209,0.2062
27-9730.54,7368,6,0.6939,0.6365,0.589
15-6426.23,7725,5,0.7361,0.499,0.1709
43-1185.71,7256,8,0.8197,0.3217,0.623
14-8580.13,7410,5,0.5416,0.4348,0.4892
23-1319.32,6290,6,0.8774,0.7339,0.1627
52-5066.03,6556,7,0.4942,0.6486,0.316
14-2808.62,3105,7,0.6242,0.5012,0.1299
14-5186.21,7641,7,0.5115,0.7557,0.3915
21-2344.68,3973,5,0.9004,0.3518,0.2811
27-8783.66,6955,5,0.4524,0.7138,0.6362
42-4768.91,4960,5,0.6376,0.4102,0.4435
15-5631.81,1152,6,0.6607,0.2509,0.2175
12-8160.64,4330,6,0.9592,0.7738,0.2846
53-4400.82,6374,7,0.3348,0.8286,0.6193
28-7814.85,1698,8,0.5458,0.4526,0.2436
49-3897.08,4379,6,0.588,0.6036,0.1936
46-9625.60,1229,6,0.5773,0.3655,0.5727
25-5054.03,5905,4,0.825,0.4271,0.1949
44-9799.63,3455,5,0.5316,0.6472,0.144
27-4240.34,5324,7,0.4946,0.4713,0.3245
22-4246.06,8635,6,0.7225,0.4642,0.2181
21-8933.24,7109,4,0.8453,0.3718,0.4743
41-8975.37,1292,6,0.1383,0.6513,0.07
43-9151.77,4225,7,0.6165,0.5111,0.1457
47-5617.08,3035,8,0.721,0.3563,0.2578
54-8479.92,6556,5,0.6096,0.3608,0.1358
18-9204.74,7816,5,0.6516,0.6403,0.0923
54-5287.41,3497,7,0.144,0.3586,0.3859
13-1066.89,3140,7,0.631,0.827,0.5457
46-3088.51,8901,8,0.4749,0.1625,0.489
21-5141.37,1418,7,0.5236,0.5148,0.0744
44-9529.75,3035,6,0.4098,0.6102,0.5545
22-4239.62,8236,6,0.7669,0.271,0.2226
33-4243.72,9643,5,0.8401,0.2291,0.546
52-8717.42,4183,7,0.5916,0.4659,0.3155
49-7135.91,6031,7,0.8333,0.5189,0.3428
12-7421.17,7991,6,0.5219,0.6605,0.1087
25-5836.58,1824,4,0.7665,0.673,0.3869
11-5319.50,4022,6,0.8212,0.8058,0.1643
38-5958.31,6199,5,0.4166,0.5104,0.5878
28-8835.26,1572,5,0.5545,0.5438,0.4594
49-3454.07,2216,8,0.6662,0.4631,0.4257
34-2606.47,4064,6,0.7798,0.731,0.1792
17-1068.46,2888,8,0.5294,0.3693,0.2412
50-7150.45,4085,6,0.7332,0.6439,0.4432
53-2540.86,8558,8,0.5653,0.6539,0.689
22-9402.10,7375,4,0.754,0.4306,0.3383
31-2127.10,3511,7,0.7445,0.5239,0.184
15-3926.52,9377,5,0.6434,0.7035,0.1387
41-3105.39,8425,8,0.5213,0.5145,0.4194
19-8634.55,7263,8,0.5019,0.6594,0.1723
37-1668.31,7830,6,0.8671,0.1956,0.4471
39-8380.70,3469,4,0.3233,0.5654,0.5947
21-9536.18,9090,7,0.9667,0.8434,0.2077
23-3093.88,2986,6,0.3516,0.8185,0.308
25-2140.22,8726,7,0.7554,0.4232,0.0771
32-6127.29,3231,7,0.3404,0.6216,0.3154
32-6027.93,5660,7,0.3122,0.2522,0.8574
18-5200.13,4736,6,0.3623,0.2835,0.3248
15-6264.37,8488,8,0.6949,0.3596,0.2555
48-6318.52,3350,6,0.7072,0.1943,0.1736
51-2238.50,1495,4,0.4726,0.5793,0.3986
17-6870.83,6661,7,0.5165,0.6306,0.1081
31-2690.73,5856,7,0.5235,0.583,0.2565
45-4738.90,7550,8,0.6888,0.5561,0.0388
27-4230.03,9643,6,0.6684,0.496,0.2077
44-9933.89,5709,5,0.8065,0.5561,0.2879
29-3680.00,8782,4,0.694,0.424,0.2817
22-2188.29,4008,6,0.8863,0.5438,0.4956
35-1720.41,7711,5,0.8111,0.4749,0.2193
37-1768.59,3105,7,0.5755,0.7718,0.7536
20-7750.90,7984,7,0.3602,0.1945,0.683
27-7226.38,7382,5,0.5627,0.417,0.5673
32-6716.40,2230,5,0.6096,0.6833,0.2967
21-1201.15,7102,4,0.6237,0.6226,0.3102
54-5272.80,3182,7,0.3602,0.4034,0.3984
21-9392.11,3007,7,0.3293,0.5156,0.412
27-9740.07,3777,6,0.5433,0.7148,0.3957
19-8414.11,8488,6,0.4155,0.5929,0.8768
33-5594.17,1929,5,0.4536,0.4783,0.0901
37-4198.79,8824,6,0.4905,0.6509,0.1753
44-5150.37,3595,7,0.5588,0.4626,0.5295
17-7877.05,7137,4,0.2783,0.5896,0.5891
13-1934.64,8320,6,0.8264,0.6104,0.1139
25-1653.77,2503,4,0.3858,0.6974,0.7441
16-1842.76,5219,4,0.777,0.4782,0.1625
14-2037.24,3231,6,0.4831,0.4961,0.3707
52-9935.41,6479,6,0.5662,0.6207,0.5322
14-6990.18,9307,7,0.5456,0.3793,0.9015
16-9654.15,4701,6,0.3876,0.4,0.3945
45-3134.12,4995,6,0.4942,0.4684,0.2687
23-8373.05,2027,6,0.5802,0.6881,0.0606
13-9178.71,4029,7,0.5588,0.6839,0.4222
11-3210.55,8257,7,0.6962,0.4352,0.2821
54-7611.72,3875,7,0.441,0.4152,0.3244
20-6315.23,1971,8,0.3358,0.7164,0.2921
52-4136.53,7298,7,0.6944,0.5272,0.6475
15-6998.45,8740,7,0.6994,0.5539,0.1958
39-7543.27,6381,6,0.7408,0.6273,0.449
27-8253.68,5429,6,0.7936,0.613,0.4847
52-4102.80,9356,7,0.8832,0.3557,0.0835
14-5436.95,9223,8,0.4147,0.1737,0.2235
20-9812.26,4540,8,0.4128,0.5169,0.6595
53-7249.49,5555,7,0.4178,0.611,0.247
41-9694.63,5856,6,0.8721,0.5049,0.3784
40-7097.20,1929,6,0.5568,0.2911,0.0952
52-8612.36,4267,5,0.8592,0.3373,0.7
41-5545.81,7697,6,0.8005,0.3205,0.904
12-4165.43,3518,5,0.741,0.4279,0.3811
11-3860.89,3021,8,0.4181,0.5113,0.0947
32-9131.33,4288,6,0.8316,0.6187,0.4609
53-5420.59,5240,7,0.6052,0.457,0.2322
49-9463.60,3105,6,0.818,0.6687,0.3428
50-4917.73,6227,7,0.5075,0.6442,0.181
34-2169.45,5527,7,0.6696,0.558,0.7581
49-6524.13,3392,5,0.3965,0.5827,0.0983
36-5177.38,4680,7,0.6874,0.4407,0.3192
32-1723.64,5989,6,0.6848,0.5422,0.3717
46-6171.82,7550,5,0.6623,0.3568,0.4165
27-7553.09,4302,7,0.7107,0.3471,0.1786
27-4682.19,9629,7,0.59,0.2565,0.34
17-1301.88,3539,6,0.7522,0.5299,0.6445
48-9088.89,1838,5,0.6108,0.4997,0.54
41-1440.88,1565,5,0.5793,0.5983,0.2079
47-4924.51,9552,8,0.4652,0.6685,0.3353
43-7370.21,5268,7,0.718,0.4584,0.6328
29-6566.24,8978,7,0.8913,0.2865,0.1318
38-6068.36,6353,6,0.8448,0.2047,0.6377
29-8742.78,6143,7,0.5142,0.6007,0.2014
17-5786.71,5548,7,0.6671,0.2975,0.0674
41-5580.95,1145,4,0.5524,0.394,0.5808
26-8385.15,3742,6,0.8742,0.5828,0.3858
19-3938.97,9321,5,0.5356,0.4909,0.5537
34-8636.85,3525,6,0.5371,0.5941,0.257
38-3364.61,7522,8,0.6229,0.2753,0.3948
21-7148.75,5499,8,0.6315,0.5088,0.275
21-8602.63,4484,7,0.4136,0.6352,0.5914
51-7761.81,8397,4,0.6603,0.3448,0.4149
38-3035.91,7949,7,0.2889,0.5628,0.3627
25-4371.23,5870,4,0.8768,0.2669,0.1456
14-7591.06,8264,8,0.5265,0.6277,0.0501
18-2735.00,7109,7,0.3049,0.4333,0.1495
37-4285.11,2426,6,0.6867,0.4398,0.4276
42-5370.84,2384,6,0.7057,0.3392,0.3231
19-5295.13,4547,4,0.6706,0.4261,0.4816
42-6870.53,6675,8,0.7546,0.2169,0.1888
14-5666.34,5177,4,0.674,0.0759,0.574
16-1538.22,8572,8,0.3877,0.553,0.3262
32-6361.02,9069,8,0.6092,0.457,0.058
50-1495.09,1628,7,0.5694,0.7046,0.1867
23-2848.04,8019,7,0.4807,0.4698,0.2247
24-7346.56,7949,6,0.6584,0.443,0.2084
20-1216.20,7333,7,0.6362,0.2762,0.4995
11-7773.74,7760,5,0.926,0.7001,0.3248
30-4008.04,9412,7,0.5657,0.4577,0.4674
28-7383.15,5968,8,0.7522,0.564,0.1409
28-9209.84,3567,7,0.5619,0.6739,0.682
53-4220.69,3833,7,0.6505,0.2527,0.4711
52-8126.12,1404,6,0.6636,0.6968,0.5538
28-4742.53,1313,6,0.7833,0.3119,0.5865
50-4088.81,6059,5,0.8646,0.7636,0.2332
44-8201.09,8915,6,0.4338,0.362,0.1298
48-6114.78,8565,6,0.6575,0.3864,0.6168
45-4013.79,2125,6,0.606,0.4391,0.6436
45-4214.49,8607,8,0.361,0.6218,0.5091
29-3264.91,3987,5,0.3602,0.5639,0.4049
52-1222.24,1229,8,0.5863,0.4647,0.7188
26-8998.73,1201,6,0.6397,0.508,0.6356
53-7664.75,3399,6,0.4902,0.4348,0.1454
18-4638.50,1607,6,0.68,0.3229,0.4506
26-9728.55,2790,6,0.6735,0.347,0.4315
52-5828.56,7620,5,0.945,0.7027,0.3028
18-4436.31,4099,6,0.6418,0.469,0.5324
43-7839.64,6318,5,0.6613,0.4937,0.2627
12-1434.15,2860,4,0.5353,0.7871,0.7003
36-9645.25,7165,6,0.6484,0.6289,0.2336
25-1355.65,4050,6,0.8238,0.5599,0.2214
11-9788.96,8278,6,0.5439,0.7182,0.5277
49-4928.09,5317,4,0.5035,0.6845,0.3551
16-4415.07,5828,7,0.4025,0.5808,0.1216
51-6818.06,4953,6,0.7449,0.3582,0.3085
38-4215.44,8747,6,0.5174,0.5389,0.3919
18-4237.03,9692,7,0.7665,0.7212,0.5309
52-9941.44,9174,6,0.6711,0.2869,0.8137
22-1490.24,4162,6,0.6276,0.6351,0.5812
20-1791.29,4582,8,0.6546,0.6551,0.7377
21-4535.21,8439,5,0.3974,0.1742,0.2777
36-1941.84,8152,7,0.6202,0.3947,0.2317
50-8009.61,5065,5,0.5282,0.4294,0.5534
21-6438.71,8971,7,0.4649,0.1533,0.5249
12-9524.83,6199,5,0.4487,0.3412,0.6725
39-8169.11,3119,5,0.6766,0.4075,0.1694
36-7941.50,5660,5,0.5887,0.2917,0.2477
26-2011.67,5044,5,0.6138,0.4001,0.7226
26-1286.05,7326,5,0.5382,0.4701,0.4843
53-5929.92,4792,5,0.2522,0.6711,0.1134
53-2435.76,7319,7,0.5627,0.7893,0.6946
33-1549.47,6458,6,0.4865,0.3923,0.5617
50-6081.27,9237,7,0.7893,0.1046,0.1792
21-1842.85,6955,6,0.7987,0.4091,0.447
37-1783.31,4505,4,0.628,0.5211,0.3257
49-1433.84,7473,8,0.7262,0.4465,0.8262
32-1201.80,9699,8,0.6769,0.4208,0.5709
36-2569.97,8152,5,0.3068,0.8867,0.2301
50-7035.87,1642,6,0.7395,0.5997,0.0721
36-6065.95,3133,8,0.7628,0.7062,0.1795
16-1005.54,4393,8,0.6661,0.4677,0.547
17-1157.26,7354,6,0.7825,0.5597,0.2898
18-2089.51,9020,4,0.6347,0.2917,0.3133
26-5625.56,5702,8,0.4936,0.3727,0.3065
33-9222.77,7669,5,0.479,0.7634,0.5097
42-5085.91,9559,7,0.7431,0.3479,0.3114
19-3882.19,1292,8,0.8364,0.3981,0.3638
51-7040.23,2538,7,0.3715,0.8124,0.2555
28-2275.18,3567,7,0.5682,0.4499,0.6902
44-9087.03,3847,7,0.319,0.6608,0.1672
39-1574.15,1145,6,0.398,0.5214,0.3621
22-5423.50,1670,6,0.746,0.3015,0.2845
39-5611.12,5555,6,0.6515,0.3022,0.3681
19-3027.08,6969,4,0.6166,0.565,0.0458
30-6219.11,8838,4,0.3512,0.3874,0.4291
33-3914.36,6150,7,0.5468,0.3989,0.3753
45-7639.94,5814,5,0.8772,0.2557,0.339
36-4436.26,1565,7,0.7254,0.1332,0.5349
23-9478.29,2202,7,0.8601,0.765,0.6088
46-1548.07,2734,4,0.7148,0.6018,0.4256
13-7452.75,8453,7,0.6042,0.5758,0.1698
49-8238.10,8257,6,0.7929,0.466,0.2973
45-5197.22,3476,6,0.6954,0.4342,0.6705
16-3823.11,9426,4,0.3882,0.1669,0.2961
18-4931.18,2986,6,0.86,0.6629,0.2332
34-9488.28,2475,6,0.7247,0.3925,0.3792
29-4081.08,3854,8,0.2938,0.4106,0.2381
47-3524.52,4547,7,0.4098,0.4683,0.3684
12-4310.10,3364,6,0.6533,0.5665,0.0957
50-2253.75,2713,6,0.6834,0.279,0.7111
33-4563.73,1705,4,0.4849,0.6274,0.9257
22-7028.97,4785,5,0.4925,0.4041,0.3341
53-6285.32,5163,6,0.8325,0.2951,0.1859
39-1066.83,6479,4,0.7242,0.5802,0.2677
28-8358.67,3301,5,0.5342,0.7438,0.2389
13-8754.80,7088,7,0.6583,0.5103,0.1306
40-9834.39,2384,6,0.7524,0.5338,0.62
41-8590.56,5891,5,0.8014,0.7253,0.3026
50-4607.13,1992,8,0.6298,0.6712,0.6943
48-2210.71,7921,7,0.6861,0.2789,0.3624
16-9306.12,5821,5,0.5451,0.5934,0.4933
16-5053.47,2741,6,0.5912,0.6139,0.4256
35-7128.53,3868,6,0.5982,0.5436,0.1811
15-9559.04,4358,6,0.4282,0.3607,0.4062
28-4416.50,5485,7,0.8317,0.6025,0.242
39-2541.64,3623,4,0.6197,0.427,0.3144
24-6557.54,4372,5,0.6597,0.6745,0.6048
12-3997.09,2097,7,0.6715,0.4209,0.4171
30-7235.77,4442,7,0.5552,0.2909,0.5476
54-3532.64,9468,7,0.4636,0.8121,0.1481
27-5799.95,1957,6,0.7984,0.6255,0.2752
28-5291.83,9391,6,0.6845,0.4259,0.1541
53-7222.52,3511,6,0.7362,0.3705,0.5425
24-5670.89,2720,4,0.7767,0.5309,0.2389
30-1930.73,2027,6,0.4165,0.49,0.4271
40-5172.16,2279,6,0.5396,0.5592,0.4981
24-7161.79,3672,4,0.6013,0.6329,0.2773
20-7838.02,2258,6,0.9343,0.5925,0.4344
23-9488.41,5744,7,0.3485,0.6075,0.0619
40-3658.88,4295,5,0.6059,0.3007,0.3822
16-6342.10,3371,7,0.7352,0.902,0.3364
48-3465.72,9279,7,0.8067,0.6514,0.2036
21-2434.27,4036,7,0.446,0.5978,0.6636
43-5902.05,3700,8,0.7029,0.6495,0.3933
24-9468.69,3217,6,0.5424,0.5989,0.275
15-4170.73,2510,7,0.7451,0.5976,0.3251
18-2655.02,9524,4,0.6445,0.4114,0.2872
16-2873.44,8936,6,0.5213,0.5091,0.3731
45-3736.62,5744,7,0.7157,0.6208,0.5878
50-3499.33,3525,7,0.6819,0.2328,0.6128
34-6721.34,6332,4,0.8734,0.8696,0.5375
41-7743.12,7179,8,0.5936,0.4771,0.7785
30-2139.82,4218,4,0.6274,0.3551,0.6487
27-7397.59,9202,7,0.4966,0.5864,0.1142
54-6392.05,8173,5,0.8989,0.5222,0.3138
26-1562.34,4267,6,0.4011,0.7248,0.1606
20-1322.69,7368,6,0.5777,0.4789,0.5177
54-6442.98,6066,6,0.5835,0.6256,0.8631
29-7133.27,4666,6,0.4894,0.9133,0.4705
44-8482.12,5016,6,0.2817,0.3176,0.3098
20-1905.62,4974,6,0.5033,0.5173,0.2605
26-3816.01,8649,8,0.3304,0.2674,0.1161
50-1822.77,3014,6,0.7027,0.355,0.6896
39-5247.43,9216,6,0.3982,0.5763,0.3422
20-3058.57,6619,7,0.8897,0.3152,0.3301
11-2647.53,8439,7,0.6796,0.6183,0.7527
12-4774.50,7263,7,0.5831,0.7517,0.1436
33-6633.88,2076,4,0.5128,0.3399,0.3428
50-6884.17,4505,8,0.4582,0.1998,0.4814
17-1598.10,1439,6,0.6939,0.368,0.3429
21-1855.09,3518,5,0.6232,0.1709,0.2637
47-7445.18,9272,5,0.9063,0.455,0.5581
14-1104.23,6066,7,0.3391,0.5995,0.2612
48-6692.09,6010,7,0.8197,0.0735,0.848
27-9569.49,5849,6,0.8936,0.6155,0.2244
44-8376.31,5065,7,0.3578,0.867,0.1358
50-3541.82,6374,6,0.8623,0.5031,0.1484
54-7719.90,8474,6,0.5417,0.553,0.1528
13-6220.32,9468,4,0.8009,0.4086,0.7366
13-2405.73,2930,6,0.5453,0.6558,0.4732
44-8139.82,7431,6,0.494,0.678,0.1091
51-9627.42,6318,6,0.7785,0.4537,0.1998
29-2853.59,5226,5,0.6493,0.3978,0.3378
49-2752.47,5156,6,0.6595,0.3725,0.6027
35-9358.60,4148,6,0.6079,0.6801,0.3457
33-9863.23,5471,5,0.6118,0.4196,0.52
50-7155.89,6094,4,0.7517,0.2669,0.1567
54-4782.18,5303,5,0.5483,0.6256,0.723
22-2343.64,2321,7,0.7267,0.3546,0.2718
42-1323.78,9230,7,0.693,0.2162,0.2168
18-9507.55,4274,7,0.4878,0.0722,0.4171
42-7057.26,4463,6,0.4893,0.6107,0.3918
47-4012.42,2062,7,0.8092,0.5909,0.4427
39-6018.30,1544,6,0.4028,0.3697,0.1708
26-1310.47,6080,6,0.531,0.6297,0.1578
12-5804.81,1936,6,0.5188,0.3043,0.3695
42-5685.44,1915,7,0.6362,0.4933,0.4929
26-6219.93,4036,7,0.441,0.7761,0.3708
25-2076.28,3182,7,0.4325,0.5961,0.7176
27-7735.81,7900,8,0.6874,0.4249,0.6447
46-4538.68,7116,6,0.4677,0.6004,0.4463
52-5698.11,5240,8,0.7747,0.7871,0.6513
49-5375.69,2762,6,0.7845,0.3446,0.4174
37-1742.53,5499,7,0.6442,0.6354,0.3721
47-9256.23,3987,6,0.5646,0.5471,0.6049
48-8646.14,4358,4,0.3161,0.2204,0.5501
19-7363.13,5079,6,0.6965,0.3534,0.0851
39-8964.73,6143,7,0.7376,0.5708,0.2256
17-9872.72,6584,6,0.7742,0.2706,0.5698
28-5102.79,2237,7,0.5947,0.4625,0.3079
15-5090.20,8012,5,0.6137,0.8087,0.4187
14-8943.58,2713,8,0.8197,0.2408,0.1638
15-1788.02,5394,7,0.5113,0.4523,0.6594
27-9639.28,2076,7,0.6452,0.4055,0.2505
34-9648.60,1173,4,0.7865,0.3107,0.4291
