student_id,cohort,parental_education_max,household_income_bracket,primary_language_home,first_in_family_college,internet_at_home,expected_major_change
S201300066,2013,HS,100-150k,English,0,1,0
S201300067,2013,BA,75-100k,English,0,1,0
S201300068,2013,less_than_HS,75-100k,English,0,1,0
S201300069,2013,some_college,15-30k,English,1,1,0
S201300070,2013,less_than_HS,>150k,English,1,1,0
S201300071,2013,HS,<15k,English,0,1,0
S201300072,2013,some_college,<15k,English,1,1,1
S201300073,2013,HS,30-50k,English,1,1,0
S201300074,2013,HS,15-30k,English,1,1,0
S201300075,2013,HS,50-75k,English,1,1,0
S201300076,2013,BA,>150k,Chinese,0,1,0
S201300077,2013,MA,100-150k,English,0,1,0
S201300078,2013,HS,100-150k,English,0,1,1
S201300079,2013,HS,100-150k,English,1,1,1
S201300080,2013,some_college,<15k,English,0,1,0
S201300081,2013,less_than_HS,100-150k,English,0,1,0
S201300082,2013,PhD,prefer_not,English,0,1,0
S201300083,2013,HS,75-100k,Spanish,1,1,0
S201300084,2013,some_college,30-50k,English,0,1,1
S201300085,2013,some_college,<15k,English,0,1,0
S201300086,2013,PhD,50-75k,English,0,1,1
S201300087,2013,some_college,75-100k,English,0,1,1
S201300088,2013,BA,100-150k,English,0,1,0
S201300089,2013,less_than_HS,50-75k,Chinese,1,1,1
S201300090,2013,HS,100-150k,English,1,1,1
S201300091,2013,some_college,75-100k,English,0,1,0
S201300092,2013,MA,30-50k,English,0,1,0
S201300093,2013,some_college,30-50k,English,0,1,0
S201300094,2013,BA,15-30k,English,0,0,1
S201300095,2013,HS,30-50k,English,0,1,1
S201300096,2013,some_college,<15k,English,1,1,0
S201300097,2013,HS,<15k,Spanish,1,1,1
S201300098,2013,some_college,75-100k,English,1,1,0
S201300099,2013,BA,75-100k,English,0,1,0
S201300100,2013,BA,>150k,Chinese,0,1,0
S201300101,2013,HS,prefer_not,English,1,1,1
S201300102,2013,less_than_HS,>150k,English,0,1,0
S201300103,2013,some_college,75-100k,English,1,1,0
S201300104,2013,BA,50-75k,English,0,1,0
S201300105,2013,HS,prefer_not,English,1,1,1
S201300106,2013,less_than_HS,50-75k,English,1,1,0
S201300107,2013,MA,50-75k,Spanish,0,1,0
S201300108,2013,HS,<15k,English,1,1,0
S201300109,2013,HS,50-75k,Spanish,0,1,1
S201300110,2013,HS,30-50k,Spanish,1,1,0
S201300111,2013,some_college,50-75k,English,0,1,0
S201300112,2013,HS,30-50k,English,1,1,1
S201300113,2013,BA,75-100k,English,0,1,0
S201300114,2013,HS,30-50k,English,1,1,0
S201300115,2013,HS,<15k,English,1,1,0
S201300116,2013,some_college,30-50k,English,0,1,1
S201300117,2013,BA,100-150k,Spanish,0,1,0
S201300118,2013,HS,>150k,English,1,1,1
S201300119,2013,BA,30-50k,Spanish,0,1,1
S201300120,2013,some_college,30-50k,English,1,1,0
S201300121,2013,MA,<15k,English,0,1,0
S201300122,2013,HS,50-75k,English,0,1,1
S201300123,2013,HS,15-30k,English,1,1,0
S201300124,2013,HS,75-100k,English,0,1,1
S201300125,2013,BA,prefer_not,English,0,1,0
S201300126,2013,HS,50-75k,English,0,1,0
S201300127,2013,BA,30-50k,English,0,1,0
S201300128,2013,HS,30-50k,English,0,1,1
S201300129,2013,BA,75-100k,English,0,1,1
S201300130,2013,MA,30-50k,English,0,1,0
S201300131,2013,some_college,50-75k,Spanish,0,1,1
S201300132,2013,BA,100-150k,English,0,1,0
S201300133,2013,HS,30-50k,Spanish,1,1,1
S201300134,2013,BA,15-30k,English,0,1,0
S201300135,2013,some_college,<15k,Spanish,0,1,0
S201300136,2013,some_college,75-100k,English,1,1,0
S201300137,2013,BA,50-75k,English,0,1,0
S201300138,2013,some_college,15-30k,Spanish,0,1,0
S201300139,2013,BA,75-100k,English,0,1,1
S201300140,2013,some_college,100-150k,English,0,1,0
S201300141,2013,MA,30-50k,English,0,1,0
S201300142,2013,PhD,<15k,English,0,1,1
S201300143,2013,some_college,>150k,English,1,1,0
S201300144,2013,some_college,15-30k,English,0,1,0
S201300145,2013,MA,100-150k,Spanish,0,1,0
S201300146,2013,BA,100-150k,English,0,1,1
S201300147,2013,some_college,100-150k,English,1,1,0
S201300148,2013,HS,<15k,English,1,0,1
S201300149,2013,BA,75-100k,Spanish,0,1,0
S201300150,2013,BA,50-75k,English,0,1,1
S201300151,2013,BA,75-100k,Spanish,0,1,0
S201300152,2013,BA,30-50k,English,0,1,1
S201300153,2013,HS,75-100k,English,1,1,0
S201300154,2013,HS,75-100k,English,1,1,0
S201300155,2013,HS,<15k,English,0,1,0
S201300156,2013,HS,50-75k,English,0,1,0
S201300157,2013,some_college,50-75k,English,0,1,0
S201300158,2013,HS,15-30k,English,0,1,0
S201300159,2013,some_college,50-75k,English,0,1,1
S201300160,2013,HS,15-30k,English,0,1,0
S201300161,2013,BA,50-75k,English,0,1,0
S201300162,2013,some_college,30-50k,Spanish,0,1,0
S201300163,2013,HS,30-50k,Other,0,1,0
S201300164,2013,HS,15-30k,Spanish,1,1,0
S201300165,2013,less_than_HS,75-100k,English,1,1,1
S201300166,2013,less_than_HS,50-75k,English,1,1,0
S201300167,2013,HS,30-50k,Spanish,1,1,1
S201300168,2013,BA,15-30k,English,0,1,0
S201300169,2013,some_college,30-50k,Spanish,0,1,1
S201300170,2013,BA,100-150k,English,0,1,0
S201300171,2013,some_college,30-50k,English,1,1,0
S201300172,2013,BA,75-100k,English,0,1,1
S201300173,2013,some_college,50-75k,English,0,1,0
S201300174,2013,HS,50-75k,Spanish,0,1,0
S201300175,2013,less_than_HS,30-50k,English,1,1,1
S201300176,2013,BA,100-150k,English,0,1,0
S201300177,2013,HS,<15k,English,0,1,0
S201300178,2013,BA,15-30k,English,0,1,1
S201300179,2013,MA,100-150k,English,0,1,1
S201300180,2013,some_college,15-30k,English,0,1,0
S201300181,2013,less_than_HS,30-50k,English,1,1,0
S201300182,2013,MA,30-50k,English,0,1,0
S201300183,2013,less_than_HS,75-100k,Spanish,0,1,1
S201300184,2013,HS,50-75k,English,1,1,0
S201300185,2013,BA,30-50k,English,0,1,0
S201300186,2013,BA,75-100k,English,0,1,0
S201300187,2013,BA,50-75k,English,0,1,1
S201300188,2013,HS,75-100k,English,0,1,0
S201300189,2013,HS,100-150k,English,0,1,0
S201300190,2013,HS,75-100k,English,0,1,0
S201300191,2013,less_than_HS,50-75k,English,1,1,0
S201300192,2013,some_college,prefer_not,English,0,1,0
S201300193,2013,HS,50-75k,English,1,1,1
S201300194,2013,HS,15-30k,Spanish,1,1,0
S201300195,2013,some_college,100-150k,Spanish,1,0,1
S201300196,2013,BA,75-100k,Other,0,1,0
S201300197,2013,some_college,50-75k,English,1,1,1
S201300198,2013,HS,50-75k,English,1,1,0
S201300199,2013,some_college,15-30k,Chinese,0,1,1
S201300200,2013,HS,30-50k,English,1,1,1
S201300201,2013,some_college,30-50k,Other,0,1,0
S201300202,2013,HS,<15k,English,0,1,0
S201300203,2013,BA,50-75k,English,0,1,0
S201300204,2013,HS,75-100k,English,0,1,0
S201300205,2013,some_college,prefer_not,English,0,1,0
S201300206,2013,BA,75-100k,English,0,1,0
S201300207,2013,HS,<15k,English,0,1,0
S201300208,2013,some_college,<15k,Spanish,0,1,0
S201300209,2013,some_college,prefer_not,English,0,1,0
S201300210,2013,some_college,100-150k,Spanish,1,1,0
S201300211,2013,HS,50-75k,English,0,1,0
S201300212,2013,BA,30-50k,English,0,1,0
S201300213,2013,HS,100-150k,English,1,1,1
S201300214,2013,HS,75-100k,English,1,1,0
S201300215,2013,some_college,15-30k,English,0,1,0
S201300216,2013,MA,50-75k,English,0,1,0
S201300217,2013,BA,30-50k,English,0,1,1
S201300218,2013,HS,15-30k,Spanish,1,1,0
S201300219,2013,HS,75-100k,English,0,1,1
S201300220,2013,BA,<15k,English,0,1,0
S201300221,2013,HS,30-50k,English,0,1,1
S201300222,2013,BA,15-30k,English,0,1,0
S201300223,2013,some_college,100-150k,English,0,1,0
S201300224,2013,BA,50-75k,English,0,1,0
S201300225,2013,some_college,50-75k,English,1,1,0
S201300226,2013,some_college,75-100k,Other,0,1,1
S201300227,2013,HS,>150k,English,0,1,1
S201300228,2013,some_college,50-75k,English,0,1,0
S201300229,2013,some_college,>150k,English,0,1,1
S201300230,2013,HS,15-30k,English,1,1,0
S201300231,2013,BA,100-150k,English,0,1,1
S201300232,2013,HS,50-75k,English,0,1,0
S201300233,2013,HS,50-75k,English,1,1,0
S201300234,2013,HS,<15k,Chinese,0,1,0
S201300235,2013,HS,50-75k,English,1,1,0
S201300236,2013,BA,100-150k,Spanish,0,1,0
S201300237,2013,MA,75-100k,English,0,1,0
S201300238,2013,HS,50-75k,English,0,1,0
S201300239,2013,some_college,30-50k,Spanish,0,1,0
S201300240,2013,HS,30-50k,English,1,1,0
S201300241,2013,PhD,50-75k,Other,0,1,0
S201300242,2013,some_college,100-150k,English,1,1,0
S201300243,2013,MA,30-50k,English,0,1,0
S201300244,2013,BA,<15k,English,0,1,1
S201300245,2013,some_college,prefer_not,English,0,1,1
S201300246,2013,HS,100-150k,English,0,1,0
S201300247,2013,HS,15-30k,English,1,1,1
S201300248,2013,BA,75-100k,English,0,1,0
S201300249,2013,some_college,30-50k,English,0,1,1
S201300250,2013,BA,100-150k,English,0,1,1
S201300251,2013,BA,prefer_not,Spanish,0,1,0
S201300252,2013,HS,prefer_not,English,0,1,0
S201300253,2013,some_college,15-30k,Chinese,0,1,0
S201300254,2013,HS,30-50k,English,1,1,0
S201300255,2013,some_college,15-30k,English,0,1,1
S201300256,2013,some_college,50-75k,English,0,1,0
S201300257,2013,less_than_HS,15-30k,English,1,1,0
S201300258,2013,HS,>150k,English,0,1,0
S201300259,2013,HS,50-75k,Spanish,0,1,0
S201300260,2013,MA,15-30k,English,0,1,0
S201300261,2013,some_college,15-30k,English,1,0,0
S201300262,2013,BA,>150k,English,0,1,1
S201300263,2013,MA,>150k,English,0,1,1
S201300264,2013,BA,15-30k,English,0,1,0
S201300265,2013,BA,100-150k,English,0,1,0
S201300266,2013,HS,30-50k,English,1,1,0
S201300267,2013,BA,75-100k,Spanish,0,1,0
S201300268,2013,HS,15-30k,English,0,1,0
S201300269,2013,BA,75-100k,English,0,1,1
S201300270,2013,some_college,50-75k,Other,0,1,0
S201300271,2013,MA,30-50k,English,0,1,0
S201300272,2013,HS,<15k,English,1,1,1
S201300273,2013,HS,75-100k,English,0,1,0
S201300274,2013,less_than_HS,30-50k,English,1,1,1
S201300275,2013,less_than_HS,15-30k,English,0,1,0
S201300276,2013,some_college,75-100k,English,0,1,0
S201300277,2013,some_college,15-30k,English,1,1,0
S201300278,2013,some_college,30-50k,English,1,1,0
S201300279,2013,some_college,75-100k,English,1,1,0
S201300280,2013,PhD,50-75k,English,0,1,0
S201300281,2013,HS,prefer_not,English,1,1,0
S201300282,2013,some_college,50-75k,Chinese,1,1,0
S201300283,2013,HS,<15k,English,0,1,1
S201300284,2013,some_college,100-150k,English,0,1,0
S201300285,2013,BA,15-30k,English,0,1,1
S201300286,2013,HS,>150k,English,1,1,0
S201300287,2013,less_than_HS,15-30k,English,1,1,1
S201300288,2013,BA,15-30k,Other,0,1,0
S201300289,2013,some_college,100-150k,English,1,1,1
S201300290,2013,MA,50-75k,English,0,1,0
S201300291,2013,HS,50-75k,English,1,1,1
S201300292,2013,some_college,15-30k,English,0,1,1
S201300293,2013,HS,prefer_not,English,1,1,0
S201300294,2013,some_college,50-75k,English,1,1,0
S201300295,2013,some_college,<15k,English,0,1,0
S201300296,2013,HS,75-100k,English,1,1,0
S201300297,2013,HS,15-30k,English,1,1,0
S201300298,2013,HS,50-75k,English,1,1,0
S201300299,2013,some_college,30-50k,English,0,1,0
S201300300,2013,some_college,30-50k,English,1,1,0
S201300301,2013,some_college,50-75k,English,1,1,0
S201300302,2013,some_college,30-50k,Spanish,0,1,0
S201300303,2013,PhD,75-100k,English,0,1,1
S201300304,2013,HS,30-50k,English,0,1,0
S201300305,2013,some_college,75-100k,English,1,1,0
S201300306,2013,some_college,>150k,English,0,1,0
S201300307,2013,HS,30-50k,English,0,1,0
S201300308,2013,HS,prefer_not,English,1,0,1
S201300309,2013,less_than_HS,30-50k,English,0,1,1
S201300310,2013,some_college,100-150k,Spanish,1,1,0
S201300311,2013,HS,<15k,English,0,1,0
S201300312,2013,some_college,>150k,English,0,1,0
S201300313,2013,HS,100-150k,English,0,1,0
S201300314,2013,BA,100-150k,English,0,1,1
S201300315,2013,some_college,<15k,English,1,1,0
S201300316,2013,HS,50-75k,English,0,1,1
S201300317,2013,BA,15-30k,English,0,1,0
S201300318,2013,HS,100-150k,English,1,1,0
S201300319,2013,some_college,prefer_not,English,1,1,1
S201300320,2013,some_college,75-100k,Spanish,0,1,1
S201300321,2013,HS,50-75k,English,1,1,0
S201300322,2013,BA,30-50k,Chinese,0,0,0
S201300323,2013,some_college,100-150k,English,0,1,0
S201300324,2013,some_college,prefer_not,English,0,1,1
S201300325,2013,some_college,prefer_not,English,0,1,0
S201300326,2013,HS,75-100k,English,0,1,0
S201300327,2013,HS,50-75k,English,0,1,1
S201300328,2013,HS,50-75k,English,1,1,0
S201300329,2013,some_college,100-150k,English,0,1,0
S201300330,2013,BA,50-75k,English,0,1,0
S201300331,2013,HS,100-150k,English,1,1,1
S201300332,2013,BA,50-75k,English,0,1,1
S201300333,2013,some_college,15-30k,Chinese,0,1,0
S201300334,2013,less_than_HS,15-30k,English,1,1,0
S201300335,2013,some_college,15-30k,English,1,1,0
S201300336,2013,PhD,30-50k,English,0,1,0
S201300337,2013,HS,15-30k,English,0,1,0
S201300338,2013,some_college,30-50k,Spanish,0,1,0
S201300339,2013,some_college,prefer_not,English,1,1,0
S201300340,2013,BA,15-30k,English,0,1,1
S201300341,2013,HS,75-100k,English,0,1,1
S201300342,2013,BA,100-150k,English,0,1,1
S201300343,2013,HS,100-150k,English,0,1,0
S201300344,2013,HS,50-75k,English,1,1,0
S201300345,2013,some_college,<15k,English,0,1,0
S201300346,2013,HS,50-75k,English,1,1,0
S201300347,2013,HS,50-75k,English,1,1,0
S201300348,2013,HS,15-30k,English,1,1,0
S201300349,2013,BA,50-75k,English,0,1,0
S201300350,2013,less_than_HS,15-30k,Chinese,0,1,0
S201300351,2013,some_college,100-150k,Spanish,0,1,0
S201300352,2013,HS,30-50k,English,1,1,0
S201300353,2013,HS,100-150k,English,0,1,0
S201300354,2013,HS,>150k,English,1,1,1
S201300355,2013,some_college,>150k,English,0,1,1
S201300356,2013,HS,50-75k,English,1,1,0
S201300357,2013,HS,30-50k,English,1,1,0
S201300358,2013,BA,100-150k,English,0,1,0
S201300359,2013,less_than_HS,50-75k,English,1,1,0
S201300360,2013,HS,30-50k,English,1,1,0
S201300361,2013,some_college,30-50k,English,0,1,0
S201300362,2013,HS,100-150k,English,0,1,0
S201300363,2013,HS,<15k,English,0,1,1
S201300364,2013,some_college,50-75k,Chinese,0,1,0
S201300365,2013,HS,30-50k,Spanish,1,1,0
S201300366,2013,some_college,50-75k,English,0,1,1
S201300367,2013,BA,100-150k,English,0,1,1
S201300368,2013,BA,<15k,English,0,0,0
S201300369,2013,some_college,15-30k,English,0,1,0
S201300370,2013,some_college,100-150k,Other,1,1,1
S201300371,2013,some_college,30-50k,English,0,1,0
S201300372,2013,HS,30-50k,English,1,1,1
S201300373,2013,BA,50-75k,English,0,1,1
S201300374,2013,some_college,50-75k,English,1,1,0
S201300375,2013,some_college,50-75k,English,1,1,1
S201300376,2013,some_college,30-50k,English,1,1,0
S201300377,2013,MA,15-30k,English,0,1,0
S201300378,2013,less_than_HS,30-50k,English,1,1,1
S201300379,2013,MA,100-150k,English,0,1,0
S201300380,2013,less_than_HS,75-100k,English,1,1,0
S201300381,2013,HS,75-100k,English,0,1,0
S201300382,2013,HS,75-100k,English,1,1,1
S201300383,2013,some_college,30-50k,English,1,1,0
S201300384,2013,BA,50-75k,English,0,1,0
S201300385,2013,HS,>150k,English,0,1,0
S201300386,2013,BA,50-75k,English,0,1,1
S201300387,2013,some_college,75-100k,English,1,1,0
S201300388,2013,some_college,15-30k,English,0,1,0
S201300389,2013,HS,<15k,English,0,1,0
S201300390,2013,some_college,>150k,English,0,1,0
S201300391,2013,some_college,15-30k,English,0,1,0
S201300392,2013,some_college,75-100k,English,0,1,1
S201300393,2013,less_than_HS,30-50k,Spanish,0,1,0
S201300394,2013,HS,>150k,Chinese,1,1,1
S201300395,2013,PhD,<15k,Spanish,0,1,0
S201300396,2013,some_college,30-50k,English,0,1,0
S201300397,2013,some_college,100-150k,Spanish,0,1,1
S201300398,2013,some_college,30-50k,English,0,1,1
S201300399,2013,MA,<15k,English,0,1,0
S201300400,2013,HS,prefer_not,English,1,1,0
S201300401,2013,HS,75-100k,English,1,1,0
S201300402,2013,some_college,15-30k,Other,0,1,0
S201300403,2013,some_college,100-150k,English,0,1,1
S201300404,2013,BA,75-100k,English,0,1,0
S201300405,2013,some_college,30-50k,English,1,1,1
S201300406,2013,some_college,30-50k,English,1,1,0
S201300407,2013,BA,30-50k,English,0,1,0
S201300408,2013,HS,>150k,English,1,1,0
S201300409,2013,HS,100-150k,Spanish,0,1,0
S201300410,2013,MA,<15k,Spanish,0,1,0
S201300411,2013,MA,100-150k,Other,0,1,1
S201300412,2013,less_than_HS,75-100k,English,0,1,0
S201300413,2013,some_college,30-50k,English,0,1,0
S201300414,2013,some_college,50-75k,English,0,1,0
S201300415,2013,BA,50-75k,English,0,1,0
S201300416,2013,HS,15-30k,English,0,1,0
S201300417,2013,HS,75-100k,English,0,1,1
S201300418,2013,BA,50-75k,Chinese,0,1,0
S201300419,2013,some_college,30-50k,Other,1,1,1
S201300420,2013,some_college,50-75k,English,0,1,1
S201300421,2013,MA,<15k,Spanish,0,1,0
S201300422,2013,BA,prefer_not,Spanish,0,1,0
S201300423,2013,HS,75-100k,English,1,1,1
S201300424,2013,some_college,30-50k,English,1,1,0
S201300425,2013,HS,75-100k,Spanish,1,1,0
S201300426,2013,HS,>150k,English,1,1,0
S201300427,2013,HS,50-75k,Spanish,0,1,1
S201300428,2013,some_college,50-75k,English,0,1,0
S201300429,2013,some_college,15-30k,English,0,1,0
S201300430,2013,some_college,75-100k,English,1,1,1
S201300431,2013,HS,75-100k,English,0,1,0
S201300432,2013,BA,15-30k,English,0,1,0
S201300433,2013,HS,75-100k,English,0,1,0
S201300434,2013,some_college,50-75k,English,0,1,0
S201300435,2013,HS,15-30k,English,1,1,0
S201300436,2013,MA,100-150k,English,0,1,0
S201300437,2013,some_college,50-75k,English,1,1,1
S201300438,2013,PhD,75-100k,Other,0,1,0
S201300439,2013,BA,75-100k,Spanish,0,1,0
S201300440,2013,BA,100-150k,English,0,1,1
S201300441,2013,HS,100-150k,English,0,1,0
S201300442,2013,some_college,100-150k,English,0,1,0
S201300443,2013,some_college,50-75k,Other,0,1,1
S201300444,2013,BA,30-50k,Spanish,0,1,0
S201300445,2013,some_college,100-150k,English,0,1,1
S201300446,2013,MA,50-75k,English,0,1,1
S201300447,2013,HS,15-30k,English,1,0,0
S201300448,2013,HS,30-50k,English,0,1,1
S201300449,2013,BA,100-150k,English,0,1,0
S201300450,2013,some_college,<15k,English,0,1,0
S201300451,2013,MA,75-100k,English,0,1,1
S201300452,2013,some_college,75-100k,English,1,1,0
S201300453,2013,some_college,prefer_not,English,0,0,0
S201300454,2013,BA,50-75k,English,0,1,1
S201300455,2013,HS,50-75k,English,1,1,0
S201300456,2013,BA,50-75k,English,0,0,0
S201300457,2013,some_college,50-75k,English,0,1,0
S201300458,2013,less_than_HS,50-75k,English,0,1,0
S201300459,2013,MA,50-75k,English,0,1,1
S201300460,2013,HS,50-75k,Other,1,1,1
S201300461,2013,some_college,15-30k,English,0,1,0
S201300462,2013,HS,100-150k,English,0,1,1
S201300463,2013,BA,50-75k,English,0,1,0
S201300464,2013,HS,15-30k,English,1,1,0
S201300465,2013,MA,100-150k,English,0,1,1
S201300466,2013,HS,15-30k,English,1,1,1
S201300467,2013,PhD,50-75k,English,0,1,0
S201300468,2013,HS,15-30k,English,1,1,0
S201300469,2013,HS,>150k,English,1,1,0
S201300470,2013,less_than_HS,50-75k,English,1,1,0
S201300471,2013,PhD,15-30k,English,0,1,1
S201300472,2013,some_college,30-50k,English,0,1,0
S201300473,2013,BA,50-75k,English,0,1,0
S201300474,2013,HS,100-150k,English,1,1,0
S201300475,2013,BA,<15k,English,0,1,0
S201300476,2013,HS,prefer_not,English,0,1,1
S201300477,2013,HS,15-30k,English,0,1,1
S201300478,2013,BA,100-150k,English,0,1,0
S201300479,2013,HS,50-75k,English,1,1,0
S201300480,2013,HS,30-50k,English,1,1,0
S201300481,2013,MA,30-50k,English,0,1,0
S201300482,2013,HS,75-100k,Spanish,1,1,0
S201300483,2013,HS,15-30k,Other,0,1,1
S201300484,2013,HS,50-75k,Spanish,0,1,0
S201300485,2013,some_college,75-100k,English,0,1,0
S201300486,2013,some_college,100-150k,Chinese,0,1,1
S201300487,2013,some_college,100-150k,English,0,1,1
S201300488,2013,BA,30-50k,Spanish,0,1,0
S201300489,2013,BA,30-50k,Other,0,1,1
S201300490,2013,some_college,15-30k,English,0,1,1
S201300491,2013,less_than_HS,30-50k,English,1,1,0
S201300492,2013,less_than_HS,prefer_not,English,1,1,0
S201300493,2013,MA,<15k,English,0,1,0
S201300494,2013,HS,100-150k,English,1,1,1
S201300495,2013,HS,50-75k,English,1,1,0
S201300496,2013,some_college,100-150k,English,0,1,1
S201300497,2013,HS,75-100k,Spanish,1,1,0
S201300498,2013,HS,50-75k,English,1,1,0
S201300499,2013,BA,prefer_not,English,0,1,1
S201300500,2013,some_college,50-75k,English,0,1,1
S201300501,2013,HS,30-50k,English,1,1,0
S201300502,2013,BA,100-150k,English,0,1,0
S201300503,2013,HS,<15k,English,0,1,0
S201300504,2013,some_college,30-50k,English,0,1,0
S201300505,2013,MA,15-30k,English,0,1,1
S201300506,2013,MA,100-150k,Chinese,0,1,0
S201300507,2013,BA,30-50k,English,0,1,0
S201300508,2013,HS,15-30k,English,1,1,1
S201300509,2013,less_than_HS,30-50k,English,1,1,0
S201300510,2013,some_college,50-75k,English,1,1,0
S201300511,2013,MA,50-75k,Spanish,0,0,0
S201300512,2013,BA,75-100k,English,0,1,0
S201300513,2013,some_college,15-30k,English,1,1,0
S201300514,2013,HS,50-75k,English,0,1,0
S201300515,2013,BA,30-50k,English,0,1,0
S201300516,2013,BA,30-50k,English,0,1,0
S201300517,2013,some_college,30-50k,Other,0,1,1
S201300518,2013,HS,15-30k,Spanish,0,1,0
S201300519,2013,some_college,30-50k,Spanish,0,1,0
S201300520,2013,HS,<15k,English,1,1,0
S201300521,2013,HS,30-50k,English,0,1,0
S201300522,2013,BA,30-50k,English,0,1,1
S201300523,2013,HS,50-75k,English,0,1,0
S201300524,2013,some_college,75-100k,English,0,1,0
S201300525,2013,some_college,30-50k,English,1,1,0
S201300526,2013,some_college,30-50k,English,0,1,1
S201300527,2013,HS,50-75k,English,0,1,1
S201300528,2013,less_than_HS,>150k,English,0,1,0
S201300529,2013,some_college,75-100k,English,0,1,1
S201300530,2013,some_college,>150k,Spanish,1,1,1
S201300531,2013,some_college,15-30k,English,0,1,0
S201300532,2013,BA,100-150k,Spanish,0,1,1
S201300533,2013,HS,>150k,English,1,1,1
S201300534,2013,HS,100-150k,English,0,0,0
S201300535,2013,some_college,<15k,English,0,1,0
S201300536,2013,BA,75-100k,English,0,1,1
S201300537,2013,some_college,50-75k,Spanish,1,1,0
S201300538,2013,some_college,30-50k,Chinese,0,1,0
S201300539,2013,HS,30-50k,English,1,1,0
S201300540,2013,BA,30-50k,Spanish,0,1,0
S201300541,2013,HS,50-75k,English,0,1,0
S201300542,2013,some_college,100-150k,English,0,1,0
S201300543,2013,BA,>150k,English,0,1,0
S201300544,2013,some_college,50-75k,English,0,1,0
S201300545,2013,HS,50-75k,Spanish,0,1,1
S201300546,2013,some_college,100-150k,English,1,1,1
S201300547,2013,BA,prefer_not,English,0,1,1
S201300548,2013,BA,75-100k,English,0,1,1
S201300549,2013,some_college,100-150k,English,1,1,0
S201300550,2013,BA,100-150k,Spanish,0,1,0
S201300551,2013,some_college,15-30k,Spanish,1,1,1
S201300552,2013,MA,30-50k,English,0,1,0
S201300553,2013,MA,15-30k,English,0,1,0
S201300554,2013,HS,50-75k,Chinese,1,1,0
