student_id,cohort,degree_level,major_primary,major_secondary,conferral_date,final_cum_gpa,honors
S201300389,2013,BS,Mechanical Engineering,,2017-05-15,3.96,
S201300391,2013,BA,Philosophy,,2017-05-20,3.47,
S201300392,2013,BS,Chemistry,Minor: Math,2019-05-18,3.71,
S201300402,2013,BS,Chemistry,,2017-05-14,2.98,cum laude
S201300407,2013,BS,Nursing,,2017-05-19,2.97,cum laude
S201300410,2013,BA,Economics,,2017-05-14,3.72,cum laude
S201300413,2013,BS,Civil Engineering,Minor: History,2017-05-13,3.12,
S201300417,2013,BS,Mechanical Engineering,,2017-05-14,3.07,
S201300420,2013,BA,Political Science,,2017-05-12,2.98,
S201300425,2013,BS,Management,,2017-05-23,3.6,
S201300427,2013,BS,Accounting,,2017-05-14,3.52,cum laude
S201300429,2013,BS,Statistics,,2019-05-23,3.16,
S201300432,2013,BS,Public Health,,2019-05-20,2.28,
S201300433,2013,BS,Physics,,2017-05-14,3.7,
S201300435,2013,BS,Finance,Minor: Music,2018-05-16,4.0,cum laude
S201300441,2013,BS,Undeclared,,2018-05-12,3.92,
S201300443,2013,BS,Philosophy,Minor: Spanish,2018-05-20,3.27,
S201300445,2013,BS,Mathematics,Minor: Stats,2018-05-13,3.27,
S201300451,2013,BS,Electrical Engineering,,2017-05-19,3.83,magna cum laude
S201300457,2013,BS,Physics,,2017-05-22,2.61,magna cum laude
S201300464,2013,BS,Physics,,2017-05-21,4.0,
S201300470,2013,BS,English,,2018-05-20,2.62,
S201300472,2013,BS,Undeclared,,2018-05-19,4.0,
S201300474,2013,BS,Accounting,Minor: Spanish,2017-05-23,3.45,
S201300476,2013,BS,Nursing,,2017-05-18,3.14,magna cum laude
S201300479,2013,BS,Marketing,Minor: Spanish,2019-05-21,4.0,
S201300485,2013,BA,Political Science,,2017-05-20,2.96,cum laude
S201300488,2013,BA,Anthropology,,2017-05-23,3.63,
S201300493,2013,BA,Art History,Minor: Stats,2017-05-21,4.0,
S201300502,2013,BS,Public Health,Minor: Spanish,2019-05-17,3.31,cum laude
S201300510,2013,BS,Economics-Bus,Minor: Stats,2019-05-14,3.38,
S201300513,2013,BS,Education,,2017-05-20,3.19,
S201300514,2013,BS,Mathematics,Minor: History,2018-05-15,3.76,
S201300520,2013,BS,Biology,Minor: Spanish,2018-05-19,3.94,
S201300532,2013,BA,Art History,,2017-05-17,4.0,summa cum laude
S201300533,2013,BS,Civil Engineering,,2017-05-12,3.97,
S201300537,2013,BS,Kinesiology,,2018-05-16,4.0,
S201300540,2013,BA,Chemistry,,2017-05-22,4.0,
S201300544,2013,BS,Physics,,2017-05-15,3.57,
S201300546,2013,BS,Undeclared,,2017-05-14,4.0,
S201300547,2013,BA,Marketing,,2018-05-21,3.16,
S201300548,2013,BS,Physics,,2019-05-20,3.42,
S201300549,2013,BS,Kinesiology,Minor: Stats,2017-05-17,3.85,
S201300555,2013,BS,Accounting,,2017-05-19,3.24,
S201300556,2013,BS,Kinesiology,,2017-05-20,3.99,magna cum laude
S201300561,2013,BS,Pre-Med,Minor: Math,2017-05-17,3.22,
S201300562,2013,BS,Statistics,Minor: Math,2019-05-16,3.5,
S201300565,2013,BA,Art History,Minor: Music,2017-05-20,3.76,
S201300566,2013,BS,Accounting,Minor: History,2018-05-16,3.8,
S201300569,2013,BA,English,Minor: History,2019-05-15,4.0,
S201300571,2013,BS,Civil Engineering,Minor: Math,2017-05-19,3.95,
S201300572,2013,BS,Kinesiology,Minor: Music,2017-05-17,3.72,
S201300574,2013,BS,Civil Engineering,Minor: History,2017-05-16,2.65,
S201300575,2013,BS,Finance,,2019-05-19,2.97,
S201300578,2013,BS,Economics,,2018-05-13,3.61,magna cum laude
S201300580,2013,BA,Finance,Minor: Math,2018-05-18,4.0,
S201300581,2013,BA,Political Science,Minor: Music,2017-05-22,3.92,magna cum laude
S201300588,2013,BA,Political Science,,2017-05-23,3.53,cum laude
S201300589,2013,BA,Psychology,,2017-05-13,3.12,summa cum laude
S201300593,2013,BS,Communications,Minor: Math,2017-05-14,2.83,
S201300598,2013,BS,Pre-Med,Minor: Math,2018-05-12,4.0,magna cum laude
S201300607,2013,BS,Pre-Med,,2017-05-21,3.42,
S201300608,2013,BS,Computer Science,,2018-05-12,4.0,
S201300613,2013,BS,Public Health,,2017-05-14,3.4,
S201300614,2013,BS,Kinesiology,,2019-05-14,3.78,
S201300615,2013,BS,General Studies,Minor: Spanish,2018-05-16,4.0,
S201300617,2013,BS,Biology,Minor: Math,2018-05-23,4.0,
S201300619,2013,BS,Accounting,,2018-05-17,2.62,cum laude
S201300621,2013,BS,Kinesiology,Minor: Math,2017-05-15,2.6,
S201300627,2013,BS,Finance,,2017-05-22,3.51,
S201300630,2013,BS,Mechanical Engineering,Minor: Music,2017-05-18,3.96,
S201300639,2013,BS,Finance,Minor: Stats,2019-05-21,3.56,
S201300641,2013,BS,Mathematics,,2019-05-16,4.0,
S201300645,2013,BA,Physics,Minor: Music,2017-05-20,3.29,
S201300647,2013,BA,Anthropology,Minor: Stats,2018-05-14,2.72,
S201300648,2013,BA,Art History,,2018-05-23,4.0,magna cum laude
S201300653,2013,BA,English,Minor: Stats,2017-05-20,3.26,
S201300655,2013,BS,Marketing,,2018-05-19,3.31,
S201300659,2013,BS,Communications,Minor: Stats,2017-05-22,4.0,
S201300662,2013,BS,History,Minor: Math,2018-05-16,3.25,magna cum laude
S201300663,2013,BS,Kinesiology,,2018-05-13,3.57,
S201300665,2013,BS,Civil Engineering,,2017-05-18,4.0,magna cum laude
S201300667,2013,BA,Philosophy,,2019-05-15,3.7,
S201300671,2013,BS,Philosophy,Minor: History,2017-05-16,4.0,
S201300680,2013,BS,Management,Minor: History,2017-05-15,3.45,
S201300681,2013,BS,Pre-Med,,2018-05-23,3.4,
S201300687,2013,BS,Nursing,,2017-05-21,3.08,cum laude
S201300689,2013,BS,Education,,2018-05-15,3.92,magna cum laude
S201300690,2013,BA,Art History,,2017-05-23,4.0,
S201300694,2013,BS,Electrical Engineering,,2018-05-20,4.0,
S201300695,2013,BS,Education,,2018-05-16,3.88,
S201300700,2013,BS,Public Health,Minor: Spanish,2017-05-16,3.34,
S201300706,2013,BS,Mechanical Engineering,,2019-05-13,3.55,
S201300710,2013,BS,Mathematics,,2018-05-21,4.0,
S201300713,2013,BA,Political Science,,2019-05-23,3.18,
S201300715,2013,BS,Management,,2017-05-17,3.56,
S201300723,2013,BS,Civil Engineering,Minor: Math,2018-05-19,3.63,magna cum laude
S201300726,2013,BA,Sociology,,2018-05-21,3.75,magna cum laude
S201300735,2013,BS,Economics,Minor: Music,2017-05-18,3.06,
S201300737,2013,BA,Psychology,,2018-05-14,3.45,cum laude
S201300739,2013,BS,Economics,Minor: Stats,2018-05-18,3.56,
S201300740,2013,BA,Biomedical Engineering,Minor: History,2017-05-19,3.39,cum laude
S201300747,2013,BS,Economics-Bus,Minor: Music,2017-05-19,3.73,cum laude
S201300749,2013,BS,Biomedical Engineering,,2018-05-22,3.08,
S201300750,2013,BA,Psychology,,2019-05-22,3.9,cum laude
S201300752,2013,BA,Economics,,2017-05-12,3.15,
S201300755,2013,BS,Education,Minor: Stats,2018-05-15,3.64,
S201300757,2013,BS,Mathematics,,2018-05-18,3.84,
S201300758,2013,BS,Computer Science,Minor: Spanish,2017-05-21,3.73,summa cum laude
S201300759,2013,BS,Undeclared,,2018-05-21,3.77,
S201300767,2013,BS,Biomedical Engineering,,2018-05-12,3.99,cum laude
S201300770,2013,BA,English,Minor: Math,2017-05-18,2.94,
S201300771,2013,BS,Chemistry,,2017-05-12,2.93,
S201300775,2013,BA,Art History,,2017-05-15,3.18,
S201300780,2013,BS,Economics-Bus,Minor: Stats,2017-05-22,4.0,cum laude
S201300781,2013,BA,History,Minor: Math,2017-05-17,3.22,
S201300786,2013,BS,Accounting,,2017-05-19,3.69,
S201300787,2013,BS,Mechanical Engineering,Minor: Math,2018-05-20,3.35,
S201300798,2013,BS,General Studies,Minor: History,2017-05-22,3.68,
S201300801,2013,BS,Kinesiology,,2017-05-17,2.86,
S201300804,2013,BS,Electrical Engineering,,2018-05-13,4.0,
S201300807,2013,BS,General Studies,,2017-05-18,3.64,
S201300809,2013,BS,Management,Minor: Math,2018-05-19,3.86,
S201300810,2013,BS,Communications,,2017-05-13,3.11,
S201300812,2013,BS,Communications,,2017-05-21,3.95,
S201300816,2013,BS,Physics,,2018-05-23,4.0,
S201300821,2013,BA,Spanish,Minor: Math,2017-05-12,3.73,
S201300824,2013,BA,Sociology,Minor: Stats,2018-05-18,3.09,magna cum laude
S201300825,2013,BS,Marketing,,2017-05-20,3.12,
S201300826,2013,BS,Kinesiology,,2017-05-23,3.82,
S201300828,2013,BS,Mathematics,Minor: Math,2018-05-19,2.93,
S201300830,2013,BA,Anthropology,,2017-05-23,3.58,cum laude
S201300832,2013,BS,Biology,,2019-05-23,4.0,
S201300833,2013,BS,History,Minor: Stats,2017-05-19,2.94,
S201300835,2013,BS,Marketing,Minor: Spanish,2018-05-14,3.26,
S201300839,2013,BS,Economics-Bus,,2017-05-19,3.53,
S201300840,2013,BA,History,,2018-05-23,3.59,cum laude
S201300842,2013,BS,Computer Science,,2017-05-12,3.9,
S201300848,2013,BA,Economics,,2018-05-20,4.0,
S201300850,2013,BS,Electrical Engineering,,2017-05-16,3.07,
S201300852,2013,BS,Biomedical Engineering,Minor: History,2018-05-14,3.99,summa cum laude
S201300856,2013,BS,History,,2019-05-16,4.0,
S201300863,2013,BA,Psychology,,2017-05-12,3.85,
S201300868,2013,BS,Mathematics,,2019-05-14,3.79,
S201300878,2013,BA,Political Science,,2017-05-22,3.17,
S201300879,2013,BS,Accounting,,2019-05-12,3.72,
S201300881,2013,BA,Political Science,,2018-05-12,3.42,
S201300885,2013,BS,Pre-Med,,2017-05-15,3.07,cum laude
S201300888,2013,BA,Art History,Minor: Math,2018-05-17,3.2,summa cum laude
S201300891,2013,BS,Marketing,,2017-05-15,3.5,
S201300893,2013,BA,Psychology,Minor: History,2018-05-19,4.0,
S201300896,2013,BA,Economics,Minor: Stats,2018-05-14,3.21,
S201300898,2013,BS,Accounting,Minor: Spanish,2017-05-17,3.27,magna cum laude
S201300913,2013,BS,Civil Engineering,Minor: Stats,2018-05-16,3.72,
S201300915,2013,BA,Art History,,2017-05-22,3.25,
S201300917,2013,BS,Management,,2019-05-20,3.4,
S201300918,2013,BS,Undeclared,Minor: Stats,2017-05-17,4.0,
S201300920,2013,BS,Accounting,,2018-05-12,3.92,
S201300921,2013,BS,Physics,Minor: History,2018-05-20,3.72,magna cum laude
S201300924,2013,BS,Economics-Bus,,2019-05-18,3.54,cum laude
S201300925,2013,BS,Kinesiology,Minor: Spanish,2017-05-22,3.3,
S201300926,2013,BS,Biomedical Engineering,,2018-05-12,3.37,
S201300930,2013,BS,Communications,Minor: Stats,2018-05-20,3.21,cum laude
S201300943,2013,BS,Chemistry,,2019-05-20,3.93,
S201300947,2013,BS,Accounting,Minor: Spanish,2018-05-16,3.48,
S201300949,2013,BS,Psychology,Minor: Stats,2017-05-12,3.89,
S201300953,2013,BS,General Studies,Minor: Math,2017-05-19,3.83,summa cum laude
S201300955,2013,BS,Chemistry,Minor: Music,2017-05-18,2.74,cum laude
S201300959,2013,BS,Biology,,2017-05-15,3.17,
S201300967,2013,BS,Nursing,Minor: Music,2018-05-21,4.0,
S201300968,2013,BA,Economics,Minor: History,2017-05-16,3.37,
S201300969,2013,BS,Biology,,2018-05-13,4.0,
S201300976,2013,BS,Chemistry,,2018-05-17,3.33,magna cum laude
S201300979,2013,BS,Public Health,Minor: Spanish,2017-05-16,4.0,magna cum laude
S201300981,2013,BS,General Studies,Minor: Music,2018-05-22,3.68,
S201300985,2013,BS,Computer Science,Minor: Music,2017-05-13,3.55,
S201300987,2013,BS,Nursing,,2017-05-16,3.27,
S201300988,2013,BS,Management,,2017-05-19,3.93,
S201300991,2013,BS,Electrical Engineering,Minor: Math,2017-05-18,3.31,
S201300993,2013,BS,Pre-Med,,2018-05-20,3.37,cum laude
S201300999,2013,BS,Undeclared,,2017-05-20,4.0,
S201301004,2013,BS,Pre-Med,,2017-05-14,3.2,
S201301005,2013,BS,Mathematics,,2018-05-19,3.68,
S201301008,2013,BA,Art History,,2017-05-15,3.95,magna cum laude
S201301009,2013,BS,Biomedical Engineering,,2017-05-21,3.28,
S201301015,2013,BS,Mathematics,,2017-05-23,3.41,magna cum laude
S201301016,2013,BS,Education,Minor: History,2017-05-16,3.83,
S201301021,2013,BS,Biology,,2017-05-15,4.0,cum laude
S201301024,2013,BS,Physics,,2018-05-23,3.68,
S201301027,2013,BS,Accounting,,2017-05-20,4.0,
S201301028,2013,BS,Computer Science,,2018-05-21,4.0,
S201301034,2013,BS,Chemistry,,2018-05-18,3.65,cum laude
S201301042,2013,BS,Nursing,Minor: History,2017-05-14,3.16,magna cum laude
S201301044,2013,BS,Undeclared,,2017-05-20,3.68,cum laude
S201301045,2013,BS,Civil Engineering,Minor: Stats,2019-05-20,3.16,
S201301046,2013,BS,Public Health,,2019-05-17,3.97,magna cum laude
S201301047,2013,BS,Finance,,2017-05-19,3.14,
S201301054,2013,BS,Physics,Minor: Math,2017-05-19,2.7,
S201301057,2013,BS,Undeclared,,2017-05-22,3.85,
S201301059,2013,BS,Nursing,Minor: Math,2018-05-17,2.88,
S201301060,2013,BS,Accounting,Minor: Music,2017-05-16,2.99,
S201301065,2013,BS,Economics-Bus,,2018-05-18,3.53,
S201301070,2013,BS,Communications,,2018-05-14,3.7,magna cum laude
S201301086,2013,BS,Biology,Minor: Math,2017-05-14,3.07,
S201301089,2013,BA,Psychology,,2018-05-20,3.53,
S201301093,2013,BS,Biomedical Engineering,,2017-05-19,4.0,
S201301095,2013,BS,Pre-Med,,2018-05-12,3.22,
S201301097,2013,BS,Accounting,,2017-05-14,3.83,magna cum laude
S201301098,2013,BA,Education,,2017-05-12,3.01,
S201301102,2013,BA,Pre-Med,,2017-05-23,3.78,cum laude
S201301103,2013,BS,Economics-Bus,,2017-05-16,3.39,
S201301106,2013,BS,Management,,2017-05-18,4.0,
S201301108,2013,BS,General Studies,Minor: Spanish,2017-05-20,2.85,
S201301109,2013,BS,Mathematics,Minor: Music,2017-05-14,3.74,
S201301111,2013,BS,Education,Minor: Spanish,2017-05-15,3.37,
S201301112,2013,BA,Sociology,,2018-05-16,3.48,magna cum laude
S201301113,2013,BS,Mathematics,Minor: Spanish,2018-05-15,3.48,
S201301125,2013,BA,Civil Engineering,,2018-05-21,3.15,
S201301126,2013,BS,Chemistry,,2017-05-21,4.0,
S201301134,2013,BS,Accounting,Minor: Stats,2017-05-16,3.58,
S201301135,2013,BA,Anthropology,,2017-05-16,3.47,
S201301142,2013,BA,Political Science,,2017-05-12,3.63,
S201301149,2013,BA,Art History,,2019-05-18,3.64,
S201301153,2013,BS,Marketing,,2019-05-14,3.34,
S201301155,2013,BS,Economics-Bus,Minor: Stats,2017-05-17,2.88,cum laude
S201301162,2013,BA,Art History,Minor: Music,2018-05-19,4.0,cum laude
S201301164,2013,BS,Statistics,Minor: Spanish,2017-05-23,3.78,
S201301175,2013,BA,Sociology,Minor: Spanish,2017-05-21,3.88,
S201301177,2013,BS,Civil Engineering,Minor: History,2019-05-19,2.92,
S201301179,2013,BA,History,,2017-05-23,3.09,
S201301187,2013,BS,Physics,Minor: Spanish,2018-05-17,3.14,
S201301192,2013,BS,General Studies,Minor: Stats,2017-05-22,3.53,
S201301194,2013,BS,Chemistry,,2017-05-21,3.72,magna cum laude
S201301195,2013,BA,Economics,,2018-05-22,3.87,cum laude
S201301196,2013,BS,Undeclared,,2019-05-12,4.0,
S201301199,2013,BS,Economics-Bus,,2017-05-22,3.52,
S201301203,2013,BA,Philosophy,Minor: Spanish,2017-05-20,2.91,
S201301205,2013,BS,Education,,2017-05-12,3.77,
S201301210,2013,BS,Accounting,,2017-05-12,3.23,cum laude
S201301218,2013,BS,Undeclared,Minor: Spanish,2018-05-21,3.85,cum laude
S201301220,2013,BS,Communications,Minor: Math,2018-05-19,3.62,
S201301223,2013,BS,Kinesiology,,2018-05-23,3.3,magna cum laude
S201301226,2013,BS,Chemistry,Minor: Music,2018-05-13,3.23,
S201301230,2013,BS,Chemistry,,2017-05-16,3.88,
S201301231,2013,BS,Pre-Med,,2017-05-13,3.0,
S201301232,2013,BA,Spanish,,2019-05-13,3.69,
S201301234,2013,BS,Economics-Bus,Minor: Spanish,2017-05-19,2.63,
S201301236,2013,BS,Marketing,Minor: Music,2017-05-20,4.0,
S201301240,2013,BS,Accounting,Minor: Music,2017-05-15,3.89,cum laude
S201301242,2013,BS,Computer Science,,2018-05-16,3.78,
S201301243,2013,BA,Economics,,2019-05-14,3.63,summa cum laude
S201301245,2013,BS,Chemistry,Minor: Stats,2017-05-17,3.96,cum laude
S201301250,2013,BS,Physics,Minor: History,2018-05-16,3.64,
S201301252,2013,BS,Mathematics,,2018-05-12,3.28,
S201301254,2013,BS,Finance,,2018-05-16,3.95,
S201301259,2013,BS,Mechanical Engineering,,2018-05-17,4.0,
S201301260,2013,BS,Nursing,,2018-05-22,3.2,
S201301261,2013,BA,Philosophy,,2017-05-19,3.84,magna cum laude
S201301263,2013,BA,Anthropology,,2018-05-19,3.37,cum laude
S201301269,2013,BS,Biomedical Engineering,,2018-05-14,3.95,
S201301270,2013,BS,Management,,2018-05-20,3.95,cum laude
S201301272,2013,BA,Public Health,Minor: Spanish,2017-05-23,2.65,
S201301277,2013,BS,History,,2018-05-16,3.25,
S201301280,2013,BS,Economics-Bus,Minor: Stats,2017-05-18,3.99,
S201301281,2013,BS,Biomedical Engineering,,2017-05-13,3.32,
S201301282,2013,BS,Finance,Minor: Spanish,2017-05-14,3.03,magna cum laude
S201301287,2013,BS,Mechanical Engineering,,2017-05-17,4.0,magna cum laude
S201301288,2013,BS,Undeclared,,2017-05-20,3.47,magna cum laude
S201301289,2013,BS,Accounting,,2017-05-18,3.64,
S201301290,2013,BS,Computer Science,Minor: Music,2019-05-16,3.84,
S201301294,2013,BA,Economics,Minor: Music,2017-05-14,3.69,
S201301297,2013,BA,Anthropology,,2017-05-21,3.42,
S201301301,2013,BS,Marketing,,2017-05-14,3.46,
S201301305,2013,BA,History,Minor: Stats,2018-05-14,4.0,
S201301306,2013,BS,Public Health,,2017-05-13,3.25,
S201301307,2013,BS,Finance,,2018-05-22,3.49,
S201301308,2013,BS,Civil Engineering,,2018-05-13,3.38,
S201301314,2013,BS,General Studies,Minor: Math,2017-05-17,3.95,
S201301315,2013,BS,Finance,,2017-05-14,3.97,
S201301316,2013,BS,Mechanical Engineering,Minor: Stats,2017-05-20,3.17,
S201301322,2013,BA,Spanish,,2018-05-13,3.45,
