major_code,skill_id,weight
MJ021,SK0021,0.591
MJ022,SK0022,0.37
MJ023,SK0023,0.637
MJ024,SK0024,0.877
MJ025,SK0025,0.555
MJ026,SK0026,0.39
MJ027,SK0027,0.491
MJ028,SK0028,0.435
MJ029,SK0029,0.603
MJ030,SK0030,0.369
MJ031,SK0031,0.385
MJ032,SK0032,0.401
MJ033,SK0033,0.941
MJ034,SK0034,0.605
MJ035,SK0035,0.461
MJ036,SK0036,0.191
MJ037,SK0037,0.165
MJ038,SK0038,0.839
MJ039,SK0039,0.158
MJ040,SK0040,0.233
MJ001,SK0041,0.306
MJ002,SK0042,0.61
MJ003,SK0043,0.549
MJ004,SK0044,0.095
MJ005,SK0045,0.072
MJ006,SK0046,0.678
MJ007,SK0047,0.636
MJ008,SK0048,0.808
MJ009,SK0049,0.328
MJ010,SK0050,0.349
MJ011,SK0051,0.833
MJ012,SK0052,0.92
MJ013,SK0053,0.164
MJ014,SK0054,0.19
MJ015,SK0055,0.448
MJ016,SK0056,0.075
MJ017,SK0057,0.062
MJ018,SK0058,0.357
MJ019,SK0059,0.899
MJ020,SK0060,0.701
MJ021,SK0061,0.939
MJ022,SK0062,0.203
MJ023,SK0063,0.904
MJ024,SK0064,0.74
MJ025,SK0065,0.468
MJ026,SK0066,0.567
MJ027,SK0067,0.787
MJ028,SK0068,0.464
MJ029,SK0069,0.939
MJ030,SK0070,0.157
MJ031,SK0071,0.268
MJ032,SK0072,0.582
MJ033,SK0073,0.703
MJ034,SK0074,0.901
MJ035,SK0075,0.452
MJ036,SK0076,0.459
MJ037,SK0077,0.054
MJ038,SK0078,0.874
MJ039,SK0079,0.599
MJ040,SK0080,0.859
MJ001,SK0001,0.805
MJ002,SK0002,0.07
MJ003,SK0003,0.499
MJ004,SK0004,0.211
MJ005,SK0005,0.346
MJ006,SK0006,0.091
MJ007,SK0007,0.215
MJ008,SK0008,0.278
MJ009,SK0009,0.225
MJ010,SK0010,0.695
MJ011,SK0011,0.67
MJ012,SK0012,0.862
MJ013,SK0013,0.872
MJ014,SK0014,0.268
MJ015,SK0015,0.443
MJ016,SK0016,0.348
MJ017,SK0017,0.083
MJ018,SK0018,0.097
MJ019,SK0019,0.8
MJ020,SK0020,0.272
MJ021,SK0021,0.111
MJ022,SK0022,0.825
MJ023,SK0023,0.3
MJ024,SK0024,0.575
MJ025,SK0025,0.255
MJ026,SK0026,0.825
MJ027,SK0027,0.061
MJ028,SK0028,0.206
MJ029,SK0029,0.877
MJ030,SK0030,0.741
MJ031,SK0031,0.861
MJ032,SK0032,0.79
MJ033,SK0033,0.082
MJ034,SK0034,0.567
MJ035,SK0035,0.358
MJ036,SK0036,0.159
MJ037,SK0037,0.939
MJ038,SK0038,0.767
MJ039,SK0039,0.324
MJ040,SK0040,0.847
MJ001,SK0041,0.576
MJ002,SK0042,0.434
MJ003,SK0043,0.367
MJ004,SK0044,0.762
MJ005,SK0045,0.215
MJ006,SK0046,0.626
MJ007,SK0047,0.758
MJ008,SK0048,0.771
MJ009,SK0049,0.233
MJ010,SK0050,0.227
MJ011,SK0051,0.541
MJ012,SK0052,0.504
MJ013,SK0053,0.086
MJ014,SK0054,0.444
MJ015,SK0055,0.382
MJ016,SK0056,0.406
MJ017,SK0057,0.075
MJ018,SK0058,0.253
MJ019,SK0059,0.933
MJ020,SK0060,0.142
MJ021,SK0061,0.724
MJ022,SK0062,0.609
MJ023,SK0063,0.403
MJ024,SK0064,0.541
MJ025,SK0065,0.898
MJ026,SK0066,0.943
MJ027,SK0067,0.073
MJ028,SK0068,0.922
MJ029,SK0069,0.748
MJ030,SK0070,0.576
MJ031,SK0071,0.362
MJ032,SK0072,0.527
MJ033,SK0073,0.578
MJ034,SK0074,0.494
MJ035,SK0075,0.198
MJ036,SK0076,0.618
MJ037,SK0077,0.073
MJ038,SK0078,0.202
MJ039,SK0079,0.43
MJ040,SK0080,0.873
MJ001,SK0001,0.177
MJ002,SK0002,0.905
MJ003,SK0003,0.683
MJ004,SK0004,0.162
MJ005,SK0005,0.079
MJ006,SK0006,0.548
MJ007,SK0007,0.566
MJ008,SK0008,0.398
MJ009,SK0009,0.526
MJ010,SK0010,0.344
MJ011,SK0011,0.101
MJ012,SK0012,0.398
MJ013,SK0013,0.646
MJ014,SK0014,0.376
MJ015,SK0015,0.877
MJ016,SK0016,0.193
MJ017,SK0017,0.108
MJ018,SK0018,0.935
MJ019,SK0019,0.676
MJ020,SK0020,0.245
