occ_code,skill_id,importance
OCC0006,SK0046,4.07
OCC0007,SK0047,2.06
OCC0008,SK0048,3.42
OCC0009,SK0049,3.45
OCC0010,SK0050,4.69
OCC0011,SK0051,3.57
OCC0012,SK0052,2.92
OCC0013,SK0053,4.16
OCC0014,SK0054,1.86
OCC0015,SK0055,3.52
OCC0016,SK0056,4.37
OCC0017,SK0057,2.61
OCC0018,SK0058,2.48
OCC0019,SK0059,2.15
OCC0020,SK0060,3.8
OCC0021,SK0061,4.67
OCC0022,SK0062,4.23
OCC0023,SK0063,2.46
OCC0024,SK0064,3.33
OCC0025,SK0065,3.32
OCC0026,SK0066,1.74
OCC0027,SK0067,1.97
OCC0028,SK0068,4.47
OCC0029,SK0069,3.4
OCC0030,SK0070,3.68
OCC0031,SK0071,1.6
OCC0032,SK0072,3.11
OCC0033,SK0073,2.54
OCC0034,SK0074,4.89
OCC0035,SK0075,1.72
OCC0036,SK0076,1.81
OCC0037,SK0077,2.4
OCC0038,SK0078,2.92
OCC0039,SK0079,3.71
OCC0040,SK0080,2.44
OCC0041,SK0001,4.54
OCC0042,SK0002,4.37
OCC0043,SK0003,1.93
OCC0044,SK0004,3.41
OCC0045,SK0005,4.45
OCC0046,SK0006,2.07
OCC0047,SK0007,3.45
OCC0048,SK0008,4.59
OCC0049,SK0009,4.1
OCC0050,SK0010,3.64
OCC0051,SK0011,2.77
OCC0052,SK0012,3.46
OCC0053,SK0013,2.94
OCC0054,SK0014,4.12
OCC0055,SK0015,3.87
OCC0056,SK0016,2.09
OCC0057,SK0017,3.19
OCC0058,SK0018,3.72
OCC0059,SK0019,2.81
OCC0060,SK0020,4.65
OCC0001,SK0021,4.76
OCC0002,SK0022,4.83
OCC0003,SK0023,1.86
OCC0004,SK0024,2.12
OCC0005,SK0025,4.94
OCC0006,SK0026,1.91
OCC0007,SK0027,4.62
OCC0008,SK0028,2.01
OCC0009,SK0029,3.46
OCC0010,SK0030,2.91
OCC0011,SK0031,2.55
OCC0012,SK0032,3.53
OCC0013,SK0033,3.17
OCC0014,SK0034,4.26
OCC0015,SK0035,2.5
OCC0016,SK0036,2.26
OCC0017,SK0037,3.05
OCC0018,SK0038,3.78
OCC0019,SK0039,4.78
OCC0020,SK0040,4.4
OCC0021,SK0041,4.38
OCC0022,SK0042,4.31
OCC0023,SK0043,2.91
OCC0024,SK0044,3.61
OCC0025,SK0045,4.54
OCC0026,SK0046,2.37
OCC0027,SK0047,1.64
OCC0028,SK0048,2.84
OCC0029,SK0049,3.55
OCC0030,SK0050,4.8
OCC0031,SK0051,3.68
OCC0032,SK0052,4.87
OCC0033,SK0053,4.67
OCC0034,SK0054,4.71
OCC0035,SK0055,1.5
OCC0036,SK0056,2.07
OCC0037,SK0057,3.86
OCC0038,SK0058,3.99
OCC0039,SK0059,3.72
OCC0040,SK0060,1.69
OCC0041,SK0061,1.69
OCC0042,SK0062,4.42
OCC0043,SK0063,2.17
OCC0044,SK0064,3.9
OCC0045,SK0065,3.31
OCC0046,SK0066,4.24
OCC0047,SK0067,2.39
OCC0048,SK0068,2.63
OCC0049,SK0069,3.26
OCC0050,SK0070,3.7
OCC0051,SK0071,4.94
OCC0052,SK0072,3.8
OCC0053,SK0073,1.63
OCC0054,SK0074,3.45
OCC0055,SK0075,2.79
OCC0056,SK0076,3.03
OCC0057,SK0077,2.33
OCC0058,SK0078,3.49
OCC0059,SK0079,4.82
OCC0060,SK0080,2.23
OCC0001,SK0001,4.54
OCC0002,SK0002,2.49
OCC0003,SK0003,1.98
OCC0004,SK0004,4.69
OCC0005,SK0005,3.3
OCC0006,SK0006,3.36
OCC0007,SK0007,3.52
OCC0008,SK0008,3.95
OCC0009,SK0009,4.59
OCC0010,SK0010,2.92
OCC0011,SK0011,4.71
OCC0012,SK0012,1.56
OCC0013,SK0013,3.14
OCC0014,SK0014,2.43
OCC0015,SK0015,3.23
OCC0016,SK0016,2.46
OCC0017,SK0017,3.63
OCC0018,SK0018,2.72
OCC0019,SK0019,4.22
OCC0020,SK0020,5.0
OCC0021,SK0021,4.93
OCC0022,SK0022,3.98
OCC0023,SK0023,3.78
OCC0024,SK0024,4.83
OCC0025,SK0025,3.2
OCC0026,SK0026,2.26
OCC0027,SK0027,2.78
OCC0028,SK0028,4.41
OCC0029,SK0029,2.42
OCC0030,SK0030,3.95
OCC0031,SK0031,3.39
OCC0032,SK0032,1.93
OCC0033,SK0033,4.58
OCC0034,SK0034,2.4
OCC0035,SK0035,4.64
OCC0036,SK0036,2.75
OCC0037,SK0037,2.82
OCC0038,SK0038,2.57
OCC0039,SK0039,2.95
OCC0040,SK0040,2.61
OCC0041,SK0041,3.06
OCC0042,SK0042,1.77
OCC0043,SK0043,3.74
OCC0044,SK0044,3.54
OCC0045,SK0045,3.65
OCC0046,SK0046,3.66
OCC0047,SK0047,1.89
OCC0048,SK0048,2.93
OCC0049,SK0049,4.08
OCC0050,SK0050,4.77
OCC0051,SK0051,1.95
OCC0052,SK0052,4.3
OCC0053,SK0053,4.36
OCC0054,SK0054,4.65
OCC0055,SK0055,2.26
OCC0056,SK0056,2.43
OCC0057,SK0057,4.98
OCC0058,SK0058,4.18
OCC0059,SK0059,2.51
OCC0060,SK0060,3.55
OCC0001,SK0061,4.89
OCC0002,SK0062,2.36
OCC0003,SK0063,1.67
OCC0004,SK0064,3.63
OCC0005,SK0065,3.89
OCC0006,SK0066,4.97
OCC0007,SK0067,2.17
OCC0008,SK0068,2.21
OCC0009,SK0069,2.71
OCC0010,SK0070,2.07
OCC0011,SK0071,1.76
OCC0012,SK0072,2.12
OCC0013,SK0073,2.02
OCC0014,SK0074,2.62
OCC0015,SK0075,3.45
OCC0016,SK0076,2.23
OCC0017,SK0077,2.07
OCC0018,SK0078,3.7
OCC0019,SK0079,2.81
OCC0020,SK0080,3.94
OCC0021,SK0001,1.72
OCC0022,SK0002,4.77
OCC0023,SK0003,3.3
OCC0024,SK0004,4.8
OCC0025,SK0005,2.02
OCC0026,SK0006,3.0
OCC0027,SK0007,1.89
OCC0028,SK0008,3.23
OCC0029,SK0009,1.68
OCC0030,SK0010,3.84
OCC0031,SK0011,4.57
OCC0032,SK0012,4.96
OCC0033,SK0013,4.09
OCC0034,SK0014,1.53
OCC0035,SK0015,1.72
OCC0036,SK0016,4.96
OCC0037,SK0017,2.7
OCC0038,SK0018,3.92
OCC0039,SK0019,2.6
OCC0040,SK0020,3.53
OCC0041,SK0021,4.55
OCC0042,SK0022,3.44
OCC0043,SK0023,1.9
OCC0044,SK0024,3.59
OCC0045,SK0025,4.12
OCC0046,SK0026,2.11
OCC0047,SK0027,2.09
OCC0048,SK0028,3.4
OCC0049,SK0029,2.71
OCC0050,SK0030,3.73
OCC0051,SK0031,3.17
OCC0052,SK0032,3.25
OCC0053,SK0033,2.5
OCC0054,SK0034,3.92
OCC0055,SK0035,4.66
OCC0056,SK0036,1.71
OCC0057,SK0037,3.57
OCC0058,SK0038,4.39
OCC0059,SK0039,4.81
OCC0060,SK0040,2.32
OCC0001,SK0041,2.11
OCC0002,SK0042,2.74
OCC0003,SK0043,2.42
OCC0004,SK0044,1.69
OCC0005,SK0045,4.19
OCC0006,SK0046,2.24
OCC0007,SK0047,4.5
OCC0008,SK0048,3.46
OCC0009,SK0049,3.79
OCC0010,SK0050,2.78
OCC0011,SK0051,4.89
OCC0012,SK0052,3.94
OCC0013,SK0053,4.97
OCC0014,SK0054,2.33
OCC0015,SK0055,4.85
OCC0016,SK0056,2.57
OCC0017,SK0057,1.96
OCC0018,SK0058,1.92
OCC0019,SK0059,3.8
OCC0020,SK0060,4.44
OCC0021,SK0061,3.63
OCC0022,SK0062,1.65
OCC0023,SK0063,3.77
OCC0024,SK0064,1.96
OCC0025,SK0065,2.58
OCC0026,SK0066,1.69
OCC0027,SK0067,2.9
OCC0028,SK0068,2.23
OCC0029,SK0069,2.64
OCC0030,SK0070,2.6
OCC0031,SK0071,3.3
OCC0032,SK0072,3.92
OCC0033,SK0073,2.51
OCC0034,SK0074,4.25
OCC0035,SK0075,4.39
OCC0036,SK0076,3.76
OCC0037,SK0077,3.94
OCC0038,SK0078,2.39
OCC0039,SK0079,4.24
OCC0040,SK0080,2.27
OCC0041,SK0001,4.34
OCC0042,SK0002,1.69
OCC0043,SK0003,2.31
OCC0044,SK0004,3.96
OCC0045,SK0005,2.2
OCC0046,SK0006,4.12
OCC0047,SK0007,3.94
OCC0048,SK0008,3.59
OCC0049,SK0009,1.81
OCC0050,SK0010,3.65
OCC0051,SK0011,4.4
OCC0052,SK0012,3.87
OCC0053,SK0013,4.09
OCC0054,SK0014,3.16
OCC0055,SK0015,3.78
OCC0056,SK0016,4.61
OCC0057,SK0017,3.1
OCC0058,SK0018,2.68
OCC0059,SK0019,4.6
OCC0060,SK0020,2.85
OCC0001,SK0021,3.67
OCC0002,SK0022,3.88
OCC0003,SK0023,2.19
OCC0004,SK0024,4.27
OCC0005,SK0025,4.22
OCC0006,SK0026,2.24
OCC0007,SK0027,2.62
OCC0008,SK0028,3.05
OCC0009,SK0029,4.83
OCC0010,SK0030,2.87
OCC0011,SK0031,3.42
OCC0012,SK0032,3.56
OCC0013,SK0033,3.28
OCC0014,SK0034,1.9
OCC0015,SK0035,3.3
OCC0016,SK0036,3.36
OCC0017,SK0037,3.72
OCC0018,SK0038,1.68
OCC0019,SK0039,2.22
OCC0020,SK0040,4.24
OCC0021,SK0041,3.96
OCC0022,SK0042,4.67
OCC0023,SK0043,4.36
OCC0024,SK0044,4.27
OCC0025,SK0045,2.42
OCC0026,SK0046,3.27
OCC0027,SK0047,1.91
OCC0028,SK0048,3.48
OCC0029,SK0049,4.78
OCC0030,SK0050,1.61
OCC0031,SK0051,3.04
OCC0032,SK0052,2.92
OCC0033,SK0053,2.71
OCC0034,SK0054,1.77
OCC0035,SK0055,1.72
OCC0036,SK0056,3.24
OCC0037,SK0057,4.66
OCC0038,SK0058,3.66
OCC0039,SK0059,3.11
OCC0040,SK0060,4.72
OCC0041,SK0061,2.2
OCC0042,SK0062,4.02
OCC0043,SK0063,3.3
OCC0044,SK0064,1.99
OCC0045,SK0065,4.09
OCC0046,SK0066,2.82
OCC0047,SK0067,1.86
OCC0048,SK0068,3.83
OCC0049,SK0069,4.26
OCC0050,SK0070,4.86
OCC0051,SK0071,4.75
OCC0052,SK0072,1.9
OCC0053,SK0073,3.46
OCC0054,SK0074,4.7
OCC0055,SK0075,2.03
OCC0056,SK0076,4.42
OCC0057,SK0077,4.69
OCC0058,SK0078,4.46
OCC0059,SK0079,4.71
OCC0060,SK0080,4.21
OCC0001,SK0001,1.87
OCC0002,SK0002,3.73
OCC0003,SK0003,2.63
OCC0004,SK0004,3.37
OCC0005,SK0005,4.9
OCC0006,SK0006,2.21
OCC0007,SK0007,3.64
OCC0008,SK0008,4.22
OCC0009,SK0009,2.86
OCC0010,SK0010,3.06
OCC0011,SK0011,4.79
OCC0012,SK0012,3.87
OCC0013,SK0013,3.55
OCC0014,SK0014,2.91
OCC0015,SK0015,2.86
OCC0016,SK0016,2.6
OCC0017,SK0017,2.49
OCC0018,SK0018,2.15
OCC0019,SK0019,3.65
OCC0020,SK0020,4.91
OCC0021,SK0021,3.6
OCC0022,SK0022,2.84
OCC0023,SK0023,3.15
OCC0024,SK0024,1.85
OCC0025,SK0025,4.13
OCC0026,SK0026,4.49
OCC0027,SK0027,4.32
OCC0028,SK0028,4.02
OCC0029,SK0029,4.05
OCC0030,SK0030,3.92
OCC0031,SK0031,3.06
OCC0032,SK0032,3.8
OCC0033,SK0033,3.74
OCC0034,SK0034,4.74
OCC0035,SK0035,1.78
OCC0036,SK0036,4.01
OCC0037,SK0037,1.64
OCC0038,SK0038,2.58
OCC0039,SK0039,4.82
OCC0040,SK0040,1.53
OCC0041,SK0041,2.73
OCC0042,SK0042,4.9
OCC0043,SK0043,4.51
OCC0044,SK0044,3.08
OCC0045,SK0045,3.5
OCC0046,SK0046,4.4
OCC0047,SK0047,3.36
OCC0048,SK0048,1.7
OCC0049,SK0049,4.41
OCC0050,SK0050,2.02
OCC0051,SK0051,4.91
OCC0052,SK0052,4.18
OCC0053,SK0053,2.63
OCC0054,SK0054,3.94
OCC0055,SK0055,2.55
OCC0056,SK0056,2.0
OCC0057,SK0057,1.88
OCC0058,SK0058,3.8
OCC0059,SK0059,4.25
OCC0060,SK0060,4.63
