major_code,occ_code,affinity
MJ013,OCC0013,0.27
MJ014,OCC0014,0.412
MJ015,OCC0015,0.548
MJ016,OCC0016,0.838
MJ017,OCC0017,0.731
MJ018,OCC0018,0.725
MJ019,OCC0019,0.104
MJ020,OCC0020,0.928
MJ021,OCC0021,0.671
MJ022,OCC0022,0.564
MJ023,OCC0023,0.478
MJ024,OCC0024,0.204
MJ025,OCC0025,0.633
MJ026,OCC0026,0.417
MJ027,OCC0027,0.384
MJ028,OCC0028,0.172
MJ029,OCC0029,0.328
MJ030,OCC0030,0.386
MJ031,OCC0031,0.103
MJ032,OCC0032,0.093
MJ033,OCC0033,0.012
MJ034,OCC0034,0.916
MJ035,OCC0035,0.995
MJ036,OCC0036,0.846
MJ037,OCC0037,0.341
MJ038,OCC0038,0.893
MJ039,OCC0039,0.63
MJ040,OCC0040,0.137
MJ001,OCC0041,0.985
MJ002,OCC0042,0.959
MJ003,OCC0043,0.512
MJ004,OCC0044,0.643
MJ005,OCC0045,0.187
MJ006,OCC0046,0.85
MJ007,OCC0047,0.371
MJ008,OCC0048,0.423
MJ009,OCC0049,0.814
MJ010,OCC0050,0.828
MJ011,OCC0051,0.083
MJ012,OCC0052,0.551
MJ013,OCC0053,0.081
MJ014,OCC0054,0.368
MJ015,OCC0055,0.215
MJ016,OCC0056,0.362
MJ017,OCC0057,0.702
MJ018,OCC0058,0.973
MJ019,OCC0059,0.069
MJ020,OCC0060,0.525
MJ021,OCC0001,0.454
MJ022,OCC0002,0.631
MJ023,OCC0003,0.733
MJ024,OCC0004,0.251
MJ025,OCC0005,0.322
MJ026,OCC0006,0.607
MJ027,OCC0007,0.086
MJ028,OCC0008,0.433
MJ029,OCC0009,0.881
MJ030,OCC0010,0.242
MJ031,OCC0011,0.938
MJ032,OCC0012,0.455
MJ033,OCC0013,0.282
MJ034,OCC0014,0.394
MJ035,OCC0015,0.054
MJ036,OCC0016,0.676
MJ037,OCC0017,0.617
MJ038,OCC0018,0.364
MJ039,OCC0019,0.607
MJ040,OCC0020,0.641
MJ001,OCC0021,0.797
MJ002,OCC0022,0.429
MJ003,OCC0023,0.331
MJ004,OCC0024,0.006
MJ005,OCC0025,0.132
MJ006,OCC0026,0.197
MJ007,OCC0027,0.465
MJ008,OCC0028,0.003
MJ009,OCC0029,0.598
MJ010,OCC0030,0.838
MJ011,OCC0031,0.034
MJ012,OCC0032,0.139
MJ013,OCC0033,0.703
MJ014,OCC0034,0.019
MJ015,OCC0035,0.664
MJ016,OCC0036,0.603
MJ017,OCC0037,0.994
MJ018,OCC0038,0.822
MJ019,OCC0039,0.503
MJ020,OCC0040,0.177
MJ021,OCC0041,0.736
MJ022,OCC0042,0.673
MJ023,OCC0043,0.788
MJ024,OCC0044,0.287
MJ025,OCC0045,0.011
MJ026,OCC0046,0.96
MJ027,OCC0047,0.472
MJ028,OCC0048,0.082
MJ029,OCC0049,0.167
MJ030,OCC0050,0.297
MJ031,OCC0051,0.531
MJ032,OCC0052,0.901
MJ033,OCC0053,0.646
MJ034,OCC0054,0.013
MJ035,OCC0055,0.557
MJ036,OCC0056,0.085
MJ037,OCC0057,0.367
MJ038,OCC0058,0.539
MJ039,OCC0059,0.072
MJ040,OCC0060,0.381
