graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018000247,U02,2020,HLT,3.58,0,0
G2018000249,U04,2020,EDU,3.047,1,0
G2018000255,U04,2020,BUS,3.333,0,0
G2018000257,U05,2020,HUM,2.899,0,1
G2018000260,U07,2020,HLT,3.496,0,0
G2018000267,U03,2020,HUM,3.079,0,1
G2018000268,U03,2020,STEM,2.886,0,0
G2018000271,U06,2020,SOC,2.815,0,1
G2018000278,U05,2020,HUM,3.101,0,0
G2018000289,U02,2020,SOC,3.495,0,0
G2018000293,U01,2020,SOC,3.918,0,0
G2018000295,U08,2020,SOC,2.924,0,0
G2018000296,U04,2020,HUM,3.546,0,0
G2018000298,U04,2020,SOC,2.732,0,0
G2018000299,U05,2020,HUM,3.568,1,0
G2018000307,U07,2020,SOC,3.209,1,0
G2018000317,U04,2020,SOC,3.64,0,0
G2018000320,U06,2020,HUM,3.655,1,0
G2018000327,U01,2020,STEM,2.981,0,0
G2018000349,U07,2020,STEM,3.972,0,0
G2018000353,U05,2020,HLT,3.285,0,0
G2018000355,U03,2020,SOC,3.813,1,0
G2018000357,U07,2020,STEM,3.257,0,1
G2018000362,U07,2020,STEM,2.834,0,0
G2018000365,U07,2020,STEM,2.968,1,1
G2018000370,U03,2020,STEM,2.952,0,0
G2018000374,U06,2020,BUS,2.575,0,0
G2018000375,U05,2020,STEM,2.374,0,1
G2018000378,U02,2020,BUS,2.716,1,0
G2018000386,U05,2020,SOC,3.201,0,1
G2018000387,U06,2020,EDU,2.774,0,0
G2018000390,U01,2020,SOC,2.76,0,0
G2018000411,U04,2020,SOC,3.025,0,0
G2018000413,U07,2020,SOC,2.56,1,0
G2018000415,U08,2020,STEM,3.972,0,0
G2018000416,U06,2020,HUM,2.786,0,0
G2018000420,U04,2020,BUS,3.11,0,0
G2018000422,U03,2020,STEM,3.008,0,1
G2018000427,U02,2020,HUM,2.984,0,0
G2018000449,U02,2020,STEM,2.803,1,0
G2018000454,U03,2020,EDU,4.0,1,0
G2018000456,U03,2020,SOC,3.868,1,0
G2018000457,U08,2020,HUM,2.951,0,0
G2018000460,U07,2020,STEM,2.403,0,1
G2018000462,U07,2020,BUS,3.128,0,0
G2018000464,U03,2020,BUS,2.988,0,0
G2018000465,U03,2020,BUS,3.094,0,0
G2018000468,U03,2020,STEM,3.679,1,0
G2018000470,U08,2020,STEM,2.498,1,0
G2018000479,U02,2020,STEM,3.759,0,0
G2018000480,U06,2020,STEM,3.116,0,0
G2018000482,U01,2020,STEM,3.169,0,0
G2018000483,U04,2020,STEM,2.289,0,1
G2018000484,U04,2020,SOC,2.441,1,0
G2018000492,U07,2020,BUS,3.839,1,1
G2018000498,U04,2020,STEM,2.676,0,0
G2018000500,U01,2020,SOC,3.772,0,0
G2018000501,U02,2020,EDU,2.268,1,0
G2018000503,U05,2020,BUS,3.035,0,0
G2018000507,U07,2020,EDU,2.486,0,0
G2018000510,U06,2020,SOC,3.191,0,0
G2018000522,U03,2020,STEM,2.876,0,0
G2018000527,U02,2020,STEM,2.722,0,0
G2018000528,U01,2020,SOC,2.641,0,1
G2018000532,U05,2020,STEM,3.054,0,0
G2018000533,U06,2020,STEM,3.459,0,0
G2018000535,U01,2020,EDU,2.658,0,1
G2018000545,U04,2020,HUM,3.402,0,1
G2018000546,U02,2020,EDU,3.088,0,0
G2018000548,U06,2020,BUS,3.046,1,0
G2018000554,U08,2020,BUS,2.837,0,1
G2018000558,U02,2020,BUS,3.101,0,0
G2018000559,U02,2020,SOC,3.263,0,1
G2018000564,U08,2020,SOC,3.359,0,0
G2018000565,U07,2020,HLT,3.421,0,0
G2018000572,U06,2020,BUS,3.799,0,0
G2018000576,U03,2020,BUS,2.572,1,0
G2018000577,U04,2020,SOC,2.417,1,1
G2018000580,U05,2020,HUM,2.99,0,0
G2018000581,U08,2020,HLT,2.509,0,0
G2018000608,U07,2020,STEM,3.104,0,0
G2018000609,U08,2020,BUS,2.695,1,0
G2018000610,U02,2020,STEM,2.931,1,0
G2018000611,U01,2020,STEM,2.997,0,0
G2018000612,U08,2020,SOC,3.291,0,0
G2018000625,U01,2020,SOC,2.91,0,0
G2018000629,U07,2020,STEM,3.069,0,0
G2018000656,U06,2020,BUS,3.199,0,0
G2018000661,U05,2020,STEM,2.617,1,0
G2018000667,U06,2020,HUM,2.849,0,0
G2018000669,U08,2020,EDU,3.924,0,0
G2018000679,U06,2020,SOC,3.144,1,0
G2018000688,U01,2020,SOC,3.004,0,0
G2018000690,U02,2020,BUS,2.974,1,0
G2018000698,U07,2020,SOC,3.373,1,0
G2018000700,U05,2020,HUM,3.627,0,0
G2018000706,U01,2020,STEM,3.451,0,0
G2018000728,U06,2020,BUS,3.197,0,0
G2018000734,U02,2020,SOC,3.441,0,0
G2018000737,U02,2020,EDU,2.977,1,1
G2018000738,U05,2020,STEM,3.641,0,0
G2018000740,U08,2020,SOC,3.574,1,0
G2018000741,U08,2020,HLT,3.273,0,0
G2018000742,U07,2020,STEM,3.276,0,0
G2018000748,U02,2020,EDU,3.661,0,0
G2018000751,U02,2020,STEM,3.406,0,0
G2018000753,U05,2020,BUS,3.794,0,0
G2018000754,U02,2020,HUM,3.434,0,0
G2018000755,U03,2020,STEM,2.476,0,0
G2018000761,U02,2020,SOC,3.263,1,0
G2018000763,U05,2020,EDU,3.025,0,0
G2018000769,U03,2020,SOC,3.002,0,0
G2018000778,U05,2020,STEM,3.155,0,0
G2018000782,U08,2020,STEM,2.888,1,0
G2018000786,U07,2020,STEM,3.196,0,1
G2018000787,U08,2020,STEM,3.079,0,0
G2018000788,U05,2020,BUS,3.014,0,1
G2018000790,U08,2020,STEM,3.156,0,1
G2018000791,U06,2020,STEM,3.35,0,0
G2018000796,U04,2020,SOC,2.891,0,0
G2018000811,U01,2020,BUS,3.003,0,1
G2018000815,U08,2020,BUS,3.19,0,1
G2018000816,U04,2020,HLT,3.3,1,0
G2018000828,U05,2020,STEM,2.771,0,0
G2018000839,U02,2020,BUS,3.126,1,1
G2018000844,U07,2020,SOC,2.941,0,0
G2018000847,U01,2020,EDU,2.977,0,0
G2018000848,U03,2020,STEM,3.547,0,1
G2018000849,U03,2020,STEM,2.764,0,0
G2018000851,U01,2020,HUM,3.411,1,0
G2018000853,U07,2020,BUS,3.824,0,0
G2018000858,U05,2020,EDU,3.092,0,1
G2018000859,U07,2020,HLT,2.506,1,0
G2018000865,U03,2020,HLT,2.394,0,1
G2018000872,U06,2020,SOC,3.069,0,0
G2018000875,U07,2020,STEM,3.612,0,0
G2018000878,U07,2020,SOC,3.084,0,1
G2018000884,U07,2020,STEM,2.427,1,1
G2018000889,U08,2020,BUS,3.888,0,0
G2018000891,U01,2020,STEM,2.789,1,1
G2018000900,U01,2020,STEM,3.945,1,0
G2018000904,U06,2020,STEM,3.545,1,0
G2018000912,U07,2020,HUM,2.689,1,0
G2018000914,U03,2020,STEM,3.553,1,1
G2018000915,U08,2020,HUM,2.466,0,1
G2018000917,U06,2020,BUS,3.121,1,0
G2018000930,U01,2020,BUS,2.279,1,0
G2018000932,U01,2020,STEM,3.221,0,0
G2018000934,U07,2020,SOC,2.719,1,1
G2018000938,U06,2020,SOC,2.646,0,0
G2018000940,U03,2020,SOC,2.827,1,0
G2018000946,U06,2020,EDU,3.876,0,0
G2018000953,U05,2020,HUM,3.602,0,0
G2018000955,U07,2020,STEM,3.477,1,0
G2018000959,U05,2020,STEM,3.712,1,0
G2018000978,U06,2020,SOC,2.65,0,1
G2018000991,U02,2020,STEM,2.595,0,1
G2018000996,U02,2020,BUS,2.86,0,0
G2018001010,U08,2020,BUS,2.061,0,0
G2018001013,U07,2020,STEM,3.425,0,0
G2018001014,U01,2020,BUS,2.89,1,0
G2018001017,U02,2020,SOC,3.381,1,0
G2018001022,U03,2020,HUM,2.877,0,0
G2018001029,U07,2020,STEM,2.777,0,1
G2018001033,U02,2020,EDU,3.738,0,0
G2018001038,U01,2020,HLT,2.872,0,0
G2018001039,U08,2020,STEM,2.299,1,0
G2018001045,U01,2020,BUS,3.734,1,0
G2018001047,U04,2020,BUS,3.684,1,0
G2018001048,U03,2020,SOC,2.565,0,1
G2018001051,U05,2020,BUS,2.696,0,0
G2018001056,U01,2020,BUS,2.849,0,0
G2018001058,U02,2020,BUS,2.765,0,0
G2018001078,U07,2020,STEM,3.027,0,1
G2018001087,U07,2020,EDU,3.229,0,1
G2018001089,U08,2020,STEM,2.705,0,0
G2018001091,U07,2020,STEM,2.812,0,0
G2018001093,U07,2020,BUS,2.901,1,0
G2018001097,U06,2020,SOC,3.949,0,0
G2018001099,U01,2020,STEM,2.475,1,0
G2018001101,U08,2020,HUM,2.356,0,0
G2018001102,U06,2020,BUS,3.319,1,0
G2018001110,U02,2020,BUS,3.841,0,0
G2018001113,U05,2020,STEM,3.098,0,0
G2018001114,U02,2020,STEM,2.582,1,0
G2018001115,U03,2020,STEM,3.261,0,0
G2018001117,U01,2020,EDU,3.445,0,0
G2018001119,U05,2020,BUS,2.662,0,0
G2018001121,U07,2020,SOC,2.948,0,1
G2018001131,U07,2020,BUS,2.953,0,1
G2018001153,U08,2020,HLT,3.159,0,0
G2018001163,U03,2020,STEM,2.985,0,0
G2018001164,U05,2020,BUS,2.331,1,0
G2018001165,U08,2020,HLT,2.996,0,0
G2018001171,U01,2020,STEM,2.524,0,0
G2018001182,U07,2020,HUM,3.534,0,0
G2018001185,U06,2020,HUM,3.578,0,0
G2018001191,U06,2020,BUS,3.082,0,0
G2018001197,U04,2020,HUM,3.528,0,0
G2018001205,U02,2020,BUS,3.622,0,0
G2018001226,U07,2020,HUM,2.502,0,0
G2018001233,U06,2020,SOC,3.132,0,0
G2018001236,U06,2020,STEM,2.873,0,0
G2018001238,U05,2020,STEM,2.795,0,0
G2018001244,U03,2020,STEM,2.836,1,0
G2018001246,U06,2020,HLT,3.716,0,1
G2018001255,U04,2020,STEM,3.237,1,1
G2018001259,U02,2020,HUM,2.832,1,0
G2018001270,U01,2020,STEM,3.696,1,0
G2018001272,U03,2020,BUS,4.0,0,0
G2018001277,U07,2020,SOC,2.48,0,0
G2018001280,U04,2020,HUM,3.651,1,0
G2018001286,U07,2020,BUS,2.829,0,0
G2018001287,U08,2020,STEM,3.27,0,0
G2018001290,U08,2020,HLT,3.208,0,0
G2018001294,U04,2020,BUS,2.557,0,0
G2018001299,U06,2020,STEM,2.835,0,1
G2018001304,U08,2020,BUS,2.181,0,0
G2018001310,U01,2020,HLT,3.01,0,0
G2018001324,U04,2020,EDU,3.413,0,0
G2018001325,U02,2020,HUM,3.788,0,0
G2018001327,U05,2020,SOC,3.548,0,1
G2018001339,U06,2020,EDU,2.757,1,0
G2018001346,U02,2020,SOC,2.676,0,0
G2018001354,U05,2020,BUS,3.881,0,0
G2018001355,U01,2020,STEM,3.154,1,0
G2018001361,U02,2020,SOC,3.062,1,0
G2018001363,U05,2020,STEM,3.559,1,0
G2018001365,U02,2020,SOC,3.247,0,0
G2018001366,U04,2020,STEM,3.478,0,0
G2018001372,U02,2020,SOC,2.217,0,0
G2018001373,U05,2020,STEM,4.0,1,0
G2018001375,U08,2020,BUS,2.971,1,1
G2018001378,U05,2020,BUS,2.574,0,0
G2018001379,U07,2020,STEM,3.432,0,0
G2018001380,U06,2020,STEM,2.246,0,0
G2018001383,U03,2020,HLT,3.126,0,0
G2018001384,U07,2020,SOC,3.712,0,0
G2018001387,U02,2020,BUS,3.029,0,0
G2018001388,U03,2020,STEM,3.152,0,0
G2018001389,U08,2020,BUS,2.518,0,0
G2018001390,U04,2020,SOC,3.984,1,0
G2018001392,U08,2020,HUM,2.383,1,0
G2018001397,U02,2020,HLT,2.758,0,0
G2018001398,U04,2020,STEM,2.321,0,0
G2018001401,U05,2020,HUM,3.264,0,0
G2018001403,U05,2020,BUS,2.694,1,0
G2018001405,U06,2020,STEM,3.726,0,1
G2018001406,U03,2020,SOC,3.182,0,0
G2018001411,U07,2020,HLT,3.136,1,1
G2018001415,U03,2020,HLT,2.68,0,0
G2018001428,U02,2020,SOC,3.153,0,1
G2018001432,U02,2020,HUM,2.804,0,0
G2018001440,U03,2020,BUS,2.971,1,0
G2018001445,U08,2020,EDU,3.194,0,0
G2018001447,U07,2020,SOC,3.059,0,0
G2018001448,U06,2020,BUS,2.734,1,1
G2018001460,U06,2020,EDU,2.959,0,0
G2018001462,U08,2020,BUS,2.874,1,1
G2018001467,U03,2020,HUM,2.451,0,0
G2018001479,U06,2020,HLT,2.971,0,1
G2018001480,U02,2020,HLT,3.693,0,0
G2018001486,U07,2020,SOC,3.444,0,0
G2018001493,U07,2020,BUS,3.866,0,1
G2018001496,U05,2020,HLT,2.971,1,1
G2018001500,U08,2020,BUS,2.748,0,0
G2018001501,U06,2020,STEM,2.286,1,0
G2018001502,U01,2020,SOC,3.807,0,0
G2018001509,U04,2020,STEM,2.999,0,0
G2018001511,U07,2020,STEM,3.463,0,0
G2018001516,U02,2020,STEM,3.357,0,0
G2018001519,U04,2020,BUS,2.928,0,0
G2018001521,U05,2020,BUS,2.917,1,0
G2018001525,U06,2020,HLT,3.443,0,0
G2018001531,U07,2020,STEM,3.543,0,0
G2018001533,U07,2020,HLT,3.27,1,0
G2018001539,U05,2020,SOC,3.53,0,0
G2018001541,U07,2020,STEM,3.287,0,0
G2018001542,U03,2020,EDU,4.0,0,0
G2018001544,U07,2020,STEM,3.023,1,0
G2018001549,U04,2020,STEM,2.838,1,1
G2018001563,U01,2020,STEM,3.224,1,0
G2018001573,U02,2020,HUM,3.185,1,1
G2018001576,U08,2020,STEM,3.242,0,0
G2018001594,U05,2020,EDU,3.469,0,1
G2018001599,U04,2020,BUS,2.626,0,0
G2018001603,U02,2020,SOC,2.581,0,0
G2018001610,U03,2020,HUM,3.591,0,1
G2018001614,U07,2020,STEM,2.826,0,0
G2018001616,U07,2020,BUS,2.895,1,1
G2018001620,U05,2020,STEM,3.127,0,0
G2018001621,U02,2020,EDU,2.168,1,0
G2018001626,U05,2020,HLT,3.345,0,0
G2018001633,U02,2020,SOC,3.564,1,0
G2018001635,U03,2020,BUS,2.669,0,0
G2018001636,U05,2020,HLT,3.669,0,0
G2018001645,U04,2020,HUM,3.186,1,1
G2018001647,U08,2020,SOC,3.347,0,0
G2018001652,U07,2020,HUM,3.519,0,1
G2018001654,U07,2020,BUS,3.087,1,0
G2018001658,U01,2020,HUM,2.686,0,1
G2018001659,U07,2020,SOC,3.293,0,0
G2018001669,U03,2020,STEM,2.839,1,0
G2018001670,U01,2020,BUS,2.809,1,0
G2018001671,U02,2020,HUM,2.575,0,0
G2018001673,U08,2020,EDU,3.788,0,0
G2018001676,U07,2020,STEM,2.873,0,0
G2018001699,U03,2020,STEM,3.156,0,1
G2018001701,U08,2020,HLT,3.116,1,0
G2018001702,U06,2020,BUS,3.928,0,0
G2018001709,U06,2020,BUS,2.846,0,0
G2018001711,U01,2020,STEM,3.012,0,1
G2018001712,U07,2020,HUM,2.899,1,0
G2018001721,U08,2020,HUM,3.518,0,1
G2018001726,U08,2020,SOC,3.394,1,0
G2018001730,U04,2020,BUS,3.565,1,0
G2018001734,U02,2020,HUM,3.099,0,0
G2018001738,U04,2020,STEM,2.803,1,0
G2018001749,U05,2020,STEM,3.199,0,0
G2018001751,U02,2020,STEM,3.123,0,0
G2018001763,U08,2020,STEM,3.437,1,0
G2018001775,U03,2020,STEM,3.196,0,0
G2018001780,U07,2020,SOC,3.622,0,0
G2018001782,U04,2020,BUS,2.556,0,0
G2018001785,U03,2020,STEM,2.695,0,0
G2018001787,U04,2020,STEM,3.342,0,0
G2018001793,U06,2020,SOC,3.662,0,0
G2018001795,U06,2020,STEM,3.234,0,1
G2018001799,U01,2020,BUS,3.099,0,0
G2018001802,U05,2020,STEM,3.607,1,0
G2018001807,U01,2020,STEM,2.723,0,0
G2018001811,U05,2020,EDU,3.205,0,0
G2018001815,U07,2020,BUS,2.937,0,0
G2018001820,U01,2020,STEM,3.53,0,0
G2018001821,U05,2020,HUM,2.556,0,0
G2018001832,U05,2020,SOC,2.059,0,0
G2018001840,U02,2020,SOC,3.536,0,0
G2018001842,U08,2020,BUS,3.28,0,1
G2018001852,U08,2020,STEM,3.349,1,0
G2018001854,U07,2020,STEM,3.033,1,1
G2018001858,U07,2020,STEM,3.79,0,0
G2018001861,U01,2020,STEM,3.061,0,0
G2018001862,U04,2020,HLT,2.11,1,0
G2018001863,U07,2020,STEM,3.458,0,0
G2018001864,U05,2020,STEM,3.299,0,0
G2018001881,U05,2020,BUS,3.248,0,0
G2018001883,U07,2020,EDU,4.0,0,1
G2018001885,U03,2020,HLT,3.339,1,0
G2018001901,U07,2020,BUS,3.588,1,0
G2018001902,U01,2020,STEM,2.725,0,1
G2018001905,U01,2020,STEM,2.99,0,0
G2018001908,U08,2020,STEM,3.113,0,0
G2018001909,U04,2020,SOC,2.3,0,0
G2018001924,U02,2020,SOC,2.843,0,0
G2018001929,U04,2020,STEM,3.368,0,0
G2018001930,U07,2020,EDU,3.061,0,0
G2018001931,U06,2020,SOC,2.534,0,0
G2018001940,U05,2020,STEM,3.193,0,0
G2018001945,U01,2020,SOC,3.353,1,0
G2018001947,U05,2020,BUS,3.398,1,1
G2018001948,U08,2020,EDU,2.84,0,0
G2018001956,U03,2020,EDU,3.113,1,0
G2018001959,U06,2020,STEM,3.366,0,0
G2018001967,U08,2020,STEM,2.994,1,1
G2018001970,U02,2020,STEM,3.359,0,0
G2018001971,U03,2020,BUS,2.529,0,0
G2018001974,U01,2020,EDU,3.543,0,0
G2018001975,U07,2020,SOC,2.703,0,1
G2018001977,U04,2020,STEM,2.971,0,0
G2018001978,U07,2020,EDU,2.665,0,1
G2018001982,U03,2020,HLT,3.129,0,0
G2018001984,U08,2020,HUM,3.245,0,1
G2018001985,U01,2020,BUS,2.568,0,0
G2018001992,U04,2020,STEM,4.0,0,0
G2018001993,U01,2020,BUS,3.37,0,0
G2018002006,U08,2020,HLT,3.461,0,1
G2018002007,U05,2020,EDU,3.083,1,0
G2018002010,U03,2020,BUS,3.1,0,0
G2018002011,U01,2020,STEM,2.933,1,0
G2018002013,U08,2020,BUS,3.03,0,0
G2018002017,U04,2020,STEM,2.8,0,0
G2018002021,U06,2020,BUS,3.051,0,0
G2018002022,U08,2020,HLT,2.463,0,0
G2018002027,U06,2020,BUS,2.623,0,1
G2018002031,U03,2020,BUS,3.709,0,0
G2018002032,U07,2020,HLT,3.808,0,0
G2018002035,U06,2020,STEM,2.923,1,0
G2018002037,U06,2020,STEM,2.837,0,0
G2018002041,U07,2020,STEM,3.036,0,0
G2018002047,U05,2020,STEM,3.371,1,0
G2018002050,U07,2020,HLT,3.239,1,1
G2018002052,U06,2020,STEM,3.601,0,0
G2018002069,U06,2020,HLT,3.505,1,0
G2018002072,U05,2020,STEM,3.864,0,0
G2018002075,U07,2020,SOC,2.796,0,0
G2018002076,U06,2020,HLT,3.278,0,0
G2018002077,U02,2020,STEM,3.0,1,0
G2018002092,U01,2020,HLT,3.306,1,0
G2018002096,U06,2020,STEM,3.035,1,1
G2018002102,U08,2020,EDU,3.008,0,0
G2018002103,U01,2020,HUM,2.693,0,0
G2018002109,U03,2020,EDU,3.045,0,0
G2018002126,U03,2020,SOC,3.183,0,1
G2018002128,U03,2020,STEM,3.252,1,0
G2018002129,U02,2020,SOC,3.496,0,0
G2018002131,U01,2020,STEM,3.263,0,0
G2018002136,U02,2020,BUS,2.62,1,0
G2018002143,U01,2020,EDU,2.905,0,0
G2018002157,U04,2020,SOC,3.66,0,0
G2018002161,U06,2020,BUS,2.678,0,0
G2018002164,U08,2020,BUS,3.903,1,0
G2018002166,U07,2020,HUM,2.439,0,0
G2018002168,U07,2020,HUM,2.313,0,0
G2018002175,U01,2020,STEM,2.99,0,0
G2018002179,U06,2020,HUM,1.998,0,0
G2018002184,U07,2020,STEM,3.03,1,0
G2018002185,U01,2020,STEM,2.615,0,0
G2018002186,U07,2020,SOC,2.776,0,0
G2018002190,U02,2020,HLT,2.255,1,1
G2018002191,U04,2020,STEM,3.45,1,0
G2018002192,U08,2020,HUM,2.933,0,0
G2018002196,U08,2020,SOC,3.431,1,0
G2018002206,U01,2020,SOC,3.308,0,1
G2018002214,U02,2020,BUS,3.222,0,0
G2018002220,U08,2020,SOC,4.0,0,0
G2018002227,U04,2020,STEM,2.102,0,0
G2018002229,U01,2020,STEM,2.601,1,1
G2018002234,U04,2020,BUS,3.003,0,0
G2018002236,U01,2020,STEM,2.962,0,0
G2018002239,U06,2020,BUS,2.888,0,0
G2018002240,U04,2020,SOC,2.286,0,0
G2018002245,U06,2020,STEM,3.365,0,0
G2018002250,U07,2020,SOC,2.161,0,1
G2018002258,U03,2020,SOC,3.215,0,1
G2018002262,U06,2020,SOC,3.096,0,0
G2018002270,U05,2020,HUM,2.998,1,1
G2018002273,U03,2020,BUS,3.133,0,0
G2018002277,U04,2020,HLT,2.791,1,0
G2018002281,U04,2020,HUM,3.478,1,0
G2018002282,U08,2020,HLT,2.854,1,0
G2018002283,U03,2020,BUS,2.94,1,1
G2018002285,U03,2020,BUS,3.652,1,1
G2018002291,U01,2020,BUS,3.584,0,0
G2018002300,U05,2020,SOC,3.597,0,0
G2018002313,U03,2020,SOC,3.486,0,1
G2018002314,U08,2020,HUM,3.429,1,1
G2018002315,U04,2020,SOC,3.238,0,0
G2018002317,U08,2020,STEM,2.87,0,0
G2018002319,U02,2020,HLT,3.445,1,0
G2018002321,U01,2020,BUS,2.174,0,0
G2018002324,U04,2020,BUS,3.657,0,0
G2018002330,U03,2020,STEM,3.312,0,0
G2018002333,U05,2020,STEM,2.999,1,0
G2018002338,U03,2020,STEM,2.925,0,0
G2018002354,U04,2020,HUM,2.896,1,0
G2018002356,U03,2020,STEM,3.043,0,1
G2018002357,U03,2020,SOC,2.935,0,0
G2018002358,U08,2020,SOC,3.551,1,0
G2018002359,U08,2020,HUM,2.76,0,0
G2018002371,U05,2020,STEM,2.913,0,0
G2018002376,U03,2020,STEM,3.009,0,0
G2018002377,U01,2020,STEM,4.0,0,0
G2018002382,U03,2020,STEM,2.44,0,0
G2018002384,U02,2020,BUS,2.734,0,0
G2018002388,U04,2020,BUS,2.725,0,1
G2018002392,U06,2020,STEM,3.379,0,0
G2018002393,U06,2020,BUS,3.069,0,1
G2018002417,U04,2020,STEM,2.871,0,0
G2018002423,U08,2020,EDU,2.738,0,0
G2018002426,U02,2020,STEM,2.681,0,0
G2018002430,U08,2020,HLT,3.626,0,1
G2018002431,U02,2020,STEM,2.985,1,0
G2018002448,U07,2020,BUS,3.27,1,0
G2018002450,U05,2020,BUS,2.751,0,0
G2018002451,U02,2020,STEM,2.299,0,0
G2018002452,U07,2020,STEM,2.445,0,0
G2018002462,U03,2020,BUS,3.345,0,0
G2018002466,U03,2020,BUS,2.617,0,0
G2018002470,U08,2020,STEM,3.041,1,0
G2018002475,U08,2020,HUM,2.954,0,0
G2018002479,U08,2020,HUM,2.965,0,0
G2018002485,U08,2020,SOC,2.774,0,0
G2018002486,U06,2020,BUS,3.541,0,0
G2018002491,U03,2020,BUS,3.119,0,0
G2018002494,U02,2020,STEM,3.3,1,0
G2018002495,U04,2020,SOC,2.927,0,1
G2018002502,U08,2020,BUS,3.081,1,1
G2018002504,U08,2020,BUS,2.768,1,0
G2018002506,U02,2020,HUM,2.447,1,1
G2018002507,U05,2020,BUS,3.167,0,0
G2018002512,U06,2020,BUS,2.497,0,1
G2018002515,U07,2020,SOC,3.821,0,1
G2018002521,U08,2020,STEM,3.313,1,0
G2018002523,U02,2020,HLT,3.154,0,0
G2018002536,U06,2020,EDU,3.559,0,0
G2018002549,U07,2020,BUS,3.761,0,0
G2018002553,U01,2020,EDU,2.753,0,0
G2018002558,U02,2020,HUM,3.204,1,0
G2018002560,U06,2020,BUS,3.13,0,0
G2018002562,U04,2020,EDU,3.4,1,0
G2018002565,U01,2020,STEM,2.826,1,0
G2018002575,U07,2020,BUS,2.741,0,0
G2018002577,U06,2020,STEM,2.388,0,0
G2018002583,U06,2020,BUS,2.866,0,0
G2018002585,U06,2020,STEM,3.483,1,1
G2018002597,U06,2020,STEM,2.042,0,0
G2018002599,U08,2020,HUM,2.999,0,1
G2018002603,U07,2020,BUS,3.207,0,1
G2018002610,U02,2020,BUS,3.466,0,0
G2018002612,U01,2020,HUM,3.925,0,0
G2018002625,U05,2020,SOC,2.753,1,0
G2018002629,U03,2020,SOC,2.769,1,0
G2018002634,U04,2020,HUM,2.717,0,0
G2018002640,U06,2020,SOC,3.19,0,0
G2018002646,U01,2020,BUS,3.503,1,0
G2018002648,U08,2020,STEM,3.232,0,1
G2018002649,U08,2020,SOC,2.717,0,0
G2018002650,U06,2020,STEM,2.978,0,1
G2018002666,U01,2020,SOC,2.991,0,1
G2018002670,U03,2020,STEM,2.931,0,0
G2018002673,U02,2020,BUS,3.266,0,0
G2018002675,U02,2020,EDU,3.434,0,0
G2018002681,U02,2020,STEM,2.706,0,0
G2018002684,U02,2020,SOC,3.656,1,0
G2018002688,U06,2020,SOC,4.0,1,0
G2018002691,U08,2020,STEM,4.0,0,0
G2018002692,U06,2020,BUS,2.6,0,0
G2018002704,U07,2020,STEM,3.067,0,0
G2018002714,U03,2020,EDU,3.518,0,0
G2018002717,U05,2020,STEM,3.454,0,0
G2018002723,U04,2020,BUS,3.01,0,0
G2018002727,U04,2020,STEM,2.596,0,1
G2018002733,U01,2020,STEM,2.938,0,0
G2018002735,U02,2020,STEM,3.197,0,0
G2018002751,U03,2020,BUS,2.726,0,0
G2018002759,U03,2020,STEM,2.75,0,0
