student_id,cohort,aid_received,annual_aid_amount,disbursement_fall,disbursement_spring
S201800255,2018,1,8464,2018-08-23,2019-01-15
S201800256,2018,1,6235,2018-08-18,2019-01-08
S201800257,2018,1,3127,2018-08-27,2019-01-12
S201800258,2018,0,0,,
S201800259,2018,1,4848,2018-08-15,2019-01-13
S201800260,2018,1,5832,2018-08-25,2019-01-08
S201800261,2018,1,3531,2018-08-16,2019-01-12
S201800262,2018,0,0,,
S201800263,2018,1,5754,2018-08-24,2019-01-13
S201800264,2018,1,4944,2018-08-21,2019-01-11
S201800265,2018,1,7542,2018-08-27,2019-01-08
S201800266,2018,0,0,,
S201800267,2018,1,6692,2018-08-24,2019-01-11
S201800268,2018,1,7298,2018-08-25,2019-01-13
S201800269,2018,0,0,,
S201800270,2018,1,6341,2018-08-23,2019-01-13
S201800271,2018,1,5100,2018-08-23,2019-01-17
S201800272,2018,1,5262,2018-08-17,2019-01-11
S201800273,2018,1,4744,2018-08-21,2019-01-12
S201800274,2018,0,0,,
S201800275,2018,1,6120,2018-08-26,2019-01-11
S201800276,2018,0,0,,
S201800277,2018,1,7163,2018-08-24,2019-01-10
S201800278,2018,0,0,,
S201800279,2018,0,0,,
S201800280,2018,1,5080,2018-08-21,2019-01-08
S201800281,2018,0,0,,
S201800282,2018,1,5455,2018-08-16,2019-01-12
S201800283,2018,1,7122,2018-08-22,2019-01-17
S201800284,2018,1,6631,2018-08-20,2019-01-17
S201800285,2018,1,6312,2018-08-22,2019-01-13
S201800286,2018,1,5384,2018-08-18,2019-01-17
S201800287,2018,1,5360,2018-08-23,2019-01-08
S201800288,2018,1,4076,2018-08-26,2019-01-10
S201800289,2018,1,6935,2018-08-15,2019-01-12
S201800290,2018,1,8589,2018-08-18,2019-01-16
S201800291,2018,1,6138,2018-08-26,2019-01-15
S201800292,2018,1,5384,2018-08-19,2019-01-09
S201800293,2018,1,4402,2018-08-16,2019-01-10
S201800294,2018,1,6443,2018-08-15,2019-01-10
S201800295,2018,0,0,,
S201800296,2018,1,6261,2018-08-27,2019-01-13
S201800297,2018,0,0,,
S201800298,2018,1,7223,2018-08-16,2019-01-14
S201800299,2018,0,0,,
S201800300,2018,1,6581,2018-08-23,2019-01-14
S201800301,2018,1,8385,2018-08-25,2019-01-16
S201800302,2018,1,5557,2018-08-22,2019-01-12
S201800303,2018,1,5420,2018-08-27,2019-01-08
S201800304,2018,0,0,,
S201800305,2018,1,3389,2018-08-19,2019-01-09
S201800306,2018,1,5093,2018-08-20,2019-01-15
S201800307,2018,1,5890,2018-08-27,2019-01-12
S201800308,2018,0,0,,
S201800309,2018,0,0,,
S201800310,2018,0,0,,
S201800311,2018,0,0,,
S201800312,2018,0,0,,
S201800313,2018,0,0,,
S201800314,2018,1,7531,2018-08-24,2019-01-16
S201800315,2018,1,4221,2018-08-23,2019-01-10
S201800316,2018,0,0,,
S201800317,2018,1,7293,2018-08-20,2019-01-16
S201800318,2018,0,0,,
S201800319,2018,0,0,,
S201800320,2018,0,0,,
S201800321,2018,0,0,,
S201800322,2018,1,6166,2018-08-17,2019-01-16
S201800323,2018,0,0,,
S201800324,2018,1,4813,2018-08-23,2019-01-08
S201800325,2018,1,3303,2018-08-24,2019-01-17
S201800326,2018,1,5485,2018-08-26,2019-01-13
S201800327,2018,0,0,,
S201800328,2018,0,0,,
S201800329,2018,1,5750,2018-08-15,2019-01-09
S201800330,2018,1,5817,2018-08-21,2019-01-13
S201800331,2018,1,4669,2018-08-23,2019-01-14
S201800332,2018,1,5536,2018-08-23,2019-01-16
S201800333,2018,1,5318,2018-08-25,2019-01-16
S201800334,2018,0,0,,
S201800335,2018,1,6011,2018-08-16,2019-01-12
S201800336,2018,0,0,,
S201800337,2018,0,0,,
S201800338,2018,1,5391,2018-08-19,2019-01-09
S201800339,2018,1,4816,2018-08-26,2019-01-10
S201800340,2018,1,5124,2018-08-15,2019-01-11
S201800341,2018,0,0,,
S201800342,2018,0,0,,
S201800343,2018,1,3620,2018-08-26,2019-01-17
S201800344,2018,0,0,,
S201800345,2018,0,0,,
S201800346,2018,1,5411,2018-08-19,2019-01-15
S201800347,2018,1,3785,2018-08-24,2019-01-15
S201800348,2018,1,7408,2018-08-20,2019-01-15
S201800349,2018,1,7419,2018-08-21,2019-01-15
S201800350,2018,0,0,,
S201800351,2018,1,5371,2018-08-24,2019-01-09
S201800352,2018,1,5820,2018-08-16,2019-01-08
S201800353,2018,0,0,,
S201800354,2018,1,9312,2018-08-22,2019-01-15
S201800355,2018,0,0,,
S201800356,2018,1,7736,2018-08-27,2019-01-14
S201800357,2018,0,0,,
S201800358,2018,1,6398,2018-08-23,2019-01-13
S201800359,2018,0,0,,
S201800360,2018,0,0,,
S201800361,2018,1,7755,2018-08-25,2019-01-15
S201800362,2018,0,0,,
S201800363,2018,0,0,,
S201800364,2018,1,5080,2018-08-24,2019-01-16
S201800365,2018,1,6287,2018-08-20,2019-01-15
S201800366,2018,0,0,,
S201800367,2018,1,5387,2018-08-20,2019-01-09
S201800368,2018,1,5894,2018-08-18,2019-01-16
S201800369,2018,1,4405,2018-08-17,2019-01-08
S201800370,2018,1,4431,2018-08-25,2019-01-11
S201800371,2018,0,0,,
S201800372,2018,1,3937,2018-08-16,2019-01-09
S201800373,2018,0,0,,
S201800374,2018,1,6085,2018-08-26,2019-01-17
S201800375,2018,1,4948,2018-08-19,2019-01-16
S201800376,2018,0,0,,
S201800377,2018,1,5172,2018-08-18,2019-01-15
S201800378,2018,0,0,,
S201800379,2018,0,0,,
S201800380,2018,0,0,,
S201800381,2018,1,5271,2018-08-16,2019-01-13
S201800382,2018,1,4047,2018-08-17,2019-01-13
S201800383,2018,1,5848,2018-08-25,2019-01-12
S201800384,2018,1,5520,2018-08-16,2019-01-09
S201800385,2018,0,0,,
S201800386,2018,1,5442,2018-08-24,2019-01-08
S201800387,2018,1,5271,2018-08-24,2019-01-13
S201800388,2018,1,5576,2018-08-17,2019-01-13
S201800389,2018,1,6359,2018-08-16,2019-01-15
S201800390,2018,0,0,,
S201800391,2018,1,6035,2018-08-17,2019-01-08
S201800392,2018,0,0,,
S201800393,2018,0,0,,
S201800394,2018,1,3021,2018-08-27,2019-01-16
S201800395,2018,1,4131,2018-08-18,2019-01-11
S201800396,2018,0,0,,
S201800397,2018,1,8203,2018-08-22,2019-01-12
S201800398,2018,1,4756,2018-08-23,2019-01-17
S201800399,2018,1,7120,2018-08-19,2019-01-12
S201800400,2018,0,0,,
S201800401,2018,0,0,,
S201800402,2018,1,6667,2018-08-21,2019-01-09
S201800403,2018,1,4045,2018-08-24,2019-01-09
S201800404,2018,1,4217,2018-08-18,2019-01-08
S201800405,2018,0,0,,
S201800406,2018,1,8683,2018-08-22,2019-01-15
S201800407,2018,1,1989,2018-08-27,2019-01-16
S201800408,2018,0,0,,
S201800409,2018,0,0,,
S201800410,2018,1,7767,2018-08-27,2019-01-14
S201800411,2018,0,0,,
S201800412,2018,1,4408,2018-08-17,2019-01-10
S201800413,2018,0,0,,
S201800414,2018,1,4597,2018-08-21,2019-01-12
S201800415,2018,1,7772,2018-08-24,2019-01-11
S201800416,2018,0,0,,
S201800417,2018,1,6932,2018-08-15,2019-01-11
S201800418,2018,1,4911,2018-08-18,2019-01-17
S201800419,2018,1,8580,2018-08-27,2019-01-12
S201800420,2018,1,5491,2018-08-15,2019-01-17
S201800421,2018,0,0,,
S201800422,2018,1,6829,2018-08-23,2019-01-16
S201800423,2018,1,8258,2018-08-16,2019-01-15
S201800424,2018,1,6268,2018-08-27,2019-01-12
S201800425,2018,1,5644,2018-08-26,2019-01-11
S201800426,2018,0,0,,
S201800427,2018,0,0,,
S201800428,2018,1,4152,2018-08-21,2019-01-17
S201800429,2018,1,7741,2018-08-19,2019-01-13
S201800430,2018,0,0,,
S201800431,2018,1,5155,2018-08-16,2019-01-14
S201800432,2018,1,8081,2018-08-15,2019-01-14
S201800433,2018,1,6865,2018-08-15,2019-01-09
S201800434,2018,1,7940,2018-08-26,2019-01-12
S201800435,2018,1,3880,2018-08-18,2019-01-10
S201800436,2018,0,0,,
S201800437,2018,0,0,,
S201800438,2018,1,6247,2018-08-26,2019-01-16
S201800439,2018,1,5958,2018-08-27,2019-01-15
S201800440,2018,0,0,,
S201800441,2018,1,5818,2018-08-27,2019-01-14
S201800442,2018,0,0,,
S201800443,2018,0,0,,
S201800444,2018,0,0,,
S201800445,2018,0,0,,
S201800446,2018,1,7343,2018-08-24,2019-01-17
S201800447,2018,1,5053,2018-08-23,2019-01-16
S201800448,2018,0,0,,
S201800449,2018,1,5717,2018-08-18,2019-01-12
S201800450,2018,1,4280,2018-08-25,2019-01-09
S201800451,2018,1,7098,2018-08-18,2019-01-08
S201800452,2018,0,0,,
S201800453,2018,1,7313,2018-08-22,2019-01-08
S201800454,2018,0,0,,
S201800455,2018,0,0,,
S201800456,2018,0,0,,
S201800457,2018,1,8467,2018-08-23,2019-01-16
S201800458,2018,1,5562,2018-08-23,2019-01-15
S201800459,2018,1,5890,2018-08-16,2019-01-12
S201800460,2018,1,7215,2018-08-27,2019-01-17
S201800461,2018,1,5109,2018-08-25,2019-01-14
S201800462,2018,1,8424,2018-08-20,2019-01-11
S201800463,2018,1,5997,2018-08-15,2019-01-09
S201800464,2018,0,0,,
S201800465,2018,1,8681,2018-08-21,2019-01-10
S201800466,2018,1,7033,2018-08-22,2019-01-11
S201800467,2018,0,0,,
S201800468,2018,1,3915,2018-08-21,2019-01-12
S201800469,2018,1,7348,2018-08-18,2019-01-14
S201800470,2018,1,5358,2018-08-22,2019-01-09
S201800471,2018,1,5787,2018-08-24,2019-01-08
S201800472,2018,1,5504,2018-08-26,2019-01-08
S201800473,2018,1,5902,2018-08-26,2019-01-15
S201800474,2018,1,5539,2018-08-21,2019-01-08
S201800475,2018,0,0,,
S201800476,2018,0,0,,
S201800477,2018,0,0,,
S201800478,2018,1,6028,2018-08-20,2019-01-08
S201800479,2018,1,5307,2018-08-27,2019-01-15
S201800480,2018,0,0,,
S201800481,2018,0,0,,
S201800482,2018,0,0,,
S201800483,2018,1,6760,2018-08-15,2019-01-17
S201800484,2018,1,5640,2018-08-16,2019-01-11
S201800485,2018,0,0,,
S201800486,2018,1,5148,2018-08-23,2019-01-09
S201800487,2018,0,0,,
S201800488,2018,1,5167,2018-08-17,2019-01-15
S201800489,2018,1,4476,2018-08-20,2019-01-17
S201800490,2018,0,0,,
S201800491,2018,0,0,,
S201800492,2018,1,5907,2018-08-15,2019-01-13
S201800493,2018,1,6029,2018-08-25,2019-01-16
S201800494,2018,1,6871,2018-08-20,2019-01-12
S201800495,2018,0,0,,
S201800496,2018,0,0,,
S201800497,2018,1,3034,2018-08-23,2019-01-17
S201800498,2018,1,5152,2018-08-19,2019-01-10
S201800499,2018,0,0,,
S201800500,2018,1,5266,2018-08-16,2019-01-11
S201800501,2018,0,0,,
S201800502,2018,1,5673,2018-08-22,2019-01-09
S201800503,2018,1,4757,2018-08-17,2019-01-16
S201800504,2018,1,5720,2018-08-20,2019-01-16
S201800505,2018,1,7976,2018-08-20,2019-01-12
S201800506,2018,1,3813,2018-08-15,2019-01-15
S201800507,2018,0,0,,
S201800508,2018,1,6060,2018-08-21,2019-01-09
S201800509,2018,1,6240,2018-08-27,2019-01-14
S201800510,2018,0,0,,
S201800511,2018,0,0,,
S201800512,2018,1,4470,2018-08-20,2019-01-12
S201800513,2018,0,0,,
S201800514,2018,1,5138,2018-08-25,2019-01-11
S201800515,2018,1,5273,2018-08-17,2019-01-13
S201800516,2018,1,4709,2018-08-18,2019-01-17
S201800517,2018,1,5192,2018-08-25,2019-01-13
S201800518,2018,1,6703,2018-08-15,2019-01-13
S201800519,2018,0,0,,
S201800520,2018,1,7007,2018-08-19,2019-01-10
S201800521,2018,1,6828,2018-08-26,2019-01-15
S201800522,2018,1,4412,2018-08-15,2019-01-11
S201800523,2018,0,0,,
S201800524,2018,0,0,,
S201800525,2018,0,0,,
S201800526,2018,0,0,,
S201800527,2018,0,0,,
S201800528,2018,1,4695,2018-08-24,2019-01-13
S201800529,2018,1,4280,2018-08-22,2019-01-15
S201800530,2018,1,5096,2018-08-15,2019-01-15
S201800531,2018,1,6563,2018-08-22,2019-01-09
S201800532,2018,1,5339,2018-08-19,2019-01-08
S201800533,2018,1,7616,2018-08-15,2019-01-09
S201800534,2018,1,3868,2018-08-17,2019-01-14
S201800535,2018,0,0,,
S201800536,2018,0,0,,
S201800537,2018,1,7383,2018-08-22,2019-01-17
S201800538,2018,0,0,,
S201800539,2018,0,0,,
S201800540,2018,1,3570,2018-08-20,2019-01-12
S201800541,2018,1,4020,2018-08-17,2019-01-09
S201800542,2018,0,0,,
S201800543,2018,0,0,,
S201800544,2018,0,0,,
S201800545,2018,1,6217,2018-08-22,2019-01-12
S201800546,2018,1,6681,2018-08-26,2019-01-11
S201800547,2018,0,0,,
S201800548,2018,1,8288,2018-08-17,2019-01-11
S201800549,2018,0,0,,
S201800550,2018,1,6527,2018-08-20,2019-01-09
S201800551,2018,0,0,,
S201800552,2018,1,8009,2018-08-21,2019-01-17
S201800553,2018,1,5579,2018-08-27,2019-01-08
S201800554,2018,0,0,,
S201800555,2018,1,5878,2018-08-16,2019-01-10
S201800556,2018,1,5125,2018-08-23,2019-01-15
S201800557,2018,1,7517,2018-08-23,2019-01-14
S201800558,2018,0,0,,
S201800559,2018,0,0,,
S201800560,2018,0,0,,
S201800561,2018,1,5333,2018-08-21,2019-01-17
S201800562,2018,1,4499,2018-08-19,2019-01-16
S201800563,2018,1,8024,2018-08-21,2019-01-10
S201800564,2018,0,0,,
S201800565,2018,1,6575,2018-08-23,2019-01-10
S201800566,2018,1,7836,2018-08-24,2019-01-15
S201800567,2018,0,0,,
S201800568,2018,0,0,,
S201800569,2018,1,3944,2018-08-15,2019-01-11
S201800570,2018,1,3574,2018-08-20,2019-01-16
S201800571,2018,1,6547,2018-08-17,2019-01-17
S201800572,2018,0,0,,
S201800573,2018,0,0,,
S201800574,2018,0,0,,
S201800575,2018,1,5479,2018-08-25,2019-01-15
S201800576,2018,1,4850,2018-08-22,2019-01-08
S201800577,2018,0,0,,
S201800578,2018,1,5805,2018-08-15,2019-01-12
S201800579,2018,0,0,,
S201800580,2018,0,0,,
S201800581,2018,1,8323,2018-08-25,2019-01-12
S201800582,2018,1,2664,2018-08-26,2019-01-16
S201800583,2018,1,5867,2018-08-22,2019-01-11
S201800584,2018,0,0,,
S201800585,2018,1,6196,2018-08-22,2019-01-13
S201800586,2018,1,8492,2018-08-27,2019-01-17
S201800587,2018,0,0,,
S201800588,2018,1,6131,2018-08-25,2019-01-17
S201800589,2018,1,7628,2018-08-18,2019-01-10
S201800590,2018,1,7625,2018-08-26,2019-01-09
S201800591,2018,0,0,,
S201800592,2018,1,8233,2018-08-19,2019-01-10
S201800593,2018,1,5157,2018-08-26,2019-01-15
S201800594,2018,0,0,,
S201800595,2018,0,0,,
S201800596,2018,1,6738,2018-08-21,2019-01-10
S201800597,2018,1,6346,2018-08-25,2019-01-15
S201800598,2018,1,6851,2018-08-26,2019-01-08
S201800599,2018,0,0,,
S201800600,2018,1,4090,2018-08-22,2019-01-13
S201800601,2018,1,4428,2018-08-24,2019-01-14
S201800602,2018,1,6741,2018-08-26,2019-01-08
S201800603,2018,0,0,,
S201800604,2018,0,0,,
S201800605,2018,0,0,,
S201800606,2018,1,4586,2018-08-25,2019-01-15
S201800607,2018,1,5420,2018-08-20,2019-01-14
S201800608,2018,1,7531,2018-08-20,2019-01-10
S201800609,2018,1,4511,2018-08-16,2019-01-16
S201800610,2018,0,0,,
S201800611,2018,0,0,,
S201800612,2018,1,2137,2018-08-22,2019-01-13
S201800613,2018,1,6084,2018-08-26,2019-01-14
S201800614,2018,1,8817,2018-08-26,2019-01-11
S201800615,2018,1,6436,2018-08-25,2019-01-12
S201800616,2018,1,4192,2018-08-27,2019-01-11
S201800617,2018,1,4396,2018-08-20,2019-01-16
S201800618,2018,0,0,,
S201800619,2018,1,6228,2018-08-23,2019-01-14
S201800620,2018,0,0,,
S201800621,2018,1,6730,2018-08-23,2019-01-08
S201800622,2018,1,6704,2018-08-21,2019-01-14
S201800623,2018,1,5994,2018-08-16,2019-01-13
S201800624,2018,0,0,,
S201800625,2018,1,7097,2018-08-23,2019-01-17
S201800626,2018,1,6181,2018-08-15,2019-01-14
S201800627,2018,1,7270,2018-08-23,2019-01-14
S201800628,2018,0,0,,
S201800629,2018,1,4020,2018-08-26,2019-01-11
S201800630,2018,1,7014,2018-08-19,2019-01-17
S201800631,2018,0,0,,
S201800632,2018,0,0,,
S201800633,2018,0,0,,
