graduate_id,institution_id,cohort_year,field_of_study,age_at_grad,female,cum_gpa,first_gen,rural_origin,low_income_q,internship_months,high_demand_field,risk_score,eligible_z,enrolled_d,y_match_6m,y_quality_6m,y_stability_12m
G2018000078,U04,2019,HLT,23.7,0,3.396,0,0,0,2,1,0.1,0,1,68.22,1,1
G2018000079,U07,2018,SOC,26.5,1,2.784,1,0,1,4,0,19.884,0,0,71.85,1,0
G2018000080,U03,2021,STEM,25.9,1,3.069,1,1,0,3,1,32.35,0,0,61.51,0,0
G2018000081,U07,2019,SOC,25.3,1,3.514,0,0,0,4,0,26.429,0,0,64.5,1,1
G2018000082,U07,2022,BUS,24.4,0,3.772,0,0,1,1,0,25.807,0,0,65.34,1,1
G2018000083,U06,2018,STEM,23.8,1,3.553,0,0,0,5,1,13.56,0,0,68.04,1,0
G2018000084,U04,2020,STEM,23.2,1,3.064,0,0,1,0,1,42.12,0,0,44.14,1,1
G2018000085,U08,2022,SOC,28.1,0,2.919,1,0,1,4,0,11.98,0,1,78.38,1,1
G2018000086,U06,2018,SOC,23.7,0,3.686,0,0,0,5,0,34.673,0,0,55.32,1,1
G2018000087,U03,2022,HUM,25.9,0,3.17,0,0,0,1,0,18.723,0,1,63.72,1,1
G2018000088,U01,2021,STEM,24.0,0,3.279,0,1,0,2,0,22.482,0,0,64.39,1,1
G2018000089,U01,2022,STEM,25.4,0,2.21,0,1,1,1,1,35.201,0,1,68.75,1,1
G2018000090,U05,2021,SOC,24.2,1,2.792,0,0,0,0,0,29.399,0,1,76.1,1,1
G2018000091,U02,2020,HLT,25.1,0,2.94,0,1,0,2,0,46.587,0,0,44.9,1,1
G2018000092,U04,2019,SOC,25.3,0,2.551,0,0,0,3,0,59.044,0,0,63.0,0,0
G2018000093,U08,2019,EDU,24.2,0,2.793,0,0,0,1,0,19.192,0,0,55.9,1,1
G2018000094,U04,2022,SOC,25.0,1,2.847,1,1,0,1,0,15.452,0,0,60.76,1,1
G2018000095,U06,2020,HLT,23.1,1,3.8,0,0,0,5,1,11.92,0,0,83.9,1,1
G2018000096,U08,2021,BUS,26.3,0,3.539,1,0,1,3,0,6.963,0,0,70.34,1,1
G2018000097,U06,2022,HLT,24.2,1,3.15,0,0,0,4,0,60.997,0,0,69.46,0,1
G2018000098,U02,2022,BUS,26.1,1,3.953,0,1,0,9,0,16.471,0,0,86.48,1,1
G2018000099,U02,2020,HLT,23.3,1,3.2,0,0,1,6,1,11.939,0,0,70.3,1,0
G2018000100,U02,2020,BUS,23.7,0,2.305,1,0,0,0,0,9.811,0,1,64.55,1,1
G2018000101,U03,2021,HLT,23.2,0,3.089,1,0,1,3,1,23.266,0,0,70.59,1,1
G2018000102,U07,2019,STEM,27.1,0,3.237,0,1,1,2,1,25.329,0,1,69.25,1,1
G2018000103,U07,2019,BUS,24.1,0,3.441,1,0,0,4,0,47.292,0,0,80.28,1,1
G2018000104,U02,2019,EDU,28.9,0,2.546,0,0,0,3,0,6.154,0,0,61.11,1,1
G2018000105,U06,2020,STEM,24.1,1,3.189,1,1,0,1,1,1.603,0,0,57.45,1,1
G2018000106,U06,2019,HUM,24.1,1,2.93,0,0,1,9,0,21.369,0,1,84.88,0,1
G2018000107,U04,2020,BUS,26.3,0,2.728,0,0,0,3,0,18.747,0,0,46.53,1,1
G2018000108,U08,2022,BUS,26.7,0,3.083,1,0,0,3,0,29.38,0,0,54.82,0,0
G2018000109,U03,2019,BUS,27.5,0,3.322,1,0,1,1,0,16.84,0,1,72.8,1,1
G2018000110,U07,2018,BUS,23.6,0,3.226,0,0,0,0,0,20.72,0,0,69.75,0,0
G2018000111,U05,2019,BUS,25.8,0,3.028,1,0,1,3,0,17.785,0,1,74.11,1,1
G2018000112,U04,2021,EDU,27.5,1,4.0,1,1,1,3,0,13.847,0,1,95.38,1,1
G2018000113,U08,2019,BUS,27.6,0,3.542,0,0,0,1,0,34.048,0,0,54.34,1,0
G2018000114,U07,2022,HUM,24.5,1,2.749,0,0,1,2,0,63.695,0,0,50.57,0,0
G2018000115,U05,2021,STEM,25.7,1,3.055,1,0,1,5,0,19.713,0,1,80.23,1,1
G2018000116,U06,2018,BUS,25.3,1,3.05,0,0,1,5,0,8.643,0,0,78.91,1,1
G2018000117,U06,2019,BUS,26.1,1,3.267,0,0,1,2,0,59.986,0,0,62.14,0,1
G2018000118,U02,2020,STEM,24.9,0,3.298,1,0,0,3,0,35.356,0,0,48.72,1,1
G2018000119,U03,2022,HUM,26.5,0,3.067,0,0,0,4,0,75.639,1,1,70.59,1,1
G2018000120,U01,2018,HUM,23.9,1,2.696,0,0,1,2,0,25.031,0,1,73.41,1,1
G2018000121,U01,2022,SOC,27.1,0,2.893,0,0,0,1,0,35.484,0,0,58.81,1,0
G2018000122,U02,2019,SOC,23.4,0,3.008,0,1,0,4,0,25.736,0,0,68.93,1,1
G2018000123,U02,2021,HUM,26.5,0,2.583,0,0,0,0,0,36.579,0,0,53.46,1,1
G2018000124,U01,2018,BUS,22.6,1,2.902,0,0,0,4,0,41.212,0,0,60.57,1,0
G2018000125,U04,2018,STEM,25.5,1,2.906,0,1,0,2,0,12.77,0,1,70.27,1,1
G2018000126,U07,2022,SOC,26.1,1,3.452,0,0,0,4,0,44.801,0,0,72.47,1,0
G2018000127,U01,2020,BUS,22.2,1,2.896,0,0,1,5,0,3.526,0,0,64.18,1,1
G2018000128,U06,2018,STEM,22.6,0,2.96,0,0,0,3,0,17.059,0,0,54.23,1,0
G2018000129,U08,2022,SOC,22.3,1,2.994,1,0,0,2,0,3.226,0,0,75.3,1,1
G2018000130,U08,2021,BUS,24.4,0,2.726,0,0,0,2,0,7.626,0,0,58.88,0,0
G2018000131,U02,2018,SOC,23.8,1,3.211,1,0,0,6,0,21.631,0,1,81.54,1,1
G2018000132,U02,2021,SOC,25.7,0,2.884,1,1,0,1,0,38.81,0,1,77.31,1,1
G2018000133,U03,2022,HUM,23.9,1,2.351,0,0,0,1,0,14.727,0,1,77.63,1,1
G2018000134,U08,2021,SOC,24.4,1,2.953,0,1,1,3,0,18.011,0,1,61.63,1,1
G2018000135,U08,2022,STEM,26.0,1,3.277,1,0,1,4,1,5.577,0,0,90.08,1,0
G2018000136,U03,2018,HLT,25.3,0,3.89,1,1,0,2,0,45.239,0,0,73.99,1,0
G2018000137,U07,2021,BUS,22.0,0,3.315,0,0,0,3,0,40.211,0,0,63.9,0,1
G2018000138,U08,2019,SOC,25.6,1,3.061,0,0,0,3,0,24.1,0,0,58.76,1,1
G2018000139,U02,2020,BUS,21.7,0,3.017,0,1,1,2,0,9.409,0,1,90.42,1,1
G2018000140,U08,2022,STEM,27.7,1,2.477,1,0,0,0,0,9.531,0,0,38.04,0,0
G2018000141,U02,2022,HUM,21.9,0,3.622,0,0,0,5,0,0.1,0,0,67.47,1,1
G2018000142,U03,2021,SOC,27.7,0,3.488,0,0,0,3,0,7.353,0,0,55.97,1,0
G2018000143,U08,2022,STEM,26.0,0,2.691,0,0,0,0,1,22.369,0,0,75.69,1,1
G2018000144,U06,2022,BUS,25.3,1,3.766,0,1,1,3,0,37.453,0,0,67.69,1,0
G2018000145,U01,2022,HUM,23.7,1,2.55,0,0,0,6,0,8.464,0,0,56.13,0,0
G2018000146,U07,2022,STEM,23.3,1,3.301,0,0,0,7,1,10.184,0,0,76.39,1,1
G2018000147,U01,2019,STEM,22.6,0,2.787,0,0,0,0,1,4.751,0,0,57.31,0,1
G2018000148,U02,2019,EDU,23.9,1,3.73,0,0,1,5,0,29.65,0,0,68.46,0,0
G2018000149,U02,2020,HUM,26.5,0,3.214,0,0,0,3,0,38.513,0,0,65.41,1,1
G2018000150,U02,2018,EDU,24.3,1,2.274,0,0,0,4,0,24.862,0,1,52.51,1,1
G2018000151,U05,2021,EDU,28.2,0,2.658,0,0,0,0,0,41.74,0,0,55.3,1,1
G2018000152,U05,2022,STEM,24.1,0,3.277,0,1,0,2,1,26.614,0,0,69.2,0,1
G2018000153,U05,2022,SOC,26.0,0,3.404,0,0,1,3,0,11.664,0,0,73.16,1,1
G2018000154,U05,2019,STEM,25.7,1,2.629,0,0,1,3,1,18.815,0,0,52.16,0,0
G2018000155,U03,2022,BUS,24.9,1,2.586,0,1,1,3,0,8.491,0,0,66.7,1,1
G2018000156,U03,2019,STEM,26.3,0,2.718,0,0,0,2,0,42.092,0,1,59.46,0,1
G2018000157,U06,2018,STEM,23.9,0,3.491,1,1,0,2,1,26.891,0,0,70.58,1,1
G2018000158,U02,2020,EDU,22.9,0,2.62,0,1,0,2,0,17.911,0,0,70.22,0,0
G2018000159,U06,2018,BUS,23.2,1,3.071,1,1,0,1,0,11.757,0,0,58.84,1,0
G2018000160,U04,2019,BUS,24.3,0,3.32,1,0,0,4,0,28.002,0,0,63.98,1,1
G2018000161,U04,2018,HUM,23.5,0,3.1,1,0,0,0,0,50.685,0,0,44.14,1,1
G2018000162,U06,2019,EDU,25.8,0,3.487,0,0,0,1,0,20.624,0,0,63.45,1,1
G2018000163,U02,2021,STEM,25.7,1,2.88,0,0,0,1,0,16.121,0,0,63.33,1,0
G2018000164,U05,2018,STEM,21.8,0,2.992,0,1,0,5,0,30.354,0,1,90.93,1,1
G2018000165,U03,2019,SOC,24.3,1,3.449,0,0,0,3,0,38.503,0,0,64.83,0,0
G2018000166,U01,2022,HLT,24.7,0,2.697,1,0,1,1,0,42.748,0,0,63.07,1,1
G2018000167,U01,2020,STEM,24.4,1,3.038,1,0,0,2,1,34.3,0,0,66.94,1,1
G2018000168,U03,2021,STEM,25.5,0,2.815,0,0,0,4,1,34.683,0,0,70.79,1,1
G2018000169,U01,2022,STEM,25.3,0,4.0,1,0,0,2,0,34.64,0,0,62.66,1,1
G2018000170,U04,2019,HLT,26.2,1,2.839,0,0,0,1,1,21.924,0,0,59.82,1,1
G2018000171,U06,2021,BUS,23.2,1,3.323,1,1,1,3,0,18.786,0,1,85.91,1,1
G2018000172,U06,2021,STEM,23.0,1,3.334,1,0,1,0,0,26.383,0,0,61.28,1,0
G2018000173,U08,2019,HUM,24.6,0,2.598,0,1,1,6,0,26.986,0,0,75.61,1,1
G2018000174,U08,2021,STEM,24.5,0,2.621,0,0,0,3,0,13.973,0,0,59.6,1,1
G2018000175,U03,2019,STEM,23.1,0,3.431,0,0,0,2,1,0.1,0,0,52.26,1,1
G2018000176,U06,2018,HUM,26.1,1,3.031,0,0,1,2,0,61.649,0,0,64.34,1,1
G2018000177,U04,2018,STEM,22.7,0,3.591,1,0,0,5,0,20.28,0,0,86.16,1,1
G2018000178,U03,2022,EDU,26.7,1,3.438,1,0,0,1,0,15.469,0,0,51.99,1,1
G2018000179,U07,2020,BUS,22.6,0,3.109,1,1,1,3,0,24.569,0,1,71.24,1,1
G2018000180,U04,2022,STEM,25.5,1,3.125,0,0,0,0,1,8.037,0,0,54.54,1,1
G2018000181,U07,2022,STEM,22.7,1,3.307,0,0,1,1,0,29.125,0,0,63.45,0,0
G2018000182,U05,2019,HUM,25.4,1,3.2,0,1,0,3,0,20.522,0,1,62.65,1,1
G2018000183,U03,2019,SOC,24.2,1,3.283,1,0,0,1,0,37.302,0,1,84.69,1,1
G2018000184,U01,2022,STEM,25.3,1,3.077,1,0,0,2,1,4.805,0,0,51.24,1,1
G2018000185,U07,2021,SOC,24.4,1,3.06,0,0,1,2,0,27.528,0,0,53.6,1,0
G2018000186,U02,2021,BUS,23.3,1,2.292,0,0,0,5,0,25.924,0,0,67.75,0,1
G2018000187,U05,2020,STEM,27.3,1,2.345,0,0,1,0,1,33.001,0,1,59.56,1,1
G2018000188,U05,2021,SOC,27.1,1,3.594,1,0,1,0,0,27.185,0,0,66.13,1,0
G2018000189,U05,2019,EDU,24.6,1,3.716,0,1,0,2,0,39.812,0,0,61.94,1,1
G2018000190,U06,2019,HUM,22.2,0,3.345,0,0,0,2,0,34.439,0,0,76.65,1,1
G2018000191,U05,2022,HLT,24.1,1,2.748,1,0,1,2,0,14.735,0,0,47.97,1,1
G2018000192,U04,2020,STEM,22.2,0,2.449,0,0,0,1,1,51.267,0,0,60.98,1,1
G2018000193,U05,2022,STEM,27.4,1,3.323,0,0,0,1,0,32.205,0,0,67.4,1,1
G2018000194,U02,2021,STEM,21.2,0,3.697,0,0,0,3,1,12.988,0,0,71.1,0,1
G2018000195,U07,2020,SOC,27.1,1,3.334,1,0,0,3,0,21.954,0,0,55.67,1,0
G2018000196,U01,2019,HLT,25.7,0,2.738,0,0,0,1,0,45.68,0,0,54.42,0,0
G2018000197,U01,2019,HUM,25.8,1,3.704,0,0,0,0,0,18.31,0,0,64.66,1,1
G2018000198,U01,2021,EDU,24.8,1,2.474,0,1,1,2,0,11.951,0,0,47.62,0,1
G2018000199,U05,2018,STEM,25.6,0,3.331,0,0,0,5,0,30.46,0,0,68.93,1,1
G2018000200,U08,2019,SOC,25.1,1,3.598,1,0,1,1,0,19.356,0,0,59.92,1,0
G2018000201,U02,2022,STEM,23.5,0,3.313,0,0,0,1,1,39.754,0,1,77.34,1,1
G2018000202,U08,2022,EDU,24.0,1,3.787,0,0,0,3,0,10.586,0,1,88.35,1,1
G2018000203,U05,2021,STEM,24.7,0,2.822,1,0,0,2,1,22.879,0,1,74.01,1,1
G2018000204,U06,2018,STEM,25.5,0,2.861,0,0,1,0,0,34.208,0,0,62.59,1,1
G2018000205,U07,2020,BUS,26.7,0,3.214,1,0,1,3,0,59.733,0,0,58.14,1,1
G2018000206,U03,2022,SOC,21.0,1,2.511,1,0,1,3,0,53.774,0,1,69.74,1,1
G2018000207,U05,2021,SOC,24.9,1,3.971,1,0,1,2,0,15.028,0,0,57.54,0,0
G2018000208,U05,2021,HLT,25.1,0,2.857,0,0,0,3,0,45.845,0,1,66.98,0,1
G2018000209,U08,2021,STEM,25.7,0,2.606,0,1,1,3,1,13.609,0,1,75.03,1,1
G2018000210,U02,2021,STEM,26.0,0,2.998,1,0,0,1,1,14.718,0,0,48.46,1,1
G2018000211,U05,2021,HLT,24.3,0,2.977,1,0,0,2,1,66.345,0,0,63.68,0,1
G2018000212,U01,2018,BUS,21.9,0,2.855,0,0,0,4,0,20.939,0,1,68.81,1,1
G2018000213,U05,2019,HLT,23.2,1,2.747,0,0,0,2,0,32.102,0,1,74.41,1,1
G2018000214,U08,2019,STEM,24.6,1,2.893,0,0,0,4,0,21.901,0,1,74.48,1,1
G2018000215,U04,2021,BUS,26.8,1,2.626,0,1,1,2,0,37.868,0,0,53.78,0,0
G2018000216,U02,2021,HUM,26.2,1,2.516,1,0,0,1,0,36.838,0,0,61.19,1,1
G2018000217,U03,2018,STEM,26.3,0,2.683,1,1,0,1,1,14.005,0,1,72.17,1,1
G2018000218,U02,2022,BUS,24.1,1,2.679,0,0,0,0,0,47.107,0,0,49.61,1,1
G2018000219,U03,2018,SOC,23.1,1,3.121,1,0,0,1,0,23.858,0,0,62.18,1,1
G2018000220,U06,2021,HUM,24.6,1,3.191,0,1,0,1,0,22.515,0,1,78.27,1,1
G2018000221,U07,2021,STEM,24.9,0,2.453,0,0,1,0,0,40.314,0,0,53.0,1,0
G2018000222,U08,2019,EDU,23.8,0,3.093,1,1,0,3,0,41.742,0,1,65.25,1,1
G2018000223,U08,2022,STEM,25.0,0,3.314,0,0,0,2,0,34.477,0,0,68.37,1,1
G2018000224,U03,2020,BUS,26.0,0,2.565,0,0,0,4,0,45.17,0,0,51.83,0,1
G2018000225,U01,2020,STEM,21.0,1,3.149,1,0,1,0,0,52.854,0,0,55.06,1,0
G2018000226,U01,2018,EDU,22.7,0,2.289,0,0,1,3,0,38.439,0,0,58.4,0,1
G2018000227,U04,2020,SOC,25.7,1,2.38,1,0,1,3,0,32.45,0,0,70.19,0,1
G2018000228,U03,2020,STEM,23.4,0,3.124,1,1,0,2,1,40.263,0,0,57.28,1,1
G2018000229,U05,2020,STEM,28.4,1,2.409,0,1,0,3,1,16.288,0,1,67.19,1,1
G2018000230,U05,2021,STEM,24.4,0,2.336,0,0,0,3,0,12.822,0,0,48.37,0,0
G2018000231,U01,2019,BUS,23.5,0,3.544,0,1,0,4,0,20.877,0,0,66.42,1,1
G2018000232,U02,2018,SOC,26.0,1,2.941,0,1,1,2,0,63.994,0,0,59.43,1,1
G2018000233,U07,2018,SOC,27.1,1,3.021,1,0,1,4,0,3.586,0,1,71.23,1,1
G2018000234,U06,2022,STEM,23.1,0,2.553,1,0,0,2,1,24.797,0,0,64.74,1,1
G2018000235,U01,2019,BUS,24.5,0,2.982,0,1,0,1,0,27.499,0,0,64.9,1,1
G2018000236,U04,2019,SOC,23.5,1,2.823,0,1,0,4,0,38.765,0,0,59.4,1,1
G2018000237,U06,2018,SOC,25.7,1,2.829,0,0,0,1,0,8.039,0,0,43.81,1,1
G2018000238,U08,2019,BUS,24.3,1,3.018,0,0,1,4,0,23.856,0,0,69.24,1,1
G2018000239,U07,2019,BUS,23.3,1,3.027,1,0,0,3,0,21.385,0,1,65.14,1,1
G2018000240,U02,2018,SOC,23.5,0,2.449,0,0,0,1,0,44.908,0,0,50.02,0,1
G2018000241,U08,2021,STEM,23.2,1,2.823,1,0,0,3,1,10.677,0,1,76.9,1,1
G2018000242,U03,2022,EDU,25.6,0,2.824,0,1,0,4,0,3.406,0,0,52.89,1,0
G2018000243,U03,2021,SOC,26.2,0,3.527,1,0,0,3,0,44.784,0,0,62.83,1,1
G2018000244,U04,2020,STEM,23.3,1,2.461,1,1,0,1,0,26.457,0,0,45.15,1,1
G2018000245,U08,2021,SOC,25.9,1,3.216,0,0,0,0,0,49.121,0,0,63.23,1,0
G2018000246,U08,2021,STEM,27.0,0,3.202,1,1,1,6,0,28.211,0,0,69.15,1,1
G2018000247,U02,2020,HLT,24.3,1,3.58,0,0,0,2,0,41.59,0,0,75.64,1,1
G2018000248,U08,2021,BUS,24.4,1,3.086,0,0,1,3,0,48.917,0,0,59.96,1,1
G2018000249,U04,2020,EDU,23.8,1,3.047,1,0,0,4,0,37.471,0,1,88.25,1,1
G2018000250,U04,2021,STEM,23.9,0,3.024,0,0,0,3,0,29.03,0,0,77.29,0,0
G2018000251,U04,2022,BUS,25.3,1,2.45,1,0,1,1,0,10.971,0,0,67.67,1,1
G2018000252,U02,2018,STEM,24.5,0,3.601,0,0,1,3,1,27.716,0,1,67.61,1,1
G2018000253,U08,2021,BUS,23.2,0,3.299,0,0,0,2,0,10.395,0,1,69.59,1,1
G2018000254,U02,2018,BUS,28.0,1,2.917,0,0,0,4,0,16.67,0,0,55.77,0,1
G2018000255,U04,2020,BUS,25.1,1,3.333,0,0,1,0,0,45.513,0,0,58.0,1,1
G2018000256,U02,2021,STEM,23.1,1,3.819,0,0,0,1,1,30.18,0,0,68.58,1,1
G2018000257,U05,2020,HUM,22.7,1,2.899,0,1,1,5,0,8.778,0,1,71.36,1,1
G2018000258,U08,2022,STEM,24.5,0,3.063,0,0,0,3,1,4.258,0,1,79.16,1,1
G2018000259,U03,2022,HLT,24.1,0,2.407,0,1,0,0,0,21.694,0,0,47.97,1,1
G2018000260,U07,2020,HLT,22.6,0,3.496,0,0,0,1,1,33.41,0,0,53.96,1,1
G2018000261,U03,2022,HUM,27.6,1,3.496,0,1,0,3,0,32.66,0,1,78.0,1,1
G2018000262,U07,2019,BUS,27.3,1,3.1,0,0,1,1,0,32.926,0,0,45.53,1,0
G2018000263,U05,2021,STEM,24.6,1,3.195,1,0,0,0,0,17.506,0,1,61.77,0,1
G2018000264,U03,2019,SOC,25.7,1,2.488,0,1,0,3,0,29.092,0,0,58.72,1,0
